,LMT
2017-06-02,231.4407196044922
2017-06-05,230.10186767578125
2017-06-06,227.432373046875
2017-06-07,227.84292602539062
2017-06-08,228.0401611328125
2017-06-09,227.5308837890625
2017-06-12,227.44056701660156
2017-06-13,228.64793395996094
2017-06-14,230.24156188964844
2017-06-15,230.75901794433594
2017-06-16,230.90689086914062
2017-06-19,231.88433837890625
2017-06-20,232.3690185546875
2017-06-21,232.45114135742188
2017-06-22,230.34835815429688
2017-06-23,230.52084350585938
2017-06-26,229.7487030029297
2017-06-27,228.21266174316406
2017-06-28,230.01156616210938
2017-06-29,227.3090362548828
2017-06-30,228.0319366455078
2017-07-03,229.1078643798828
2017-07-05,231.96649169921875
2017-07-06,230.78363037109375
2017-07-07,234.2664031982422
2017-07-10,234.5703582763672
2017-07-11,235.2686767578125
2017-07-12,235.21923828125
2017-07-13,235.5477752685547
2017-07-14,236.67315673828125
2017-07-17,236.9688262939453
2017-07-18,235.572509765625
2017-07-19,238.7595672607422
2017-07-20,237.938232421875
2017-07-21,237.48634338378906
2017-07-24,238.43914794921875
2017-07-25,238.06956481933594
2017-07-26,238.08595275878906
2017-07-27,236.67315673828125
2017-07-28,238.5459442138672
2017-07-31,239.9587860107422
2017-08-01,240.38595581054688
2017-08-02,242.06988525390625
2017-08-03,242.9897918701172
2017-08-04,243.95909118652344
2017-08-07,244.0822296142578
2017-08-08,246.50543212890625
2017-08-09,250.71107482910156
2017-08-10,249.0929412841797
2017-08-11,249.5035400390625
2017-08-14,252.64962768554688
2017-08-15,251.51611328125
2017-08-16,251.18751525878906
2017-08-17,247.58975219726562
2017-08-18,245.7662353515625
2017-08-21,247.96742248535156
2017-08-22,250.36607360839844
2017-08-23,248.75619506835938
2017-08-24,248.55902099609375
2017-08-25,248.72320556640625
2017-08-28,249.3885498046875
2017-08-29,253.109619140625
2017-08-30,253.09307861328125
2017-08-31,252.34117126464844
2017-09-01,249.69700622558594
2017-09-05,249.7052764892578
2017-09-06,249.08560180664062
2017-09-07,249.82920837402344
2017-09-08,250.2836456298828
2017-09-11,251.58926391601562
2017-09-12,250.96951293945312
2017-09-13,248.05270385742188
2017-09-14,248.99468994140625
2017-09-15,249.78785705566406
2017-09-18,251.02731323242188
