,WYNN
2018-11-20,95.3945083618164
2018-11-21,99.91145324707031
2018-11-23,98.58850860595703
2018-11-26,105.38282012939453
2018-11-27,106.62074279785156
2018-11-28,106.59239196777344
2018-11-29,102.1699447631836
2018-11-30,103.37950134277344
2018-12-03,113.19770050048828
2018-12-04,104.2866439819336
2018-12-06,106.22384643554688
2018-12-07,99.21218872070312
2018-12-10,100.39339447021484
2018-12-11,99.73191833496094
2018-12-12,103.37950134277344
2018-12-13,102.16047668457031
2018-12-14,100.82807922363281
2018-12-17,98.73025512695312
2018-12-18,97.416748046875
2018-12-19,92.97539520263672
2018-12-20,92.41786193847656
2018-12-21,88.26946258544922
2018-12-24,86.9465103149414
2018-12-26,93.7691650390625
2018-12-27,92.72026062011719
2018-12-28,91.88868713378906
2018-12-31,93.4667739868164
2019-01-02,98.6546401977539
2019-01-03,97.70022583007812
2019-01-04,101.64075469970703
2019-01-07,103.44564819335938
2019-01-08,106.68689727783203
2019-01-09,108.07598876953125
2019-01-10,105.2694320678711
2019-01-11,107.30110168457031
2019-01-14,102.15103149414062
2019-01-15,101.83919525146484
2019-01-16,105.36392211914062
2019-01-17,107.98147583007812
2019-01-18,108.84139251708984
2019-01-22,105.7986068725586
2019-01-23,106.82862854003906
2019-01-24,108.1137924194336
2019-01-25,112.00704956054688
2019-01-28,111.6668701171875
2019-01-29,110.25885772705078
2019-01-30,113.84974670410156
2019-01-31,116.2405014038086
2019-02-01,119.1321029663086
2019-02-04,117.54457092285156
2019-02-05,120.22827911376953
2019-02-06,124.21603393554688
2019-02-07,119.89753723144531
2019-02-08,118.31944274902344
2019-02-11,118.12098693847656
2019-02-12,119.18879699707031
2019-02-13,120.5306625366211
2019-02-14,117.32728576660156
2019-02-15,118.35389709472656
2019-02-19,122.01353454589844
2019-02-20,122.7929916381836
2019-02-21,123.22074890136719
2019-02-22,125.23590850830078
2019-02-25,122.8119888305664
2019-02-26,124.00020599365234
2019-02-27,121.39567565917969
2019-02-28,120.28351593017578
2019-03-01,118.93374633789062
2019-03-04,119.36148071289062
2019-03-05,118.00218200683594
2019-03-06,117.44134521484375
2019-03-07,112.8026351928711
2019-03-08,113.67713165283203
2019-03-11,113.46802520751953
2019-03-12,111.54788208007812
2019-03-13,111.20569610595703
2019-03-14,109.92244720458984
2019-03-15,110.06503295898438
2019-03-18,110.4072265625
2019-03-19,111.99465942382812
2019-03-20,112.29884338378906
2019-03-21,115.15050506591797
2019-03-22,111.1296615600586
2019-03-25,110.6924057006836
2019-03-26,111.55740356445312
2019-03-27,110.79695129394531
2019-03-28,111.8045425415039
2019-03-29,113.42049407958984
2019-04-01,122.94506072998047
2019-04-02,128.35374450683594
2019-04-03,130.82522583007812
2019-04-04,132.76434326171875
2019-04-05,133.97154235839844
2019-04-08,137.68821716308594
2019-04-09,132.37460327148438
2019-04-10,134.02857971191406
2019-04-11,134.047607421875
2019-04-12,136.67112731933594
2019-04-15,134.8080291748047
2019-04-16,137.5646514892578
2019-04-17,136.27191162109375
2019-04-18,135.39736938476562
2019-04-22,133.07801818847656
2019-04-23,135.83462524414062
2019-04-24,137.26046752929688
2019-04-25,139.73191833496094
2019-04-26,141.91818237304688
2019-04-29,141.41441345214844
2019-04-30,137.30799865722656
2019-05-01,138.91445922851562
2019-05-02,138.36312866210938
2019-05-03,140.0741424560547
2019-05-06,134.3707733154297
