,LKQ
2016-06-22,30.737104415893555
2016-06-23,31.457801818847656
2016-06-24,29.052371978759766
2016-06-27,27.629697799682617
2016-06-28,28.472070693969727
2016-06-29,29.342519760131836
2016-06-30,29.670106887817383
2016-07-01,30.06321144104004
2016-07-05,29.567150115966797
2016-07-06,29.72626495361328
2016-07-07,29.92281723022461
2016-07-08,30.971097946166992
2016-07-11,31.513957977294922
2016-07-12,31.25189208984375
2016-07-13,31.036609649658203
2016-07-14,31.26125144958496
2016-07-15,30.961740493774414
2016-07-18,30.577993392944336
2016-07-19,30.446956634521484
2016-07-20,30.783905029296875
2016-07-21,30.86814308166504
2016-07-22,31.205089569091797
2016-07-25,31.467166900634766
2016-07-26,31.67306900024414
2016-07-27,31.9538631439209
2016-07-28,31.467166900634766
2016-07-29,32.1878547668457
2016-08-01,32.272098541259766
2016-08-02,32.29080581665039
2016-08-03,32.627750396728516
2016-08-04,32.449920654296875
2016-08-05,32.93661880493164
2016-08-08,32.68391036987305
2016-08-09,32.48735427856445
2016-08-10,32.71199417114258
2016-08-11,32.46863555908203
2016-08-12,32.43120193481445
2016-08-15,33.08637237548828
2016-08-16,32.91790008544922
2016-08-17,33.133174896240234
2016-08-18,33.18933868408203
2016-08-19,33.38587951660156
2016-08-22,33.32036590576172
2016-08-23,33.49820327758789
2016-08-24,33.582435607910156
2016-08-25,33.563716888427734
2016-08-26,33.404598236083984
2016-08-29,33.67604064941406
2016-08-30,33.9100227355957
2016-08-31,33.77899169921875
2016-09-01,33.282928466796875
2016-09-02,33.49820327758789
2016-09-06,33.73219680786133
2016-09-07,33.900665283203125
2016-09-08,33.442047119140625
2016-09-09,32.6745491027832
2016-09-12,33.1612548828125
2016-09-13,32.92726516723633
2016-09-14,33.1612548828125
2016-09-15,33.404598236083984
2016-09-16,33.18933868408203
2016-09-19,33.33908462524414
2016-09-20,33.03022003173828
2016-09-21,33.133174896240234
2016-09-22,33.451412200927734
2016-09-23,33.395240783691406
2016-09-26,33.039573669433594
2016-09-27,33.14253234863281
2016-09-28,33.245487213134766
2016-09-29,32.983421325683594
2016-09-30,33.18933868408203
2016-10-03,32.955345153808594
2016-10-04,32.00065994262695
2016-10-05,31.467166900634766
2016-10-06,31.11149787902832
2016-10-07,31.074054718017578
2016-10-10,31.401639938354492
2016-10-11,30.98981475830078
2016-10-12,31.17700958251953
2016-10-13,30.84942054748535
2016-10-14,30.737104415893555
2016-10-17,30.91494369506836
2016-10-18,30.821340560913086
2016-10-19,30.830699920654297
2016-10-20,30.86814308166504
2016-10-21,30.765186309814453
2016-10-24,30.93366241455078
2016-10-25,30.858779907226562
2016-10-26,31.130212783813477
2016-10-27,29.782421112060547
2016-10-28,30.06321144104004
2016-10-31,30.21296501159668
2016-11-01,29.92281723022461
2016-11-02,29.763700485229492
2016-11-03,29.192764282226562
2016-11-04,29.379955291748047
2016-11-07,29.754344940185547
2016-11-08,29.89473533630371
