,EXR
2015-10-08,55.365196228027344
2015-10-09,55.186248779296875
2015-10-12,55.88055419921875
2015-10-13,55.136138916015625
2015-10-14,54.45616149902344
2015-10-15,55.28644943237305
2015-10-16,55.33655548095703
2015-10-19,56.932743072509766
2015-10-20,57.763038635253906
2015-10-21,57.82746505737305
2015-10-22,58.2497673034668
2015-10-23,57.82029724121094
2015-10-26,57.784515380859375
2015-10-27,58.228294372558594
2015-10-28,57.798824310302734
2015-10-29,57.8417854309082
2015-10-30,56.7180061340332
2015-11-02,57.598411560058594
2015-11-03,56.65359115600586
2015-11-04,56.65359115600586
2015-11-05,56.6392707824707
2015-11-06,55.47970962524414
2015-11-09,54.58500289916992
2015-11-10,55.30078125
2015-11-11,55.973602294921875
2015-11-12,56.60349655151367
2015-11-13,56.45317077636719
2015-11-16,56.811058044433594
2015-11-17,58.20682907104492
2015-11-18,57.9205207824707
2015-11-19,57.956302642822266
2015-11-20,59.36638641357422
2015-11-23,59.251853942871094
2015-11-24,59.0013313293457
2015-11-25,59.7242546081543
2015-11-27,60.07499694824219
2015-11-30,59.946136474609375
2015-12-01,61.34906768798828
2015-12-02,60.890987396240234
2015-12-03,60.38278579711914
2015-12-04,61.40634536743164
2015-12-07,61.73560333251953
2015-12-08,61.950340270996094
2015-12-09,61.28466033935547
2015-12-10,60.783607482910156
2015-12-11,61.461143493652344
2015-12-14,62.131473541259766
2015-12-15,62.70810317993164
2015-12-16,63.919029235839844
2015-12-17,63.70277404785156
2015-12-18,63.18381881713867
2015-12-21,64.21453094482422
2015-12-22,64.17127227783203
2015-12-23,63.58025360107422
2015-12-24,63.59467315673828
2015-12-28,64.1928939819336
2015-12-29,65.02901458740234
2015-12-30,64.48120880126953
2015-12-31,63.58025360107422
2016-01-04,63.29911804199219
2016-01-05,65.15876007080078
2016-01-06,65.69937896728516
2016-01-07,65.00020599365234
2016-01-08,64.80558013916016
2016-01-11,65.45425415039062
2016-01-12,65.23805236816406
2016-01-13,64.54608917236328
2016-01-14,62.866661071777344
2016-01-15,62.008941650390625
2016-01-19,63.78927230834961
2016-01-20,61.15842056274414
2016-01-21,61.0647087097168
2016-01-22,62.96038055419922
2016-01-25,63.14058303833008
2016-01-26,65.2020034790039
2016-01-27,63.96227264404297
2016-01-28,64.39472198486328
2016-01-29,65.3677749633789
2016-02-01,64.50284576416016
2016-02-02,65.6633071899414
2016-02-03,63.688377380371094
2016-02-04,62.05939865112305
2016-02-05,58.89516067504883
2016-02-08,56.52378845214844
2016-02-09,57.14365005493164
2016-02-10,57.56173324584961
2016-02-11,58.29692840576172
2016-02-12,58.664512634277344
2016-02-16,59.81053161621094
2016-02-17,61.21607971191406
2016-02-18,60.942195892333984
2016-02-19,62.131473541259766
2016-02-22,61.9801139831543
2016-02-23,61.915252685546875
2016-02-24,59.22672653198242
2016-02-25,60.934974670410156
2016-02-26,59.904266357421875
2016-02-29,59.21230697631836
2016-03-01,60.7187385559082
2016-03-02,62.19634246826172
2016-03-03,61.14401626586914
2016-03-04,60.531333923339844
2016-03-07,60.257442474365234
2016-03-08,60.14933776855469
2016-03-09,61.230499267578125
2016-03-10,61.38188171386719
2016-03-11,63.203651428222656
2016-03-14,63.348819732666016
2016-03-15,64.05284881591797
2016-03-16,65.30123901367188
2016-03-17,66.24479675292969
2016-03-18,65.03996276855469
2016-03-21,64.24156951904297
2016-03-22,64.33590698242188
2016-03-23,64.86576080322266
2016-03-24,65.3810806274414
2016-03-28,66.14318084716797
2016-03-29,67.4859390258789
2016-03-30,67.14478302001953
2016-03-31,67.83431243896484
2016-04-01,67.8706283569336
2016-04-04,67.85610961914062
2016-04-05,67.23188781738281
2016-04-06,67.84881591796875
2016-04-07,67.28271484375
2016-04-08,67.92142486572266
2016-04-11,66.73836517333984
2016-04-12,66.86897277832031
2016-04-13,66.40447235107422
2016-04-14,64.78593444824219
2016-04-15,65.4609146118164
2016-04-18,65.72945404052734
2016-04-19,63.90769577026367
2016-04-20,63.5302619934082
2016-04-21,61.97704315185547
2016-04-22,62.41978454589844
2016-04-25,62.74638366699219
2016-04-26,63.29800033569336
2016-04-27,62.44154357910156
2016-04-28,62.52138137817383
2016-04-29,61.65767288208008
2016-05-02,63.05121994018555
2016-05-03,64.5101089477539
2016-05-04,65.6351089477539
2016-05-05,65.85285186767578
2016-05-06,67.08674621582031
2016-05-09,67.7544937133789
2016-05-10,68.25530242919922
2016-05-11,66.61495208740234
2016-05-12,67.790771484375
2016-05-13,67.47867584228516
2016-05-16,67.91415405273438
2016-05-17,66.83269500732422
2016-05-18,66.18672943115234
2016-05-19,65.14155578613281
2016-05-20,66.07060241699219
2016-05-23,66.15771484375
2016-05-24,66.75286865234375
2016-05-25,66.96336364746094
2016-05-26,67.23916625976562
2016-05-27,67.44965362548828
2016-05-31,67.47867584228516
2016-06-01,67.50045776367188
2016-06-02,67.79803466796875
2016-06-03,67.90689849853516
2016-06-06,66.70931243896484
2016-06-07,66.75286865234375
2016-06-08,66.04884338378906
2016-06-09,65.08348846435547
2016-06-10,64.31416320800781
2016-06-13,64.19696044921875
2016-06-14,63.076629638671875
2016-06-15,63.933353424072266
2016-06-16,64.37271118164062
2016-06-17,63.79424285888672
2016-06-20,63.92604446411133
2016-06-21,63.940670013427734
2016-06-22,64.0505142211914
2016-06-23,63.73564910888672
2016-06-24,63.61116409301758
2016-06-27,66.13014221191406
2016-06-28,66.98689270019531
2016-06-29,66.89899444580078
2016-06-30,67.7630844116211
2016-07-01,66.37910461425781
2016-07-05,68.2829818725586
2016-07-06,67.7044677734375
2016-07-07,67.39694213867188
2016-07-08,68.2829818725586
2016-07-11,68.59051513671875
2016-07-12,68.45870971679688
2016-07-13,69.11042022705078
2016-07-14,68.9127197265625
2016-07-15,67.88753509521484
2016-07-18,67.63858795166016
2016-07-19,67.54339599609375
2016-07-20,67.98274993896484
2016-07-21,68.01937866210938
2016-07-22,68.55388641357422
2016-07-25,67.26512908935547
2016-07-26,66.196044921875
2016-07-27,65.8299331665039
2016-07-28,62.95945739746094
2016-07-29,62.988773345947266
2016-08-01,63.3914909362793
2016-08-02,62.36634063720703
2016-08-03,60.8139533996582
2016-08-04,60.03776168823242
