,YUM
2020-01-27,95.11302947998047
2020-01-28,95.50481414794922
2020-01-29,97.15397644042969
2020-01-30,97.12664031982422
2020-01-31,96.3703842163086
2020-02-03,96.95352172851562
2020-02-04,97.22685241699219
2020-02-05,97.29064178466797
2020-02-06,94.52079772949219
2020-02-07,92.97186279296875
2020-02-10,93.7281265258789
2020-02-11,94.80326080322266
2020-02-12,95.9786148071289
2020-02-13,96.12506103515625
2020-02-14,96.35385131835938
2020-02-18,95.20983123779297
2020-02-19,96.27147674560547
2020-02-20,95.06340789794922
2020-02-21,94.73391723632812
2020-02-24,91.75031280517578
2020-02-25,89.64531707763672
2020-02-26,89.23348236083984
2020-02-27,84.81298065185547
2020-02-28,81.68294525146484
2020-03-02,84.68487548828125
2020-03-03,83.56829071044922
2020-03-04,86.60679626464844
2020-03-05,83.21135711669922
2020-03-06,81.82023620605469
2020-03-09,76.6034927368164
2020-03-10,79.42236328125
2020-03-11,74.10497283935547
2020-03-12,71.79862976074219
2020-03-13,71.80777740478516
2020-03-16,63.909461975097656
2020-03-17,59.93744659423828
2020-03-18,55.544410705566406
2020-03-19,57.29247283935547
2020-03-20,53.155696868896484
2020-03-23,51.727962493896484
2020-03-24,63.75388717651367
2020-03-25,66.69172668457031
2020-03-26,69.32755279541016
2020-03-27,62.71968460083008
2020-03-30,64.67826843261719
2020-03-31,62.71968460083008
2020-04-01,61.91429138183594
2020-04-02,60.44996643066406
2020-04-03,57.933109283447266
2020-04-06,64.52266693115234
2020-04-07,65.30059814453125
2020-04-08,68.97976684570312
2020-04-09,73.55586242675781
2020-04-13,70.52647399902344
2020-04-14,73.11653137207031
2020-04-15,71.05730438232422
2020-04-16,73.31788635253906
2020-04-17,77.03367614746094
2020-04-20,75.11172485351562
2020-04-21,74.31546783447266
2020-04-22,79.43152618408203
2020-04-23,78.35157775878906
2020-04-24,78.60784912109375
2020-04-27,80.71282958984375
2020-04-28,80.78604888916016
2020-04-29,80.04470825195312
2020-04-30,79.10204315185547
2020-05-01,76.70418548583984
2020-05-04,76.04522705078125
2020-05-05,76.21910095214844
2020-05-06,76.11846160888672
2020-05-07,77.42718505859375
2020-05-08,78.87325286865234
2020-05-11,79.04712677001953
2020-05-12,76.87806701660156
2020-05-13,73.61991119384766
2020-05-14,76.228271484375
2020-05-15,77.70176696777344
2020-05-18,79.4040756225586
2020-05-19,79.49559020996094
2020-05-20,80.62129974365234
2020-05-21,80.54808807373047
2020-05-22,79.8525161743164
2020-05-26,80.58470916748047
2020-05-27,82.58901977539062
2020-05-28,83.58261108398438
2020-05-29,82.55221557617188
2020-06-01,83.27902221679688
2020-06-02,84.83384704589844
2020-06-03,86.99583435058594
2020-06-04,87.39144134521484
2020-06-05,88.79904174804688
2020-06-08,88.31147003173828
2020-06-09,87.91584777832031
2020-06-10,86.56343841552734
2020-06-11,83.4169921875
2020-06-12,83.97820281982422
2020-06-15,84.12541961669922
2020-06-16,84.51182556152344
2020-06-17,83.95980834960938
2020-06-18,82.92021179199219
2020-06-19,81.19981384277344
2020-06-22,80.79499053955078
2020-06-23,80.88701629638672
2020-06-24,79.63579559326172
2020-06-25,79.12059783935547
2020-06-26,78.00740814208984
2020-06-29,80.0221939086914
2020-06-30,79.95780181884766
2020-07-01,79.53458404541016
2020-07-02,79.63579559326172
2020-07-06,81.42980194091797
2020-07-07,79.91179656982422
2020-07-08,79.6266098022461
2020-07-09,79.4701919555664
2020-07-10,80.26139068603516
2020-07-13,80.43619537353516
2020-07-14,81.1261978149414
2020-07-15,83.12261962890625
2020-07-16,82.51542663574219
2020-07-17,83.32502746582031
2020-07-20,83.63782501220703
2020-07-21,83.75741577148438
2020-07-22,86.13105010986328
2020-07-23,85.4410400390625
2020-07-24,85.68944549560547
2020-07-27,85.90104675292969
2020-07-28,85.33063507080078
2020-07-29,87.2442626953125
2020-07-30,84.3094253540039
2020-07-31,83.7666244506836
2020-08-03,83.64701080322266
2020-08-04,84.47501373291016
2020-08-05,83.72061920166016
2020-08-06,83.71141815185547
2020-08-07,83.55502319335938
2020-08-10,84.0334243774414
2020-08-11,85.28461456298828
2020-08-12,85.70783996582031
2020-08-13,85.34903717041016
2020-08-14,85.23863220214844
2020-08-17,86.11263275146484
2020-08-18,87.30867767333984
2020-08-19,86.41622924804688
2020-08-20,87.74105834960938
2020-08-21,88.41265106201172
2020-08-24,88.83586120605469
2020-08-25,89.19642639160156
2020-08-26,88.13323974609375
2020-08-27,88.2626953125
2020-08-28,90.09318542480469
2020-08-31,88.61397552490234
2020-09-01,88.89131927490234
2020-09-02,90.58317565917969
2020-09-03,89.05775451660156
2020-09-04,88.03154754638672
2020-09-08,86.60779571533203
2020-09-09,86.3396987915039
2020-09-10,85.37821197509766
2020-09-11,85.30426025390625
2020-09-14,85.85895538330078
2020-09-15,86.4598617553711
2020-09-16,87.65250396728516
2020-09-17,86.63554382324219
2020-09-18,85.15631866455078
2020-09-21,82.59542846679688
2020-09-22,83.75106811523438
2020-09-23,82.99298095703125
2020-09-24,84.47220611572266
2020-09-25,84.48143768310547
2020-09-28,84.94368743896484
2020-09-29,83.86202239990234
2020-09-30,84.4074935913086
2020-10-01,84.88822937011719
2020-10-02,87.9853286743164
2020-10-05,86.98684692382812
2020-10-06,84.98066711425781
2020-10-07,86.79270935058594
2020-10-08,88.20721435546875
2020-10-09,88.28115844726562
2020-10-12,88.73416900634766
2020-10-13,88.76190948486328
2020-10-14,89.2333984375
2020-10-15,91.97917938232422
2020-10-16,91.0916519165039
2020-10-19,89.90827178955078
2020-10-20,89.9360122680664
2020-10-21,91.59087371826172
2020-10-22,92.31199645996094
2020-10-23,93.634033203125
2020-10-26,91.71107482910156
2020-10-27,90.59242248535156
2020-10-28,87.88362121582031
2020-10-29,87.77268981933594
2020-10-30,86.28421020507812
2020-11-02,88.05928039550781
2020-11-03,89.46451568603516
2020-11-04,91.13787841796875
2020-11-05,93.09783172607422
2020-11-06,91.87747955322266
2020-11-09,94.28120422363281
2020-11-10,95.21495819091797
2020-11-11,94.13329315185547
2020-11-12,92.83897399902344
2020-11-13,95.10401153564453
2020-11-16,96.85132598876953
2020-11-17,96.1856918334961
2020-11-18,96.30585479736328
2020-11-19,97.32282257080078
2020-11-20,97.06397247314453
2020-11-23,97.07320404052734
2020-11-24,99.54346466064453
2020-11-25,99.00485229492188
2020-11-27,99.53417205810547
2020-11-30,98.25261688232422
2020-12-01,98.75408172607422
2020-12-02,97.49112701416016
2020-12-03,97.06393432617188
2020-12-04,98.30833435058594
2020-12-07,97.73255157470703
2020-12-08,97.64897918701172
2020-12-09,98.96769714355469
2020-12-10,98.86553192138672
2020-12-11,98.42906188964844
2020-12-14,97.97402954101562
2020-12-15,99.71990203857422
2020-12-16,99.75704193115234
2020-12-17,101.02933502197266
2020-12-18,101.94869232177734
2020-12-21,100.88074493408203
2020-12-22,99.73847961425781
2020-12-23,99.1719970703125
2020-12-24,99.86848449707031
2020-12-28,101.94869232177734
2020-12-29,101.64222717285156
2020-12-30,101.69796752929688
2020-12-31,100.81572723388672
2021-01-04,98.27120208740234
2021-01-05,98.2804946899414
2021-01-06,98.81912231445312
2021-01-07,98.06687927246094
2021-01-08,99.50631713867188
2021-01-11,99.98922729492188
2021-01-12,99.98922729492188
2021-01-13,99.50631713867188
2021-01-14,100.09138488769531
2021-01-15,99.0141372680664
2021-01-19,99.72919464111328
2021-01-20,101.6050796508789
