,MDT
2019-11-07,93.02564239501953
2019-11-08,93.22598266601562
2019-11-11,94.0360107421875
2019-11-12,94.61961364746094
2019-11-13,94.95060729980469
2019-11-14,95.12481689453125
2019-11-15,97.60723876953125
2019-11-18,96.90168762207031
2019-11-19,96.74494171142578
2019-11-20,97.3720703125
2019-11-21,96.2397232055664
2019-11-22,96.52716827392578
2019-11-25,97.36334991455078
2019-11-26,96.97138977050781
2019-11-27,97.96436309814453
2019-11-29,97.02365112304688
2019-12-02,96.6055679321289
2019-12-03,96.67523956298828
2019-12-04,97.50271606445312
2019-12-05,97.72916412353516
2019-12-06,98.50440216064453
2019-12-09,96.79718780517578
2019-12-10,96.71878814697266
2019-12-11,97.31108856201172
2019-12-12,97.8859634399414
2019-12-13,98.87895202636719
2019-12-16,99.76737976074219
2019-12-17,99.60189056396484
2019-12-18,99.122802734375
2019-12-19,98.85281372070312
2019-12-20,99.070556640625
2019-12-23,99.20121002197266
2019-12-24,99.0967025756836
2019-12-26,98.52782440185547
2019-12-27,99.20172119140625
2019-12-30,98.83414459228516
2019-12-31,99.28924560546875
2020-01-02,100.26068115234375
2020-01-03,99.66555786132812
2020-01-06,100.54948425292969
2020-01-07,100.19942474365234
2020-01-08,101.95853424072266
2020-01-09,103.61262512207031
2020-01-10,103.8314208984375
2020-01-13,103.2800521850586
2020-01-14,102.43113708496094
2020-01-15,102.68492889404297
2020-01-16,104.02395629882812
2020-01-17,104.1727523803711
2020-01-21,105.30171966552734
2020-01-22,105.97560119628906
2020-01-23,105.87059020996094
2020-01-24,104.3740463256836
2020-01-27,104.3477783203125
2020-01-28,104.30400085449219
2020-01-29,103.59512329101562
2020-01-30,103.402587890625
2020-01-31,101.03083801269531
2020-02-03,103.26256561279297
2020-02-04,105.01293182373047
2020-02-05,105.56428527832031
2020-02-06,106.1594009399414
2020-02-07,104.10272979736328
2020-02-10,104.47904968261719
2020-02-11,104.10272979736328
2020-02-12,101.94978332519531
2020-02-13,102.24735260009766
2020-02-14,102.68492889404297
2020-02-18,98.59783172607422
2020-02-19,99.56927490234375
2020-02-20,99.64805603027344
2020-02-21,99.14044952392578
2020-02-24,97.45137023925781
2020-02-25,94.98335266113281
2020-02-26,92.90040588378906
2020-02-27,88.37574768066406
2020-02-28,88.10443115234375
2020-03-02,89.81102752685547
2020-03-03,87.86811828613281
2020-03-04,90.65995025634766
2020-03-05,87.67559814453125
2020-03-06,86.69538879394531
2020-03-09,80.86669158935547
2020-03-10,84.3323974609375
2020-03-11,80.90170288085938
2020-03-12,73.865234375
2020-03-13,77.7335433959961
2020-03-16,67.76522827148438
2020-03-17,70.19821166992188
2020-03-18,65.2359619140625
2020-03-19,69.3318099975586
2020-03-20,67.79148864746094
2020-03-23,63.81816864013672
2020-03-24,70.32076263427734
2020-03-25,75.983154296875
2020-03-26,80.96769714355469
2020-03-27,79.16233825683594
2020-03-30,81.0645751953125
2020-03-31,79.4177474975586
2020-04-01,74.07213592529297
2020-04-02,75.86869049072266
2020-04-03,75.974365234375
2020-04-06,82.86111450195312
2020-04-07,83.18695831298828
2020-04-08,87.4317398071289
2020-04-09,88.97288513183594
2020-04-13,87.64308166503906
2020-04-14,89.12259674072266
2020-04-15,85.70563507080078
2020-04-16,84.27896881103516
2020-04-17,90.99839782714844
2020-04-20,89.42201232910156
2020-04-21,85.96102905273438
2020-04-22,84.61363220214844
2020-04-23,84.39346313476562
2020-04-24,87.44932556152344
2020-04-27,88.73509216308594
2020-04-28,86.33971405029297
2020-04-29,87.30843353271484
2020-04-30,85.9786376953125
2020-05-01,83.78580474853516
2020-05-04,83.89148712158203
2020-05-05,86.21644592285156
2020-05-06,85.21247100830078
2020-05-07,87.1323013305664
2020-05-08,87.2115707397461
2020-05-11,86.95616912841797
2020-05-12,83.83863067626953
2020-05-13,82.14777374267578
2020-05-14,82.62332916259766
2020-05-15,82.68498229980469
2020-05-18,87.09709930419922
2020-05-19,85.45024871826172
2020-05-20,86.37493896484375
2020-05-21,84.02357482910156
2020-05-22,83.41593170166016
2020-05-26,85.5559310913086
2020-05-27,84.54316711425781
2020-05-28,86.42777252197266
2020-05-29,86.81526947021484
2020-06-01,85.52069854736328
2020-06-02,85.64398956298828
2020-06-03,85.51189422607422
2020-06-04,85.4150161743164
2020-06-05,89.86234283447266
2020-06-08,89.2370834350586
