,TPR
2020-08-19,13.535008430480957
2020-08-20,12.888774871826172
2020-08-21,13.050333976745605
2020-08-24,13.759398460388184
2020-08-25,13.409353256225586
2020-08-26,13.328573226928711
2020-08-27,13.364474296569824
2020-08-28,13.355500221252441
2020-08-31,13.220866203308105
2020-09-01,13.238819122314453
2020-09-02,13.220866203308105
2020-09-03,13.202919006347656
2020-09-04,13.06828498840332
2020-09-08,13.463205337524414
2020-09-09,13.086234092712402
2020-09-10,14.181244850158691
2020-09-11,14.495386123657227
2020-09-14,15.725024223327637
2020-09-15,15.114691734313965
2020-09-16,16.245601654052734
2020-09-17,15.796829223632812
2020-09-18,15.58141803741455
2020-09-21,14.818502426147461
2020-09-22,14.917231559753418
2020-09-23,14.890308380126953
2020-09-24,14.665918350219727
2020-09-25,14.683870315551758
2020-09-28,14.881331443786621
2020-09-29,13.911978721618652
2020-09-30,14.02865982055664
2020-10-01,14.270998001098633
2020-10-02,14.495386123657227
2020-10-05,15.231376647949219
2020-10-06,15.105717658996582
2020-10-07,16.039165496826172
2020-10-08,16.757204055786133
2020-10-09,16.891836166381836
2020-10-12,17.2329044342041
2020-10-13,16.981590270996094
2020-10-14,17.053396224975586
2020-10-15,17.538070678710938
2020-10-16,17.529096603393555
2020-10-19,18.00479507446289
2020-10-20,18.38176155090332
2020-10-21,18.38176155090332
2020-10-22,19.611408233642578
2020-10-23,19.234434127807617
2020-10-26,19.09082794189453
2020-10-27,19.225461959838867
2020-10-28,19.126728057861328
2020-10-29,20.401243209838867
2020-10-30,19.952470779418945
2020-11-02,21.209035873413086
2020-11-03,21.59498405456543
2020-11-04,21.397520065307617
2020-11-05,22.178390502929688
2020-11-06,21.828344345092773
2020-11-09,22.375850677490234
2020-11-10,23.336223602294922
2020-11-11,22.74384307861328
2020-11-12,22.689987182617188
2020-11-13,23.641389846801758
2020-11-16,24.494064331054688
2020-11-17,25.544185638427734
2020-11-18,25.113370895385742
2020-11-19,25.490339279174805
2020-11-20,25.544185638427734
2020-11-23,25.91218376159668
2020-11-24,27.034114837646484
2020-11-25,26.648174285888672
2020-11-27,26.02886199951172
2020-11-30,25.418533325195312
2020-12-01,25.454437255859375
2020-12-02,25.5621395111084
2020-12-03,26.27120590209961
2020-12-04,26.343008041381836
2020-12-07,26.69304847717285
2020-12-08,26.477638244628906
2020-12-09,26.594318389892578
2020-12-10,26.585342407226562
2020-12-11,26.325061798095703
2020-12-14,26.0557918548584
2020-12-15,26.675098419189453
2020-12-16,26.63022232055664
2020-12-17,26.773828506469727
2020-12-18,25.903207778930664
2020-12-21,26.360958099365234
2020-12-22,27.078996658325195
2020-12-23,27.393136978149414
2020-12-24,27.689327239990234
2020-12-28,27.69830322265625
2020-12-29,27.0251407623291
2020-12-30,28.227859497070312
2020-12-31,27.89576530456543
2021-01-04,29.3587646484375
2021-01-05,29.188232421875
2021-01-06,30.80381965637207
2021-01-07,31.29746437072754
2021-01-08,30.723033905029297
2021-01-11,31.019227981567383
2021-01-12,31.719316482543945
2021-01-13,30.54352569580078
2021-01-14,30.570449829101562
2021-01-15,30.17552947998047
2021-01-19,29.924219131469727
2021-01-20,30.238361358642578
2021-01-21,30.29220962524414
2021-01-22,30.81279182434082
2021-01-25,30.310163497924805
2021-01-26,29.430572509765625
2021-01-27,27.473915100097656
2021-01-28,29.05359649658203
2021-01-29,28.38043785095215
2021-02-01,28.586875915527344
2021-02-02,30.0229549407959
2021-02-03,31.055126190185547
2021-02-04,32.4732551574707
2021-02-05,33.702884674072266
2021-02-08,34.420921325683594
2021-02-09,34.420921325683594
2021-02-10,35.14794921875
2021-02-11,35.11204147338867
2021-02-12,34.385032653808594
2021-02-16,35.05819320678711
2021-02-17,34.69020080566406
2021-02-18,34.097816467285156
2021-02-19,35.41720962524414
2021-02-22,36.754554748535156
2021-02-23,36.4763069152832
2021-02-24,37.41873550415039
2021-02-25,38.064971923828125
2021-02-26,37.8226318359375
2021-03-01,37.24819564819336
