,KIM
2021-01-05,12.198138236999512
2021-01-06,12.84994888305664
2021-01-07,12.909205436706543
2021-01-08,13.070038795471191
2021-01-11,12.883810043334961
2021-01-12,13.120831489562988
2021-01-13,13.476361274719238
2021-01-14,13.874220848083496
2021-01-15,13.941941261291504
2021-01-19,13.9927339553833
2021-01-20,14.255146980285645
2021-01-21,14.035056114196777
2021-01-22,14.102776527404785
2021-01-25,14.424449920654297
2021-01-26,14.619145393371582
2021-01-27,14.619145393371582
2021-01-28,14.81383991241455
2021-01-29,13.97580337524414
2021-02-01,13.840361595153809
2021-02-02,13.789570808410645
2021-02-03,13.79803466796875
2021-02-04,14.136637687683105
2021-02-05,14.15356731414795
2021-02-08,14.432913780212402
2021-02-09,14.551423072814941
2021-02-10,14.923887252807617
2021-02-11,15.194771766662598
2021-02-12,15.262492179870605
2021-02-16,14.923887252807617
2021-02-17,15.076255798339844
2021-02-18,15.12704849243164
2021-02-19,14.957746505737305
2021-02-22,15.406399726867676
2021-02-23,15.70267391204834
2021-02-24,16.210573196411133
2021-02-25,15.761927604675293
2021-02-26,15.516436576843262
2021-03-01,15.719600677490234
2021-03-02,15.364068984985352
2021-03-03,15.863509178161621
2021-03-04,15.770393371582031
2021-03-05,16.10053062438965
2021-03-08,16.59150505065918
2021-03-09,16.335330963134766
2021-03-10,16.42926025390625
2021-03-11,16.523191452026367
2021-03-12,16.813522338867188
2021-03-15,16.83913803100586
2021-03-16,16.30971336364746
2021-03-17,16.54880714416504
2021-03-18,16.32678985595703
2021-03-19,16.070615768432617
2021-03-22,15.788825035095215
2021-03-23,15.430180549621582
2021-03-24,15.592424392700195
2021-03-25,16.23285484313965
2021-03-26,16.40363883972168
2021-03-29,16.121849060058594
2021-03-30,16.395105361938477
2021-03-31,16.01084327697754
2021-04-01,16.395105361938477
2021-04-05,16.26701545715332
2021-04-06,16.565889358520508
2021-04-07,16.565889358520508
2021-04-08,16.582963943481445
2021-04-09,16.565889358520508
2021-04-12,16.608585357666016
2021-04-13,16.796443939208984
2021-04-14,16.634201049804688
2021-04-15,17.01845932006836
2021-04-16,16.83913803100586
2021-04-19,16.967222213745117
2021-04-20,16.898910522460938
2021-04-21,17.231937408447266
2021-04-22,17.103849411010742
2021-04-23,17.394182205200195
2021-04-26,17.573503494262695
2021-04-27,17.727205276489258
2021-04-28,17.838212966918945
2021-04-29,18.12000274658203
2021-04-30,17.932146072387695
2021-05-03,17.957759857177734
2021-05-04,18.008996963500977
2021-05-05,17.564960479736328
2021-05-06,17.88090705871582
2021-05-07,18.324941635131836
2021-05-10,18.299325942993164
2021-05-11,18.000455856323242
2021-05-12,17.471033096313477
2021-05-13,17.81259536743164
2021-05-14,18.128543853759766
2021-05-17,18.026079177856445
2021-05-18,17.744281768798828
2021-05-19,17.49665069580078
2021-05-20,17.291711807250977
2021-05-21,17.394182205200195
2021-05-24,17.61619758605957
2021-05-25,17.530807495117188
2021-05-26,17.727205276489258
2021-05-27,17.906526565551758
2021-05-28,18.196855545043945
2021-06-01,18.61527442932129
2021-06-02,18.990997314453125
2021-06-03,18.931222915649414
2021-06-04,18.572574615478516
2021-06-07,18.8543643951416
2021-06-08,19.069501876831055
2021-06-09,19.069501876831055
2021-06-10,18.914608001708984
2021-06-11,19.017868041992188
2021-06-14,18.69086456298828
2021-06-15,18.389678955078125
2021-06-16,18.286415100097656
2021-06-17,17.899173736572266
2021-06-18,17.494718551635742
2021-06-21,18.088489532470703
2021-06-22,17.692644119262695
2021-06-23,17.82172393798828
2021-06-24,17.778697967529297
2021-06-25,18.14012336730957
2021-06-28,17.93359375
2021-06-29,17.899173736572266
2021-06-30,17.94219970703125
2021-07-01,18.14012336730957
2021-07-02,17.97661781311035
2021-07-06,17.787302017211914
2021-07-07,17.864749908447266
2021-07-08,17.641010284423828
2021-07-09,18.251991271972656
2021-07-12,18.432703018188477
2021-07-13,18.045461654663086
2021-07-14,18.40688705444336
2021-07-15,18.234785079956055
2021-07-16,18.17454719543457
2021-07-19,16.840709686279297
2021-07-20,17.93359375
2021-07-21,18.286415100097656
2021-07-22,17.718460083007812
2021-07-23,17.90777587890625
2021-07-26,17.916379928588867
2021-07-27,17.830331802368164
2021-07-28,17.873355865478516
2021-07-29,18.269207000732422
2021-07-30,18.355257034301758
2021-08-02,18.320837020874023
2021-08-03,17.881961822509766
2021-08-04,17.67543601989746
2021-08-05,18.424100875854492
2021-08-06,18.802734375
2021-08-09,18.716678619384766
2021-08-10,18.69947052001953
2021-08-11,19.189977645874023
2021-08-12,18.9060001373291
2021-08-13,18.96623992919922
2021-08-16,18.613418579101562
2021-08-17,18.381072998046875
2021-08-18,18.17454719543457
2021-08-19,18.131515502929688
2021-08-20,18.34665298461914
2021-08-23,18.398283004760742
2021-08-24,18.613418579101562
2021-08-25,18.931814193725586
2021-08-26,18.604816436767578
2021-08-27,18.862974166870117
