,REG
2020-11-13,38.466827392578125
2020-11-16,41.22587585449219
2020-11-17,40.60340881347656
2020-11-18,39.63606262207031
2020-11-19,40.174415588378906
2020-11-20,39.75381851196289
2020-11-23,40.76322937011719
2020-11-24,41.04082489013672
2020-11-25,40.03141403198242
2020-11-27,39.44259262084961
2020-11-30,38.34065628051758
2020-12-01,39.15658950805664
2020-12-02,39.98094177246094
2020-12-03,40.67911911010742
2020-12-04,41.28476333618164
2020-12-07,40.4435920715332
2020-12-08,40.1491813659668
2020-12-09,40.12394332885742
2020-12-10,40.04823684692383
2020-12-11,39.602420806884766
2020-12-14,39.434173583984375
2020-12-15,40.7931022644043
2020-12-16,40.33302307128906
2020-12-17,40.46082305908203
2020-12-18,39.1317253112793
2020-12-21,38.543861389160156
2020-12-22,38.543861389160156
2020-12-23,38.47569274902344
2020-12-24,38.688690185546875
2020-12-28,38.99540710449219
2020-12-29,38.60350036621094
2020-12-30,38.84204864501953
2020-12-31,38.84204864501953
2021-01-04,37.71742630004883
2021-01-05,37.74298858642578
2021-01-06,38.85057067871094
2021-01-07,38.34789276123047
2021-01-08,38.75685119628906
2021-01-11,37.504432678222656
2021-01-12,38.126380920410156
2021-01-13,39.5066032409668
2021-01-14,40.09446334838867
2021-01-15,40.10298538208008
2021-01-19,39.992225646972656
2021-01-20,41.04018020629883
2021-01-21,39.91555404663086
2021-01-22,39.98371124267578
2021-01-25,40.63974380493164
2021-01-26,40.83570098876953
2021-01-27,40.154109954833984
2021-01-28,40.62269973754883
2021-01-29,40.19670867919922
2021-02-01,39.992225646972656
2021-02-02,39.932594299316406
2021-02-03,40.55453872680664
2021-02-04,41.89215850830078
2021-02-05,41.841041564941406
2021-02-08,41.7132453918457
2021-02-09,42.2073974609375
2021-02-10,42.73563003540039
2021-02-11,43.66428756713867
2021-02-12,44.83150863647461
2021-02-16,44.49923324584961
2021-02-17,45.33418273925781
2021-02-18,45.5727424621582
2021-02-19,44.98486328125
2021-02-22,45.84537887573242
2021-02-23,47.04667663574219
2021-02-24,47.966819763183594
2021-02-25,47.07223129272461
2021-02-26,46.67179489135742
2021-03-01,47.1063232421875
2021-03-02,46.14356994628906
2021-03-03,48.27354049682617
2021-03-04,47.94978332519531
2021-03-05,49.14256286621094
2021-03-08,50.4205436706543
2021-03-09,49.88379669189453
2021-03-10,50.820980072021484
2021-03-11,50.25014114379883
2021-03-12,50.90855026245117
2021-03-15,50.75363540649414
2021-03-16,50.30608367919922
2021-03-17,50.047889709472656
2021-03-18,49.42820739746094
2021-03-19,48.24909210205078
2021-03-22,48.171630859375
2021-03-23,47.207679748535156
2021-03-24,47.68104934692383
2021-03-25,49.10114288330078
2021-03-26,49.892967224121094
2021-03-29,48.84295654296875
2021-03-30,49.118370056152344
2021-03-31,48.80852127075195
2021-04-01,49.59173583984375
2021-04-05,49.299102783203125
2021-04-06,49.299102783203125
2021-04-07,50.151161193847656
2021-04-08,49.936004638671875
2021-04-09,50.2286262512207
2021-04-12,50.22002410888672
2021-04-13,50.968807220458984
2021-04-14,50.07370376586914
2021-04-15,50.8913459777832
2021-04-16,51.17536163330078
2021-04-19,51.433563232421875
2021-04-20,51.752010345458984
2021-04-21,53.12908172607422
2021-04-22,53.12047576904297
2021-04-23,53.46473693847656
2021-04-26,53.67990493774414
2021-04-27,54.196311950683594
2021-04-28,53.938106536865234
2021-04-29,54.76435089111328
2021-04-30,54.7901725769043
2021-05-03,55.013946533203125
2021-05-04,54.592220306396484
2021-05-05,53.82622528076172
2021-05-06,54.92787551879883
2021-05-07,56.2533073425293
2021-05-10,56.31355285644531
2021-05-11,55.53034973144531
2021-05-12,53.89508056640625
2021-05-13,54.25655746459961
2021-05-14,54.88484573364258
2021-05-17,54.738529205322266
2021-05-18,54.76435089111328
2021-05-19,54.041385650634766
2021-05-20,54.0069694519043
2021-05-21,54.53196716308594
2021-05-24,54.84181213378906
2021-05-25,54.488929748535156
2021-05-26,55.06558609008789
2021-05-27,55.18608093261719
2021-05-28,55.59919738769531
2021-06-01,57.105369567871094
2021-06-02,58.04349899291992
2021-06-03,57.50126647949219
2021-06-04,56.623390197753906
2021-06-07,57.492671966552734
2021-06-08,58.18120574951172
2021-06-09,58.12957000732422
2021-06-10,58.577117919921875
2021-06-11,58.69761657714844
2021-06-14,58.03340530395508
2021-06-15,57.58191680908203
2021-06-16,56.939422607421875
2021-06-17,56.2795524597168
2021-06-18,54.985870361328125
