,AIZ
2017-03-31,82.02232360839844
2017-04-03,81.45647430419922
2017-04-04,81.41361999511719
2017-04-05,80.89065551757812
2017-04-06,81.26787567138672
2017-04-07,81.18213653564453
2017-04-10,81.3193130493164
2017-04-11,81.62796020507812
2017-04-12,80.27335357666016
2017-04-13,79.45885467529297
2017-04-17,80.7791748046875
2017-04-18,80.24762725830078
2017-04-19,80.56484985351562
2017-04-20,81.5422134399414
2017-04-21,81.19070434570312
2017-04-24,82.40814971923828
2017-04-25,83.09400939941406
2017-04-26,83.17974090576172
2017-04-27,83.26549530029297
2017-04-28,82.51102447509766
2017-05-01,83.376953125
2017-05-02,84.13999938964844
2017-05-03,89.60128021240234
2017-05-04,89.56697082519531
2017-05-05,89.0954360961914
2017-05-08,90.27857971191406
2017-05-09,89.53268432617188
2017-05-10,88.8468017578125
2017-05-11,88.00662231445312
2017-05-12,87.49220275878906
2017-05-15,87.67224884033203
2017-05-16,87.4236068725586
2017-05-17,85.871826171875
2017-05-18,85.11735534667969
2017-05-19,85.33170318603516
2017-05-22,85.38314056396484
2017-05-23,85.2973861694336
2017-05-24,85.22023010253906
2017-05-25,86.58211517333984
2017-05-26,85.57362365722656
2017-05-30,84.94440460205078
2017-05-31,84.45311737060547
2017-06-01,86.32352447509766
2017-06-02,86.3321533203125
2017-06-05,85.40986633300781
2017-06-06,85.32368469238281
2017-06-07,85.08232116699219
2017-06-08,85.5822525024414
2017-06-09,87.64230346679688
2017-06-12,87.31475067138672
2017-06-13,87.68539428710938
2017-06-14,88.20256042480469
2017-06-15,89.22825622558594
2017-06-16,90.05572509765625
2017-06-19,90.27984619140625
2017-06-20,89.624755859375
2017-06-21,88.13361358642578
2017-06-22,86.41834259033203
2017-06-23,87.27165985107422
2017-06-26,89.53856658935547
2017-06-27,89.33171081542969
2017-06-28,90.3315658569336
2017-06-29,89.81436920166016
2017-06-30,89.37480163574219
2017-07-03,90.63323211669922
2017-07-05,90.1160659790039
2017-07-06,89.77127838134766
2017-07-07,90.77977752685547
2017-07-10,90.443603515625
2017-07-11,90.02989196777344
2017-07-12,90.03849029541016
2017-07-13,90.667724609375
2017-07-14,90.18502044677734
2017-07-17,90.51254272460938
2017-07-18,90.1074447631836
2017-07-19,91.29692077636719
2017-07-20,91.11591339111328
2017-07-21,90.85736083984375
2017-07-24,91.36588287353516
2017-07-25,91.59860229492188
2017-07-26,90.62460327148438
