,KMI
2016-03-16,12.018494606018066
2016-03-17,11.986684799194336
2016-03-18,11.91669750213623
2016-03-21,11.681290626525879
2016-03-22,11.770362854003906
2016-03-23,11.293185234069824
2016-03-24,11.50951099395752
2016-03-28,11.331361770629883
2016-03-29,11.229564666748047
2016-03-30,11.363170623779297
2016-03-31,11.363170623779297
2016-04-01,11.0132417678833
2016-04-04,10.936893463134766
2016-04-05,10.822375297546387
2016-04-06,11.19775390625
2016-04-07,11.153212547302246
2016-04-08,11.414072036743164
2016-04-11,11.31863784790039
2016-04-12,11.935781478881836
2016-04-13,11.808538436889648
2016-04-14,11.770362854003906
2016-04-15,11.554045677185059
2016-04-18,11.770362854003906
2016-04-19,12.190281867980957
2016-04-20,12.088481903076172
2016-04-21,11.554045677185059
2016-04-22,11.528594017028809
2016-04-25,11.127766609191895
2016-04-26,11.388623237609863
2016-04-27,11.636754035949707
2016-04-28,11.31324577331543
2016-04-29,11.377306938171387
2016-05-02,11.268401145935059
2016-05-03,11.057000160217285
2016-05-04,10.986532211303711
2016-05-05,10.98012638092041
2016-05-06,10.794347763061523
2016-05-09,10.896846771240234
2016-05-10,11.005749702453613
2016-05-11,10.928874969482422
2016-05-12,10.90965747833252
2016-05-13,10.97371768951416
2016-05-16,11.031371116638184
2016-05-17,11.319650650024414
2016-05-18,10.91606616973877
2016-05-19,11.057000160217285
2016-05-20,11.370898246765137
2016-05-23,11.165904998779297
2016-05-24,11.09543514251709
2016-05-25,11.428557395935059
2016-05-26,11.479804992675781
2016-05-27,11.434958457946777
2016-05-31,11.582304000854492
2016-06-01,11.505426406860352
2016-06-02,11.505426406860352
2016-06-03,11.52464771270752
2016-06-06,11.896203994750977
2016-06-07,11.825736045837402
2016-06-08,11.607926368713379
2016-06-09,11.582304000854492
2016-06-10,11.217151641845703
2016-06-13,11.133872985839844
2016-06-14,11.204341888427734
2016-06-15,11.306839942932129
2016-06-16,11.274808883666992
2016-06-17,11.55667781829834
2016-06-20,11.595112800598145
2016-06-21,12.03713607788086
2016-06-22,11.857767105102539
2016-06-23,12.10760498046875
2016-06-24,11.52464771270752
2016-06-27,11.146683692932129
2016-06-28,11.345273971557617
2016-06-29,11.870576858520508
2016-06-30,11.992294311523438
2016-07-01,11.979484558105469
2016-07-05,11.71683120727539
2016-07-06,11.71683120727539
2016-07-07,11.787300109863281
2016-07-08,11.876986503601074
2016-07-11,12.312602996826172
2016-07-12,12.690566062927246
2016-07-13,12.946810722351074
2016-07-14,13.388834953308105
2016-07-15,13.47211742401123
2016-07-18,13.939766883850098
2016-07-19,14.055074691772461
2016-07-20,14.151165008544922
2016-07-21,13.420868873596191
2016-07-22,13.593830108642578
2016-07-25,13.363210678100586
2016-07-26,13.279928207397461
2016-07-27,12.972434043884277
2016-07-28,13.033670425415039
2016-07-29,13.104575157165527
2016-08-01,12.60824203491211
2016-08-02,12.756497383117676
2016-08-03,12.97566032409668
2016-08-04,12.96921157836914
2016-08-05,13.123913764953613
2016-08-08,13.394644737243652
2016-08-09,13.181929588317871
2016-08-10,13.188370704650879
2016-08-11,13.45910358428955
2016-08-12,13.581575393676758
2016-08-15,13.72983169555664
2016-08-16,14.039238929748535
2016-08-17,14.01990032196045
2016-08-18,14.63870906829834
2016-08-19,14.36153507232666
2016-08-22,14.129480361938477
2016-08-23,14.239060401916504
2016-08-24,14.058573722839355
2016-08-25,13.865194320678711
2016-08-26,13.839410781860352
2016-08-29,14.032792091369629
2016-08-30,14.12303638458252
2016-08-31,14.084358215332031
2016-09-01,13.929658889770508
2016-09-02,14.129480361938477
2016-09-06,14.438885688781738
2016-09-07,14.632264137268066
2016-09-08,14.625818252563477
2016-09-09,14.258398056030273
2016-09-12,14.438885688781738
2016-09-13,14.090808868408203
2016-09-14,13.89098072052002
2016-09-15,13.897424697875977
2016-09-16,13.839410781860352
2016-09-19,14.116584777832031
2016-09-20,14.103694915771484
2016-09-21,14.271292686462402
2016-09-22,14.251951217651367
2016-09-23,14.14237117767334
2016-09-26,14.039238929748535
2016-09-27,14.071466445922852
2016-09-28,14.658045768737793
2016-09-29,14.670934677124023
2016-09-30,14.909433364868164
2016-10-03,14.832086563110352
2016-10-04,14.348644256591797
2016-10-05,14.42599105834961
2016-10-06,14.239060401916504
2016-10-07,13.974775314331055
2016-10-10,13.807180404663086
2016-10-11,13.420428276062012
2016-10-12,13.375306129455566
2016-10-13,13.246387481689453
2016-10-14,13.123913764953613
2016-10-17,13.014331817626953
2016-10-18,13.007885932922363
2016-10-19,13.349518775939941
2016-10-20,13.658929824829102
2016-10-21,13.607361793518066
2016-10-24,13.936100959777832
2016-10-25,13.742724418640137
2016-10-26,13.85230541229248
2016-10-27,13.517115592956543
2016-10-28,13.248005867004395
2016-10-31,13.248005867004395
2016-11-01,13.098862648010254
2016-11-02,12.78111457824707
2016-11-03,12.923778533935547
2016-11-04,12.884867668151855
2016-11-07,13.0794038772583
2016-11-08,13.235036849975586
2016-11-09,13.825133323669434
2016-11-10,13.961313247680664
2016-11-11,13.390668869018555
2016-11-14,13.598174095153809
2016-11-15,14.155847549438477
2016-11-16,13.80567741394043
2016-11-17,13.864041328430176
2016-11-18,14.052096366882324
2016-11-21,14.285540580749512
2016-11-22,14.19475269317627
2016-11-23,14.136390686035156
2016-11-25,14.142878532409668
2016-11-28,13.896467208862305
2016-11-29,13.87701416015625
2016-11-30,14.39577865600586
2016-12-01,13.935373306274414
2016-12-02,13.85107135772705
2016-12-05,13.91591739654541
2016-12-06,13.695442199707031
2016-12-07,13.80567741394043
