,AVY
2015-10-30,54.94758605957031
2015-11-02,55.556514739990234
2015-11-03,55.06598663330078
2015-11-04,54.51625061035156
2015-11-05,54.829193115234375
2015-11-06,55.049068450927734
2015-11-09,55.268978118896484
2015-11-10,54.135677337646484
2015-11-11,55.17593765258789
2015-11-12,53.18001174926758
2015-11-13,52.7486686706543
2015-11-16,53.569034576416016
2015-11-17,53.77201843261719
2015-11-18,55.29433059692383
2015-11-19,55.81869888305664
2015-11-20,55.776405334472656
2015-11-23,55.57344055175781
2015-11-24,55.91172790527344
2015-11-25,55.962486267089844
2015-11-27,55.962486267089844
2015-11-30,56.09854507446289
2015-12-01,56.28565216064453
2015-12-02,55.54573059082031
2015-12-03,54.43159484863281
2015-12-04,55.75835037231445
2015-12-07,55.35861587524414
2015-12-08,54.627201080322266
2015-12-09,54.1083984375
2015-12-10,54.17644119262695
2015-12-11,53.53007125854492
2015-12-14,53.42802047729492
2015-12-15,53.83624267578125
2015-12-16,54.90785598754883
2015-12-17,53.640621185302734
2015-12-18,52.7816276550293
2015-12-21,53.49604034423828
2015-12-22,53.640621185302734
2015-12-23,54.38056564331055
2015-12-24,54.48262023925781
2015-12-28,54.4230842590332
2015-12-29,54.0828857421875
2015-12-30,53.870262145996094
2015-12-31,53.291934967041016
2016-01-04,52.050209045410156
2016-01-05,52.449928283691406
2016-01-06,51.837581634521484
2016-01-07,50.28117370605469
2016-01-08,50.765953063964844
2016-01-11,50.782962799072266
2016-01-12,50.94456100463867
2016-01-13,49.8984489440918
2016-01-14,50.970069885253906
2016-01-15,50.128089904785156
2016-01-19,50.15360641479492
2016-01-20,50.196109771728516
2016-01-21,50.08556365966797
2016-01-22,51.65898132324219
2016-01-25,49.46470642089844
2016-01-26,50.69791793823242
2016-01-27,50.77446365356445
2016-01-28,50.47678756713867
2016-01-29,51.78654861450195
2016-02-01,51.9056282043457
2016-02-02,50.910545349121094
2016-02-03,54.2104606628418
2016-02-04,54.746273040771484
2016-02-05,53.751190185546875
2016-02-08,52.16077423095703
2016-02-09,53.48754119873047
2016-02-10,53.615116119384766
2016-02-11,52.96873474121094
2016-02-12,54.41457748413086
2016-02-16,55.13750457763672
2016-02-17,54.601680755615234
2016-02-18,54.584678649902344
2016-02-19,54.93337631225586
2016-02-22,55.30759048461914
2016-02-23,54.4230842590332
2016-02-24,55.094966888427734
2016-02-25,56.33668899536133
2016-02-26,56.51529312133789
2016-02-29,55.694252014160156
2016-03-01,57.122528076171875
2016-03-02,57.6870002746582
2016-03-03,58.36265182495117
2016-03-04,58.03764724731445
2016-03-07,58.10607147216797
2016-03-08,58.311344146728516
2016-03-09,59.098175048828125
2016-03-10,59.551448822021484
2016-03-11,59.73961639404297
2016-03-14,59.2093505859375
2016-03-15,59.02119064331055
2016-03-16,59.18369674682617
2016-03-17,59.696861267089844
2016-03-18,60.26129913330078
2016-03-21,60.697505950927734
2016-03-22,61.09946060180664
2016-03-23,61.022483825683594
2016-03-24,60.71460723876953
2016-03-28,60.954071044921875
2016-03-29,61.94618225097656
2016-03-30,61.92051315307617
2016-03-31,61.6724967956543
2016-04-01,62.313926696777344
2016-04-04,62.279727935791016
2016-04-05,61.62971115112305
2016-04-06,62.45076370239258
2016-04-07,61.21066665649414
2016-04-08,61.33894348144531
2016-04-11,61.031044006347656
2016-04-12,61.24483871459961
2016-04-13,61.843544006347656
2016-04-14,61.586952209472656
2016-04-15,62.0829963684082
2016-04-18,62.767208099365234
2016-04-19,62.767208099365234
2016-04-20,62.45076370239258
2016-04-21,62.27116775512695
2016-04-22,62.87837600708008
2016-04-25,62.25405502319336
2016-04-26,62.21128845214844
2016-04-27,63.69089889526367
2016-04-28,62.8099479675293
2016-04-29,62.100101470947266
2016-05-02,63.588253021240234
2016-05-03,64.2895736694336
2016-05-04,63.27181625366211
2016-05-05,63.340232849121094
2016-05-06,64.03299713134766
2016-05-09,64.30667114257812
2016-05-10,65.38429260253906
2016-05-11,64.82838439941406
2016-05-12,65.31584930419922
2016-05-13,64.6402359008789
2016-05-16,65.63233184814453
2016-05-17,64.41787719726562
2016-05-18,63.66522979736328
2016-05-19,63.819190979003906
2016-05-20,62.69879150390625
2016-05-23,62.81852340698242
2016-05-24,63.71653366088867
2016-05-25,64.06719207763672
2016-05-26,63.6053581237793
2016-05-27,64.21598052978516
2016-05-31,63.96654510498047
2016-06-01,63.777366638183594
2016-06-02,64.74055480957031
2016-06-03,65.1447525024414
2016-06-06,65.35977172851562
2016-06-07,65.376953125
2016-06-08,65.75534057617188
2016-06-09,65.8499526977539
2016-06-10,66.3143539428711
2016-06-13,65.11033630371094
2016-06-14,65.25653839111328
2016-06-15,65.06736755371094
2016-06-16,65.26515197753906
2016-06-17,64.53416442871094
2016-06-20,65.54896545410156
2016-06-21,65.64354705810547
2016-06-22,65.66936492919922
2016-06-23,66.32295227050781
2016-06-24,63.31295394897461
2016-06-27,61.15435791015625
2016-06-28,61.919761657714844
2016-06-29,62.62497329711914
2016-06-30,64.28473663330078
2016-07-01,62.452972412109375
2016-07-05,61.17156982421875
2016-07-06,61.764984130859375
2016-07-07,62.06596755981445
2016-07-08,63.03773498535156
2016-07-11,62.77116012573242
2016-07-12,62.74537658691406
2016-07-13,62.9345703125
2016-07-14,63.089359283447266
2016-07-15,63.235565185546875
2016-07-18,63.47635269165039
2016-07-19,62.702369689941406
2016-07-20,63.14957046508789
2016-07-21,62.2293701171875
2016-07-22,62.43574905395508
2016-07-25,62.14337158203125
2016-07-26,65.67793273925781
2016-07-27,67.55274963378906
2016-07-28,67.20875549316406
2016-07-29,66.98516082763672
2016-08-01,67.20875549316406
2016-08-02,66.95073699951172
2016-08-03,66.42613983154297
2016-08-04,66.55513000488281
2016-08-05,67.47532653808594
2016-08-08,67.69895935058594
2016-08-09,67.70755004882812
2016-08-10,67.67315673828125
2016-08-11,67.3377456665039
2016-08-12,67.24317169189453
2016-08-15,67.22594451904297
2016-08-16,66.47774505615234
2016-08-17,66.46916198730469
2016-08-18,66.17674255371094
2016-08-19,66.60676574707031
2016-08-22,66.35736083984375
2016-08-23,67.21735382080078
2016-08-24,66.53794860839844
2016-08-25,66.99375915527344
2016-08-26,66.15956115722656
2016-08-29,66.53794860839844
2016-08-30,66.64977264404297
2016-08-31,66.59812927246094
2016-09-01,66.51216125488281
2016-09-02,67.55829620361328
2016-09-06,67.53233337402344
2016-09-07,67.72257232666016
2016-09-08,67.10870361328125
2016-09-09,65.12883758544922
2016-09-12,65.95882415771484
2016-09-13,65.37089538574219
2016-09-14,65.29309844970703
2016-09-15,66.43431854248047
2016-09-16,66.06258392333984
2016-09-19,66.96173858642578
2016-09-20,67.10870361328125
2016-09-21,67.56695556640625
2016-09-22,68.16346740722656
2016-09-23,67.65338897705078
2016-09-26,66.97039794921875
2016-09-27,67.24703979492188
2016-09-28,67.70527648925781
2016-09-29,66.61591339111328
2016-09-30,67.25569915771484
2016-10-03,67.47183990478516
2016-10-04,65.491943359375
2016-10-05,65.7513198852539
2016-10-06,66.7455825805664
2016-10-07,66.05391693115234
2016-10-10,65.8896484375
2016-10-11,65.32767486572266
2016-10-12,65.77725982666016
2016-10-13,65.46601104736328
2016-10-14,66.0971450805664
2016-10-17,66.1490478515625
2016-10-18,66.08850860595703
2016-10-19,66.27008056640625
2016-10-20,65.64756774902344
2016-10-21,65.27581024169922
2016-10-24,65.62165069580078
2016-10-25,65.50923919677734
2016-10-26,61.35060119628906
2016-10-27,60.83186340332031
2016-10-28,59.31886291503906
2016-10-31,60.33903503417969
2016-11-01,59.82029724121094
2016-11-02,59.64738464355469
2016-11-03,60.909671783447266
2016-11-04,61.1085319519043
2016-11-07,61.912567138671875
2016-11-08,61.60996627807617
2016-11-09,61.419776916503906
2016-11-10,60.7627067565918
2016-11-11,60.131553649902344
2016-11-14,61.1690559387207
2016-11-15,61.53217697143555
2016-11-16,61.71372604370117
2016-11-17,62.19789505004883
2016-11-18,61.02207946777344
2016-11-21,60.736751556396484
2016-11-22,61.973106384277344
2016-11-23,61.57539749145508
2016-11-25,61.9990348815918
2016-11-28,62.74258041381836
2016-11-29,63.07112121582031
2016-11-30,62.3016471862793
2016-12-01,61.54082489013672
2016-12-02,62.007694244384766
2016-12-05,63.22504806518555
2016-12-06,63.65982437133789
2016-12-07,63.746795654296875
2016-12-08,64.06853485107422
2016-12-09,63.14680480957031
2016-12-12,63.22504806518555
2016-12-13,63.0859375
2016-12-14,62.41635513305664
2016-12-15,62.3729133605957
2016-12-16,62.555511474609375
2016-12-19,61.981605529785156
2016-12-20,62.190284729003906
2016-12-21,62.23377227783203
2016-12-22,62.05986022949219
2016-12-23,62.112030029296875
2016-12-27,62.33811950683594
2016-12-28,61.55551528930664
2016-12-29,61.407711029052734
2016-12-30,61.059898376464844
2017-01-03,60.99031448364258
2017-01-04,62.72941589355469
2017-01-05,62.112030029296875
2017-01-06,62.95549392700195
2017-01-09,63.09463882446289
2017-01-10,63.24245834350586
2017-01-11,63.216365814208984
2017-01-12,62.720733642578125
2017-01-13,62.73810958862305
2017-01-17,62.99898147583008
2017-01-18,63.62507247924805
2017-01-19,63.033756256103516
2017-01-20,62.96418762207031
2017-01-23,63.3815803527832
2017-01-24,64.198974609375
2017-01-25,64.77286529541016
2017-01-26,63.77287673950195
2017-01-27,64.14676666259766
2017-01-30,63.39897918701172
2017-01-31,63.49459457397461
2017-02-01,69.259765625
2017-02-02,69.57279205322266
2017-02-03,68.7380142211914
2017-02-06,69.13801574707031
2017-02-07,68.8162612915039
2017-02-08,69.05106353759766
2017-02-09,68.60759735107422
2017-02-10,68.92932891845703
2017-02-13,69.08583068847656
2017-02-14,68.94672393798828
2017-02-15,69.16409301757812
2017-02-16,69.70320892333984
2017-02-17,69.05106353759766
2017-02-21,69.86846160888672
2017-02-22,69.39889526367188
2017-02-23,70.12928771972656
2017-02-24,69.78146362304688
2017-02-27,70.53313446044922
2017-02-28,70.5418701171875
2017-03-01,71.53823852539062
2017-03-02,71.46833801269531
2017-03-03,71.45958709716797
2017-03-06,70.91768646240234
2017-03-07,70.27091217041016
2017-03-08,69.89511108398438
2017-03-09,69.8251724243164
2017-03-10,70.35834503173828
2017-03-13,70.18353271484375
2017-03-14,69.81643676757812
2017-03-15,70.41951751708984
2017-03-16,69.72904205322266
2017-03-17,70.26219177246094
2017-03-20,69.72904205322266
2017-03-21,68.87248992919922
2017-03-22,68.9686279296875
2017-03-23,69.63288879394531
2017-03-24,69.58042907714844
2017-03-27,69.58042907714844
2017-03-28,70.27091217041016
2017-03-29,70.2184829711914
2017-03-30,70.34083557128906
2017-03-31,70.44572448730469
2017-04-03,70.76912689208984
2017-04-04,70.49817657470703
2017-04-05,69.99124908447266
2017-04-06,69.79020690917969
2017-04-07,69.51927947998047
2017-04-10,69.7727279663086
2017-04-11,69.63288879394531
2017-04-12,69.60667419433594
2017-04-13,69.4668197631836
2017-04-17,70.17475891113281
2017-04-18,70.5680923461914
2017-04-19,71.21485900878906
2017-04-20,71.84416198730469
2017-04-21,71.39842987060547
2017-04-24,72.05392456054688
2017-04-25,72.02770233154297
2017-04-26,72.7181625366211
2017-04-27,73.01531219482422
2017-04-28,72.72689056396484
2017-05-01,73.06776428222656
2017-05-02,72.93667602539062
2017-05-03,72.84053802490234
2017-05-04,73.1551742553711
2017-05-05,73.56597900390625
2017-05-08,73.2076187133789
2017-05-09,72.55210876464844
2017-05-10,73.01531219482422
2017-05-11,73.05902099609375
2017-05-12,72.84928131103516
2017-05-15,73.56597900390625
2017-05-16,73.68830108642578
2017-05-17,72.22872161865234
2017-05-18,72.10635375976562
2017-05-19,72.33361053466797
2017-05-22,72.70943450927734
2017-05-23,72.36856079101562
2017-05-24,72.38603973388672
2017-05-25,73.26879119873047
2017-05-26,73.67082977294922
2017-05-30,73.78447723388672
2017-05-31,73.64464569091797
2017-06-01,74.9469223022461
2017-06-02,74.0728988647461
2017-06-05,73.92350006103516
2017-06-06,73.55445861816406
2017-06-07,73.44902038574219
2017-06-08,73.1766357421875
2017-06-09,73.88836669921875
2017-06-12,74.20470428466797
2017-06-13,75.1097412109375
2017-06-14,75.08338928222656
2017-06-15,75.17124938964844
2017-06-16,75.25912475585938
2017-06-19,76.15538787841797
2017-06-20,77.25372314453125
2017-06-21,77.0867919921875
2017-06-22,76.92861938476562
2017-06-23,77.36796569824219
2017-06-26,77.47340393066406
2017-06-27,77.38551330566406
2017-06-28,78.0093994140625
2017-06-29,77.4470443725586
2017-06-30,77.64912414550781
2017-07-03,78.08846282958984
2017-07-05,78.04454040527344
2017-07-06,78.36087036132812
2017-07-07,79.76673889160156
2017-07-10,80.33788299560547
2017-07-11,80.61908721923828
2017-07-12,81.91073608398438
2017-07-13,81.78772735595703
2017-07-14,82.61369323730469
2017-07-17,82.57854461669922
2017-07-18,82.06892395019531
2017-07-19,82.65763854980469
2017-07-20,82.64884948730469
2017-07-21,82.49945068359375
2017-07-24,82.56095886230469
2017-07-25,80.19731140136719
2017-07-26,81.13751220703125
2017-07-27,80.6805648803711
2017-07-28,80.8651123046875
2017-07-31,81.65595245361328
2017-08-01,82.10405731201172
2017-08-02,82.66641235351562
2017-08-03,81.95467376708984
2017-08-04,81.76136016845703
2017-08-07,82.1919174194336
2017-08-08,82.06892395019531
2017-08-09,81.62077331542969
2017-08-10,80.7772445678711
2017-08-11,81.73500061035156
2017-08-14,82.31491088867188
2017-08-15,82.1743392944336
2017-08-16,83.16726684570312
2017-08-17,81.85801696777344
2017-08-18,81.75257110595703
2017-08-21,81.55049133300781
2017-08-22,81.88436889648438
2017-08-23,81.75257110595703
2017-08-24,81.6822738647461
2017-08-25,82.30615234375
2017-08-28,81.98103332519531
2017-08-29,82.11284637451172
2017-08-30,82.62247467041016
2017-08-31,82.8246078491211
2017-09-01,83.8840560913086
2017-09-05,83.69864654541016
2017-09-06,82.18888092041016
2017-09-07,81.8180923461914
2017-09-08,82.27716827392578
2017-09-11,83.15125274658203
2017-09-12,84.0782699584961
2017-09-13,83.8840560913086
2017-09-14,84.54622650146484
2017-09-15,85.4909439086914
2017-09-18,87.32735443115234
2017-09-19,86.96536254882812
2017-09-20,87.30085754394531
2017-09-21,87.24787139892578
2017-09-22,87.19490814208984
2017-09-25,87.3096694946289
