,RMD
2022-10-20,212.89268493652344
2022-10-21,217.65150451660156
2022-10-24,220.9317626953125
2022-10-25,225.191162109375
2022-10-26,229.09808349609375
2022-10-27,227.4530487060547
2022-10-28,214.17543029785156
2022-10-31,219.0321502685547
2022-11-01,216.27085876464844
2022-11-02,213.4606170654297
2022-11-03,204.5892791748047
2022-11-04,206.49867248535156
2022-11-07,208.21224975585938
2022-11-08,209.0641326904297
2022-11-09,207.97499084472656
2022-11-10,220.9464569091797
2022-11-11,218.8368377685547
2022-11-14,216.72727966308594
2022-11-15,219.4255828857422
2022-11-16,220.35772705078125
2022-11-17,214.86297607421875
2022-11-18,220.1810760498047
2022-11-21,220.97586059570312
2022-11-22,225.3422088623047
2022-11-23,225.02822875976562
2022-11-25,225.59732055664062
2022-11-28,221.29966735839844
2022-11-29,219.003662109375
2022-11-30,225.8720703125
2022-12-01,225.02822875976562
2022-12-02,228.5213165283203
2022-12-05,215.22608947753906
2022-12-06,213.63650512695312
2022-12-07,218.00282287597656
2022-12-08,218.3168182373047
2022-12-09,215.54981994628906
2022-12-12,216.74688720703125
2022-12-13,219.49424743652344
2022-12-14,216.70765686035156
2022-12-15,210.99703979492188
2022-12-16,205.8555908203125
2022-12-19,205.2178192138672
2022-12-20,204.9823455810547
2022-12-21,206.189208984375
2022-12-22,205.20799255371094
2022-12-23,204.4034423828125
2022-12-27,203.0002899169922
2022-12-28,201.90135192871094
2022-12-29,205.43368530273438
2022-12-30,204.2169952392578
2023-01-03,205.17857360839844
2023-01-04,206.93490600585938
2023-01-05,201.2145233154297
2023-01-06,204.96270751953125
2023-01-09,205.7476806640625
2023-01-10,208.68145751953125
2023-01-11,210.49667358398438
2023-01-12,209.9766387939453
2023-01-13,213.99957275390625
2023-01-17,221.1427001953125
2023-01-18,221.72158813476562
2023-01-19,224.9889678955078
2023-01-20,230.31686401367188
2023-01-23,232.0830535888672
2023-01-24,229.22776794433594
2023-01-25,226.8140106201172
2023-01-26,227.80503845214844
2023-01-27,220.36752319335938
2023-01-30,218.52288818359375
2023-01-31,224.07647705078125
2023-02-01,224.71426391601562
2023-02-02,222.3495635986328
2023-02-03,220.3773651123047
2023-02-06,217.29638671875
2023-02-07,220.2301483154297
2023-02-08,217.23162841796875
2023-02-09,211.4803466796875
2023-02-10,209.53375244140625
2023-02-13,211.57864379882812
2023-02-14,210.31040954589844
2023-02-15,211.2542266845703
2023-02-16,210.3005828857422
2023-02-17,212.49295043945312
2023-02-21,211.6474609375
2023-02-22,210.37925720214844
2023-02-23,211.3721923828125
2023-02-24,207.9607391357422
2023-02-27,208.31466674804688
2023-02-28,209.4059295654297
2023-03-01,210.49722290039062
2023-03-02,212.0407257080078
2023-03-03,216.10101318359375
2023-03-06,215.46200561523438
2023-03-07,211.4016876220703
2023-03-08,211.00845336914062
2023-03-09,208.540771484375
