,PAYX
2021-03-17,88.37051391601562
2021-03-18,87.74817657470703
2021-03-19,86.44039154052734
2021-03-22,87.1078109741211
2021-03-23,86.71997833251953
2021-03-24,87.45054626464844
2021-03-25,88.66813659667969
2021-03-26,90.9319839477539
2021-03-29,90.44493865966797
2021-03-30,89.49790954589844
2021-03-31,88.4065933227539
2021-04-01,89.07400512695312
2021-04-05,90.51709747314453
2021-04-06,86.06158447265625
2021-04-07,85.51141357421875
2021-04-08,86.62077331542969
2021-04-09,86.90939331054688
2021-04-12,86.44940948486328
2021-04-13,86.8372573852539
2021-04-14,87.26114654541016
2021-04-15,86.86429595947266
2021-04-16,87.93759155273438
2021-04-19,86.97252655029297
2021-04-20,87.94660949707031
2021-04-21,88.58697509765625
2021-04-22,88.64107513427734
2021-04-23,89.49790954589844
2021-04-26,89.15518188476562
2021-04-27,89.39871215820312
2021-04-28,88.25325775146484
2021-04-29,89.60614776611328
2021-04-30,87.92855834960938
2021-05-03,89.3445816040039
2021-05-04,90.89588928222656
2021-05-05,90.53512573242188
2021-05-06,91.6264419555664
2021-05-07,91.10335540771484
2021-05-10,90.58924102783203
2021-05-11,89.90833282470703
2021-05-12,87.46610260009766
2021-05-13,89.45437622070312
2021-05-14,90.88885498046875
2021-05-17,90.65279388427734
2021-05-18,89.97188568115234
2021-05-19,89.78121948242188
2021-05-20,91.35187530517578
2021-05-21,91.46990966796875
2021-05-24,92.50489807128906
2021-05-25,91.7785873413086
2021-05-26,91.32462310791016
2021-05-27,91.58792114257812
2021-05-28,91.82398223876953
2021-06-01,91.68778228759766
2021-06-02,92.49581146240234
2021-06-03,92.4776611328125
2021-06-04,93.11316680908203
2021-06-07,92.3777847290039
2021-06-08,93.53988647460938
2021-06-09,94.03923797607422
2021-06-10,95.13776397705078
2021-06-11,95.32842254638672
2021-06-14,94.86540222167969
2021-06-15,94.7292251586914
2021-06-16,94.25712585449219
2021-06-17,94.63845825195312
2021-06-18,92.6229248046875
2021-06-21,94.11186981201172
2021-06-22,94.0846176147461
2021-06-23,93.92119598388672
2021-06-24,94.67475891113281
2021-06-25,95.88223266601562
2021-06-28,97.0625
2021-06-29,97.63446044921875
2021-06-30,97.41658782958984
2021-07-01,98.47882080078125
2021-07-02,98.71485900878906
2021-07-06,98.56959533691406
2021-07-07,99.69536590576172
2021-07-08,100.06761169433594
2021-07-09,101.59285736083984
2021-07-12,101.38404846191406
2021-07-13,101.34773254394531
2021-07-14,101.9832763671875
2021-07-15,102.29194641113281
2021-07-16,101.54747009277344
2021-07-19,99.33222961425781
2021-07-20,100.2854995727539
2021-07-21,101.12985229492188
2021-07-22,100.72129821777344
2021-07-23,101.91062927246094
2021-07-26,102.30103302001953
2021-07-27,102.79129028320312
2021-07-28,102.38273620605469
2021-07-29,103.16350555419922
2021-07-30,103.93973541259766
2021-08-02,103.41007995605469
2021-08-03,104.83466339111328
2021-08-04,104.34154510498047
2021-08-05,105.29127502441406
2021-08-06,105.3917236328125
2021-08-09,105.18167877197266
2021-08-10,105.81179809570312
2021-08-11,106.62454223632812
2021-08-12,106.39624786376953
2021-08-13,106.99893951416016
2021-08-16,107.9303970336914
2021-08-17,106.88021850585938
2021-08-18,104.75247192382812
2021-08-19,105.25475311279297
2021-08-20,105.4008560180664
2021-08-23,105.44651794433594
2021-08-24,104.36893463134766
2021-08-25,104.31414794921875
2021-08-26,103.54705810546875
2021-08-27,104.4420166015625
2021-08-30,104.5789794921875
2021-08-31,104.53330993652344
2021-09-01,103.7571029663086
2021-09-02,103.8484115600586
2021-09-03,103.73882293701172
2021-09-07,101.62935638427734
2021-09-08,102.35991668701172
2021-09-09,101.65675354003906
2021-09-10,100.72530364990234
2021-09-13,99.9490737915039
2021-09-14,100.14085388183594
2021-09-15,100.18650817871094
2021-09-16,99.87603759765625
2021-09-17,99.33724212646484
2021-09-20,98.97195434570312
2021-09-21,99.08155822753906
2021-09-22,99.87603759765625
2021-09-23,100.73442840576172
2021-09-24,100.43307495117188
2021-09-27,99.3281021118164
2021-09-28,97.46520233154297
2021-09-29,98.48795318603516
2021-09-30,102.68866729736328
2021-10-01,105.15428161621094
2021-10-04,105.02643585205078
2021-10-05,106.6884536743164
2021-10-06,107.79341125488281
2021-10-07,108.34133911132812
2021-10-08,108.36873626708984
2021-10-11,107.1541748046875
2021-10-12,107.14505004882812
2021-10-13,107.26376342773438
2021-10-14,108.44178009033203
2021-10-15,108.80706787109375
2021-10-18,109.68372344970703
2021-10-19,111.23615264892578
2021-10-20,111.30921173095703
2021-10-21,111.75668334960938
2021-10-22,113.02603149414062
2021-10-25,112.48722839355469
2021-10-26,112.80685424804688
2021-10-27,111.84800720214844
2021-10-28,112.65161895751953
2021-10-29,113.1841049194336
2021-11-01,111.64167785644531
2021-11-02,113.32182312011719
2021-11-03,113.34017944335938
2021-11-04,113.60643005371094
2021-11-05,114.42354583740234
2021-11-08,113.10147857666016
2021-11-09,112.89949798583984
2021-11-10,113.02802276611328
2021-11-11,113.29428100585938
2021-11-12,114.39600372314453
2021-11-15,114.28583526611328
2021-11-16,114.80915832519531
2021-11-17,115.54364776611328
2021-11-18,115.23149108886719
2021-11-19,114.75406646728516
2021-11-22,114.19400787353516
2021-11-23,115.19474792480469
2021-11-24,114.8366928100586
2021-11-26,112.42208099365234
2021-11-29,113.59725952148438
2021-11-30,109.438232421875
2021-12-01,108.15290069580078
2021-12-02,110.7695083618164
2021-12-03,109.98908233642578
2021-12-06,111.94467163085938
2021-12-07,113.04638671875
2021-12-08,112.96377563476562
2021-12-09,112.30272674560547
2021-12-10,114.07466125488281
2021-12-13,114.21238708496094
2021-12-14,112.40371704101562
2021-12-15,115.02030944824219
2021-12-16,114.44190979003906
2021-12-17,113.744140625
2021-12-20,113.66151428222656
2021-12-21,116.0761489868164
2021-12-22,122.48453521728516
2021-12-23,123.24654388427734
2021-12-27,124.5318832397461
2021-12-28,124.7247085571289
2021-12-29,126.12940216064453
2021-12-30,125.27555084228516
2021-12-31,125.32145690917969
2022-01-03,123.49443054199219
2022-01-04,123.25572967529297
2022-01-05,120.90538024902344
2022-01-06,120.0882568359375
2022-01-07,118.28878021240234
2022-01-10,116.2138442993164
2022-01-11,118.22451782226562
2022-01-12,117.77462768554688
2022-01-13,116.2597427368164
2022-01-14,114.76325225830078
2022-01-18,112.95458221435547
2022-01-19,111.3387222290039
2022-01-20,111.08165740966797
2022-01-21,108.9516372680664
2022-01-24,110.25535583496094
2022-01-25,109.04344177246094
2022-01-26,104.26930236816406
2022-01-27,102.46063232421875
2022-01-28,106.51509857177734
2022-01-31,108.75936126708984
2022-02-01,109.07337188720703
2022-02-02,110.92974090576172
2022-02-03,109.7752914428711
2022-02-04,110.74503326416016
2022-02-07,110.8004379272461
2022-02-08,111.77019500732422
2022-02-09,114.63325500488281
2022-02-10,111.16987609863281
2022-02-11,109.82146453857422
2022-02-14,109.4243392944336
2022-02-15,110.92974090576172
2022-02-16,110.84662628173828
2022-02-17,107.45713806152344
2022-02-18,106.9861068725586
2022-02-22,106.75521850585938
2022-02-23,104.92655944824219
2022-02-24,106.93993377685547
2022-02-25,109.57210540771484
2022-02-28,109.95999908447266
2022-03-01,108.5654296875
2022-03-02,111.1791000366211
2022-03-03,111.21604919433594
2022-03-04,114.13452911376953
2022-03-07,113.053955078125
2022-03-08,109.37814331054688
2022-03-09,112.95236206054688
2022-03-10,112.85078430175781
2022-03-11,111.37306213378906
2022-03-14,110.7265625
2022-03-15,112.5090560913086
2022-03-16,115.03038787841797
2022-03-17,116.01860809326172
2022-03-18,118.33676147460938
2022-03-21,116.97911834716797
2022-03-22,117.70873260498047
2022-03-23,115.79695129394531
2022-03-24,117.97655487060547
2022-03-25,118.8724365234375
2022-03-28,119.94377136230469
2022-03-29,122.40044403076172
2022-03-30,126.42720794677734
2022-03-31,126.0393295288086
2022-04-01,128.25587463378906
2022-04-04,128.6622314453125
2022-04-05,128.60684204101562
2022-04-06,130.43553161621094
2022-04-07,129.1517333984375
2022-04-08,128.64376831054688
2022-04-11,126.38104248046875
2022-04-12,126.15013885498047
2022-04-13,127.35079193115234
2022-04-14,126.24251556396484
2022-04-18,125.37435150146484
2022-04-19,126.95366668701172
2022-04-20,128.95782470703125
2022-04-21,127.7479019165039
2022-04-22,121.31065368652344
2022-04-25,122.141845703125
2022-04-26,119.61126708984375
2022-04-27,120.70108032226562
2022-04-28,122.28038787841797
2022-04-29,117.04376983642578
2022-05-02,117.89344024658203
2022-05-03,118.72466278076172
2022-05-04,122.34505462646484
2022-05-05,115.06732940673828
2022-05-06,114.67021942138672
2022-05-09,111.0775146484375
2022-05-10,110.94821166992188
2022-05-11,109.90696716308594
2022-05-12,109.63736724853516
2022-05-13,111.27361297607422
2022-05-16,111.61759185791016
2022-05-17,113.06790161132812
2022-05-18,109.18182373046875
2022-05-19,107.69432067871094
2022-05-20,109.07955169677734
2022-05-23,109.89767456054688
2022-05-24,109.55369567871094
2022-05-25,109.69314575195312
2022-05-26,112.67743682861328
2022-05-27,115.35491180419922
2022-05-31,115.12248992919922
2022-06-01,113.66288757324219
2022-06-02,117.0934066772461
2022-06-03,116.96326446533203
2022-06-06,117.07481384277344
2022-06-07,117.837158203125
2022-06-08,116.76802062988281
2022-06-09,113.9789810180664
2022-06-10,112.14750671386719
2022-06-13,108.96798706054688
2022-06-14,109.209716796875
2022-06-15,109.65596008300781
2022-06-16,105.80706024169922
2022-06-17,105.05403137207031
2022-06-21,108.10338592529297
2022-06-22,107.49909973144531
2022-06-23,109.06095886230469
2022-06-24,113.82093811035156
2022-06-27,114.03475952148438
2022-06-28,111.45024871826172
2022-06-29,106.7739486694336
2022-06-30,105.86285400390625
2022-07-01,108.17777252197266
2022-07-05,107.44332122802734
2022-07-06,108.744873046875
2022-07-07,108.32649993896484
2022-07-08,108.58683013916016
2022-07-11,108.04761505126953
2022-07-12,106.7739486694336
2022-07-13,105.37010955810547
2022-07-14,105.18419647216797
2022-07-15,106.91340637207031
2022-07-18,106.5322265625
2022-07-19,110.79016876220703
2022-07-20,111.84071350097656
2022-07-21,113.46766662597656
2022-07-22,113.83023071289062
2022-07-25,112.97491455078125
2022-07-26,112.70531463623047
2022-07-27,116.59138488769531
2022-07-28,119.25028228759766
2022-07-29,119.25956726074219
2022-08-01,117.67910766601562
2022-08-02,117.4745864868164
2022-08-03,119.90106201171875
2022-08-04,119.52919006347656
2022-08-05,120.44026947021484
2022-08-08,121.6953353881836
2022-08-09,121.6953353881836
2022-08-10,124.24878692626953
2022-08-11,123.5285873413086
2022-08-12,126.83963775634766
2022-08-15,129.21536254882812
2022-08-16,129.36502075195312
2022-08-17,129.6549530029297
2022-08-18,130.16004943847656
2022-08-19,129.5333709716797
2022-08-22,127.14830017089844
2022-08-23,126.26908111572266
2022-08-24,126.34391784667969
2022-08-25,125.38987731933594
2022-08-26,120.4700698852539
2022-08-29,118.88934326171875
2022-08-30,116.19561767578125
2022-08-31,115.36316680908203
2022-09-01,116.21431732177734
2022-09-02,113.08097839355469
2022-09-06,113.74506378173828
2022-09-07,115.88695526123047
2022-09-08,117.1309585571289
2022-09-09,118.62747955322266
2022-09-12,119.09513092041016
2022-09-13,114.18466186523438
2022-09-14,113.31480407714844
2022-09-15,111.26644897460938
2022-09-16,112.36077880859375
2022-09-19,113.63282012939453
2022-09-20,112.27660369873047
2022-09-21,110.28436279296875
2022-09-22,110.00375366210938
2022-09-23,107.58126831054688
2022-09-26,106.66463470458984
2022-09-27,105.99120330810547
2022-09-28,109.78863525390625
2022-09-29,106.05665588378906
2022-09-30,104.9529800415039
2022-10-03,107.43161010742188
2022-10-04,107.92733764648438
2022-10-05,107.17906951904297
2022-10-06,104.46662902832031
2022-10-07,102.50242614746094
2022-10-10,102.77367401123047
2022-10-11,101.33326721191406
2022-10-12,101.01526641845703
2022-10-13,103.13845825195312
2022-10-14,102.12830352783203
2022-10-17,104.70980072021484
2022-10-18,106.04733276367188
2022-10-19,104.24212646484375
2022-10-20,103.87735748291016
2022-10-21,104.9062271118164
2022-10-24,106.76753234863281
2022-10-25,108.94683074951172
2022-10-26,107.92733764648438
2022-10-27,108.27339935302734
2022-10-28,112.04276275634766
2022-10-31,110.65848541259766
2022-11-01,110.42463684082031
2022-11-02,107.09487915039062
2022-11-03,105.72930145263672
2022-11-04,106.40274810791016
2022-11-07,107.91796875
2022-11-08,110.23475646972656
2022-11-09,108.53014373779297
2022-11-10,114.31263732910156
2022-11-11,113.96417999267578
2022-11-14,114.13369750976562
2022-11-15,114.58574676513672
2022-11-16,113.47445678710938
2022-11-17,113.22017669677734
2022-11-18,113.7946548461914
2022-11-21,114.47273254394531
2022-11-22,115.63111877441406
2022-11-23,115.9889907836914
2022-11-25,116.03607940673828
2022-11-28,113.45562744140625
2022-11-29,113.15425109863281
2022-11-30,116.8083267211914
2022-12-01,118.5694580078125
2022-12-02,118.6447982788086
2022-12-05,116.01724243164062
2022-12-06,113.6063003540039
2022-12-07,113.42736053466797
2022-12-08,113.1636734008789
2022-12-09,112.551513671875
2022-12-12,115.81005859375
2022-12-13,116.13967895507812
2022-12-14,115.52752685546875
2022-12-15,110.26300048828125
2022-12-16,109.20821380615234
2022-12-19,108.79383850097656
2022-12-20,107.60718536376953
2022-12-21,108.0875015258789
2022-12-22,105.64830017089844
2022-12-23,109.25531005859375
2022-12-27,108.42652893066406
