,SBUX
2016-07-06,47.94229507446289
2016-07-07,48.07746887207031
2016-07-08,47.73952865600586
2016-07-11,47.57902908325195
2016-07-12,48.55898666381836
2016-07-13,47.71418762207031
2016-07-14,48.65191650390625
2016-07-15,48.49985885620117
2016-07-18,48.085899353027344
2016-07-19,47.950740814208984
2016-07-20,48.609676361083984
2016-07-21,48.660362243652344
2016-07-22,48.913814544677734
2016-07-25,48.956050872802734
2016-07-26,49.26019287109375
2016-07-27,48.8715705871582
2016-07-28,49.17569351196289
2016-07-29,49.04053497314453
2016-08-01,48.68571472167969
2016-08-02,48.0922966003418
2016-08-03,47.42258071899414
2016-08-04,46.98175048828125
2016-08-05,47.388668060302734
2016-08-08,46.93088912963867
2016-08-09,46.79524612426758
2016-08-10,47.15130615234375
2016-08-11,47.024139404296875
2016-08-12,47.024139404296875
2016-08-15,46.8376350402832
2016-08-16,46.939361572265625
2016-08-17,47.30390548706055
2016-08-18,47.07500457763672
2016-08-19,46.5748405456543
2016-08-22,47.34628677368164
2016-08-23,47.81254959106445
2016-08-24,48.397483825683594
2016-08-25,48.5670280456543
2016-08-26,48.5670280456543
2016-08-29,48.15163803100586
2016-08-30,47.81254959106445
2016-08-31,47.66842269897461
2016-09-01,47.73625183105469
2016-09-02,47.626041412353516
2016-09-06,47.49040222167969
2016-09-07,47.74472427368164
2016-09-08,46.880027770996094
2016-09-09,46.07467269897461
2016-09-12,46.37985610961914
2016-09-13,45.76101303100586
2016-09-14,45.69319152832031
2016-09-15,45.87122344970703
2016-09-16,45.557552337646484
2016-09-19,44.9387092590332
2016-09-20,45.18453598022461
2016-09-21,45.76101303100586
2016-09-22,46.10857391357422
2016-09-23,46.14249801635742
2016-09-26,45.81187057495117
2016-09-27,45.93903732299805
2016-09-28,45.76101303100586
2016-09-29,45.31170654296875
2016-09-30,45.89664840698242
2016-10-03,45.64231872558594
2016-10-04,45.379539489746094
2016-10-05,45.226932525634766
2016-10-06,45.04890060424805
2016-10-07,45.32018280029297
2016-10-10,45.18453598022461
2016-10-11,44.862403869628906
2016-10-12,45.06586837768555
2016-10-13,44.88783264160156
2016-10-14,44.998043060302734
2016-10-17,44.72676467895508
2016-10-18,44.599613189697266
2016-10-19,45.05738830566406
2016-10-20,45.43038558959961
2016-10-21,45.46430587768555
2016-10-24,45.93055725097656
2016-10-25,45.49821090698242
2016-10-26,45.46430587768555
2016-10-27,45.43038558959961
2016-10-28,45.379539489746094
2016-10-31,44.98957061767578
2016-11-01,44.50634765625
2016-11-02,44.91327667236328
2016-11-03,43.88750457763672
2016-11-04,44.71828842163086
2016-11-07,46.193363189697266
2016-11-08,46.303558349609375
2016-11-09,46.2696533203125
2016-11-10,45.41344451904297
2016-11-11,45.7186393737793
2016-11-14,45.9644660949707
2016-11-15,46.49249267578125
2016-11-16,47.2164192199707
2016-11-17,47.56560516357422
2016-11-18,47.497467041015625
2016-11-21,47.77852249145508
2016-11-22,48.647216796875
2016-11-23,49.04750061035156
2016-11-25,48.91122817993164
2016-11-28,49.04750061035156
2016-11-29,49.54145812988281
2016-11-30,49.37113952636719
2016-12-01,49.83102798461914
2016-12-02,48.7238655090332
2016-12-05,48.970848083496094
2016-12-06,48.91975021362305
2016-12-07,50.043949127197266
2016-12-08,49.95027160644531
2016-12-09,50.035430908203125
2016-12-12,50.05246353149414
2016-12-13,50.51237487792969
2016-12-14,50.035430908203125
2016-12-15,49.14970397949219
2016-12-16,49.107112884521484
2016-12-19,49.09859848022461
2016-12-20,49.14117431640625
2016-12-21,48.91975021362305
2016-12-22,48.638702392578125
2016-12-23,48.55353927612305
2016-12-27,48.425777435302734
2016-12-28,47.99142074584961
2016-12-29,47.96588897705078
2016-12-30,47.284549713134766
2017-01-03,47.1397705078125
2017-01-04,47.684844970703125
2017-01-05,48.085113525390625
2017-01-06,48.65571594238281
2017-01-09,49.56702423095703
2017-01-10,49.29448699951172
2017-01-11,49.48184585571289
2017-01-12,49.42222595214844
2017-01-13,49.26892852783203
2017-01-17,49.39668655395508
2017-01-18,49.779937744140625
2017-01-19,49.30299377441406
