,MMM
2018-07-18,132.53500366210938
2018-07-19,132.14173889160156
2018-07-20,132.37110900878906
2018-07-23,130.33267211914062
2018-07-24,131.53868103027344
2018-07-25,133.96392822265625
2018-07-26,136.3105010986328
2018-07-27,135.95655822753906
2018-07-30,134.44895935058594
2018-07-31,139.1683349609375
2018-08-01,135.71400451660156
2018-08-02,134.71768188476562
2018-08-03,135.87132263183594
2018-08-06,135.48460388183594
2018-08-07,136.7103271484375
2018-08-08,135.7730255126953
2018-08-09,134.2261199951172
2018-08-10,132.377685546875
2018-08-13,130.98809814453125
2018-08-14,131.43385314941406
2018-08-15,132.00408935546875
2018-08-16,133.15773010253906
2018-08-17,134.21957397460938
2018-08-20,134.10813903808594
2018-08-21,134.8225860595703
2018-08-22,133.88523864746094
2018-08-23,133.7863006591797
2018-08-24,135.46231079101562
2018-08-27,137.46826171875
2018-08-28,138.19412231445312
2018-08-29,138.87380981445312
2018-08-30,138.71542358398438
2018-08-31,139.17733764648438
2018-09-04,137.64642333984375
2018-09-05,139.77780151367188
2018-09-06,140.37828063964844
2018-09-07,140.26612854003906
2018-09-10,140.5036163330078
2018-09-11,139.7448272705078
2018-09-12,136.39930725097656
2018-09-13,137.9434051513672
2018-09-14,137.17135620117188
2018-09-17,138.26011657714844
2018-09-18,139.57986450195312
2018-09-19,140.62904357910156
2018-09-20,142.04771423339844
2018-09-21,142.74717712402344
2018-09-24,140.88636779785156
2018-09-25,138.9925994873047
2018-09-26,139.2762908935547
2018-09-27,138.64283752441406
2018-09-28,139.0387725830078
2018-10-01,140.01535034179688
2018-10-02,142.33804321289062
2018-10-03,142.37103271484375
2018-10-04,141.1041259765625
2018-10-05,140.6752166748047
2018-10-08,141.45382690429688
2018-10-09,138.84742736816406
2018-10-10,133.390380859375
2018-10-11,129.81393432617188
2018-10-12,130.80372619628906
2018-10-15,131.2722625732422
2018-10-16,133.50917053222656
2018-10-17,133.90505981445312
2018-10-18,132.222412109375
2018-10-19,131.8727264404297
2018-10-22,132.8690948486328
2018-10-23,127.05574035644531
2018-10-24,121.7702865600586
2018-10-25,122.06722259521484
2018-10-26,122.04080200195312
2018-10-29,122.59508514404297
2018-10-30,125.24772644042969
2018-10-31,125.54463958740234
2018-11-01,126.83797454833984
2018-11-02,127.22730255126953
2018-11-05,127.51763153076172
2018-11-06,128.8703155517578
2018-11-07,132.82289123535156
2018-11-08,134.65728759765625
2018-11-09,132.697509765625
2018-11-12,130.01849365234375
2018-11-13,130.89614868164062
2018-11-14,130.69154357910156
2018-11-15,135.21157836914062
2018-11-16,137.91038513183594
2018-11-19,135.65367126464844
2018-11-20,132.30821228027344
2018-11-21,132.0026092529297
2018-11-23,130.7469482421875
2018-11-26,132.77992248535156
2018-11-27,133.33132934570312
2018-11-28,135.7562713623047
2018-11-29,135.90243530273438
2018-11-30,138.1346893310547
2018-12-03,138.69276428222656
2018-12-04,134.33453369140625
2018-12-06,134.6533966064453
2018-12-07,131.70362854003906
2018-12-10,131.7567596435547
2018-12-11,131.1854248046875
2018-12-12,132.74667358398438
2018-12-13,134.2880096435547
2018-12-14,130.2819061279297
2018-12-17,128.10276794433594
2018-12-18,129.2587890625
2018-12-19,126.20269012451172
2018-12-20,124.48865509033203
2018-12-21,122.07701110839844
2018-12-24,118.66879272460938
2018-12-26,123.74452209472656
2018-12-27,126.6943588256836
2018-12-28,125.81075286865234
2018-12-31,126.58804321289062
2019-01-02,126.86040496826172
2019-01-03,122.08364868164062
2019-01-04,127.10623168945312
2019-01-07,126.81392669677734
2019-01-08,127.34540557861328
2019-01-09,127.75730895996094
2019-01-10,128.62094116210938
2019-01-11,127.69752502441406
2019-01-14,127.67094421386719
2019-01-15,125.52503204345703
2019-01-16,125.8838119506836
2019-01-17,127.36532592773438
2019-01-18,130.1224365234375
2019-01-22,127.73074340820312
2019-01-23,127.75067901611328
2019-01-24,127.9034652709961
2019-01-25,130.14903259277344
2019-01-28,128.3552703857422
2019-01-29,130.84661865234375
2019-01-30,132.387939453125
2019-01-31,133.072265625
2019-02-01,132.3148651123047
2019-02-04,133.012451171875
2019-02-05,133.61700439453125
2019-02-06,134.58033752441406
2019-02-07,132.76661682128906
2019-02-08,132.75335693359375
