,MRK
2020-02-05,70.2732925415039
2020-02-06,70.15047454833984
2020-02-07,69.65924072265625
2020-02-10,70.13409423828125
2020-02-11,69.79840850830078
2020-02-12,68.1609115600586
2020-02-13,67.11292266845703
2020-02-14,67.66966247558594
2020-02-18,67.51410675048828
2020-02-19,67.13746643066406
2020-02-20,67.53865051269531
2020-02-21,67.41584014892578
2020-02-24,66.58891296386719
2020-02-25,65.7210464477539
2020-02-26,65.45085906982422
2020-02-27,63.9279670715332
2020-02-28,62.68348693847656
2020-03-02,66.62165832519531
2020-03-03,64.78765869140625
2020-03-04,67.93165588378906
2020-03-05,66.79358673095703
2020-03-06,67.30121612548828
2020-03-09,64.64849853515625
2020-03-10,67.15386962890625
2020-03-11,64.88591003417969
2020-03-12,60.9559211730957
2020-03-13,63.35817337036133
2020-03-16,57.719905853271484
2020-03-17,61.48424530029297
2020-03-18,59.13153076171875
2020-03-19,58.388553619384766
2020-03-20,58.90863800048828
2020-03-23,54.81409454345703
2020-03-24,57.001705169677734
2020-03-25,56.3165168762207
2020-03-26,60.70000457763672
2020-03-27,59.21408462524414
2020-03-30,63.52326202392578
2020-03-31,63.5150032043457
2020-04-01,60.92289352416992
2020-04-02,63.457210540771484
2020-04-03,62.945411682128906
2020-04-06,66.29696655273438
2020-04-07,64.85235595703125
2020-04-08,67.37840270996094
2020-04-09,68.09659576416016
2020-04-13,66.48684692382812
2020-04-14,68.38554382324219
2020-04-15,67.74987030029297
2020-04-16,68.51762390136719
2020-04-17,68.8973617553711
2020-04-20,68.60015869140625
2020-04-21,64.85235595703125
2020-04-22,66.02457427978516
2020-04-23,66.76751708984375
2020-04-24,67.22156524658203
2020-04-27,69.32662963867188
2020-04-28,67.01518249511719
2020-04-29,66.6767349243164
2020-04-30,65.49623107910156
2020-05-01,64.11763000488281
2020-05-04,63.448974609375
2020-05-05,64.3982925415039
2020-05-06,63.66358947753906
2020-05-07,62.40882110595703
2020-05-08,63.06923294067383
2020-05-11,64.31574249267578
2020-05-12,63.72138977050781
2020-05-13,64.29924011230469
2020-05-14,66.08233642578125
2020-05-15,65.85946655273438
2020-05-18,65.80992126464844
2020-05-19,64.01858520507812
2020-05-20,63.473731994628906
2020-05-21,63.19304656982422
2020-05-22,63.044464111328125
2020-05-26,63.7791748046875
