,AXP
2016-06-30,53.956016540527344
2016-07-01,53.893856048583984
2016-07-05,52.52629852294922
2016-07-06,52.81935119628906
2016-07-07,53.11240005493164
2016-07-08,54.60426330566406
2016-07-11,55.199241638183594
2016-07-12,55.94517517089844
2016-07-13,56.033973693847656
2016-07-14,56.486854553222656
2016-07-15,56.63782501220703
2016-07-18,56.82432556152344
2016-07-19,56.97527313232422
2016-07-20,57.25944519042969
2016-07-21,56.327022552490234
2016-07-22,57.081825256347656
2016-07-25,57.12623977661133
2016-07-26,57.1617546081543
2016-07-27,57.357120513916016
2016-07-28,57.53472900390625
2016-07-29,57.24168395996094
2016-08-01,56.94863510131836
2016-08-02,56.362545013427734
2016-08-03,56.68223190307617
2016-08-04,56.7799072265625
2016-08-05,58.182987213134766
2016-08-08,58.45826721191406
2016-08-09,58.067535400390625
2016-08-10,57.49032211303711
2016-08-11,58.1474609375
2016-08-12,58.05866241455078
2016-08-15,58.280662536621094
2016-08-16,57.98761749267578
2016-08-17,58.32506561279297
2016-08-18,58.280662536621094
2016-08-19,58.191864013671875
2016-08-22,58.04090118408203
2016-08-23,58.32506561279297
2016-08-24,57.86330795288086
2016-08-25,57.72121047973633
2016-08-26,57.53472900390625
2016-08-29,58.182987213134766
2016-08-30,58.120819091796875
2016-08-31,58.236270904541016
2016-09-01,57.59688949584961
2016-09-02,57.889949798583984
2016-09-06,58.39609909057617
2016-09-07,58.7779541015625
2016-09-08,58.822349548339844
2016-09-09,57.82777786254883
2016-09-12,58.52043533325195
2016-09-13,57.15287399291992
2016-09-14,56.37142562866211
2016-09-15,56.68223190307617
2016-09-16,56.53126525878906
2016-09-19,56.886474609375
2016-09-20,56.58454895019531
2016-09-21,57.081825256347656
2016-09-22,57.39263153076172
2016-09-23,56.70000076293945
2016-09-26,56.31814193725586
2016-09-27,57.081825256347656
2016-09-28,57.0285530090332
2016-09-29,56.27373123168945
2016-09-30,56.86871337890625
2016-10-03,56.66446304321289
2016-10-04,56.75328063964844
2016-10-05,57.44047927856445
2016-10-06,55.28066635131836
2016-10-07,55.12001037597656
2016-10-10,55.244972229003906
2016-10-11,54.31678009033203
2016-10-12,54.16505813598633
2016-10-13,53.9151611328125
2016-10-14,53.6831169128418
2016-10-17,53.45999526977539
2016-10-18,53.62064743041992
2016-10-19,54.66485595703125
2016-10-20,59.600303649902344
2016-10-21,60.11795425415039
2016-10-24,59.876956939697266
2016-10-25,59.564605712890625
2016-10-26,59.61815643310547
2016-10-27,59.73417663574219
2016-10-28,59.3057746887207
2016-10-31,59.27901077270508
2016-11-01,59.12729263305664
