,DUK
2015-09-03,47.45822525024414
2015-09-04,46.75950241088867
2015-09-08,47.513023376464844
2015-09-09,46.725250244140625
2015-09-10,46.403289794921875
2015-09-11,46.81430435180664
2015-09-14,46.79374313354492
2015-09-15,46.985557556152344
2015-09-16,47.389713287353516
2015-09-17,47.88978576660156
2015-09-18,47.574668884277344
2015-09-21,47.98567581176758
2015-09-22,47.369171142578125
2015-09-23,47.328060150146484
2015-09-24,48.17063903808594
2015-09-25,48.43781280517578
2015-09-28,48.25968551635742
2015-09-29,48.45150375366211
2015-09-30,49.28038787841797
2015-10-01,48.4104118347168
2015-10-02,49.2940673828125
2015-10-05,50.06128692626953
2015-10-06,50.06814193725586
2015-10-07,49.78044891357422
2015-10-08,50.006500244140625
2015-10-09,49.499576568603516
2015-10-12,49.88318634033203
2015-10-13,49.68453598022461
2015-10-14,49.55436706542969
2015-10-15,50.33531951904297
2015-10-16,50.4106559753418
2015-10-19,50.403804779052734
2015-10-20,50.486026763916016
2015-10-21,50.59560775756836
2015-10-22,51.41764831542969
2015-10-23,50.51340866088867
2015-10-26,49.49273681640625
2015-10-27,49.60234069824219
2015-10-28,49.01321792602539
2015-10-29,49.026912689208984
2015-10-30,48.95841598510742
2015-11-02,49.44478225708008
2015-11-03,49.48588562011719
2015-11-04,49.27352523803711
2015-11-05,48.94470977783203
2015-11-06,46.41697692871094
2015-11-09,46.560848236083984
2015-11-10,46.71686935424805
2015-11-11,47.31321716308594
2015-11-12,46.66139602661133
2015-11-13,46.38401794433594
2015-11-16,46.966495513916016
2015-11-17,45.64897155761719
2015-11-18,46.598976135253906
2015-11-19,47.49352264404297
2015-11-20,47.91651916503906
2015-11-23,47.16067123413086
2015-11-24,47.209205627441406
2015-11-25,46.95956802368164
2015-11-27,46.81395721435547
2015-11-30,46.987308502197266
2015-12-01,47.19534683227539
2015-12-02,45.85700225830078
2015-12-03,45.92633819580078
2015-12-04,46.4880256652832
2015-12-07,47.500450134277344
2015-12-08,47.45885467529297
2015-12-09,47.57672882080078
2015-12-10,46.75846862792969
2015-12-11,47.042781829833984
2015-12-14,47.465789794921875
2015-12-15,47.7362060546875
2015-12-16,48.561405181884766
2015-12-17,48.88731002807617
2015-12-18,48.26322937011719
2015-12-21,48.40886306762695
2015-12-22,49.19936752319336
2015-12-23,49.927486419677734
2015-12-24,49.95521926879883
2015-12-28,49.87199020385742
2015-12-29,50.184059143066406
2015-12-30,50.05924606323242
2015-12-31,49.504486083984375
2016-01-04,49.36580276489258
2016-01-05,49.719451904296875
2016-01-06,49.83039855957031
2016-01-07,49.37273025512695
2016-01-08,49.261783599853516
2016-01-11,49.80959701538086
2016-01-12,49.421260833740234
2016-01-13,49.719451904296875
2016-01-14,50.184059143066406
2016-01-15,49.98295974731445
2016-01-19,50.73186492919922
2016-01-20,49.525299072265625
2016-01-21,49.29645919799805
2016-01-22,50.052303314208984
2016-01-25,49.788795471191406
