,CINF
2020-12-22,76.34439849853516
2020-12-23,77.93566131591797
2020-12-24,77.49919891357422
2020-12-28,79.4450912475586
2020-12-29,78.40849304199219
2020-12-30,78.61762237548828
2020-12-31,79.4450912475586
2021-01-04,76.83541870117188
2021-01-05,76.10796356201172
2021-01-06,79.69058227539062
2021-01-07,79.72696685791016
2021-01-08,79.81788635253906
2021-01-11,80.62716674804688
2021-01-12,84.08248138427734
2021-01-13,83.48235321044922
2021-01-14,85.00995635986328
2021-01-15,85.200927734375
2021-01-19,85.26456451416016
2021-01-20,84.0915756225586
2021-01-21,80.27253723144531
2021-01-22,79.39962005615234
2021-01-25,80.45439910888672
2021-01-26,78.90858459472656
2021-01-27,76.60807037353516
2021-01-28,77.86290740966797
2021-01-29,76.46259307861328
2021-02-01,79.48145294189453
2021-02-02,79.20864868164062
2021-02-03,78.30846405029297
2021-02-04,79.41780090332031
2021-02-05,78.8449478149414
2021-02-08,79.70877075195312
2021-02-09,79.2723159790039
2021-02-10,80.96359252929688
2021-02-11,83.082275390625
2021-02-12,84.03701782226562
2021-02-16,82.5821533203125
2021-02-17,85.2918472290039
2021-02-18,86.09201049804688
2021-02-19,87.52870178222656
2021-02-22,88.18341827392578
2021-02-23,89.48370361328125
2021-02-24,91.7387466430664
2021-02-25,89.81103515625
2021-02-26,88.99268341064453
2021-03-01,91.98426818847656
2021-03-02,90.91129302978516
2021-03-03,91.92060089111328
2021-03-04,90.811279296875
2021-03-05,94.80307006835938
2021-03-08,97.31271362304688
2021-03-09,95.89422607421875
2021-03-10,96.61256408691406
2021-03-11,95.2395248413086
2021-03-12,97.84919738769531
2021-03-15,99.04948425292969
2021-03-16,97.32091522216797
2021-03-17,97.22030639648438
2021-03-18,98.58304595947266
2021-03-19,97.86051940917969
2021-03-22,96.81790924072266
2021-03-23,95.70209503173828
2021-03-24,95.68380737304688
2021-03-25,97.01910400390625
2021-03-26,96.75386810302734
2021-03-29,95.1533432006836
2021-03-30,96.1045150756836
2021-03-31,94.28448486328125
2021-04-01,95.24479675292969
2021-04-05,96.57095336914062
2021-04-06,96.90019989013672
2021-04-07,96.26000213623047
2021-04-08,95.59233856201172
2021-04-09,96.1136474609375
2021-04-12,97.37577819824219
2021-04-13,96.44290924072266
2021-04-14,96.94593811035156
2021-04-15,97.40322875976562
2021-04-16,97.32091522216797
2021-04-19,98.06173706054688
2021-04-20,97.83307647705078
2021-04-21,100.45792388916016
2021-04-22,99.54334259033203
2021-04-23,100.0189437866211
2021-04-26,99.70797729492188
2021-04-27,99.16837310791016
2021-04-28,97.64102935791016
2021-04-29,101.97613525390625
2021-04-30,103.05535888671875
2021-05-03,105.08574676513672
2021-05-04,106.36614990234375
2021-05-05,107.62828826904297
2021-05-06,109.49404907226562
2021-05-07,110.07022857666016
2021-05-10,110.39033508300781
2021-05-11,108.05813598632812
2021-05-12,106.96977233886719
2021-05-13,109.78669738769531
2021-05-14,110.62812805175781
2021-05-17,109.93302917480469
2021-05-18,109.05503845214844
2021-05-19,109.41172790527344
2021-05-20,110.82018280029297
2021-05-21,110.00619506835938
2021-05-24,110.60066986083984
2021-05-25,109.06417083740234
2021-05-26,108.73492431640625
2021-05-27,110.4817886352539
2021-05-28,111.3140640258789
2021-06-01,111.44209289550781
2021-06-02,111.75305938720703
2021-06-03,112.82312774658203
2021-06-04,113.60965728759766
2021-06-07,112.27436828613281
2021-06-08,112.86885070800781
2021-06-09,110.7927474975586
2021-06-10,111.167724609375
2021-06-11,111.39636993408203
2021-06-14,110.1891098022461
2021-06-15,111.30490112304688
2021-06-16,110.57862091064453
2021-06-17,107.32415008544922
2021-06-18,104.63965606689453
2021-06-21,107.43447875976562
2021-06-22,107.81138610839844
2021-06-23,107.37013244628906
2021-06-24,108.252685546875
2021-06-25,109.47541809082031
2021-06-28,107.91253662109375
2021-06-29,106.97480773925781
2021-06-30,107.21383666992188
2021-07-01,108.40897369384766
2021-07-02,108.3354263305664
2021-07-06,106.9931869506836
2021-07-07,107.74705505371094
2021-07-08,104.58451080322266
2021-07-09,109.28235626220703
2021-07-12,110.14653778076172
2021-07-13,109.13526153564453
2021-07-14,108.48252868652344
2021-07-15,108.9330062866211
2021-07-16,108.96977996826172
2021-07-19,104.92466735839844
2021-07-20,107.71946716308594
2021-07-21,108.15155792236328
2021-07-22,105.74286651611328
2021-07-23,105.94513702392578
2021-07-26,107.35173797607422
2021-07-27,106.68980407714844
2021-07-28,104.52934265136719
2021-07-29,108.21591186523438
2021-07-30,108.3721923828125
2021-08-02,109.50299835205078
2021-08-03,109.34672546386719
2021-08-04,106.55191040039062
2021-08-05,107.00238037109375
2021-08-06,109.6684799194336
2021-08-09,109.9810562133789
2021-08-10,110.68895721435547
2021-08-11,111.47959899902344
2021-08-12,112.0127944946289
2021-08-13,111.59909057617188
2021-08-16,112.2150650024414
2021-08-17,112.82182312011719
2021-08-18,111.36006164550781
2021-08-19,111.87490844726562
2021-08-20,113.36422729492188
2021-08-23,113.31827545166016
2021-08-24,113.20794677734375
2021-08-25,114.7892074584961
2021-08-26,112.69312286376953
2021-08-27,114.36632537841797
2021-08-30,113.03327178955078
2021-08-31,113.44698333740234
2021-09-01,112.32540130615234
2021-09-02,112.27023315429688
2021-09-03,111.31410217285156
2021-09-07,109.79718017578125
2021-09-08,110.5418472290039
2021-09-09,109.6316909790039
2021-09-10,107.91253662109375
2021-09-13,108.9330062866211
2021-09-14,107.96768188476562
2021-09-15,109.33565521240234
2021-09-16,108.96592712402344
2021-09-17,107.63493347167969
2021-09-20,105.61995697021484
2021-09-21,105.13932037353516
2021-09-22,105.79557037353516
2021-09-23,107.32066345214844
2021-09-24,107.79207611083984
2021-09-27,109.51127624511719
2021-09-28,106.960205078125
2021-09-29,107.5425033569336
2021-09-30,105.57374572753906
2021-10-01,106.10059356689453
2021-10-04,104.74187469482422
2021-10-05,106.7568588256836
2021-10-06,107.65342712402344
2021-10-07,109.87175750732422
2021-10-08,110.99940490722656
2021-10-11,109.77008056640625
2021-10-12,109.14154815673828
2021-10-13,108.1340560913086
2021-10-14,109.54824829101562
2021-10-15,109.93646240234375
2021-10-18,108.10633087158203
2021-10-19,108.90123748779297
2021-10-20,110.7128677368164
2021-10-21,110.7128677368164
2021-10-22,112.9404296875
2021-10-25,114.09580993652344
2021-10-26,113.7353286743164
2021-10-27,112.0161361694336
2021-10-28,116.62838745117188
2021-10-29,112.24722290039062
2021-11-01,111.3691177368164
2021-11-02,114.21595764160156
2021-11-03,115.24195098876953
2021-11-04,114.77978515625
2021-11-05,116.54520416259766
2021-11-08,114.99238586425781
2021-11-09,114.76130676269531
2021-11-10,114.19749450683594
2021-11-11,113.48577880859375
2021-11-12,112.88497161865234
2021-11-15,112.2841796875
2021-11-16,111.50776672363281
2021-11-17,109.76082611083984
2021-11-18,109.71461486816406
2021-11-19,109.81629180908203
2021-11-22,110.79605102539062
2021-11-23,111.7850570678711
2021-11-24,110.74983978271484
2021-11-26,108.39286041259766
2021-11-29,109.49279022216797
2021-11-30,105.2779769897461
2021-12-01,104.30744934082031
2021-12-02,108.80880737304688
2021-12-03,107.10808563232422
2021-12-06,107.48705291748047
2021-12-07,108.84577178955078
2021-12-08,108.33741760253906
2021-12-09,106.42411041259766
2021-12-10,107.57022857666016
2021-12-13,105.71240234375
2021-12-14,107.11732482910156
2021-12-15,107.62848663330078
2021-12-16,108.99462890625
2021-12-17,105.01698303222656
2021-12-20,102.23822021484375
2021-12-21,103.66012573242188
2021-12-22,104.4965591430664
2021-12-23,104.40361022949219
2021-12-27,106.057861328125
2021-12-28,106.71770477294922
2021-12-29,106.89427947998047
2021-12-30,105.63965606689453
2021-12-31,105.88127899169922
2022-01-03,105.11920928955078
2022-01-04,107.56342315673828
2022-01-05,106.0485610961914
2022-01-06,108.00951385498047
2022-01-07,110.258544921875
2022-01-10,109.89610290527344
2022-01-11,111.03921508789062
2022-01-12,110.48157501220703
2022-01-13,112.4425277709961
2022-01-14,111.09496307373047
2022-01-18,109.07826232910156
2022-01-19,106.84782409667969
2022-01-20,107.6005859375
2022-01-21,106.37385559082031
2022-01-24,108.89238739013672
2022-01-25,106.95934295654297
2022-01-26,106.85711669921875
2022-01-27,105.45379638671875
2022-01-28,109.13402557373047
2022-01-31,109.50576782226562
2022-02-01,109.9611587524414
2022-02-02,112.39606475830078
2022-02-03,111.97783660888672
2022-02-04,113.09307861328125
2022-02-07,112.74922180175781
2022-02-08,114.45922088623047
2022-02-09,114.44062805175781
2022-02-10,113.8830337524414
2022-02-11,112.58193969726562
2022-02-14,111.03921508789062
2022-02-15,112.16372680664062
2022-02-16,119.08740997314453
2022-02-17,117.3309326171875
2022-02-18,116.70826721191406
2022-02-22,115.18413543701172
2022-02-23,113.79008483886719
2022-02-24,110.98342895507812
2022-02-25,116.11347198486328
2022-02-28,114.1153793334961
2022-03-01,111.56893920898438
2022-03-02,114.67296600341797
2022-03-03,115.57444763183594
2022-03-04,114.49639892578125
2022-03-07,111.27154541015625
2022-03-08,110.8905029296875
2022-03-09,112.7863998413086
2022-03-10,113.52989196777344
2022-03-11,113.09307861328125
2022-03-14,118.99446105957031
2022-03-15,121.48516082763672
2022-03-16,121.28068542480469
2022-03-17,123.57906341552734
2022-03-18,119.53356170654297
2022-03-21,122.49526977539062
2022-03-22,123.03715515136719
2022-03-23,123.0838623046875
2022-03-24,125.96149444580078
2022-03-25,127.89546966552734
2022-03-28,126.84907531738281
2022-03-29,127.58715057373047
2022-03-30,129.07269287109375
2022-03-31,127.0265884399414
2022-04-01,128.99795532226562
2022-04-04,126.2511215209961
2022-04-05,126.39126586914062
