,SBAC
2017-07-26,128.38198852539062
2017-07-27,128.78919982910156
2017-07-28,130.3422088623047
2017-07-31,130.25697326660156
2017-08-01,130.14334106445312
2017-08-02,130.68316650390625
2017-08-03,131.02401733398438
2017-08-04,132.5392608642578
2017-08-07,132.12257385253906
2017-08-08,130.8915252685547
2017-08-09,131.65855407714844
2017-08-10,131.6490936279297
2017-08-11,130.93882751464844
2017-08-14,133.04110717773438
2017-08-15,133.80819702148438
2017-08-16,136.099853515625
2017-08-17,134.66995239257812
2017-08-18,135.32330322265625
2017-08-21,136.42184448242188
2017-08-22,137.87071228027344
2017-08-23,138.476806640625
2017-08-24,140.22869873046875
2017-08-25,144.0355682373047
2017-08-28,144.28175354003906
2017-08-29,143.94082641601562
2017-08-30,144.92567443847656
2017-08-31,145.40866088867188
2017-09-01,142.89913940429688
2017-09-05,143.1453857421875
2017-09-06,142.52035522460938
2017-09-07,142.66241455078125
2017-09-08,141.52603149414062
2017-09-11,142.17001342773438
2017-09-12,141.8006591796875
2017-09-13,141.24200439453125
2017-09-14,140.88209533691406
2017-09-15,142.03738403320312
2017-09-18,142.5487823486328
2017-09-19,137.70973205566406
2017-09-20,138.3347625732422
2017-09-21,137.32144165039062
2017-09-22,135.05813598632812
2017-09-25,133.95965576171875
2017-09-26,134.85934448242188
2017-09-27,135.39906311035156
2017-09-28,136.1376953125
2017-09-29,136.41233825683594
2017-10-02,135.29490661621094
2017-10-03,136.14720153808594
2017-10-04,139.40481567382812
2017-10-05,139.0828399658203
2017-10-06,139.5089874267578
2017-10-09,139.89723205566406
2017-10-10,140.55064392089844
2017-10-11,143.32528686523438
2017-10-12,144.14918518066406
2017-10-13,142.9370574951172
2017-10-16,141.20408630371094
2017-10-17,140.5885467529297
2017-10-18,139.58473205566406
2017-10-19,140.15292358398438
2017-10-20,140.0487518310547
2017-10-23,140.14346313476562
2017-10-24,140.37074279785156
2017-10-25,138.7135009765625
2017-10-26,138.77980041503906
2017-10-27,138.9407958984375
2017-10-30,142.2078399658203
2017-10-31,148.84620666503906
2017-11-01,144.4901123046875
