,ADP
2016-08-05,74.82855224609375
2016-08-08,74.63663482666016
2016-08-09,75.0788803100586
2016-08-10,75.13732147216797
2016-08-11,75.43772888183594
2016-08-12,75.21241760253906
2016-08-15,75.39599609375
2016-08-16,74.73676300048828
2016-08-17,74.54483795166016
2016-08-18,74.96205139160156
2016-08-19,74.97877502441406
2016-08-22,75.02882385253906
2016-08-23,75.08724212646484
2016-08-24,74.83689880371094
2016-08-25,74.91199493408203
2016-08-26,74.92869567871094
2016-08-29,74.76179504394531
2016-08-30,74.92869567871094
2016-08-31,74.94537353515625
2016-09-01,75.62969970703125
2016-09-02,75.42935943603516
2016-09-06,74.98709106445312
2016-09-07,75.51593780517578
2016-09-08,75.10464477539062
2016-09-09,72.6702651977539
2016-09-12,73.98817443847656
2016-09-13,72.77099609375
2016-09-14,72.77099609375
2016-09-15,73.43415832519531
2016-09-16,72.82134246826172
2016-09-19,72.66187286376953
2016-09-20,73.69437408447266
2016-09-21,74.60935974121094
2016-09-22,75.09622955322266
2016-09-23,74.26518249511719
2016-09-26,74.03013610839844
2016-09-27,74.66809844970703
2016-09-28,73.40894317626953
2016-09-29,73.20748138427734
2016-09-30,74.03854370117188
2016-10-03,73.56005859375
2016-10-04,73.17391204833984
2016-10-05,73.51807403564453
2016-10-06,73.50128936767578
2016-10-07,73.341796875
2016-10-10,73.67757415771484
2016-10-11,72.267333984375
2016-10-12,72.92207336425781
2016-10-13,72.93888092041016
2016-10-14,73.50128936767578
2016-10-17,73.23265838623047
2016-10-18,73.35018920898438
2016-10-19,73.39217376708984
2016-10-20,72.89689636230469
2016-10-21,72.79617309570312
2016-10-24,73.59364318847656
2016-10-25,73.45092010498047
2016-10-26,73.19071197509766
2016-10-27,72.74581146240234
2016-10-28,73.16551971435547
2016-10-31,73.08158111572266
2016-11-01,72.96402740478516
2016-11-02,75.53274536132812
2016-11-03,74.98709869384766
2016-11-04,74.77726745605469
2016-11-07,76.05318450927734
2016-11-08,76.5148696899414
2016-11-09,76.30501556396484
2016-11-10,76.71633911132812
2016-11-11,76.45614624023438
2016-11-14,77.13606262207031
2016-11-15,77.51384735107422
2016-11-16,78.29449462890625
2016-11-17,79.22626495361328
2016-11-18,79.23465728759766
2016-11-21,80.24199676513672
2016-11-22,80.9135513305664
2016-11-23,81.13179016113281
2016-11-25,81.35845184326172
2016-11-28,81.06466674804688
2016-11-29,81.45919799804688
2016-11-30,80.60297393798828
2016-12-01,80.39309692382812
2016-12-02,79.94819641113281
2016-12-05,80.6281509399414
2016-12-06,80.5861587524414
2016-12-07,82.3932876586914
2016-12-08,82.91685485839844
2016-12-09,82.94219970703125
2016-12-12,82.80708312988281
2016-12-13,83.09419250488281
2016-12-14,82.49462127685547
2016-12-15,83.3982162475586
2016-12-16,85.16307830810547
2016-12-19,85.36578369140625
2016-12-20,86.41287994384766
2016-12-21,86.53112030029297
2016-12-22,86.64088439941406
2016-12-23,86.91954803466797
2016-12-27,87.2404556274414
2016-12-28,87.02088165283203
2016-12-29,87.35870361328125
2016-12-30,86.79289245605469
2017-01-03,87.40089416503906
2017-01-04,87.53600311279297
2017-01-05,87.0124740600586
2017-01-06,87.07157135009766
2017-01-09,86.53112030029297
2017-01-10,86.30309295654297
2017-01-11,87.14755249023438
2017-01-12,87.65424346923828
2017-01-13,87.62889862060547
2017-01-17,87.03779602050781
2017-01-18,86.90267181396484
2017-01-19,86.95333099365234
2017-01-20,87.18132781982422
2017-01-23,86.30309295654297
2017-01-24,87.18132781982422
2017-01-25,86.72533416748047
2017-01-26,86.1679916381836
2017-01-27,85.88933563232422
2017-01-30,86.10891723632812
2017-01-31,85.28132629394531
2017-02-01,80.43415832519531
2017-02-02,81.3377456665039
2017-02-03,81.80218505859375
2017-02-06,81.46439361572266
2017-02-07,81.3123779296875
2017-02-08,81.55728912353516
2017-02-09,82.46084594726562
2017-02-10,82.60440826416016
2017-02-13,83.24618530273438
2017-02-14,83.97241973876953
