,RSG
2016-03-09,40.26011276245117
2016-03-10,40.20014572143555
2016-03-11,40.51709747314453
2016-03-14,40.26866912841797
2016-03-15,40.64557647705078
2016-03-16,40.996788024902344
2016-03-17,41.10814666748047
2016-03-18,41.279449462890625
2016-03-21,41.262325286865234
2016-03-22,40.78264236450195
2016-03-23,41.013919830322266
2016-03-24,41.219505310058594
2016-03-28,41.38225173950195
2016-03-29,41.73345184326172
2016-03-30,41.67313003540039
2016-03-31,41.069793701171875
2016-04-01,41.57832336425781
2016-04-04,39.880374908447266
2016-04-05,40.09584426879883
2016-04-06,39.880374908447266
2016-04-07,39.854515075683594
2016-04-08,39.98379898071289
2016-04-11,39.561458587646484
2016-04-12,39.587318420410156
2016-04-13,39.65626525878906
2016-04-14,39.59592819213867
2016-04-15,39.776939392089844
2016-04-18,40.061363220214844
2016-04-19,40.0355110168457
2016-04-20,39.802791595458984
2016-04-21,39.32012939453125
2016-04-22,39.42354965209961
2016-04-25,39.44080352783203
2016-04-26,39.74245834350586
2016-04-27,40.06999206542969
2016-04-28,40.72503662109375
2016-04-29,40.56989288330078
2016-05-02,40.992210388183594
2016-05-03,40.630226135253906
2016-05-04,41.009456634521484
2016-05-05,40.8887939453125
2016-05-06,41.336971282958984
2016-05-09,41.69899368286133
2016-05-10,41.98341369628906
2016-05-11,41.897220611572266
2016-05-12,42.09545135498047
2016-05-13,41.7679328918457
2016-05-16,41.897220611572266
2016-05-17,41.00083541870117
2016-05-18,41.0870246887207
2016-05-19,41.11288833618164
2016-05-20,41.104270935058594
2016-05-23,41.0870246887207
2016-05-24,41.58694076538086
2016-05-25,41.24217224121094
2016-05-26,41.552459716796875
2016-05-27,41.66450500488281
2016-05-31,41.61279296875
2016-06-01,41.73345947265625
2016-06-02,41.95756912231445
2016-06-03,42.069602966308594
2016-06-06,42.259220123291016
2016-06-07,42.36264419555664
2016-06-08,42.62983703613281
2016-06-09,42.922882080078125
2016-06-10,42.72465515136719
2016-06-13,42.7074089050293
2016-06-14,42.68156051635742
2016-06-15,42.52642822265625
2016-06-16,43.034942626953125
2016-06-17,42.448848724365234
2016-06-20,42.62122344970703
2016-06-21,42.81083297729492
2016-06-22,42.81946563720703
2016-06-23,42.965980529785156
2016-06-24,42.81946563720703
2016-06-27,42.56950759887695
2016-06-28,42.90564727783203
2016-06-29,43.564666748046875
2016-06-30,44.49250793457031
2016-07-01,44.70928955078125
2016-07-05,44.8567008972168
2016-07-06,45.35097122192383
2016-07-07,45.16887664794922
2016-07-08,45.576412200927734
2016-07-11,45.619773864746094
2016-07-12,45.324951171875
2016-07-13,45.49836730957031
2016-07-14,45.48970413208008
2016-07-15,45.394309997558594
2016-07-18,45.20355224609375
2016-07-19,45.35097122192383
2016-07-20,45.40298843383789
2016-07-21,45.12550354003906
2016-07-22,45.42900466918945
2016-07-25,45.455013275146484
2016-07-26,45.359619140625
2016-07-27,44.82200622558594
2016-07-28,45.00410461425781
2016-07-29,44.449134826660156
2016-08-01,44.40579605102539
2016-08-02,44.206356048583984
2016-08-03,44.024261474609375
2016-08-04,44.0936164855957
2016-08-05,44.31906509399414
2016-08-08,44.10228729248047
2016-08-09,44.24102783203125
2016-08-10,44.67460250854492
2016-08-11,44.92607116699219
2016-08-12,44.83935546875
2016-08-15,44.50983428955078
2016-08-16,43.44327163696289
2016-08-17,44.41448211669922
2016-08-18,44.31040954589844
2016-08-19,44.39711380004883
2016-08-22,44.47515869140625
2016-08-23,44.466495513916016
2016-08-24,44.45781326293945
2016-08-25,44.33641815185547
2016-08-26,43.842159271240234
2016-08-29,43.98090362548828
2016-08-30,43.8768424987793
2016-08-31,43.80746841430664
2016-09-01,43.98090362548828
2016-09-02,44.293060302734375
2016-09-06,44.40579605102539
2016-09-07,44.024261474609375
2016-09-08,44.07627487182617
2016-09-09,42.94033432006836
2016-09-12,43.59067916870117
2016-09-13,43.321876525878906
2016-09-14,43.18313217163086
2016-09-15,43.564666748046875
2016-09-16,43.58201217651367
2016-09-19,43.972225189208984
