,BXP
2020-01-09,106.21393585205078
2020-01-10,106.6243896484375
2020-01-13,107.95835876464844
2020-01-14,107.66631317138672
2020-01-15,108.4004135131836
2020-01-16,109.93962097167969
2020-01-17,110.1606216430664
2020-01-21,110.7921142578125
2020-01-22,110.42901611328125
2020-01-23,112.19715881347656
2020-01-24,112.09454345703125
2020-01-27,111.32886505126953
2020-01-28,111.43938446044922
2020-01-29,112.82072448730469
2020-01-30,113.34171295166016
2020-01-31,113.15227508544922
2020-02-03,113.01016235351562
2020-02-04,114.10735321044922
2020-02-05,114.50203704833984
2020-02-06,113.96526336669922
2020-02-07,112.64705657958984
2020-02-10,113.00227355957031
2020-02-11,113.83898162841797
2020-02-12,114.47044372558594
2020-02-13,114.91248321533203
2020-02-14,116.21489715576172
2020-02-18,116.4359130859375
2020-02-19,114.37574005126953
2020-02-20,115.97018432617188
2020-02-21,115.0703353881836
2020-02-24,113.94160461425781
2020-02-25,107.94258880615234
2020-02-26,106.8848648071289
2020-02-27,101.23318481445312
2020-02-28,101.77781677246094
2020-03-02,106.19813537597656
2020-03-03,104.90361022949219
2020-03-04,109.02400207519531
2020-03-05,107.92678833007812
2020-03-06,104.65101623535156
2020-03-09,96.97862243652344
2020-03-10,102.8276596069336
2020-03-11,95.73934936523438
2020-03-12,88.31952667236328
2020-03-13,92.40042877197266
2020-03-16,76.5109634399414
2020-03-17,83.54401397705078
2020-03-18,69.62789916992188
2020-03-19,67.54403686523438
2020-03-20,64.72608947753906
2020-03-23,61.51346969604492
2020-03-24,69.13850402832031
2020-03-25,71.71966552734375
2020-03-26,73.32991790771484
2020-03-27,74.05610656738281
2020-03-30,74.1518325805664
2020-03-31,73.56954193115234
2020-04-01,68.00176239013672
2020-04-02,65.959716796875
2020-04-03,66.23889923095703
2020-04-06,72.36505126953125
2020-04-07,73.91254425048828
2020-04-08,79.6956787109375
2020-04-09,84.55351257324219
2020-04-13,80.21416473388672
2020-04-14,84.29825592041016
2020-04-15,79.51220703125
2020-04-16,75.03726196289062
2020-04-17,76.17793273925781
2020-04-20,72.93937683105469
2020-04-21,70.53836822509766
2020-04-22,72.32514953613281
2020-04-23,70.92922973632812
2020-04-24,72.07787322998047
2020-04-27,75.09309387207031
2020-04-28,77.43026733398438
2020-04-29,78.37153625488281
2020-04-30,77.51802825927734
2020-05-01,74.12791442871094
2020-05-04,71.5274887084961
2020-05-05,69.7406997680664
2020-05-06,66.43034362792969
2020-05-07,68.48036193847656
2020-05-08,69.32591247558594
2020-05-11,66.89299774169922
2020-05-12,62.83283615112305
2020-05-13,59.66606521606445
2020-05-14,61.18163299560547
2020-05-15,59.785709381103516
2020-05-18,64.55582427978516
2020-05-19,62.075035095214844
2020-05-20,64.47603607177734
2020-05-21,63.7421989440918
2020-05-22,62.22660446166992
2020-05-26,67.41946411132812
2020-05-27,70.84148406982422
2020-05-28,70.00392150878906
2020-05-29,68.58407592773438
2020-06-01,70.99305725097656
2020-06-02,71.95823669433594
2020-06-03,76.2098388671875
2020-06-04,77.36647033691406
2020-06-05,81.39471435546875
2020-06-08,85.47882843017578
2020-06-09,83.22138977050781
2020-06-10,79.88712310791016
2020-06-11,73.856689453125
2020-06-12,77.00749969482422
2020-06-15,75.73920440673828
2020-06-16,79.10538482666016
2020-06-17,77.67755889892578
2020-06-18,75.64349365234375
2020-06-19,72.39696502685547
2020-06-22,74.68627166748047
2020-06-23,73.86467742919922
2020-06-24,71.54344177246094
2020-06-25,71.83061218261719
2020-06-26,69.5891342163086
2020-06-29,72.3401107788086
2020-06-30,72.91288757324219
2020-07-01,72.64668273925781
2020-07-02,73.85677337646484
2020-07-06,73.6954345703125
2020-07-07,71.21874237060547
2020-07-08,70.6540298461914
2020-07-09,68.62104797363281
2020-07-10,70.50076293945312
2020-07-13,72.7838134765625
2020-07-14,74.58283233642578
2020-07-15,75.17173767089844
2020-07-16,73.63894653320312
2020-07-17,75.08301544189453
2020-07-20,72.2271728515625
2020-07-21,73.84872436523438
2020-07-22,75.13948059082031
2020-07-23,73.80030059814453
2020-07-24,73.14683532714844
2020-07-27,72.38851165771484
2020-07-28,73.5179443359375
2020-07-29,73.08230590820312
2020-07-30,71.2106704711914
2020-07-31,71.87220001220703
2020-08-03,69.57299041748047
2020-08-04,70.35553741455078
2020-08-05,69.88761901855469
2020-08-06,71.2348861694336
2020-08-07,72.63861083984375
2020-08-10,73.37274169921875
2020-08-11,72.57406616210938
2020-08-12,71.1300048828125
2020-08-13,69.57299041748047
2020-08-14,69.72627258300781
2020-08-17,69.58914184570312
2020-08-18,69.08088684082031
2020-08-19,67.90304565429688
2020-08-20,68.79048156738281
2020-08-21,67.97564697265625
2020-08-24,70.2909927368164
2020-08-25,71.3236083984375
2020-08-26,69.33906555175781
2020-08-27,71.3801040649414
2020-08-28,71.75118255615234
2020-08-31,70.08125305175781
2020-09-01,68.86306762695312
2020-09-02,70.1941909790039
2020-09-03,70.69435119628906
2020-09-04,70.8395767211914
2020-09-08,69.84730529785156
2020-09-09,68.98407745361328
2020-09-10,68.1692886352539
2020-09-11,67.12859344482422
2020-09-14,69.30680084228516
2020-09-15,70.80731964111328
2020-09-16,72.54986572265625
2020-09-17,70.88796997070312
2020-09-18,68.46778106689453
2020-09-21,65.4344482421875
2020-09-22,64.94233703613281
2020-09-23,63.73222732543945
2020-09-24,64.03878784179688
2020-09-25,64.84551239013672
2020-09-28,66.74134826660156
2020-09-29,65.54124450683594
2020-09-30,65.55757141113281
2020-10-01,67.62308502197266
2020-10-02,69.61511993408203
2020-10-05,68.98646545410156
2020-10-06,67.71288299560547
2020-10-07,67.25569152832031
2020-10-08,68.7170639038086
2020-10-09,67.5822525024414
2020-10-12,67.5169448852539
2020-10-13,65.11670684814453
2020-10-14,64.99423217773438
2020-10-15,64.90443420410156
2020-10-16,63.41040802001953
2020-10-19,62.0470085144043
2020-10-20,62.16130828857422
2020-10-21,62.087833404541016
2020-10-22,63.04303741455078
2020-10-23,63.41040802001953
2020-10-26,61.565338134765625
2020-10-27,60.201934814453125
2020-10-28,58.08742904663086
2020-10-29,58.48747253417969
2020-10-30,59.11610794067383
2020-11-02,62.087833404541016
2020-11-03,63.59819030761719
2020-11-04,60.81423568725586
2020-11-05,61.01833724975586
2020-11-06,59.93250274658203
2020-11-09,72.47252655029297
2020-11-10,75.54222869873047
2020-11-11,74.1298599243164
2020-11-12,71.10096740722656
2020-11-13,74.79930877685547
2020-11-16,78.86500549316406
2020-11-17,80.383544921875
2020-11-18,78.47314453125
2020-11-19,79.53446960449219
2020-11-20,80.31822204589844
2020-11-23,81.95919799804688
2020-11-24,85.25750732421875
2020-11-25,83.55936431884766
2020-11-27,83.62467193603516
2020-11-30,80.13861846923828
2020-12-01,81.50200653076172
2020-12-02,82.49803924560547
2020-12-03,84.35945892333984
2020-12-04,85.98409271240234
2020-12-07,84.0491943359375
2020-12-08,82.8327407836914
2020-12-09,82.03269958496094
2020-12-10,83.19197845458984
2020-12-11,81.62448120117188
2020-12-14,80.41619110107422
2020-12-15,82.45721435546875
2020-12-16,82.2122802734375
2020-12-17,81.98369598388672
2020-12-18,78.46498107910156
2020-12-21,76.7831802368164
2020-12-22,75.83613586425781
2020-12-23,75.599365234375
2020-12-24,76.6852035522461
2020-12-28,77.67305755615234
2020-12-29,76.16271209716797
2020-12-30,77.4498291015625
2020-12-31,77.99437713623047
2021-01-04,74.93334197998047
2021-01-05,74.3310317993164
2021-01-06,75.42839050292969
2021-01-07,74.46307373046875
2021-01-08,74.289794921875
2021-01-11,73.91848754882812
