,OXY
2021-05-24,24.508499145507812
2021-05-25,23.718524932861328
2021-05-26,24.36398696899414
2021-05-27,25.115432739257812
2021-05-28,25.00945472717285
2021-06-01,27.42755126953125
2021-06-02,28.159727096557617
2021-06-03,28.20789337158203
2021-06-04,28.073017120361328
2021-06-07,28.092287063598633
2021-06-08,28.12118911743164
2021-06-09,27.321306228637695
2021-06-10,27.30203628540039
2021-06-11,27.30203628540039
2021-06-14,27.253849029541016
2021-06-15,28.140464782714844
2021-06-16,29.431842803955078
2021-06-17,27.19602394104004
2021-06-18,26.9743709564209
2021-06-21,28.429576873779297
2021-06-22,28.92107391357422
2021-06-23,29.836599349975586
2021-06-24,30.588300704956055
2021-06-25,31.715839385986328
2021-06-28,30.106441497802734
2021-06-29,30.164262771606445
2021-06-30,30.13535499572754
2021-07-01,31.66765785217285
2021-07-02,31.397823333740234
2021-07-06,29.40293312072754
2021-07-07,28.410301208496094
2021-07-08,28.58377456665039
2021-07-09,29.142724990844727
2021-07-12,28.901798248291016
2021-07-13,28.9885311126709
2021-07-14,26.82017707824707
2021-07-15,26.241947174072266
2021-07-16,24.99875259399414
2021-07-19,23.919391632080078
2021-07-20,24.44944190979004
2021-07-21,26.193763732910156
2021-07-22,26.02992820739746
2021-07-23,25.615530014038086
2021-07-26,26.13593864440918
2021-07-27,25.307144165039062
2021-07-28,25.92392349243164
2021-07-29,25.80827522277832
2021-07-30,25.152952194213867
2021-08-02,24.854196548461914
2021-08-03,25.470972061157227
2021-08-04,24.757827758789062
2021-08-05,25.239683151245117
2021-08-06,25.43242835998535
2021-08-09,24.680727005004883
2021-08-10,25.307144165039062
2021-08-11,25.866100311279297
2021-08-12,25.895009994506836
2021-08-13,24.854196548461914
2021-08-16,23.89048194885254
2021-08-17,23.20624542236328
2021-08-18,22.59910774230957
2021-08-19,21.288454055786133
2021-08-20,21.153532028198242
2021-08-23,22.618379592895508
2021-08-24,23.495363235473633
2021-08-25,23.73628807067871
2021-08-26,23.129146575927734
2021-08-27,24.728912353515625
2021-08-30,24.333791732788086
2021-08-31,24.757827758789062
2021-09-01,24.169963836669922
2021-09-02,25.615530014038086
2021-09-03,24.979480743408203
2021-09-07,24.728912353515625
2021-09-08,24.006128311157227
2021-09-09,24.170026779174805
2021-09-10,24.083253860473633
2021-09-13,25.693307876586914
2021-09-14,25.33658790588379
2021-09-15,26.879148483276367
2021-09-16,26.348892211914062
2021-09-17,25.9728946685791
2021-09-20,24.565305709838867
2021-09-21,24.517101287841797
2021-09-22,25.789718627929688
2021-09-23,26.95627784729004
2021-09-24,27.09125518798828
2021-09-27,29.106225967407227
2021-09-28,28.82663345336914
2021-09-29,28.951969146728516
2021-09-30,28.518125534057617
2021-10-01,30.03176498413086
2021-10-04,30.668071746826172
2021-10-05,31.593608856201172
2021-10-06,30.85124969482422
2021-10-07,31.314010620117188
2021-10-08,32.4227409362793
2021-10-11,32.19135284423828
2021-10-12,31.824995040893555
2021-10-13,31.121198654174805
2021-10-14,30.84160614013672
2021-10-15,30.523454666137695
2021-10-18,31.74786376953125
2021-10-19,31.75750160217285
2021-10-20,32.16242980957031
2021-10-21,31.62253189086914
2021-10-22,32.71195983886719
2021-10-25,33.95565414428711
2021-10-26,34.090633392333984
2021-10-27,32.10457992553711
2021-10-28,32.61555480957031
2021-10-29,32.32632827758789
2021-11-01,33.56037902832031
2021-11-02,33.12653350830078
2021-11-03,32.63483428955078
2021-11-04,32.53843307495117
2021-11-05,32.22027587890625
2021-11-08,33.05904769897461
2021-11-09,32.528785705566406
2021-11-10,30.677711486816406
2021-11-11,30.96693992614746
2021-11-12,30.92837905883789
2021-11-15,30.831966400146484
2021-11-16,30.696992874145508
2021-11-17,29.655765533447266
2021-11-18,29.540067672729492
2021-11-19,28.074636459350586
2021-11-22,28.932687759399414
2021-11-23,30.774120330810547
2021-11-24,30.86088752746582
2021-11-26,28.633817672729492
2021-11-29,28.980894088745117
2021-11-30,28.585613250732422
2021-12-01,27.910741806030273
2021-12-02,28.585613250732422
2021-12-03,28.113203048706055
2021-12-06,28.768789291381836
2021-12-07,30.002840042114258
2021-12-08,29.6654052734375
2021-12-09,29.16390609741211
2021-12-10,29.675048828125
2021-12-13,28.189849853515625
2021-12-14,27.717281341552734
2021-12-15,27.505117416381836
2021-12-16,27.370094299316406
2021-12-17,27.042198181152344
2021-12-20,26.019914627075195
2021-12-21,27.582271575927734
2021-12-22,27.890878677368164
2021-12-23,27.8233699798584
2021-12-27,28.58525848388672
2021-12-28,28.430953979492188
2021-12-29,28.218782424926758
2021-12-30,27.93910026550293
2021-12-31,27.95838737487793
2022-01-03,29.954727172851562
2022-01-04,32.192169189453125
2022-01-05,30.678041458129883
2022-01-06,31.594236373901367
2022-01-07,32.02822494506836
2022-01-10,31.227758407592773
2022-01-11,33.46519470214844
2022-01-12,33.513427734375
2022-01-13,32.93477249145508
2022-01-14,34.24637985229492
2022-01-18,34.74787521362305
2022-01-19,34.55499267578125
2022-01-20,33.7063102722168
2022-01-21,32.54901123046875
2022-01-24,32.79975128173828
2022-01-25,35.46154022216797
2022-01-26,35.7412223815918
2022-01-27,35.93409729003906
2022-01-28,36.233070373535156
2022-01-31,36.329505920410156
2022-02-01,37.891868591308594
2022-02-02,38.21011734008789
2022-02-03,38.576602935791016
2022-02-04,39.3481330871582
2022-02-07,39.541011810302734
2022-02-08,37.94972229003906
2022-02-09,38.86592102050781
2022-02-10,39.232398986816406
2022-02-11,41.45055389404297
2022-02-14,39.76283264160156
2022-02-15,38.43193435668945
2022-02-16,38.23905563354492
2022-02-17,38.441585540771484
2022-02-18,38.15224838256836
2022-02-22,36.95637893676758
2022-02-23,37.31321716308594
2022-02-24,37.5350341796875
2022-02-25,37.36143493652344
2022-02-28,42.17386245727539
2022-03-01,45.124969482421875
2022-03-02,46.648746490478516
2022-03-03,46.05080795288086
2022-03-04,54.15189743041992
2022-03-07,53.409305572509766
2022-03-08,52.65705108642578
2022-03-09,55.586212158203125
2022-03-10,56.195247650146484
2022-03-11,56.02123260498047
2022-03-14,53.73978042602539
2022-03-15,52.71506118774414
2022-03-16,51.226318359375
2022-03-17,56.0792350769043
2022-03-18,54.36814880371094
2022-03-21,58.931053161621094
2022-03-22,57.65498352050781
2022-03-23,57.848323822021484
2022-03-24,55.827884674072266
2022-03-25,56.75593566894531
2022-03-28,54.75483322143555
2022-03-29,54.89984130859375
2022-03-30,55.566871643066406
2022-03-31,54.851505279541016
2022-04-01,56.175899505615234
2022-04-04,55.86655807495117
2022-04-05,53.86545181274414
2022-04-06,54.2327995300293
2022-04-07,55.76021957397461
2022-04-08,59.74309158325195
2022-04-11,55.99222946166992
2022-04-12,57.171630859375
2022-04-13,57.63565444946289
2022-04-14,57.364967346191406
2022-04-18,59.3274040222168
2022-04-19,58.37035369873047
2022-04-20,59.424072265625
2022-04-21,57.22963333129883
2022-04-22,54.73550033569336
2022-04-25,53.092079162597656
2022-04-26,52.99540710449219
2022-04-27,53.73978042602539
2022-04-28,55.13185501098633
2022-04-29,53.25642013549805
2022-05-02,56.359580993652344
2022-05-03,57.2682991027832
2022-05-04,59.52074432373047
2022-05-05,60.2167854309082
2022-05-06,62.778594970703125
2022-05-09,55.914886474609375
2022-05-10,57.432640075683594
2022-05-11,58.09967041015625
2022-05-12,57.24896240234375
2022-05-13,61.94720458984375
2022-05-16,65.46605682373047
2022-05-17,65.6787338256836
2022-05-18,62.15988540649414
2022-05-19,61.831199645996094
2022-05-20,61.15449142456055
2022-05-23,63.242584228515625
2022-05-24,62.90424728393555
2022-05-25,64.18032836914062
2022-05-26,66.37477111816406
2022-05-27,68.50153350830078
2022-05-31,67.00312042236328
2022-06-01,68.07618713378906
2022-06-02,66.99347686767578
2022-06-03,67.95050811767578
2022-06-06,67.29315948486328
2022-06-07,68.20185852050781
2022-06-08,66.73245239257812
2022-06-09,63.129478454589844
2022-06-10,61.86069107055664
2022-06-13,57.94779968261719
2022-06-14,60.136695861816406
2022-06-15,58.38363265991211
2022-06-16,55.02280044555664
2022-06-17,53.92835235595703
2022-06-21,56.04944610595703
2022-06-22,54.01551818847656
2022-06-23,54.3254508972168
2022-06-24,55.7104606628418
2022-06-27,57.04705047607422
2022-06-28,59.76865005493164
2022-06-29,57.24075698852539
2022-06-30,57.02767562866211
2022-07-01,58.53860092163086
2022-07-05,57.25044250488281
