,UNP
2018-02-21,113.76457977294922
2018-02-22,114.70907592773438
2018-02-23,115.88534545898438
2018-02-26,119.16520690917969
2018-02-27,115.43641662597656
2018-02-28,112.424072265625
2018-03-01,110.83588409423828
2018-03-02,110.91354370117188
2018-03-05,112.48448181152344
2018-03-06,113.32171630859375
2018-03-07,113.16635131835938
2018-03-08,114.17620849609375
2018-03-09,118.491943359375
2018-03-12,117.95679473876953
2018-03-13,118.10355377197266
2018-03-14,116.37725830078125
2018-03-15,117.61149597167969
2018-03-16,118.38837432861328
2018-03-19,118.23301696777344
2018-03-20,118.91488647460938
2018-03-21,119.59675598144531
2018-03-22,116.41175842285156
2018-03-23,113.88277435302734
2018-03-26,114.79768371582031
2018-03-27,113.33036804199219
2018-03-28,112.8642578125
2018-03-29,116.03199005126953
2018-04-02,114.88400268554688
2018-04-03,115.98883819580078
2018-04-04,114.71136474609375
2018-04-05,114.88400268554688
2018-04-06,112.44995880126953
2018-04-09,112.22555541992188
2018-04-10,112.31183624267578
2018-04-11,113.2440185546875
2018-04-12,116.0233383178711
2018-04-13,115.93704986572266
2018-04-16,118.3193359375
2018-04-17,118.84580993652344
2018-04-18,119.94203186035156
2018-04-19,119.1047592163086
2018-04-20,117.09364318847656
2018-04-23,117.41300964355469
2018-04-24,114.65096282958984
2018-04-25,117.43891906738281
2018-04-26,114.08991241455078
2018-04-27,116.69660949707031
2018-04-30,115.34146881103516
2018-05-01,114.56462860107422
2018-05-02,113.30445861816406
2018-05-03,113.70149230957031
2018-05-04,115.77304077148438
2018-05-07,116.43766784667969
2018-05-08,118.32792663574219
2018-05-09,120.75335693359375
2018-05-10,121.92720794677734
2018-05-11,122.87667083740234
2018-05-14,121.45246887207031
2018-05-15,121.08992004394531
2018-05-16,122.01355743408203
2018-05-17,122.9888916015625
2018-05-18,124.11959075927734
2018-05-21,125.22443389892578
2018-05-22,123.36006927490234
2018-05-23,124.52527618408203
2018-05-24,125.72509765625
2018-05-25,125.20710754394531
2018-05-29,124.33541870117188
2018-05-30,126.78182983398438
2018-05-31,123.84957885742188
2018-06-01,127.45854187011719
2018-06-04,124.02311706542969
2018-06-05,123.57196807861328
2018-06-06,123.50257110595703
2018-06-07,123.36376190185547
2018-06-08,125.3764419555664
2018-06-11,126.75581359863281
2018-06-12,126.74717712402344
2018-06-13,125.1681900024414
2018-06-14,125.74081420898438
2018-06-15,127.5453109741211
2018-06-18,127.13755798339844
2018-06-19,123.89295196533203
2018-06-20,124.37010955810547
2018-06-21,124.14456939697266
2018-06-22,124.8819351196289
2018-06-25,122.5222396850586
2018-06-26,122.54827880859375
2018-06-27,121.29034423828125
2018-06-28,122.07110595703125
2018-06-29,122.91261291503906
2018-07-02,124.1185531616211
2018-07-03,122.5222396850586
2018-07-05,123.40714263916016
2018-07-06,124.10983276367188
2018-07-09,125.83622741699219
2018-07-10,125.020751953125
2018-07-11,122.06244659423828
2018-07-12,121.68940734863281
2018-07-13,121.40312194824219
2018-07-16,120.49221801757812
2018-07-17,119.94562530517578
2018-07-18,122.53960418701172
2018-07-19,121.81086730957031
2018-07-20,122.67838287353516
2018-07-23,125.66272735595703
2018-07-24,123.5285873413086
2018-07-25,126.6950912475586
2018-07-26,128.1525421142578
2018-07-27,128.8812713623047
2018-07-30,128.84658813476562
2018-07-31,130.03512573242188
2018-08-01,128.71644592285156
2018-08-02,130.07850646972656
2018-08-03,129.939697265625
2018-08-06,129.35842895507812
2018-08-07,130.0264434814453
2018-08-08,130.11312866210938
2018-08-09,129.05479431152344
2018-08-10,129.12417602539062
2018-08-13,128.94200134277344
2018-08-14,130.29539489746094
2018-08-15,129.24569702148438
2018-08-16,129.47988891601562
2018-08-17,129.6620635986328
2018-08-20,130.8679656982422
2018-08-21,131.48385620117188
2018-08-22,130.40814208984375
2018-08-23,130.33876037597656
2018-08-24,130.24334716796875
2018-08-27,132.5422821044922
2018-08-28,131.206298828125
2018-08-29,130.84190368652344
2018-08-30,130.58029174804688
2018-08-31,131.36521911621094
2018-09-04,131.93214416503906
2018-09-05,134.46141052246094
2018-09-06,134.88003540039062
2018-09-07,135.2725372314453
2018-09-10,136.0225830078125
2018-09-11,136.3191375732422
2018-09-12,136.92088317871094
2018-09-13,136.60694885253906
2018-09-14,137.2872314453125
2018-09-17,136.67669677734375
2018-09-18,142.77310180664062
2018-09-19,141.9881591796875
2018-09-20,143.0435028076172
2018-09-21,143.898193359375
2018-09-24,142.31954956054688
2018-09-25,142.3544921875
2018-09-26,141.97943115234375
2018-09-27,142.86033630371094
2018-09-28,142.0143280029297
2018-10-01,143.29641723632812
2018-10-02,142.29342651367188
2018-10-03,142.21495056152344
2018-10-04,143.4185333251953
2018-10-05,142.8341522216797
2018-10-08,143.52317810058594
2018-10-09,141.6305389404297
2018-10-10,134.71434020996094
2018-10-11,132.6472930908203
2018-10-12,133.1357421875
2018-10-15,132.73452758789062
2018-10-16,133.5717315673828
2018-10-17,130.72853088378906
2018-10-18,129.53372192382812
2018-10-19,129.69064331054688
2018-10-22,128.0509796142578
2018-10-23,125.5217514038086
2018-10-24,122.49531555175781
2018-10-25,125.72235107421875
2018-10-26,124.49258422851562
2018-10-29,123.27152252197266
2018-10-30,127.58002471923828
2018-10-31,127.52770233154297
2018-11-01,128.36497497558594
2018-11-02,129.56854248046875
2018-11-05,129.57728576660156
2018-11-06,130.97276306152344
2018-11-07,133.3275909423828
2018-11-08,132.90896606445312
2018-11-09,131.0425567626953
2018-11-12,128.87953186035156
2018-11-13,129.5947723388672
2018-11-14,129.56854248046875
2018-11-15,132.0716552734375
2018-11-16,132.0629119873047
2018-11-19,131.3826446533203
2018-11-20,123.46341705322266
2018-11-21,125.6787338256836
2018-11-23,125.1902847290039
2018-11-26,124.51001739501953
2018-11-27,128.5394287109375
2018-11-28,132.5513916015625
2018-11-29,131.93765258789062
2018-11-30,134.83102416992188
2018-12-03,137.76820373535156
2018-12-04,134.17343139648438
2018-12-06,132.98976135253906
2018-12-07,129.281005859375
2018-12-10,129.79827880859375
2018-12-11,129.62289428710938
2018-12-12,129.18453979492188
2018-12-13,127.86933898925781
2018-12-14,125.00231170654297
2018-12-17,122.39826965332031
2018-12-18,122.5561294555664
2018-12-19,120.02220916748047
2018-12-20,118.0844955444336
2018-12-21,116.20821380615234
2018-12-24,112.4117660522461
2018-12-26,119.25941467285156
2018-12-27,120.24140167236328
2018-12-28,119.92572784423828
2018-12-31,121.19709014892578
2019-01-02,120.80255126953125
2019-01-03,116.33094787597656
2019-01-04,120.81130981445312
2019-01-07,121.56533813476562
2019-01-08,132.17433166503906
2019-01-09,131.83241271972656
2019-01-10,135.60256958007812
2019-01-11,134.3312225341797
2019-01-14,134.9274444580078
2019-01-15,133.69114685058594
2019-01-16,133.24400329589844
2019-01-17,135.58499145507812
2019-01-18,138.82911682128906
2019-01-22,135.91819763183594
2019-01-23,135.31320190429688
2019-01-24,140.5826416015625
2019-01-25,141.11749267578125
2019-01-28,140.1968536376953
2019-01-29,140.43360900878906
2019-01-30,141.00352478027344
2019-01-31,139.46917724609375
2019-02-01,139.9952392578125
2019-02-04,141.2753143310547
2019-02-05,141.4243927001953
2019-02-06,140.93336486816406
2019-02-07,141.66110229492188
2019-02-08,141.7926483154297
2019-02-11,144.0985870361328
2019-02-12,146.4658203125
2019-02-13,148.0703582763672
2019-02-14,148.72793579101562
2019-02-15,149.26275634765625
2019-02-19,150.2184600830078
2019-02-20,149.92034912109375
2019-02-21,149.201416015625
2019-02-22,149.10498046875
2019-02-25,148.65780639648438
2019-02-26,149.183837890625
2019-02-27,148.99876403808594
2019-02-28,147.80014038085938
2019-03-01,147.5709991455078
2019-03-04,147.50930786132812
2019-03-05,146.9893035888672
2019-03-06,146.22254943847656
2019-03-07,145.3676300048828
2019-03-08,144.80360412597656
2019-03-11,145.94932556152344
2019-03-12,145.27072143554688
2019-03-13,147.03338623046875
2019-03-14,145.57034301757812
2019-03-15,145.42056274414062
2019-03-18,146.51339721679688
2019-03-19,141.6748504638672
2019-03-20,141.8951873779297
2019-03-21,143.3141632080078
2019-03-22,141.56028747558594
2019-03-25,142.3358917236328
2019-03-26,142.60903930664062
2019-03-27,143.66668701171875
2019-03-28,145.59678649902344
2019-03-29,147.3594970703125
2019-04-01,150.63804626464844
2019-04-02,149.63333129882812
2019-04-03,149.4835205078125
2019-04-04,148.7607879638672
2019-04-05,148.6990966796875
2019-04-08,148.67266845703125
2019-04-09,146.38119506835938
2019-04-10,146.61036682128906
2019-04-11,146.89244079589844
2019-04-12,149.3865203857422
2019-04-15,147.73846435546875
2019-04-16,148.0469512939453
2019-04-17,149.19264221191406
2019-04-18,155.6969451904297
2019-04-22,156.6311492919922
2019-04-23,155.7586669921875
2019-04-24,155.8555908203125
2019-04-25,154.66575622558594
2019-04-26,156.19046020507812
2019-04-29,155.47662353515625
2019-04-30,156.03182983398438
2019-05-01,154.55117797851562
2019-05-02,155.018310546875
2019-05-03,157.93551635742188
2019-05-06,156.1376190185547
2019-05-07,154.0135498046875
2019-05-08,154.74508666992188
2019-05-09,154.7891387939453
2019-05-10,155.0447235107422
2019-05-13,151.40481567382812
2019-05-14,153.78443908691406
2019-05-15,153.1498565673828
2019-05-16,154.7891387939453
2019-05-17,153.8990020751953
2019-05-20,154.0047607421875
2019-05-21,154.26913452148438
2019-05-22,153.7579803466797
2019-05-23,152.16278076171875
2019-05-24,151.73971557617188
2019-05-28,149.6597900390625
2019-05-29,148.94586181640625
2019-05-30,150.15077209472656
2019-05-31,147.75872802734375
2019-06-03,147.36886596679688
2019-06-04,150.97474670410156
2019-06-05,152.80860900878906
2019-06-06,151.20504760742188
2019-06-07,152.35679626464844
2019-06-10,152.72891235351562
2019-06-11,151.5062713623047
2019-06-12,151.70118713378906
2019-06-13,148.08651733398438
2019-06-14,147.94480895996094
2019-06-17,145.95138549804688
2019-06-18,146.66015625
2019-06-19,147.0056610107422
2019-06-20,148.33453369140625
2019-06-21,149.6103515625
2019-06-24,148.1751251220703
2019-06-25,147.38662719726562
2019-06-26,146.9170684814453
2019-06-27,147.07655334472656
2019-06-28,149.82296752929688
2019-07-01,151.94039916992188
2019-07-02,151.70118713378906
2019-07-03,152.20619201660156
2019-07-05,150.63804626464844
2019-07-08,150.2482452392578
2019-07-09,150.257080078125
2019-07-10,150.23052978515625
2019-07-11,152.161865234375
2019-07-12,154.1995849609375
2019-07-15,152.99468994140625
2019-07-16,155.174072265625
2019-07-17,145.7830352783203
2019-07-18,154.3767852783203
2019-07-19,155.30703735351562
2019-07-22,153.78318786621094
2019-07-23,153.46424865722656
2019-07-24,154.4831085205078
2019-07-25,153.45542907714844
2019-07-26,154.35902404785156
2019-07-29,157.25611877441406
2019-07-30,158.850830078125
2019-07-31,159.42669677734375
2019-08-01,155.05010986328125
2019-08-02,153.7300262451172
2019-08-05,147.8118896484375
2019-08-06,149.13194274902344
2019-08-07,147.88278198242188
2019-08-08,150.3456573486328
2019-08-09,148.8484649658203
2019-08-12,146.77536010742188
2019-08-13,149.5305938720703
