,SYY
2016-11-22,44.163883209228516
2016-11-23,43.72307205200195
2016-11-25,44.02511215209961
2016-11-28,43.845516204833984
2016-11-29,43.99244689941406
2016-11-30,43.470001220703125
2016-12-01,43.34754943847656
2016-12-02,43.74755859375
2016-12-05,43.65775680541992
2016-12-06,44.041439056396484
2016-12-07,44.51491928100586
2016-12-08,44.35165023803711
2016-12-09,45.02104187011719
2016-12-12,44.9149169921875
2016-12-13,45.40472412109375
2016-12-14,45.31492233276367
2016-12-15,45.67412185668945
2016-12-16,46.008811950683594
2016-12-19,46.212894439697266
2016-12-20,46.09861755371094
2016-12-21,45.92717361450195
2016-12-22,45.91901779174805
2016-12-23,45.90268325805664
2016-12-27,45.85371398925781
2016-12-28,45.49452590942383
2016-12-29,45.64961624145508
2016-12-30,45.200645446777344
2017-01-03,44.898597717285156
2017-01-04,45.309226989746094
2017-01-05,45.16140365600586
2017-01-06,45.48169708251953
2017-01-09,45.72807693481445
2017-01-10,45.44063186645508
2017-01-11,45.407779693603516
2017-01-12,45.08748245239258
2017-01-13,45.14497756958008
2017-01-17,45.0710563659668
2017-01-18,45.37491989135742
2017-01-19,44.03627395629883
2017-01-20,44.19230270385742
2017-01-23,43.95413589477539
2017-01-24,43.95413589477539
2017-01-25,43.56813430786133
2017-01-26,43.551719665527344
2017-01-27,43.280696868896484
2017-01-30,43.31355285644531
2017-01-31,43.083595275878906
2017-02-01,42.74687957763672
2017-02-02,43.01790237426758
2017-02-03,43.1492919921875
2017-02-06,42.04880142211914
2017-02-07,42.89471435546875
2017-02-08,42.566200256347656
2017-02-09,42.911128997802734
2017-02-10,43.21500778198242
2017-02-13,43.371036529541016
2017-02-14,43.30534362792969
2017-02-15,43.3217658996582
2017-02-16,43.22322082519531
2017-02-17,42.99325942993164
2017-02-21,43.371036529541016
2017-02-22,43.3217658996582
2017-02-23,43.43674087524414
2017-02-24,43.69132995605469
2017-02-27,43.40389633178711
2017-02-28,43.297122955322266
2017-03-01,43.6502685546875
2017-03-02,43.346412658691406
2017-03-03,42.861846923828125
2017-03-06,42.83721923828125
2017-03-07,42.95219802856445
2017-03-08,42.97683334350586
2017-03-09,43.050750732421875
2017-03-10,42.83721923828125
2017-03-13,42.60725784301758
2017-03-14,42.59904479980469
2017-03-15,43.18214797973633
2017-03-16,42.960411071777344
2017-03-17,43.31355285644531
2017-03-20,42.80436325073242
2017-03-21,42.541561126708984
2017-03-22,43.14109420776367
2017-03-23,43.239646911621094
2017-03-24,43.371036529541016
2017-03-27,42.73866271972656
2017-03-28,42.87006378173828
2017-03-29,42.549774169921875
2017-03-30,42.72223663330078
2017-03-31,42.640113830566406
2017-04-03,42.45122146606445
2017-04-04,42.385520935058594
2017-04-05,42.61695098876953
2017-04-06,42.683074951171875
2017-04-07,42.80704879760742
2017-04-10,43.005435943603516
2017-04-11,43.046756744384766
2017-04-12,43.15421676635742
2017-04-13,42.897987365722656
2017-04-17,43.07981491088867
2017-04-18,43.31125259399414
2017-04-19,43.07155990600586
2017-04-20,43.35258483886719
2017-04-21,43.14595413208008
2017-04-24,43.691471099853516
2017-04-25,43.914642333984375
2017-04-26,43.98075485229492
2017-04-27,44.162601470947266
2017-04-28,43.69974136352539
2017-05-01,43.683197021484375
2017-05-02,43.69974136352539
2017-05-03,43.73279571533203
2017-05-04,45.12966537475586
2017-05-05,45.716514587402344
2017-05-08,45.37763595581055
2017-05-09,45.385902404785156
2017-05-10,45.080074310302734
2017-05-11,45.46855163574219
2017-05-12,44.59239959716797
2017-05-15,44.66680145263672
2017-05-16,44.7907829284668
2017-05-17,44.96436309814453
2017-05-18,44.989158630371094
2017-05-19,45.11314392089844
2017-05-22,45.41896438598633
2017-05-23,44.82384490966797
2017-05-24,44.815582275390625
2017-05-25,44.865177154541016
2017-05-26,44.989158630371094
2017-05-30,44.799041748046875
2017-05-31,45.09661102294922
2017-06-01,45.7909049987793
2017-06-02,46.06367111206055
2017-06-05,45.84877395629883
2017-06-06,45.54294967651367
2017-06-07,45.25364685058594
2017-06-08,45.452022552490234
2017-06-09,45.617332458496094
2017-06-12,45.72478485107422
2017-06-13,45.774375915527344
2017-06-14,45.80743408203125
2017-06-15,45.898353576660156
2017-06-16,44.947818756103516
2017-06-19,45.047019958496094
2017-06-20,44.51802444458008
2017-06-21,44.09648513793945
2017-06-22,43.62535095214844
2017-06-23,41.26141357421875
2017-06-26,41.28620910644531
2017-06-27,40.72415542602539
2017-06-28,41.2200813293457
2017-06-29,41.21181869506836
2017-06-30,41.600284576416016
2017-07-03,41.77387237548828
2017-07-05,41.08332824707031
2017-07-06,40.858673095703125
2017-07-07,41.14157485961914
2017-07-10,41.07500457763672
2017-07-11,40.96685028076172
2017-07-12,41.76554870605469
2017-07-13,41.92362976074219
2017-07-14,42.07338333129883
2017-07-17,42.19818115234375
2017-07-18,41.92362976074219
2017-07-19,42.431129455566406
2017-07-20,42.281368255615234
2017-07-21,42.49769592285156
2017-07-24,42.888736724853516
2017-07-25,43.23816680908203
2017-07-26,43.35463333129883
2017-07-27,43.72903060913086
2017-07-28,43.47111511230469
2017-07-31,43.77895736694336
2017-08-01,43.74567794799805
2017-08-02,43.82887268066406
2017-08-03,43.3463134765625
2017-08-04,43.53768539428711
2017-08-07,43.6624755859375
2017-08-08,43.32968521118164
2017-08-09,42.69738006591797
2017-08-10,42.32298278808594
2017-08-11,42.913692474365234
2017-08-14,42.50601577758789
2017-08-15,42.9220085144043
2017-08-16,42.589210510253906
2017-08-17,42.589210510253906
2017-08-18,42.57257843017578
2017-08-21,42.57257843017578
2017-08-22,42.93864822387695
2017-08-23,42.98023986816406
2017-08-24,42.614173889160156
2017-08-25,43.529354095458984
2017-08-28,43.37958526611328
2017-08-29,43.50440216064453
2017-08-30,43.853824615478516
2017-08-31,43.820556640625
2017-09-01,44.07014846801758
2017-09-05,44.11174392700195
2017-09-06,44.020233154296875
2017-09-07,44.18663024902344
2017-09-08,44.02854537963867
2017-09-11,44.33637237548828
2017-09-12,43.97031021118164
2017-09-13,44.50278091430664
2017-09-14,43.82887268066406
2017-09-15,44.64420700073242
2017-09-18,44.86885452270508
2017-09-19,44.86052703857422
2017-09-20,45.251564025878906
2017-09-21,44.81893539428711
2017-09-22,44.402931213378906
2017-09-25,45.001956939697266
2017-09-26,45.01860427856445
2017-09-27,45.035240173339844
2017-09-28,44.968685150146484
2017-09-29,44.88549041748047
2017-10-02,44.91044998168945
2017-10-03,44.710777282714844
2017-10-04,45.126766204833984
2017-10-05,45.444854736328125
2017-10-06,45.39462661743164
2017-10-09,45.1769905090332
2017-10-10,45.14351272583008
