,CDW
2020-06-08,121.8677978515625
2020-06-09,118.18201446533203
2020-06-10,115.6171875
2020-06-11,105.0063247680664
2020-06-12,108.38813781738281
2020-06-15,108.1981430053711
2020-06-16,113.3943099975586
2020-06-17,111.3139419555664
2020-06-18,111.37093353271484
2020-06-19,111.09547424316406
2020-06-22,110.37349700927734
2020-06-23,110.14552307128906
2020-06-24,105.90878295898438
2020-06-25,106.81123352050781
2020-06-26,103.05895233154297
2020-06-29,108.29313659667969
2020-06-30,110.364013671875
2020-07-01,109.74655151367188
2020-07-02,111.2474365234375
2020-07-06,111.66543579101562
2020-07-07,108.35013580322266
2020-07-08,107.70417022705078
2020-07-09,106.87773895263672
2020-07-10,108.14114379882812
2020-07-13,106.94422912597656
2020-07-14,108.6731185913086
2020-07-15,111.80790710449219
2020-07-16,110.85794830322266
2020-07-17,112.57738494873047
2020-07-20,112.26388549804688
2020-07-21,111.14295959472656
2020-07-22,113.11883544921875
2020-07-23,112.84333801269531
2020-07-24,108.82510375976562
2020-07-27,110.4780044555664
2020-07-28,108.15065002441406
2020-07-29,109.85104370117188
2020-07-30,109.8985366821289
2020-07-31,110.43048858642578
2020-08-03,111.57994079589844
2020-08-04,113.53679656982422
2020-08-05,110.90546417236328
2020-08-06,109.0436019897461
2020-08-07,109.02457427978516
2020-08-10,107.34320068359375
2020-08-11,111.34246063232422
2020-08-12,110.77246856689453
2020-08-13,108.84410095214844
2020-08-14,107.83716583251953
2020-08-17,107.9321517944336
2020-08-18,105.42431640625
2020-08-19,106.38375854492188
2020-08-20,106.6972427368164
2020-08-21,105.5858154296875
2020-08-24,107.03466796875
2020-08-25,106.90122985839844
2020-08-26,105.96708679199219
2020-08-27,109.4653091430664
2020-08-28,109.94192504882812
2020-08-31,108.33102416992188
2020-09-01,107.32061004638672
2020-09-02,112.0294418334961
2020-09-03,106.9202880859375
2020-09-04,108.90294647216797
2020-09-08,106.49134063720703
2020-09-09,105.37611389160156
2020-09-10,104.9281005859375
2020-09-11,106.11006927490234
2020-09-14,107.85443115234375
2020-09-15,108.83622741699219
2020-09-16,108.578857421875
2020-09-17,108.88388061523438
2020-09-18,107.53986358642578
2020-09-21,103.71753692626953
2020-09-22,105.01388549804688
2020-09-23,104.09881591796875
2020-09-24,105.26171875
2020-09-25,107.46361541748047
2020-09-28,111.04763793945312
2020-09-29,112.582275390625
2020-09-30,113.93582153320312
2020-10-01,117.72003173828125
2020-10-02,117.71049499511719
2020-10-05,119.98863220214844
2020-10-06,117.3101577758789
2020-10-07,120.03629302978516
2020-10-08,120.29366302490234
2020-10-09,120.0934829711914
2020-10-12,123.92533874511719
2020-10-13,123.84908294677734
2020-10-14,123.45829010009766
2020-10-15,123.7251968383789
2020-10-16,124.50678253173828
2020-10-19,122.82917022705078
2020-10-20,123.26765441894531
2020-10-21,122.81011199951172
2020-10-22,123.38203430175781
2020-10-23,123.91580963134766
2020-10-26,119.78846740722656
2020-10-27,117.51032257080078
2020-10-28,113.17327880859375
2020-10-29,115.28936767578125
2020-10-30,116.86214447021484
2020-11-02,120.5319595336914
2020-11-03,124.60212707519531
2020-11-04,127.58562469482422
2020-11-05,131.7129669189453
2020-11-06,131.5890655517578
2020-11-09,137.2129669189453
2020-11-10,131.0933837890625
2020-11-11,132.20860290527344
