,PRU
2015-09-08,53.29269027709961
2015-09-09,52.35877990722656
2015-09-10,52.665626525878906
2015-09-11,52.69229507446289
2015-09-14,52.37211608886719
2015-09-15,53.67289352416992
2015-09-16,53.953086853027344
2015-09-17,52.15865707397461
2015-09-18,50.584354400634766
2015-09-21,51.46488571166992
2015-09-22,50.59101486206055
2015-09-23,50.85118103027344
2015-09-24,50.717777252197266
2015-09-25,51.53158950805664
2015-09-28,49.72382354736328
2015-09-29,50.02401351928711
2015-09-30,50.837833404541016
2015-10-01,50.897884368896484
2015-10-02,50.29750442504883
2015-10-05,51.551612854003906
2015-10-06,51.17136001586914
2015-10-07,51.8851432800293
2015-10-08,52.218692779541016
2015-10-09,52.08526611328125
2015-10-12,51.99189376831055
2015-10-13,51.46488571166992
2015-10-14,51.03129959106445
2015-10-15,52.29206085205078
2015-10-16,52.879085540771484
2015-10-19,52.83906555175781
2015-10-20,53.21263122558594
2015-10-21,52.93912124633789
2015-10-22,54.299964904785156
2015-10-23,55.0203971862793
2015-10-26,54.753578186035156
2015-10-27,53.706260681152344
2015-10-28,56.00767135620117
2015-10-29,55.64079666137695
2015-10-30,55.033748626708984
2015-11-02,56.14773941040039
2015-11-03,56.71479034423828
2015-11-04,56.314544677734375
2015-11-05,56.26783752441406
2015-11-06,58.495872497558594
2015-11-09,57.38185119628906
2015-11-10,57.581966400146484
2015-11-11,57.868831634521484
2015-11-12,56.49466323852539
2015-11-13,56.227813720703125
2015-11-16,57.135032653808594
2015-11-17,57.00829315185547
2015-11-18,58.289085388183594
2015-11-19,58.30241394042969
2015-11-20,58.188106536865234
2015-11-23,57.925838470458984
2015-11-24,57.777889251708984
2015-11-25,57.68375015258789
2015-11-27,58.01997375488281
2015-11-30,58.20155334472656
2015-12-01,58.833656311035156
2015-12-02,57.999813079833984
2015-12-03,56.84318161010742
2015-12-04,58.31588363647461
2015-12-07,57.8922004699707
2015-12-08,57.05162811279297
2015-12-09,56.540565490722656
2015-12-10,56.34554672241211
2015-12-11,54.260921478271484
2015-12-14,54.260921478271484
2015-12-15,55.85465621948242
2015-12-16,56.614540100097656
2015-12-17,55.04096603393555
2015-12-18,53.49430465698242
2015-12-21,53.83054733276367
2015-12-22,54.79889678955078
2015-12-23,55.78741455078125
2015-12-24,55.5117073059082
2015-12-28,55.44445037841797
2015-12-29,55.955535888671875
2015-12-30,55.256160736083984
2015-12-31,54.745094299316406
2016-01-04,53.68932342529297
2016-01-05,53.50776672363281
2016-01-06,51.72573471069336
2016-01-07,49.620941162109375
2016-01-08,49.123313903808594
2016-01-11,49.01572036743164
2016-01-12,49.17038345336914
2016-01-13,48.29618453979492
2016-01-14,48.46430206298828
2016-01-15,47.18662643432617
2016-01-19,46.59486389160156
2016-01-20,45.29701614379883
2016-01-21,45.8148078918457
2016-01-22,46.98488235473633
2016-01-25,45.64668273925781
2016-01-26,46.47383117675781
2016-01-27,46.07033157348633
2016-01-28,46.292240142822266
2016-01-29,47.12610626220703
2016-02-01,46.78314208984375
2016-02-02,45.2095947265625
2016-02-03,44.91371536254883
2016-02-04,45.04148483276367
2016-02-05,43.94536209106445
2016-02-08,42.58698272705078
2016-02-09,42.76183319091797
2016-02-10,43.07788848876953
2016-02-11,39.00277328491211
2016-02-12,41.450523376464844
2016-02-16,42.66095733642578
2016-02-17,44.78593826293945
2016-02-18,44.47660446166992
2016-02-19,44.4222297668457
2016-02-22,44.91158676147461
2016-02-23,43.898887634277344
2016-02-24,43.980464935302734
2016-02-25,44.904788970947266
2016-02-26,45.530067443847656
2016-02-29,44.91837692260742
2016-03-01,47.78652572631836
2016-03-02,48.09236526489258
2016-03-03,48.8467903137207
2016-03-04,48.57493591308594
2016-03-07,49.023494720458984
2016-03-08,47.78652572631836
2016-03-09,47.85448455810547
2016-03-10,47.956443786621094
2016-03-11,49.988624572753906
2016-03-14,49.61478805541992
2016-03-15,49.22059631347656
2016-03-16,49.31575012207031
2016-03-17,49.8594856262207
2016-03-18,50.9333381652832
2016-03-21,50.66826629638672
2016-03-22,50.376014709472656
2016-03-23,49.49925994873047
2016-03-24,48.09236526489258
2016-03-28,48.941951751708984
2016-03-29,48.60890579223633
2016-03-30,49.58081817626953
2016-03-31,49.08466339111328
2016-04-01,49.78470993041992
2016-04-04,49.12545394897461
2016-04-05,48.391414642333984
2016-04-06,48.8264045715332
2016-04-07,47.5826301574707
2016-04-08,47.69138717651367
2016-04-11,48.62251663208008
2016-04-12,49.79829406738281
2016-04-13,51.497432708740234
2016-04-14,51.85087203979492
2016-04-15,51.66055679321289
2016-04-18,52.09553146362305
2016-04-19,52.67323684692383
2016-04-20,53.61796569824219
2016-04-21,53.4140739440918
2016-04-22,54.08693313598633
2016-04-25,53.590789794921875
2016-04-26,54.175289154052734
2016-04-27,54.13451385498047
2016-04-28,52.97229766845703
2016-04-29,52.76837921142578
2016-05-02,53.46843719482422
2016-05-03,52.6528434753418
2016-05-04,51.8372688293457
2016-05-05,51.53821563720703
2016-05-06,51.6877326965332
2016-05-09,51.40229415893555
2016-05-10,52.4421501159668
2016-05-11,51.79648971557617
2016-05-12,51.94601821899414
2016-05-13,51.2459602355957
2016-05-16,51.619773864746094
2016-05-17,51.592594146728516
2016-05-18,53.706302642822266
2016-05-19,52.87714767456055
2016-05-20,53.26806640625
2016-05-23,52.945716857910156
2016-05-24,53.98817825317383
2016-05-25,54.65342330932617
2016-05-26,53.816734313964844
2016-05-27,54.550567626953125
2016-05-31,54.3516731262207
2016-06-01,54.05677032470703
2016-06-02,53.99504089355469
2016-06-03,52.20502853393555
2016-06-06,52.99371337890625
2016-06-07,52.685115814208984
2016-06-08,52.67826461791992
2016-06-09,51.539791107177734
2016-06-10,50.43560791015625
2016-06-13,50.14755630493164
2016-06-14,49.365718841552734
2016-06-15,49.22169494628906
2016-06-16,49.20112228393555
2016-06-17,49.50972366333008
2016-06-20,50.20927047729492
2016-06-21,50.55903625488281
2016-06-22,50.77164840698242
2016-06-23,52.774269104003906
2016-06-24,48.631874084472656
2016-06-27,45.90229034423828
2016-06-28,47.11620330810547
2016-06-29,48.103797912597656
2016-06-30,48.926780700683594
