,CTRA
2022-04-11,24.82631492614746
2022-04-12,24.73042869567871
2022-04-13,25.392927169799805
2022-04-14,25.645723342895508
2022-04-18,26.822532653808594
2022-04-19,26.561017990112305
2022-04-20,26.962005615234375
2022-04-21,26.125164031982422
2022-04-22,25.244735717773438
2022-04-25,24.983226776123047
2022-04-26,24.8873348236084
2022-04-27,25.148849487304688
2022-04-28,25.410362243652344
2022-04-29,25.096546173095703
2022-05-02,25.209867477416992
2022-05-03,27.59835433959961
2022-05-04,28.565954208374023
2022-05-05,27.781414031982422
2022-05-06,28.374176025390625
2022-05-09,25.558551788330078
2022-05-10,25.820066452026367
2022-05-11,25.785200119018555
2022-05-12,25.865276336669922
2022-05-13,26.497005462646484
2022-05-16,27.191015243530273
2022-05-17,27.626998901367188
2022-05-18,27.306684494018555
2022-05-19,27.066450119018555
2022-05-20,27.306684494018555
2022-05-23,28.80147933959961
2022-05-24,29.006122589111328
2022-05-25,30.198402404785156
2022-05-26,30.830129623413086
2022-05-27,31.604215621948242
2022-05-31,30.54541015625
2022-06-01,31.310596466064453
2022-06-02,31.123743057250977
2022-06-03,31.30170440673828
2022-06-06,31.986812591552734
2022-06-07,32.129180908203125
2022-06-08,31.835556030273438
2022-06-09,31.105953216552734
2022-06-10,30.527610778808594
2022-06-13,28.970535278320312
2022-06-14,27.68038558959961
2022-06-15,27.288888931274414
2022-06-16,25.473779678344727
2022-06-17,23.61418914794922
2022-06-21,24.530635833740234
2022-06-22,24.0501708984375
2022-06-23,23.044742584228516
2022-06-24,23.445133209228516
2022-06-27,24.0501708984375
2022-06-28,24.637409210205078
2022-06-29,23.76544761657715
2022-06-30,22.946868896484375
2022-07-01,23.427337646484375
2022-07-05,22.777814865112305
2022-07-06,22.5286808013916
2022-07-07,23.47182846069336
2022-07-08,23.409542083740234
2022-07-11,23.480724334716797
2022-07-12,23.436237335205078
2022-07-13,24.14804458618164
2022-07-14,23.409542083740234
2022-07-15,23.952295303344727
2022-07-18,24.39717674255371
2022-07-19,25.037799835205078
2022-07-20,25.722915649414062
2022-07-21,24.96661949157715
2022-07-22,24.65520668029785
2022-07-25,25.705116271972656
2022-07-26,26.203384399414062
2022-07-27,26.746135711669922
2022-07-28,26.532596588134766
2022-07-29,27.217710494995117
2022-08-01,26.310155868530273
2022-08-02,26.14109992980957
2022-08-03,25.518272399902344
2022-08-04,24.370485305786133
2022-08-05,24.8509521484375
2022-08-08,24.75307846069336
2022-08-09,25.028905868530273
2022-08-10,25.20685577392578
2022-08-11,26.096614837646484
2022-08-12,26.078414916992188
2022-08-15,25.79633903503418
2022-08-16,26.551576614379883
2022-08-17,26.706262588500977
2022-08-18,27.825468063354492
2022-08-19,27.570690155029297
2022-08-22,27.825468063354492
2022-08-23,27.579788208007812
2022-08-24,28.453317642211914
2022-08-25,28.444217681884766
2022-08-26,28.089344024658203
2022-08-29,28.67169952392578
2022-08-30,27.661684036254883
2022-08-31,28.12574577331543
2022-09-01,27.506994247436523
2022-09-02,27.397808074951172
2022-09-06,26.53337860107422
2022-09-07,26.47878074645996
2022-09-08,26.496980667114258
2022-09-09,27.08843231201172
2022-09-12,27.925559997558594
2022-09-13,27.352306365966797
2022-09-14,29.326841354370117
2022-09-15,27.998355865478516
2022-09-16,26.151206970214844
2022-09-19,26.333194732666016
2022-09-20,26.31499671936035
2022-09-21,26.096614837646484
2022-09-22,25.514265060424805
2022-09-23,23.9855899810791
2022-09-26,23.039270401000977
2022-09-27,23.212154388427734
2022-09-28,24.25856590270996
2022-09-29,23.63071632385254
2022-09-30,23.767210006713867
2022-10-03,24.895517349243164
2022-10-04,26.0056209564209
2022-10-05,26.196704864501953
2022-10-06,26.260400772094727
2022-10-07,26.56977081298828
2022-10-10,25.905527114868164
2022-10-11,26.20580291748047
2022-10-12,27.11573028564453
2022-10-13,27.716278076171875
2022-10-14,25.860031127929688
2022-10-17,26.31499671936035
2022-10-18,26.788156509399414
2022-10-19,27.406902313232422
2022-10-20,27.01563835144043
2022-10-21,26.9974365234375
2022-10-24,27.552494049072266
2022-10-25,27.4342041015625
2022-10-26,27.543392181396484
2022-10-27,27.42510223388672
2022-10-28,27.388708114624023
2022-10-31,28.325925827026367
2022-11-01,27.98015594482422
2022-11-02,27.916461944580078
2022-11-03,27.852766036987305
2022-11-04,26.324094772338867
2022-11-07,26.851850509643555
2022-11-08,26.506078720092773
2022-11-09,24.331361770629883
2022-11-10,25.050203323364258
2022-11-11,25.887332916259766
2022-11-14,25.59615707397461
2022-11-15,25.931842803955078
2022-11-16,24.635717391967773
2022-11-17,24.99005126953125
