,WAB
2016-10-17,75.99063873291016
2016-10-18,76.99105072021484
2016-10-19,79.05847930908203
2016-10-20,78.6297378540039
2016-10-21,78.61067962646484
2016-10-24,78.01997375488281
2016-10-25,74.8949966430664
2016-10-26,73.46587371826172
2016-10-27,73.38966369628906
2016-10-28,73.18958282470703
2016-10-31,73.65643310546875
2016-11-01,72.62748718261719
2016-11-02,71.39844512939453
2016-11-03,71.85574340820312
2016-11-04,72.69416809082031
2016-11-07,75.34278869628906
2016-11-08,74.67585754394531
2016-11-09,78.12921142578125
2016-11-10,80.52362823486328
2016-11-11,81.47759246826172
2016-11-14,83.21380615234375
2016-11-15,84.02466583251953
2016-11-16,82.82266235351562
2016-11-17,82.23118591308594
2016-11-18,81.6874771118164
2016-11-21,82.63188171386719
2016-11-22,82.8512954711914
2016-11-23,82.95622253417969
2016-11-25,82.51744842529297
2016-11-28,80.98152160644531
2016-11-29,80.5904312133789
2016-11-30,80.77166748046875
2016-12-01,82.07858276367188
2016-12-02,82.71774291992188
2016-12-05,84.06282043457031
2016-12-06,83.51907348632812
2016-12-07,83.1851577758789
2016-12-08,80.71441650390625
2016-12-09,79.57920837402344
2016-12-12,78.89234924316406
2016-12-13,77.42326354980469
2016-12-14,76.5074462890625
2016-12-15,76.66011047363281
2016-12-16,75.87785339355469
2016-12-19,76.34527587890625
2016-12-20,78.03379821777344
2016-12-21,80.06572723388672
2016-12-22,79.25484466552734
2016-12-23,80.04666137695312
2016-12-27,81.1150894165039
2016-12-28,79.7032241821289
2016-12-29,79.69365692138672
2016-12-30,79.19761657714844
2017-01-03,80.15157318115234
2017-01-04,81.57299041748047
2017-01-05,80.01803588867188
2017-01-06,80.66670989990234
2017-01-09,80.18974304199219
2017-01-10,81.3822021484375
2017-01-11,81.36309814453125
2017-01-12,81.1150894165039
2017-01-13,81.96410369873047
2017-01-17,82.75588989257812
2017-01-18,83.22333526611328
2017-01-19,82.91807556152344
2017-01-20,82.19305419921875
2017-01-23,80.75257873535156
2017-01-24,82.42204284667969
2017-01-25,84.18681335449219
2017-01-26,83.1183853149414
2017-01-27,83.97697448730469
2017-01-30,82.7272720336914
2017-01-31,82.65095520019531
2017-02-01,82.78451538085938
2017-02-02,82.09764862060547
2017-02-03,83.54767608642578
2017-02-06,82.65095520019531
2017-02-07,82.345703125
2017-02-08,81.48613739013672
2017-02-09,82.3265609741211
2017-02-10,83.37716674804688
2017-02-13,83.72100067138672
2017-02-14,82.85187530517578
2017-02-15,84.50415802001953
2017-02-16,84.09346771240234
2017-02-17,83.82603454589844
2017-02-21,78.99340057373047
2017-02-22,76.56755065917969
2017-02-23,74.66696166992188
2017-02-24,75.87989807128906
2017-02-27,77.29340362548828
2017-02-28,76.51978302001953
2017-03-01,77.69450378417969
2017-03-02,76.44338989257812
2017-03-03,76.3001480102539
2017-03-06,76.36698913574219
2017-03-07,75.92766571044922
2017-03-08,75.66024017333984
2017-03-09,74.94393920898438
2017-03-10,74.0652847290039
2017-03-13,74.75291442871094
2017-03-14,73.87425994873047
2017-03-15,74.0652847290039
2017-03-16,73.75011444091797
2017-03-17,73.85517883300781
2017-03-20,73.7978744506836
2017-03-21,72.7186279296875
2017-03-22,72.6708984375
2017-03-23,72.55628204345703
2017-03-24,72.45122528076172
2017-03-27,71.6489486694336
2017-03-28,72.4034652709961
2017-03-29,73.36808776855469
2017-03-30,73.7883071899414
2017-03-31,74.49506378173828
2017-04-03,74.53326416015625
2017-04-04,73.86470794677734
2017-04-05,73.89339447021484
2017-04-06,75.45011901855469
2017-04-07,76.6343994140625
2017-04-10,77.50350189208984
2017-04-11,77.7040786743164
2017-04-12,76.08999633789062
2017-04-13,75.45967102050781
2017-04-17,77.28385925292969
2017-04-18,77.07373809814453
2017-04-19,77.29340362548828
