,WEC
2014-12-24,39.01835632324219
2014-12-26,39.73956298828125
2014-12-29,40.234947204589844
2014-12-30,39.12763595581055
2014-12-31,38.42099380493164
2015-01-02,38.74882507324219
2015-01-05,38.275291442871094
2015-01-06,38.377281188964844
2015-01-07,38.850807189941406
2015-01-08,39.280616760253906
2015-01-09,39.06206512451172
2015-01-12,38.94551467895508
2015-01-13,39.13492202758789
2015-01-14,39.60115432739258
2015-01-15,40.10382843017578
2015-01-16,40.69390869140625
2015-01-20,40.621055603027344
2015-01-21,41.12371063232422
2015-01-22,41.24028396606445
2015-01-23,41.48797607421875
2015-01-26,41.53895950317383
2015-01-27,41.58995819091797
2015-01-28,41.37140655517578
2015-01-29,41.86679458618164
2015-01-30,40.628334045410156
2015-02-02,40.95616912841797
2015-02-03,40.76675796508789
2015-02-04,40.293235778808594
2015-02-05,40.81046676635742
2015-02-06,38.92366027832031
2015-02-09,38.3262825012207
2015-02-10,39.18590545654297
2015-02-11,38.005226135253906
2015-02-12,38.37969970703125
2015-02-13,37.41781997680664
2015-02-17,37.454524993896484
2015-02-18,38.33564376831055
2015-02-19,37.79229736328125
2015-02-20,38.13005828857422
2015-02-23,38.577945709228516
2015-02-24,38.5926399230957
2015-02-25,37.865718841552734
2015-02-26,37.29299545288086
2015-02-27,37.43251419067383
2015-03-02,36.79369354248047
2015-03-03,37.20488739013672
2015-03-04,36.66887664794922
2015-03-05,37.065372467041016
2015-03-06,35.538124084472656
2015-03-09,35.69966506958008
2015-03-10,35.50140380859375
2015-03-11,35.112239837646484
2015-03-12,35.655601501464844
2015-03-13,35.39860916137695
2015-03-16,36.022735595703125
2015-03-17,35.758392333984375
2015-03-18,36.654178619384766
2015-03-19,36.44126892089844
2015-03-20,36.85245132446289
2015-03-23,36.83776092529297
2015-03-24,36.43389892578125
2015-03-25,36.04475784301758
2015-03-26,35.883216857910156
2015-03-27,36.309085845947266
2015-03-30,36.514678955078125
2015-03-31,36.34580993652344
2015-04-01,36.66153335571289
2015-04-02,36.55874252319336
2015-04-06,36.881805419921875
2015-04-07,36.37518310546875
2015-04-08,36.24300003051758
2015-04-09,36.01538848876953
2015-04-10,36.4559440612793
2015-04-13,36.29439926147461
2015-04-14,36.55140686035156
2015-04-15,36.492652893066406
2015-04-16,36.309085845947266
2015-04-17,36.37518310546875
2015-04-20,36.95524597167969
2015-04-21,36.83776092529297
2015-04-22,36.91852569580078
2015-04-23,37.19754409790039
2015-04-24,37.5279655456543
2015-04-27,36.86712646484375
2015-04-28,36.96258544921875
2015-04-29,36.63949966430664
2015-04-30,36.06678771972656
2015-05-01,36.41923904418945
2015-05-04,36.60279083251953
2015-05-05,35.22237777709961
2015-05-06,34.987430572509766
2015-05-07,35.097564697265625
2015-05-08,35.31050491333008
2015-05-11,35.163639068603516
2015-05-12,35.04734420776367
2015-05-13,34.699161529541016
