,AJG
2022-09-06,177.01234436035156
2022-09-07,182.5702667236328
2022-09-08,183.06927490234375
2022-09-09,184.37069702148438
2022-09-12,183.5977020263672
2022-09-13,180.8383331298828
2022-09-14,181.1220703125
2022-09-15,180.55453491210938
2022-09-16,175.593505859375
2022-09-19,177.49180603027344
2022-09-20,175.31951904296875
2022-09-21,170.57376098632812
2022-09-22,168.82220458984375
2022-09-23,168.13723754882812
2022-09-26,165.8181915283203
2022-09-27,166.08238220214844
2022-09-28,167.12939453125
2022-09-29,167.4620819091797
2022-09-30,167.54034423828125
2022-10-03,172.78517150878906
2022-10-04,176.1414337158203
2022-10-05,177.85382080078125
2022-10-06,175.25103759765625
2022-10-07,170.56396484375
2022-10-10,172.77537536621094
2022-10-11,172.34483337402344
2022-10-12,171.11192321777344
2022-10-13,174.8204803466797
2022-10-14,166.6988525390625
2022-10-17,171.31739807128906
2022-10-18,172.35462951660156
2022-10-19,174.2235870361328
2022-10-20,170.08448791503906
2022-10-21,171.6011505126953
2022-10-24,175.2999267578125
2022-10-25,171.6500701904297
2022-10-26,172.12957763671875
2022-10-27,173.71475219726562
2022-10-28,184.5272674560547
2022-10-31,183.0595245361328
2022-11-01,183.39219665527344
2022-11-02,181.36669921875
2022-11-03,183.32374572753906
2022-11-04,184.34136962890625
2022-11-07,187.86399841308594
2022-11-08,188.2554168701172
2022-11-09,184.5272674560547
2022-11-10,188.85227966308594
2022-11-11,182.0027313232422
2022-11-14,181.7777099609375
2022-11-15,183.7444610595703
2022-11-16,185.43728637695312
2022-11-17,186.18096923828125
2022-11-18,190.15370178222656
2022-11-21,191.54319763183594
2022-11-22,192.99139404296875
2022-11-23,193.0794677734375
2022-11-25,195.00711059570312
2022-11-28,192.20858764648438
2022-11-29,191.4746856689453
2022-11-30,194.8309783935547
2022-12-01,195.92974853515625
2022-12-02,197.4405059814453
2022-12-05,193.0945587158203
2022-12-06,192.26071166992188
2022-12-07,190.279052734375
2022-12-08,191.3287353515625
2022-12-09,188.18946838378906
2022-12-12,190.06320190429688
2022-12-13,190.171142578125
2022-12-14,189.4451446533203
2022-12-15,184.53024291992188
2022-12-16,182.8134765625
2022-12-19,181.57737731933594
2022-12-20,183.3432159423828
2022-12-21,185.88404846191406
2022-12-22,184.46157836914062
2022-12-23,184.83436584472656
2022-12-27,185.68788146972656
2022-12-28,184.3831024169922
2022-12-29,186.5609588623047
2022-12-30,184.9618682861328
2023-01-03,183.70620727539062
2023-01-04,186.13912963867188
2023-01-05,182.90174865722656
2023-01-06,188.37586975097656
2023-01-09,188.12078857421875
2023-01-10,189.02334594726562
2023-01-11,192.0448760986328
2023-01-12,191.28948974609375
2023-01-13,192.81991577148438
2023-01-17,191.93695068359375
2023-01-18,188.34642028808594
2023-01-19,187.26730346679688
2023-01-20,190.2201690673828
2023-01-23,192.1626434326172
2023-01-24,193.2711639404297
2023-01-25,193.40850830078125
2023-01-26,193.50662231445312
2023-01-27,190.1318817138672
2023-01-30,191.5936279296875
2023-01-31,192.00563049316406
2023-02-01,192.5550079345703
2023-02-02,190.9853515625
2023-02-03,189.8179931640625
2023-02-06,190.8578643798828
2023-02-07,193.72242736816406
2023-02-08,192.42747497558594
2023-02-09,189.6609649658203
2023-02-10,191.35816955566406
2023-02-13,191.51513671875
2023-02-14,184.67739868164062
2023-02-15,186.71791076660156
2023-02-16,185.05020141601562
2023-02-17,185.02076721191406
2023-02-21,183.00967407226562
2023-02-22,182.75457763671875
2023-02-23,181.94036865234375
2023-02-24,181.22418212890625
2023-02-27,181.3909912109375
2023-02-28,183.7945098876953
2023-03-01,184.21630859375
2023-03-02,184.00973510742188
2023-03-03,185.9873504638672
2023-03-06,187.80758666992188
2023-03-07,185.9873504638672
2023-03-08,185.93817138671875
2023-03-09,182.46498107910156
2023-03-10,179.81825256347656
2023-03-13,177.07318115234375
2023-03-14,180.39877319335938
2023-03-15,174.2395477294922
2023-03-16,180.64476013183594
2023-03-17,177.1027069091797
2023-03-20,179.52310180664062
2023-03-21,180.92025756835938
2023-03-22,177.63401794433594
2023-03-23,181.47122192382812
2023-03-24,182.67160034179688
2023-03-27,183.13404846191406
2023-03-28,183.5177459716797
2023-03-29,185.9578399658203
2023-03-30,186.61703491210938
2023-03-31,188.2306365966797
2023-04-03,190.1492462158203
2023-04-04,190.7986297607422
2023-04-05,192.1367645263672
2023-04-06,194.19313049316406
2023-04-10,192.46145629882812
2023-04-11,193.6224365234375
2023-04-12,195.07864379882812
2023-04-13,196.48561096191406
2023-04-14,197.22354125976562
2023-04-17,199.93911743164062
2023-04-18,203.29421997070312
