,KR
2023-05-16,47.471256256103516
2023-05-17,47.78171920776367
2023-05-18,47.85932922363281
2023-05-19,48.160091400146484
2023-05-22,48.489952087402344
2023-05-23,47.63618469238281
2023-05-24,48.08247756958008
2023-05-25,47.44215393066406
2023-05-26,45.89955139160156
2023-05-30,44.58979415893555
2023-05-31,43.97858810424805
2023-06-01,43.32855987548828
2023-06-02,44.55099105834961
2023-06-05,44.77413558959961
2023-06-06,44.69651794433594
2023-06-07,44.104705810546875
2023-06-08,44.39575958251953
2023-06-09,44.79353332519531
2023-06-12,44.99728012084961
2023-06-13,45.46297073364258
2023-06-14,45.80253219604492
2023-06-15,44.57039260864258
2023-06-16,44.79353332519531
2023-06-20,44.46367645263672
2023-06-21,44.318145751953125
2023-06-22,44.69651794433594
2023-06-23,44.764434814453125
2023-06-26,45.25923156738281
2023-06-27,45.37565231323242
2023-06-28,45.76372528076172
2023-06-29,44.93906784057617
2023-06-30,45.59879684448242
2023-07-03,46.025672912597656
2023-07-05,45.63759994506836
2023-07-06,45.880149841308594
2023-07-07,45.76372528076172
2023-07-10,45.48237609863281
2023-07-11,46.15180206298828
2023-07-12,45.93836212158203
2023-07-13,45.59879684448242
2023-07-14,45.055484771728516
2023-07-17,45.15250778198242
2023-07-18,44.83235168457031
2023-07-19,45.57939147949219
2023-07-20,46.43315505981445
2023-07-21,46.55928039550781
2023-07-24,47.286922454833984
2023-07-25,47.23841094970703
2023-07-26,47.2578125
2023-07-27,46.66600036621094
2023-07-28,47.073482513427734
2023-07-31,47.18990707397461
2023-08-01,47.09288787841797
2023-08-02,47.55857467651367
2023-08-03,47.92724609375
2023-08-04,48.014564514160156
2023-08-07,48.218299865722656
2023-08-08,47.41304016113281
2023-08-09,47.79141616821289
2023-08-10,47.616783142089844
2023-08-11,47.5197639465332
2023-08-14,47.39289093017578
2023-08-15,46.79755401611328
2023-08-16,45.8899040222168
2023-08-17,45.61663055419922
2023-08-18,46.42668533325195
2023-08-21,46.251007080078125
2023-08-22,45.8801383972168
2023-08-23,45.80206298828125
2023-08-24,45.372642517089844
2023-08-25,45.42143630981445
2023-08-28,45.50927734375
2023-08-29,45.372642517089844
2023-08-30,45.401920318603516
2023-08-31,45.27504348754883
2023-09-01,44.874900817871094
2023-09-05,43.93797302246094
2023-09-06,44.07460403442383
2023-09-07,44.43571472167969
2023-09-08,45.811824798583984
2023-09-11,44.33811950683594
2023-09-12,44.58210754394531
2023-09-13,44.02580642700195
2023-09-14,44.6894645690918
2023-09-15,45.20672607421875
2023-09-18,45.42143630981445
2023-09-19,44.98225402832031
2023-09-20,45.070091247558594
2023-09-21,44.611385345458984
2023-09-22,44.56258773803711
2023-09-25,44.611385345458984
2023-09-26,44.06485366821289
2023-09-27,43.41094970703125
2023-09-28,44.00628662109375
2023-09-29,43.67445755004883
2023-10-02,42.97176742553711
2023-10-03,43.20600128173828
2023-10-04,43.859893798828125
2023-10-05,43.08888244628906
2023-10-06,42.405704498291016
2023-10-09,43.54758071899414
2023-10-10,43.762298583984375
2023-10-11,43.1279182434082
2023-10-12,43.19623565673828
2023-10-13,43.0986442565918
2023-10-16,43.22551727294922
2023-10-17,43.42070770263672
2023-10-18,43.16695785522461
2023-10-19,43.43046569824219
2023-10-20,43.06936264038086
2023-10-23,42.27882766723633
2023-10-24,42.561859130859375
2023-10-25,43.22551727294922
2023-10-26,43.69397735595703
2023-10-27,43.362152099609375
2023-10-30,43.869651794433594
2023-10-31,44.27955627441406
2023-11-01,44.299076080322266
2023-11-02,44.308841705322266
2023-11-03,44.27955627441406
2023-11-06,44.07460403442383
2023-11-07,44.02580642700195
2023-11-08,42.815608978271484
2023-11-09,42.83512878417969
2023-11-10,42.83512878417969
2023-11-13,43.1181640625
2023-11-14,43.462005615234375
2023-11-15,43.727256774902344
2023-11-16,41.9097900390625
2023-11-17,41.69365692138672
2023-11-20,42.16521453857422
2023-11-21,42.25363540649414
2023-11-22,43.04939270019531
2023-11-24,43.4030647277832
2023-11-27,43.31464385986328
2023-11-28,43.14763641357422
2023-11-29,42.872554779052734
2023-11-30,43.491477966308594
2023-12-01,43.815673828125
2023-12-04,43.88444519042969
2023-12-05,43.727256774902344
2023-12-06,43.75673294067383
2023-12-07,44.01215744018555
2023-12-08,43.79602813720703
2023-12-11,44.29705810546875
2023-12-12,43.47182846069336
2023-12-13,43.933563232421875
2023-12-14,42.82343673706055
2023-12-15,43.33428955078125
2023-12-18,44.72932052612305
2023-12-19,44.277408599853516
2023-12-20,44.208641052246094
2023-12-21,44.22829055786133
2023-12-22,44.3461799621582
2023-12-26,44.42477035522461
2023-12-27,44.414947509765625
2023-12-28,44.375648498535156
2023-12-29,44.906150817871094
2024-01-02,45.4563102722168
2024-01-03,45.70191192626953
2024-01-04,45.09281539916992
2024-01-05,45.24017333984375
2024-01-08,45.161582946777344
2024-01-09,45.42683792114258
2024-01-10,45.32859420776367
2024-01-11,45.04369354248047
2024-01-12,45.220523834228516
2024-01-16,45.59384536743164
2024-01-17,45.711734771728516
2024-01-18,45.338417053222656
2024-01-19,45.13210678100586
2024-01-22,45.122283935546875
2024-01-23,45.43666076660156
2024-01-24,45.2892951965332
2024-01-25,45.613494873046875
2024-01-26,45.48577880859375
