,TROW
2021-05-10,161.86782836914062
2021-05-11,157.23841857910156
2021-05-12,157.05970764160156
2021-05-13,160.67645263671875
2021-05-14,162.59970092773438
2021-05-17,162.94007873535156
2021-05-18,160.5147247314453
2021-05-19,159.84246826171875
2021-05-20,161.612548828125
2021-05-21,163.5358123779297
2021-05-24,159.88499450683594
2021-05-25,159.49354553222656
2021-05-26,159.57862854003906
2021-05-27,161.86782836914062
2021-05-28,162.8379364013672
2021-06-01,162.64224243164062
2021-06-02,164.12298583984375
2021-06-03,162.97412109375
2021-06-04,165.4930877685547
2021-06-07,166.3185272216797
2021-06-08,166.7610626220703
2021-06-09,165.5015869140625
2021-06-10,163.1613311767578
2021-06-11,165.05055236816406
2021-06-14,164.8451690673828
2021-06-15,167.08729553222656
2021-06-16,167.61781311035156
2021-06-17,165.11898803710938
2021-06-18,162.61163330078125
2021-06-21,166.84765625
2021-06-22,167.7376251220703
2021-06-23,168.19119262695312
2021-06-24,169.5816192626953
2021-06-25,170.9459991455078
2021-06-28,171.41526794433594
2021-06-29,171.88455200195312
2021-06-30,172.04098510742188
2021-07-01,173.7529754638672
2021-07-02,176.8988037109375
2021-07-06,176.95968627929688
2021-07-07,178.0546417236328
2021-07-08,173.28367614746094
2021-07-09,178.3240509033203
2021-07-12,183.45127868652344
2021-07-13,178.52392578125
2021-07-14,177.01181030273438
2021-07-15,177.6548614501953
2021-07-16,176.7684783935547
2021-07-19,171.58038330078125
2021-07-20,177.52452087402344
2021-07-21,180.20111083984375
2021-07-22,178.4717559814453
2021-07-23,180.1924591064453
2021-07-26,179.2191162109375
2021-07-27,176.75111389160156
2021-07-28,176.28182983398438
2021-07-29,177.23776245117188
2021-07-30,177.4202880859375
2021-08-02,179.22781372070312
2021-08-03,182.1998748779297
2021-08-04,182.34759521484375
2021-08-05,184.4680633544922
2021-08-06,185.97145080566406
2021-08-09,187.3358612060547
2021-08-10,188.83056640625
2021-08-11,188.74366760253906
2021-08-12,187.35321044921875
2021-08-13,186.7101287841797
2021-08-16,187.80506896972656
2021-08-17,184.95472717285156
2021-08-18,182.67784118652344
2021-08-19,184.6418914794922
2021-08-20,187.24893188476562
2021-08-23,187.41407775878906
2021-08-24,188.57850646972656
2021-08-25,190.59466552734375
2021-08-26,189.91683959960938
2021-08-27,193.48851013183594
2021-08-30,193.0192413330078
2021-08-31,194.54873657226562
2021-09-01,192.0546417236328
2021-09-02,192.4109344482422
2021-09-03,189.94290161132812
2021-09-07,186.875244140625
2021-09-08,188.66546630859375
2021-09-09,188.76104736328125
2021-09-10,188.23094177246094
2021-09-13,188.34388732910156
2021-09-14,185.92465209960938
2021-09-15,187.87229919433594
2021-09-16,187.80239868164062
2021-09-17,186.474853515625
2021-09-20,179.5052947998047
2021-09-21,177.8197021484375
2021-09-22,180.72805786132812
2021-09-23,185.20848083496094
2021-09-24,184.474853515625
2021-09-27,185.05128479003906
2021-09-28,176.39610290527344
2021-09-29,176.33497619628906
2021-09-30,171.79339599609375
2021-10-01,173.40040588378906
2021-10-04,169.07717895507812
2021-10-05,170.3697967529297
2021-10-06,169.24313354492188
2021-10-07,169.94183349609375
2021-10-08,170.62306213378906
2021-10-11,170.19512939453125
2021-10-12,164.63172912597656
2021-10-13,167.11209106445312
2021-10-14,172.4134979248047
2021-10-15,174.4659423828125
2021-10-18,174.79783630371094
2021-10-19,177.03367614746094
2021-10-20,178.70179748535156
2021-10-21,178.71058654785156
2021-10-22,180.60577392578125
2021-10-25,180.51844787597656
2021-10-26,182.6320037841797
2021-10-27,177.95069885253906
2021-10-28,188.0294647216797
2021-10-29,189.41818237304688
2021-11-01,188.52732849121094
2021-11-02,189.37449645996094
2021-11-03,191.68020629882812
2021-11-04,191.81997680664062
2021-11-05,193.07762145996094
2021-11-08,193.26974487304688
2021-11-09,191.8461456298828
2021-11-10,186.0818634033203
2021-11-11,186.96395874023438
2021-11-12,189.50547790527344
2021-11-15,188.57098388671875
2021-11-16,187.8984832763672
2021-11-17,184.36129760742188
2021-11-18,183.3831329345703
2021-11-19,183.8809356689453
2021-11-22,180.9464111328125
2021-11-23,181.98570251464844
2021-11-24,181.4005584716797
2021-11-26,176.98129272460938
2021-11-29,180.80667114257812
2021-11-30,174.63189697265625
2021-12-01,171.20823669433594
2021-12-02,176.1777801513672
2021-12-03,170.8327178955078
