,HLT
2021-10-11,141.48802185058594
2021-10-12,143.32037353515625
2021-10-13,139.48724365234375
2021-10-14,140.23013305664062
2021-10-15,143.14208984375
2021-10-18,142.68646240234375
2021-10-19,139.60610961914062
2021-10-20,138.90289306640625
2021-10-21,140.15087890625
2021-10-22,140.3093719482422
2021-10-25,140.8144989013672
2021-10-26,143.07278442382812
2021-10-27,145.8163299560547
2021-10-28,144.6475830078125
2021-10-29,142.57754516601562
2021-11-01,143.3996124267578
2021-11-02,139.99241638183594
2021-11-03,143.855224609375
2021-11-04,146.0342254638672
2021-11-05,150.3922882080078
2021-11-08,149.72865295410156
2021-11-09,147.04454040527344
2021-11-10,145.1329345703125
2021-11-11,142.21104431152344
2021-11-12,142.10208129882812
2021-11-15,141.5474395751953
2021-11-16,140.38861083984375
2021-11-17,143.15199279785156
2021-11-18,142.22093200683594
2021-11-19,142.99351501464844
2021-11-22,142.49827575683594
2021-11-23,144.34054565429688
2021-11-24,143.90472412109375
2021-11-26,134.91128540039062
2021-11-29,136.75360107421875
2021-11-30,133.78219604492188
2021-12-01,128.720947265625
2021-12-02,138.25906372070312
2021-12-03,137.41720581054688
2021-12-06,142.93408203125
2021-12-07,141.78515625
2021-12-08,143.01333618164062
2021-12-09,142.93408203125
2021-12-10,144.7367401123047
2021-12-13,141.05223083496094
2021-12-14,140.62631225585938
2021-12-15,138.95242309570312
2021-12-16,137.67471313476562
2021-12-17,139.5962371826172
2021-12-20,139.03164672851562
2021-12-21,147.1336669921875
2021-12-22,151.28370666503906
2021-12-23,153.23489379882812
2021-12-27,153.8094024658203
2021-12-28,153.54197692871094
2021-12-29,153.88864135742188
2021-12-30,153.50234985351562
2021-12-31,154.50274658203125
2022-01-03,153.0071258544922
2022-01-04,154.47300720214844
2022-01-05,150.35267639160156
2022-01-06,150.72906494140625
2022-01-07,150.55076599121094
2022-01-10,147.193115234375
2022-01-11,151.04600524902344
2022-01-12,148.56982421875
2022-01-13,148.47079467773438
2022-01-14,146.56912231445312
2022-01-18,143.14208984375
2022-01-19,140.8541259765625
2022-01-20,140.8838348388672
2022-01-21,140.9036407470703
2022-01-24,139.14060974121094
2022-01-25,141.03237915039062
2022-01-26,143.43923950195312
2022-01-27,135.94140625
2022-01-28,142.02284240722656
2022-01-31,143.7264862060547
2022-02-01,144.3306427001953
2022-02-02,143.21142578125
2022-02-03,142.77560424804688
2022-02-04,144.11273193359375
2022-02-07,147.22279357910156
2022-02-08,151.91761779785156
2022-02-09,151.67990112304688
2022-02-10,152.7297821044922
2022-02-11,148.1043243408203
2022-02-14,149.98619079589844
2022-02-15,156.4935760498047
2022-02-16,154.84938049316406
2022-02-17,151.58084106445312
2022-02-18,148.9759063720703
2022-02-22,145.7569122314453
2022-02-23,142.00303649902344
2022-02-24,144.69711303710938
2022-02-25,149.2334442138672
2022-02-28,147.4407196044922
2022-03-01,140.8144989013672
2022-03-02,144.5188446044922
2022-03-03,140.656005859375
2022-03-04,136.35736083984375
2022-03-07,127.85920715332031
2022-03-08,132.64315795898438
2022-03-09,137.1992950439453
2022-03-10,141.5771484375
2022-03-11,140.41831970214844
2022-03-14,140.21029663085938
2022-03-15,142.86477661132812
2022-03-16,149.352294921875
2022-03-17,149.698974609375
2022-03-18,150.34275817871094
2022-03-21,148.91651916503906
2022-03-22,149.97630310058594
2022-03-23,146.99496459960938
2022-03-24,150.44183349609375
2022-03-25,150.0555419921875
2022-03-28,149.2433624267578
2022-03-29,153.8292236328125
2022-03-30,151.6898193359375
2022-03-31,150.29327392578125
2022-04-01,149.27308654785156
2022-04-04,150.88754272460938
2022-04-05,150.1050567626953
2022-04-06,144.22171020507812
2022-04-07,144.16229248046875
2022-04-08,144.09291076660156
2022-04-11,142.3299102783203
2022-04-12,143.4986572265625
2022-04-13,152.46237182617188
2022-04-14,154.09664916992188
2022-04-18,155.0772247314453
2022-04-19,161.58456420898438
2022-04-20,161.35675048828125
2022-04-21,155.46347045898438
2022-04-22,151.88790893554688
2022-04-25,154.4532012939453
2022-04-26,150.27342224121094
