,MKC
2021-02-03,82.58087158203125
2021-02-04,82.72978210449219
2021-02-05,84.04222869873047
2021-02-08,84.54485321044922
2021-02-09,84.4889907836914
2021-02-10,84.51692199707031
2021-02-11,83.66059875488281
2021-02-12,83.44651794433594
2021-02-16,80.91472625732422
2021-02-17,80.00252532958984
2021-02-18,80.50515747070312
2021-02-19,78.2991714477539
2021-02-22,78.1502456665039
2021-02-23,78.5318603515625
2021-02-24,78.93211364746094
2021-02-25,78.569091796875
2021-02-26,78.44808197021484
2021-03-01,78.69941711425781
2021-03-02,79.02518463134766
2021-03-03,77.43351745605469
2021-03-04,77.16358184814453
2021-03-05,78.58771514892578
2021-03-08,78.32708740234375
2021-03-09,79.13687896728516
2021-03-10,79.95600128173828
2021-03-11,79.88151550292969
2021-03-12,80.80302429199219
2021-03-15,81.29633331298828
2021-03-16,81.19396209716797
2021-03-17,80.65409088134766
2021-03-18,80.34693908691406
2021-03-19,80.55170440673828
2021-03-22,81.77105712890625
2021-03-23,81.50112915039062
2021-03-24,81.47320556640625
2021-03-25,82.562255859375
2021-03-26,83.96775817871094
2021-03-29,83.89329528808594
2021-03-30,83.67919158935547
2021-03-31,82.99041748046875
2021-04-01,83.06486511230469
2021-04-05,82.91594696044922
2021-04-06,83.52095794677734
2021-04-07,82.99041748046875
2021-04-08,83.43719482421875
2021-04-09,82.32532501220703
2021-04-12,82.43743133544922
2021-04-13,82.2412109375
2021-04-14,82.13846588134766
2021-04-15,82.6710205078125
2021-04-16,82.96067810058594
2021-04-19,83.01673126220703
2021-04-20,84.67053985595703
2021-04-21,85.88519287109375
2021-04-22,85.41799926757812
2021-04-23,85.46471405029297
2021-04-26,84.41825103759766
2021-04-27,83.96977233886719
2021-04-28,83.45588684082031
2021-04-29,84.65184783935547
2021-04-30,84.42760467529297
2021-05-03,84.93215942382812
2021-05-04,84.43694305419922
2021-05-05,84.52103424072266
2021-05-06,84.30613708496094
2021-05-07,83.46522521972656
2021-05-10,84.72660827636719
2021-05-11,83.82960510253906
2021-05-12,83.10084533691406
2021-05-13,84.33417510986328
2021-05-14,83.68014526367188
2021-05-17,83.2876968383789
2021-05-18,83.33443450927734
2021-05-19,83.91371154785156
2021-05-20,84.90412139892578
2021-05-21,84.65184783935547
2021-05-24,84.65184783935547
2021-05-25,84.37155151367188
2021-05-26,83.77356719970703
2021-05-27,82.87659454345703
2021-05-28,83.21295166015625
2021-06-01,83.09147644042969
2021-06-02,83.79224395751953
2021-06-03,83.78289794921875
2021-06-04,83.91371154785156
2021-06-07,83.61471557617188
2021-06-08,82.68973541259766
2021-06-09,82.34400177001953
2021-06-10,82.91394805908203
2021-06-11,83.01673126220703
2021-06-14,83.34376525878906
2021-06-15,82.9419937133789
2021-06-16,81.82077026367188
2021-06-17,81.7927474975586
2021-06-18,80.47531127929688
2021-06-21,81.447021484375
2021-06-22,81.53113555908203
2021-06-23,80.45661926269531
2021-06-24,80.615478515625
2021-06-25,81.54981231689453
2021-06-28,82.36268615722656
2021-06-29,81.86748504638672
2021-06-30,82.52153778076172
2021-07-01,82.19451141357422
2021-07-02,82.7738037109375
2021-07-06,82.26925659179688
2021-07-07,82.3907241821289
2021-07-08,81.36294555664062
2021-07-09,81.70061492919922
2021-07-12,81.31604766845703
2021-07-13,80.38740539550781
2021-07-14,80.83766174316406
2021-07-15,81.6724853515625
2021-07-16,82.45103454589844
2021-07-19,83.11701965332031
2021-07-20,82.26343536376953
2021-07-21,80.25608825683594
2021-07-22,79.4775390625
2021-07-23,80.40617370605469
2021-07-26,80.08724212646484
2021-07-27,80.43431854248047
2021-07-28,79.44939422607422
2021-07-29,79.02731323242188
2021-07-30,78.95225524902344
2021-08-02,78.87721252441406
2021-08-03,78.59581756591797
2021-08-04,78.02362823486328
2021-08-05,78.08929443359375
2021-08-06,78.25812530517578
2021-08-09,78.51139831542969
2021-08-10,79.01790618896484
2021-08-11,80.1810531616211
2021-08-12,80.36865997314453
2021-08-13,81.30665588378906
2021-08-16,81.9632797241211
2021-08-17,82.3947525024414
2021-08-18,80.98773956298828
2021-08-19,82.05707550048828
2021-08-20,82.13211059570312
2021-08-23,81.35356140136719
2021-08-24,80.55626678466797
2021-08-25,80.25608825683594
2021-08-26,79.66514587402344
2021-08-27,79.93717956542969
2021-08-30,80.15290069580078
2021-08-31,80.94082641601562
2021-09-01,81.98202514648438
2021-09-02,82.5823745727539
2021-09-03,82.61988067626953
2021-09-07,81.57868194580078
2021-09-08,82.8731460571289
2021-09-09,81.38170623779297
2021-09-10,80.2467041015625
2021-09-13,79.87151336669922
2021-09-14,79.80586242675781
2021-09-15,80.05911254882812
