,DFS
2021-11-18,107.2413558959961
2021-11-19,106.19224548339844
2021-11-22,107.8541030883789
2021-11-23,111.3041000366211
2021-11-24,111.42532348632812
2021-11-26,106.82843780517578
2021-11-29,105.66290283203125
2021-11-30,100.56251525878906
2021-12-01,98.9587173461914
2021-12-02,102.65113830566406
2021-12-03,101.32710266113281
2021-12-06,104.3388442993164
2021-12-07,106.65127563476562
2021-12-08,105.90531921386719
2021-12-09,107.4997787475586
2021-12-10,108.87977600097656
2021-12-13,105.22464752197266
2021-12-14,107.72356414794922
2021-12-15,107.22005462646484
2021-12-16,107.90071868896484
2021-12-17,106.3995132446289
2021-12-20,102.21292877197266
2021-12-21,107.38788604736328
2021-12-22,107.09884643554688
2021-12-23,107.5464096069336
2021-12-27,108.27368927001953
2021-12-28,108.2270736694336
2021-12-29,107.94734954833984
2021-12-30,108.00328063964844
2021-12-31,107.75152587890625
2022-01-03,110.62342071533203
2022-01-04,114.03611755371094
2022-01-05,112.48828887939453
2022-01-06,114.52096557617188
2022-01-07,117.19705200195312
2022-01-10,118.90338897705078
2022-01-11,119.89176177978516
2022-01-12,119.16448211669922
2022-01-13,120.6563720703125
2022-01-14,118.92204284667969
2022-01-18,115.36015319824219
2022-01-19,110.49287414550781
2022-01-20,108.90776062011719
2022-01-21,106.71653747558594
2022-01-24,107.5464096069336
2022-01-25,110.43693542480469
2022-01-26,109.29936981201172
2022-01-27,105.56965637207031
2022-01-28,106.05451965332031
2022-01-31,107.92869567871094
2022-02-01,110.04530334472656
2022-02-02,109.52313995361328
2022-02-03,108.10587310791016
2022-02-04,109.3086929321289
2022-02-07,110.41828155517578
2022-02-08,114.65152740478516
2022-02-09,116.41381072998047
2022-02-10,116.33920288085938
2022-02-11,115.75179290771484
2022-02-14,115.77042388916016
2022-02-15,118.9127197265625
2022-02-16,118.71613311767578
2022-02-17,115.21513366699219
2022-02-18,115.89846801757812
2022-02-22,114.2135009765625
2022-02-23,112.35066223144531
2022-02-24,110.71247100830078
2022-02-25,116.08570861816406
2022-02-28,115.55213928222656
2022-03-01,106.61236572265625
2022-03-02,108.69987487792969
2022-03-03,107.24893188476562
2022-03-04,103.1768798828125
2022-03-07,94.8736801147461
2022-03-08,96.68035888671875
2022-03-09,100.16265106201172
2022-03-10,98.10323333740234
2022-03-11,97.79431915283203
2022-03-14,101.81017303466797
2022-03-15,103.24242401123047
2022-03-16,106.85576629638672
2022-03-17,106.3596420288086
2022-03-18,108.43777465820312
2022-03-21,104.96483612060547
2022-03-22,107.40806579589844
2022-03-23,103.57941436767578
2022-03-24,104.7495346069336
2022-03-25,106.01326751708984
2022-03-28,104.16915130615234
2022-03-29,106.99617767333984
2022-03-30,106.05071258544922
2022-03-31,103.1488037109375
2022-04-01,103.0832748413086
2022-04-04,103.7385482788086
2022-04-05,103.67301940917969
2022-04-06,103.43901062011719
2022-04-07,102.18461608886719
2022-04-08,104.44062042236328
2022-04-11,104.06619262695312
2022-04-12,104.68400573730469
2022-04-13,105.4703369140625
2022-04-14,105.01164245605469
2022-04-18,108.99006652832031
2022-04-19,111.16181182861328
2022-04-20,111.22733306884766
2022-04-21,109.08367156982422
2022-04-22,105.18949890136719
2022-04-25,105.44225311279297
