,ESS
2015-08-25,156.1039276123047
2015-08-26,160.29161071777344
2015-08-27,164.11404418945312
2015-08-28,164.41958618164062
2015-08-31,159.9190216064453
2015-09-01,156.61062622070312
2015-09-02,157.83265686035156
2015-09-03,158.0860137939453
2015-09-04,154.36776733398438
2015-09-08,156.8192901611328
2015-09-09,154.72547912597656
2015-09-10,155.41848754882812
2015-09-11,159.85191345214844
2015-09-14,158.34678649902344
2015-09-15,160.47042846679688
2015-09-16,162.24383544921875
2015-09-17,163.59996032714844
2015-09-18,163.54029846191406
2015-09-21,165.142333984375
2015-09-22,163.5701446533203
2015-09-23,164.6356964111328
2015-09-24,162.35557556152344
2015-09-25,162.795166015625
2015-09-28,161.15261840820312
2015-09-29,164.58038330078125
2015-09-30,167.58065795898438
2015-10-01,169.2758026123047
2015-10-02,170.7384490966797
2015-10-05,171.35345458984375
2015-10-06,170.06338500976562
2015-10-07,171.78103637695312
2015-10-08,172.19358825683594
2015-10-09,171.43603515625
2015-10-12,172.86866760253906
2015-10-13,171.74349975585938
2015-10-14,169.7108612060547
2015-10-15,173.28871154785156
2015-10-16,175.0438690185547
2015-10-19,178.1791534423828
2015-10-20,177.9241180419922
2015-10-21,175.7339324951172
2015-10-22,174.0087890625
2015-10-23,172.70362854003906
2015-10-26,172.2611083984375
2015-10-27,170.4909210205078
2015-10-28,167.40817260742188
2015-10-29,169.70335388183594
2015-10-30,165.3454132080078
2015-11-02,169.53086853027344
2015-11-03,167.36309814453125
2015-11-04,166.39556884765625
2015-11-05,167.7006072998047
2015-11-06,164.0703582763672
2015-11-09,162.15765380859375
2015-11-10,163.7102813720703
2015-11-11,165.51043701171875
2015-11-12,164.16783142089844
2015-11-13,163.3277587890625
2015-11-16,165.61546325683594
2015-11-17,166.70306396484375
2015-11-18,167.7306671142578
2015-11-19,169.4933624267578
2015-11-20,171.20350646972656
2015-11-23,172.55360412597656
2015-11-24,170.9034423828125
2015-11-25,172.96612548828125
2015-11-27,175.38888549804688
2015-11-30,173.10867309570312
2015-12-01,176.53646850585938
2015-12-02,171.70602416992188
2015-12-03,170.72344970703125
2015-12-04,175.05136108398438
2015-12-07,174.4363250732422
2015-12-08,173.97874450683594
2015-12-09,172.68113708496094
2015-12-10,172.08859252929688
2015-12-11,173.12367248535156
2015-12-14,174.66134643554688
2015-12-15,176.26649475097656
2015-12-16,180.15179443359375
2015-12-17,178.98922729492188
2015-12-18,176.61898803710938
2015-12-21,176.34149169921875
2015-12-22,175.8014373779297
2015-12-23,178.62918090820312
2015-12-24,178.79420471191406
2015-12-28,180.63937377929688
2015-12-29,183.23463439941406
2015-12-30,183.551513671875
2015-12-31,180.6390838623047
2016-01-04,179.06214904785156
2016-01-05,181.1143798828125
2016-01-06,179.6129608154297
2016-01-07,177.83978271484375
2016-01-08,176.30812072753906
2016-01-11,177.8323211669922
2016-01-12,177.14569091796875
2016-01-13,176.3911590576172
2016-01-14,174.1653289794922
2016-01-15,173.65228271484375
2016-01-19,175.29708862304688
