,UHS
2015-06-17,126.1821517944336
2015-06-18,126.97027587890625
2015-06-19,129.47872924804688
2015-06-22,129.91123962402344
2015-06-23,129.14236450195312
2015-06-24,125.5958480834961
2015-06-25,135.30288696289062
2015-06-26,137.13864135742188
2015-06-29,135.82192993164062
2015-06-30,136.57159423828125
2015-07-01,137.52308654785156
2015-07-02,137.1578369140625
2015-07-06,136.86956787109375
2015-07-07,136.13909912109375
2015-07-08,134.5340576171875
2015-07-09,135.4086456298828
2015-07-10,136.2447967529297
2015-07-13,137.43653869628906
2015-07-14,137.80178833007812
2015-07-15,136.8887939453125
2015-07-16,135.75465393066406
2015-07-17,135.73544311523438
2015-07-20,136.48504638671875
2015-07-21,134.79359436035156
2015-07-22,135.53366088867188
2015-07-23,136.27365112304688
2015-07-24,135.50479125976562
2015-07-27,134.83200073242188
2015-07-28,135.86997985839844
2015-07-29,136.77340698242188
2015-07-30,135.9373016357422
2015-07-31,139.57977294921875
2015-08-03,140.12767028808594
2015-08-04,140.55050659179688
2015-08-05,138.35922241210938
2015-08-06,136.97523498535156
2015-08-07,137.1866912841797
2015-08-10,137.70570373535156
2015-08-11,135.89883422851562
2015-08-12,136.5619659423828
2015-08-13,136.74459838867188
2015-08-14,137.52308654785156
2015-08-17,139.83929443359375
2015-08-18,139.79127502441406
2015-08-19,140.29100036621094
2015-08-20,135.64891052246094
2015-08-21,135.2164306640625
2015-08-24,127.6814956665039
2015-08-25,127.03751373291016
2015-08-26,131.57391357421875
2015-08-27,135.48558044433594
2015-08-28,135.00465393066406
2015-08-31,131.8980712890625
2015-09-01,126.74296569824219
2015-09-02,131.12869262695312
2015-09-03,130.02267456054688
2015-09-04,129.85923767089844
2015-09-08,132.532958984375
2015-09-09,129.87843322753906
2015-09-10,129.5513916015625
2015-09-11,128.1183319091797
2015-09-14,130.0899658203125
2015-09-15,130.13803100585938
2015-09-16,131.10946655273438
2015-09-17,133.6966552734375
2015-09-18,131.98468017578125
2015-09-21,133.67745971679688
2015-09-22,133.99484252929688
2015-09-23,133.96591186523438
2015-09-24,128.47421264648438
2015-09-25,125.05026245117188
2015-09-28,120.11634063720703
2015-09-29,116.5289077758789
2015-09-30,120.0394287109375
2015-10-01,121.62635040283203
2015-10-02,122.3188247680664
2015-10-05,125.33882141113281
2015-10-06,123.01132202148438
2015-10-07,124.684814453125
2015-10-08,122.56887817382812
2015-10-09,123.58836364746094
2015-10-12,124.32894897460938
2015-10-13,122.87665557861328
2015-10-14,121.46285247802734
2015-10-15,120.44334411621094
2015-10-16,123.55951690673828
2015-10-19,124.45397186279297
2015-10-20,123.26138305664062
2015-10-21,120.6741943359375
2015-10-22,107.45938110351562
2015-10-23,111.51806640625
2015-10-26,113.3839340209961
2015-10-27,111.60464477539062
2015-10-28,116.0672607421875
2015-10-29,117.50032043457031
2015-10-30,117.42337799072266
2015-11-02,120.3567886352539
2015-11-03,118.14470672607422
2015-11-04,120.25099182128906
2015-11-05,118.21204376220703
