,ADI
2019-12-05,103.52371215820312
2019-12-06,105.76885986328125
2019-12-09,104.60977935791016
2019-12-10,104.41812133789062
2019-12-11,105.73236083984375
2019-12-12,107.52119445800781
2019-12-13,108.39732360839844
2019-12-16,108.47948455810547
2019-12-17,108.4429931640625
2019-12-18,106.78192901611328
2019-12-19,108.33345794677734
2019-12-20,109.35562896728516
2019-12-23,108.76240539550781
2019-12-24,109.26436614990234
2019-12-26,109.27350616455078
2019-12-27,109.01795959472656
2019-12-30,108.47948455810547
2019-12-31,108.46123504638672
2020-01-02,109.91236877441406
2020-01-03,107.97752380371094
2020-01-06,106.70890045166016
2020-01-07,109.1365966796875
2020-01-08,110.12227630615234
2020-01-09,110.12227630615234
2020-01-10,108.2148208618164
2020-01-13,108.66200256347656
2020-01-14,109.09098815917969
2020-01-15,107.24737548828125
2020-01-16,108.72589874267578
2020-01-17,109.03622436523438
2020-01-21,108.89019012451172
2020-01-22,109.90325164794922
2020-01-23,110.30482482910156
2020-01-24,107.30213928222656
2020-01-27,102.4102554321289
2020-01-28,104.32686614990234
2020-01-29,103.34117889404297
2020-01-30,102.55626678466797
2020-01-31,100.16510772705078
2020-02-03,100.39325714111328
2020-02-04,102.63841247558594
2020-02-05,106.48985290527344
2020-02-06,105.6775894165039
2020-02-07,102.46500396728516
2020-02-10,103.03998565673828
2020-02-11,106.67240905761719
2020-02-12,108.433837890625
2020-02-13,108.49773406982422
2020-02-14,107.37516021728516
2020-02-18,108.2148208618164
2020-02-19,113.0701675415039
2020-02-20,113.67254638671875
2020-02-21,112.03887939453125
2020-02-24,107.1104736328125
2020-02-25,104.64627838134766
2020-02-26,104.81055450439453
2020-02-27,98.84603881835938
2020-02-28,100.06647491455078
2020-03-02,102.10357666015625
2020-03-03,98.36885833740234
2020-03-04,103.195556640625
2020-03-05,99.90131378173828
2020-03-06,98.18535614013672
2020-03-09,89.47713470458984
2020-03-10,94.00100708007812
2020-03-11,86.63250732421875
2020-03-12,82.59497833251953
2020-03-13,91.56930541992188
2020-03-16,76.35516357421875
2020-03-17,87.57764434814453
2020-03-18,75.45589447021484
2020-03-19,82.87942504882812
2020-03-20,78.07111358642578
2020-03-23,78.14453125
2020-03-24,86.0085220336914
2020-03-25,86.5866470336914
2020-03-26,84.98998260498047
2020-03-27,81.36537170410156
2020-03-30,83.47589111328125
2020-03-31,82.2646255493164
