,JNJ
2021-07-21,153.44529724121094
2021-07-22,153.8888702392578
2021-07-23,155.52755737304688
2021-07-26,155.60000610351562
2021-07-27,156.31521606445312
2021-07-28,155.880615234375
2021-07-29,155.880615234375
2021-07-30,155.8987274169922
2021-08-02,155.96209716796875
2021-08-03,157.8814239501953
2021-08-04,156.94891357421875
2021-08-05,157.24771118164062
2021-08-06,156.7226104736328
2021-08-09,157.2658233642578
2021-08-10,157.3201141357422
2021-08-11,157.34727478027344
2021-08-12,158.61473083496094
2021-08-13,159.5653533935547
2021-08-16,161.00482177734375
2021-08-17,162.4805450439453
2021-08-18,160.4163818359375
2021-08-19,161.66575622558594
2021-08-20,162.4534149169922
2021-08-23,161.75210571289062
2021-08-24,159.7303466796875
2021-08-25,158.67391967773438
2021-08-26,157.82691955566406
2021-08-27,157.48995971679688
2021-08-30,158.15480041503906
2021-08-31,157.672119140625
2021-09-01,158.2276611328125
2021-09-02,159.31138610839844
2021-09-03,159.4115753173828
2021-09-07,156.9344482421875
2021-09-08,156.5519256591797
2021-09-09,153.06390380859375
2021-09-10,152.06210327148438
2021-09-13,150.99656677246094
2021-09-14,150.0858612060547
2021-09-15,150.6505126953125
2021-09-16,150.46836853027344
2021-09-17,150.0403289794922
2021-09-20,149.18421936035156
2021-09-21,149.8399658203125
2021-09-22,149.29351806640625
2021-09-23,150.1405029296875
2021-09-24,149.68511962890625
2021-09-27,148.6013641357422
2021-09-28,148.27352905273438
2021-09-29,149.37550354003906
2021-09-30,147.08050537109375
2021-10-01,146.14244079589844
2021-10-04,145.00405883789062
2021-10-05,145.3319091796875
2021-10-06,145.63247680664062
2021-10-07,146.9347686767578
2021-10-08,146.5614013671875
2021-10-11,145.94207763671875
2021-10-12,143.61065673828125
2021-10-13,144.98585510253906
2021-10-14,145.81459045410156
2021-10-15,146.8983612060547
2021-10-18,145.8236846923828
2021-10-19,149.2388916015625
2021-10-20,149.1569366455078
2021-10-21,148.8108367919922
2021-10-22,149.10231018066406
2021-10-25,149.43014526367188
2021-10-26,150.95101928710938
2021-10-27,149.1204833984375
2021-10-28,148.30995178222656
2021-10-29,148.33729553222656
2021-11-01,148.4647979736328
2021-11-02,150.8052978515625
2021-11-03,150.32261657714844
2021-11-04,149.90371704101562
2021-11-05,148.8381805419922
2021-11-08,148.3281707763672
2021-11-09,148.0003204345703
2021-11-10,149.60317993164062
2021-11-11,148.50120544433594
2021-11-12,150.27708435058594
2021-11-15,148.92013549804688
2021-11-16,148.1460418701172
2021-11-17,148.70155334472656
2021-11-18,147.90013122558594
2021-11-19,148.34637451171875
2021-11-22,146.3938446044922
2021-11-23,147.30137634277344
2021-11-24,146.8888702392578
2021-11-26,145.93551635742188
2021-11-29,146.43971252441406
2021-11-30,142.93798828125
2021-12-01,144.90884399414062
2021-12-02,144.00132751464844
2021-12-03,146.1005401611328
2021-12-06,149.36387634277344
2021-12-07,149.7489013671875
2021-12-08,150.64724731445312
2021-12-09,152.0772705078125
2021-12-10,151.70144653320312
2021-12-13,154.41482543945312
2021-12-14,156.10153198242188
2021-12-15,156.88064575195312
2021-12-16,158.59487915039062
2021-12-17,154.21311950683594
2021-12-20,153.77313232421875
2021-12-21,153.27813720703125
2021-12-22,153.93812561035156
2021-12-23,154.2314453125
2021-12-27,155.53317260742188
2021-12-28,156.1565399169922
2021-12-29,157.25653076171875
2021-12-30,157.9532012939453
2021-12-31,156.81651306152344
2022-01-03,157.24734497070312
2022-01-04,156.82569885253906
2022-01-05,157.8706817626953
2022-01-06,157.3298797607422
2022-01-07,159.45657348632812
2022-01-10,158.668212890625
2022-01-11,156.98150634765625
2022-01-12,155.6431427001953
2022-01-13,154.69898986816406
2022-01-14,153.8556365966797
2022-01-18,153.1772918701172
2022-01-19,152.7006378173828
2022-01-20,151.48143005371094
2022-01-21,151.13308715820312
2022-01-24,149.39141845703125
2022-01-25,153.66311645507812
2022-01-26,154.3506317138672
2022-01-27,156.37649536132812
2022-01-28,157.47653198242188
2022-01-31,157.9348602294922
2022-02-01,156.64234924316406
2022-02-02,158.3748779296875
2022-02-03,158.36570739746094
2022-02-04,157.3298797607422
2022-02-07,156.80735778808594
2022-02-08,157.21983337402344
2022-02-09,157.2015380859375
2022-02-10,155.30398559570312
2022-02-11,153.73651123046875
2022-02-14,151.8022918701172
2022-02-15,153.36981201171875
2022-02-16,153.27813720703125
2022-02-17,152.3431396484375
2022-02-18,150.71014404296875
2022-02-22,148.66209411621094
2022-02-23,148.73587036132812
2022-02-24,145.89437866210938
2022-02-25,153.14573669433594
2022-02-28,151.82647705078125
2022-03-01,151.30059814453125
2022-03-02,153.1826171875
2022-03-03,155.43368530273438
2022-03-04,156.3562774658203
2022-03-07,158.87486267089844
2022-03-08,155.6551055908203
2022-03-09,156.2455596923828
2022-03-10,156.52232360839844
2022-03-11,156.236328125
2022-03-14,158.39511108398438
2022-03-15,162.50054931640625
2022-03-16,161.00599670410156
2022-03-17,163.1094512939453
2022-03-18,161.30120849609375
2022-03-21,162.21456909179688
2022-03-22,161.44883728027344
2022-03-23,160.83993530273438
2022-03-24,161.67025756835938
2022-03-25,163.2201385498047
2022-03-28,164.05967712402344
2022-03-29,163.9766387939453
2022-03-30,165.6833953857422
2022-03-31,163.5061492919922
2022-04-01,164.39181518554688
2022-04-04,162.8050079345703
2022-04-05,163.85671997070312
2022-04-06,168.11895751953125
2022-04-07,167.68536376953125
2022-04-08,168.0175018310547
2022-04-11,165.91404724121094
2022-04-12,165.9694061279297
2022-04-13,166.6705322265625
2022-04-14,165.9694061279297
2022-04-18,163.90284729003906
2022-04-19,168.90316772460938
2022-04-20,169.65042114257812
2022-04-21,169.16148376464844
2022-04-22,167.48240661621094
2022-04-25,171.60623168945312
2022-04-26,170.37924194335938
2022-04-27,167.9990692138672
2022-04-28,169.2537384033203
2022-04-29,166.4860382080078
2022-05-02,164.80697631835938
2022-05-03,164.48406982421875
2022-05-04,166.24612426757812
2022-05-05,163.07254028320312
2022-05-06,162.71273803710938
2022-05-09,163.59840393066406
2022-05-10,163.37701416015625
2022-05-11,162.49131774902344
2022-05-12,164.09658813476562
2022-05-13,163.1555938720703
2022-05-16,164.29031372070312
2022-05-17,164.9730682373047
2022-05-18,161.9101104736328
2022-05-19,160.47093200683594
2022-05-20,163.27549743652344
2022-05-23,166.60882568359375
2022-05-24,168.4286346435547
2022-05-25,166.77593994140625
2022-05-26,166.6273651123047
2022-05-27,168.14080810546875
2022-05-31,166.69236755371094
2022-06-01,165.00250244140625
2022-06-02,164.48252868652344
2022-06-03,163.8047332763672
2022-06-06,163.78616333007812
2022-06-07,165.58746337890625
2022-06-08,164.6032257080078
2022-06-09,161.28854370117188
2022-06-10,160.2114715576172
2022-06-13,158.59591674804688
2022-06-14,156.1632537841797
2022-06-15,157.8345184326172
2022-06-16,157.9180908203125
2022-06-17,157.34242248535156
2022-06-21,160.6385955810547
2022-06-22,163.17337036132812
2022-06-23,166.81307983398438
2022-06-24,169.2550048828125
2022-06-27,169.09716796875
2022-06-28,164.28758239746094
2022-06-29,164.33399963378906
2022-06-30,164.81680297851562
2022-07-01,166.68309020996094
2022-07-05,165.40176391601562
2022-07-06,165.55030822753906
2022-07-07,165.7360076904297
2022-07-08,165.53172302246094
2022-07-11,165.5967254638672
2022-07-12,163.27548217773438
2022-07-13,162.89483642578125
2022-07-14,163.11766052246094
2022-07-15,165.4853057861328
2022-07-18,161.7713623046875
2022-07-19,159.41294860839844
2022-07-20,158.50306701660156
2022-07-21,159.06015014648438
2022-07-22,159.81224060058594
2022-07-25,160.1279296875
2022-07-26,161.26068115234375
2022-07-27,160.8150177001953
2022-07-28,161.74346923828125
2022-07-29,162.0406036376953
