,COO
2021-02-01,91.2401351928711
2021-02-02,93.74161529541016
2021-02-03,93.82157897949219
2021-02-04,95.98819732666016
2021-02-05,96.7029037475586
2021-02-08,96.19062042236328
2021-02-09,95.14353942871094
2021-02-10,94.70872497558594
2021-02-11,96.21060180664062
2021-02-12,96.31055450439453
2021-02-16,96.57544708251953
2021-02-17,96.12313842773438
2021-02-18,97.14772033691406
2021-02-19,97.08775329589844
2021-02-22,97.62752532958984
2021-02-23,97.8199462890625
2021-02-24,98.10232543945312
2021-02-25,97.99237060546875
2021-02-26,96.49299621582031
2021-03-01,97.6725082397461
2021-03-02,96.9403076171875
2021-03-03,95.23849487304688
2021-03-04,92.85198211669922
2021-03-05,97.0027847290039
2021-03-08,96.33055877685547
2021-03-09,95.55587005615234
2021-03-10,95.69831848144531
2021-03-11,94.86614990234375
2021-03-12,94.0589828491211
2021-03-15,96.71790313720703
2021-03-16,95.5083999633789
2021-03-17,93.89155578613281
2021-03-18,94.65623474121094
2021-03-19,95.9656982421875
2021-03-22,96.55296325683594
2021-03-23,95.79576873779297
2021-03-24,95.03858184814453
2021-03-25,95.56587219238281
2021-03-26,95.92322540283203
2021-03-29,96.11563873291016
2021-03-30,96.18312072753906
2021-03-31,95.98320007324219
2021-04-01,96.33305358886719
2021-04-05,96.89531707763672
2021-04-06,97.28266906738281
2021-04-07,95.63333892822266
2021-04-08,95.21601867675781
2021-04-09,96.4729995727539
2021-04-12,96.96529388427734
2021-04-13,97.68250274658203
2021-04-14,97.72248077392578
2021-04-15,99.95906829833984
2021-04-16,99.83912658691406
2021-04-19,99.7916259765625
2021-04-20,100.07902526855469
2021-04-21,100.96365356445312
2021-04-22,101.27853393554688
2021-04-23,102.78541564941406
2021-04-26,102.3705825805664
2021-04-27,101.81331634521484
2021-04-28,101.72334289550781
2021-04-29,101.85578918457031
2021-04-30,102.68045806884766
2021-05-03,102.975341796875
2021-05-04,102.8578872680664
2021-05-05,100.1789779663086
2021-05-06,101.33350372314453
2021-05-07,101.04361724853516
2021-05-10,100.41387939453125
2021-05-11,97.03777313232422
2021-05-12,96.14063262939453
2021-05-13,96.93031311035156
2021-05-14,97.25768280029297
2021-05-17,97.01527404785156
2021-05-18,96.22809600830078
2021-05-19,95.45341491699219
2021-05-20,97.23768615722656
2021-05-21,97.0677490234375
2021-05-24,98.58462524414062
2021-05-25,98.58212280273438
2021-05-26,97.98736572265625
2021-05-27,98.72708129882812
2021-05-28,98.3222427368164
2021-06-01,97.55756378173828
2021-06-02,96.13314056396484
2021-06-03,95.98320007324219
2021-06-04,95.45091247558594
2021-06-07,93.56168365478516
2021-06-08,93.0519027709961
2021-06-09,93.06439208984375
2021-06-10,93.4917221069336
2021-06-11,93.75910949707031
2021-06-14,94.09648132324219
2021-06-15,94.17893981933594
2021-06-16,95.34346008300781
2021-06-17,95.4309310913086
2021-06-18,95.9507064819336
2021-06-21,97.32015228271484
2021-06-22,97.64501953125
2021-06-23,96.8828353881836
2021-06-24,97.6125259399414
2021-06-25,99.06693267822266
2021-06-28,98.83452606201172
2021-06-29,99.23936462402344
2021-06-30,99.02694702148438
2021-07-01,100.7087631225586
2021-07-02,101.89578247070312
2021-07-06,102.34558868408203
2021-07-07,103.41265869140625
2021-07-08,102.6204833984375
2021-07-09,102.76542663574219
2021-07-12,102.67045593261719
2021-07-13,102.22813415527344
2021-07-14,101.33600616455078
2021-07-15,100.64878845214844
2021-07-16,100.93116760253906
2021-07-19,99.14940643310547
2021-07-20,100.53883361816406
2021-07-21,100.33390808105469
2021-07-22,100.97865295410156
2021-07-23,102.47554779052734
2021-07-26,101.36840057373047
2021-07-27,102.46554565429688
2021-07-28,103.37523651123047
2021-07-29,104.18995666503906
2021-07-30,105.40705108642578
2021-08-02,105.86688995361328
2021-08-03,105.9593734741211
2021-08-04,103.49769592285156
2021-08-05,102.89039611816406
2021-08-06,103.21528625488281
2021-08-09,101.78577423095703
2021-08-10,101.60333251953125
2021-08-11,102.01569366455078
