,PCG
2017-04-07,65.81365966796875
2017-04-10,65.87259674072266
2017-04-11,65.81365966796875
2017-04-12,66.31455993652344
2017-04-13,65.94133758544922
2017-04-17,66.27527618408203
2017-04-18,66.32437896728516
2017-04-19,66.33419036865234
2017-04-20,65.95115661621094
2017-04-21,66.1279525756836
2017-04-24,66.57972717285156
2017-04-25,66.45206451416016
2017-04-26,65.8038330078125
2017-04-27,66.0788345336914
2017-04-28,65.85294342041016
2017-05-01,65.27347564697266
2017-05-02,65.59759521484375
2017-05-03,65.57792663574219
2017-05-04,65.7645492553711
2017-05-05,65.94133758544922
2017-05-08,65.77436828613281
2017-05-09,65.57792663574219
2017-05-10,65.30294799804688
2017-05-11,64.74312591552734
2017-05-12,65.14579772949219
2017-05-15,65.27347564697266
2017-05-16,64.37972259521484
2017-05-17,64.16365051269531
2017-05-18,64.45829772949219
2017-05-19,64.36991119384766
2017-05-22,64.75294494628906
2017-05-23,64.97884368896484
2017-05-24,65.04759216308594
2017-05-25,66.08866119384766
2017-05-26,66.167236328125
2017-05-30,66.6779556274414
2017-05-31,67.15921020507812
2017-06-01,67.66009521484375
2017-06-02,67.62081909179688
2017-06-05,67.49311828613281
2017-06-06,67.4538345336914
2017-06-07,67.78777313232422
2017-06-08,67.2672348022461
2017-06-09,67.18866729736328
2017-06-12,66.1279525756836
2017-06-13,66.25562286376953
2017-06-14,67.1297378540039
2017-06-15,67.82705688476562
2017-06-16,67.92528533935547
2017-06-19,67.79759216308594
2017-06-20,67.98419952392578
2017-06-21,67.94490814208984
2017-06-22,67.5815200805664
2017-06-23,66.81546020507812
2017-06-26,66.90384674072266
2017-06-27,65.84313201904297
2017-06-28,65.4372329711914
2017-06-29,65.4372329711914
2017-06-30,65.70452117919922
2017-07-03,64.9620590209961
2017-07-05,64.78385162353516
2017-07-06,64.55615997314453
2017-07-07,64.66504669189453
2017-07-10,64.40766143798828
2017-07-11,64.39775848388672
2017-07-12,64.38787078857422
2017-07-13,65.53623962402344
2017-07-14,65.68473815917969
2017-07-17,65.81342315673828
2017-07-18,65.9619140625
2017-07-19,66.42720794677734
2017-07-20,66.9617919921875
2017-07-21,67.57557678222656
2017-07-24,67.21918487548828
2017-07-25,66.83309936523438
2017-07-26,67.21918487548828
2017-07-27,66.87269592285156
2017-07-28,66.77369689941406
2017-07-31,67.01129913330078
2017-08-01,67.53596496582031
2017-08-02,67.70427703857422
2017-08-03,68.21905517578125
2017-08-04,67.8626708984375
2017-08-07,68.24876403808594
2017-08-08,68.55565643310547
2017-08-09,68.32795715332031
2017-08-10,68.43684387207031
2017-08-11,68.32795715332031
2017-08-14,68.47645568847656
2017-08-15,68.6546401977539
2017-08-16,68.86254119873047
2017-08-17,68.28836059570312
2017-08-18,68.4467544555664
2017-08-21,68.6546401977539
2017-08-22,68.97144317626953
2017-08-23,69.19912719726562
2017-08-24,69.08032989501953
2017-08-25,69.37733459472656
2017-08-28,69.60501861572266
2017-08-29,69.55553436279297
2017-08-30,69.40702819824219
2017-08-31,69.67432403564453
2017-09-01,69.16944122314453
