,CHRW
2017-08-21,55.66489791870117
2017-08-22,55.86471939086914
2017-08-23,55.856388092041016
2017-08-24,55.6732292175293
2017-08-25,57.50486373901367
2017-08-28,59.1533203125
2017-08-29,59.586280822753906
2017-08-30,61.21162414550781
2017-08-31,59.175724029541016
2017-09-01,58.79031753540039
2017-09-05,60.147613525390625
2017-09-06,60.96866226196289
2017-09-07,61.3875846862793
2017-09-08,61.78137969970703
2017-09-11,61.01893615722656
2017-09-12,60.98542785644531
2017-09-13,60.55813980102539
2017-09-14,59.29302215576172
2017-09-15,59.862728118896484
2017-09-18,60.53300094604492
2017-09-19,60.82624435424805
2017-09-20,60.98542785644531
2017-09-21,61.161373138427734
2017-09-22,61.27029800415039
2017-09-25,61.93218994140625
2017-09-26,62.74486541748047
2017-09-27,63.406761169433594
2017-09-28,63.23918914794922
2017-09-29,63.758644104003906
2017-10-02,64.7640151977539
2017-10-03,63.78379440307617
2017-10-04,62.853782653808594
2017-10-05,63.71672821044922
2017-10-06,64.11054992675781
2017-10-09,63.214054107666016
2017-10-10,64.58806610107422
2017-10-11,64.26133728027344
2017-10-12,64.66349029541016
2017-10-13,64.73049926757812
2017-10-16,64.78916931152344
2017-10-17,63.69160842895508
2017-10-18,64.79753875732422
2017-10-19,65.3337631225586
2017-10-20,65.60186767578125
2017-10-23,65.71078491210938
2017-10-24,66.04590606689453
2017-10-25,65.85321044921875
2017-10-26,66.68264770507812
2017-10-27,66.87535858154297
2017-10-30,65.64376831054688
2017-10-31,65.79456329345703
2017-11-01,66.46483612060547
2017-11-02,66.64915466308594
2017-11-03,66.5569839477539
2017-11-06,66.25537109375
2017-11-07,67.445068359375
2017-11-08,67.55399322509766
2017-11-09,67.59589385986328
2017-11-10,67.30264282226562
2017-11-13,67.32778930664062
2017-11-14,67.33617401123047
2017-11-15,66.98426055908203
2017-11-16,67.3613052368164
2017-11-17,65.71916198730469
2017-11-20,65.71078491210938
2017-11-21,66.01239013671875
2017-11-22,66.3894271850586
2017-11-24,66.74967956542969
2017-11-27,66.64073944091797
2017-11-28,68.30805206298828
2017-11-29,70.78800201416016
2017-11-30,72.59770202636719
2017-12-01,72.50553894042969
2017-12-04,72.68989562988281
2017-12-05,71.9861068725586
2017-12-06,73.01663970947266
2017-12-07,73.24285125732422
2017-12-08,74.04714965820312
2017-12-11,73.70365905761719
2017-12-12,73.72877502441406
2017-12-13,73.53605651855469
2017-12-14,71.87715911865234
2017-12-15,72.61845397949219
2017-12-18,73.4186782836914
2017-12-19,72.97222137451172
2017-12-20,73.07330322265625
2017-12-21,73.3934097290039
2017-12-22,74.71587371826172
2017-12-26,74.79169464111328
2017-12-27,75.3897705078125
2017-12-28,75.35604858398438
2017-12-29,75.04438781738281
2018-01-02,75.59191131591797
2018-01-03,75.38133239746094
2018-01-04,75.5750732421875
2018-01-05,75.44872283935547
2018-01-08,76.46796417236328
2018-01-09,77.04075622558594
2018-01-10,77.02388763427734
2018-01-11,79.11289978027344
2018-01-12,79.41615295410156
2018-01-16,78.31267547607422
2018-01-17,78.32113647460938
2018-01-18,78.9107666015625
2018-01-19,80.15742492675781
2018-01-22,80.3848648071289
2018-01-23,79.93840789794922
2018-01-24,81.01660919189453
2018-01-25,81.31144714355469
2018-01-26,81.47991180419922
2018-01-29,81.12610626220703
2018-01-30,79.96368408203125
2018-01-31,77.04075622558594
2018-02-01,77.47876739501953
2018-02-02,77.3187255859375
2018-02-05,76.08892059326172
2018-02-06,76.45954132080078
2018-02-07,77.97574615478516
2018-02-08,76.20683288574219
2018-02-09,75.2634048461914
2018-02-12,76.80488586425781
2018-02-13,78.10208892822266
2018-02-14,77.85781860351562
2018-02-15,78.29583740234375
2018-02-16,78.01786804199219
2018-02-20,75.78564453125
2018-02-21,75.96255493164062
2018-02-22,75.88672637939453
2018-02-23,78.02629089355469
2018-02-26,79.71097564697266
2018-02-27,78.73385620117188
2018-02-28,78.64120483398438
2018-03-01,75.932373046875
2018-03-02,75.77153015136719
2018-03-05,76.00007629394531
2018-03-06,76.17782592773438
2018-03-07,76.19477081298828
2018-03-08,75.84770202636719
2018-03-09,77.65924072265625
2018-03-12,77.05821990966797
2018-03-13,77.63385009765625
2018-03-14,75.9662094116211
2018-03-15,76.42333221435547
2018-03-16,77.99784088134766
2018-03-19,78.41264343261719
2018-03-20,78.78510284423828
2018-03-21,79.2507095336914
2018-03-22,78.43804931640625
2018-03-23,76.91432189941406
2018-03-26,78.52267456054688
2018-03-27,77.50687408447266
2018-03-28,77.61692810058594
2018-03-29,79.32686614990234
2018-04-02,78.07403564453125
2018-04-03,79.25914764404297
2018-04-04,79.87711334228516
2018-04-05,78.9713363647461
2018-04-06,76.59265899658203
2018-04-09,77.51534271240234
2018-04-10,79.67395782470703
2018-04-11,79.53003692626953
2018-04-12,80.76597595214844
2018-04-13,79.8009262084961
2018-04-16,82.63673400878906
2018-04-17,81.2907943725586
2018-04-18,80.36807250976562
2018-04-19,79.81786346435547
2018-04-20,79.30149841308594
2018-04-23,79.32686614990234
2018-04-24,78.18408203125
2018-04-25,78.37877655029297
2018-04-26,77.3036880493164
2018-04-27,77.87933349609375
2018-04-30,77.90473175048828
2018-05-01,76.73653411865234
2018-05-02,70.17606353759766
2018-05-03,69.92208862304688
2018-05-04,69.8713150024414
2018-05-07,69.77821350097656
2018-05-08,71.0479736328125
2018-05-09,70.67549896240234
2018-05-10,71.59819793701172
2018-05-11,73.17272186279297
2018-05-14,72.52935791015625
2018-05-15,72.10609436035156
2018-05-16,72.58014678955078
2018-05-17,74.12081909179688
2018-05-18,74.9165267944336
2018-05-21,76.11013793945312
2018-05-22,74.78956604003906
2018-05-23,74.01921844482422
2018-05-24,74.49327087402344
2018-05-25,74.6880111694336
2018-05-29,74.43404388427734
2018-05-30,75.70377349853516
2018-05-31,74.02754211425781
2018-06-01,74.47000885009766
2018-06-04,74.84439086914062
2018-06-05,74.7422866821289
2018-06-06,74.70826721191406
2018-06-07,74.86991119384766
2018-06-08,75.15071868896484
2018-06-11,75.45703887939453
2018-06-12,77.28646087646484
2018-06-13,77.25242614746094
2018-06-14,76.94609832763672
2018-06-15,76.65679168701172
2018-06-18,77.11627960205078
2018-06-19,76.56322479248047
2018-06-20,76.80996704101562
2018-06-21,76.40153503417969
2018-06-22,75.3974838256836
2018-06-25,72.82778930664062
2018-06-26,72.23214721679688
2018-06-27,71.23662567138672
2018-06-28,71.07493591308594
2018-06-29,71.18557739257812
2018-07-02,72.85331726074219
2018-07-03,72.3172378540039
2018-07-05,71.8152084350586
2018-07-06,71.86627197265625
2018-07-09,73.05752563476562
2018-07-10,73.07455444335938
2018-07-11,73.04049682617188
2018-07-12,73.03199768066406
2018-07-13,73.80631256103516
2018-07-16,74.28282165527344
2018-07-17,74.6231460571289
2018-07-18,75.59318542480469
2018-07-19,76.23133850097656
2018-07-20,76.85247802734375
2018-07-23,76.27388763427734
2018-07-24,76.56322479248047
2018-07-25,78.06925964355469
2018-07-26,78.15435028076172
2018-07-27,77.81399536132812
2018-07-30,76.98014068603516
2018-07-31,78.47770690917969
2018-08-01,81.15800476074219
2018-08-02,81.2005615234375
2018-08-03,81.50688171386719
2018-08-06,81.87274932861328
2018-08-07,81.95783996582031
