,AMP
2017-09-18,121.458740234375
2017-09-19,121.77775573730469
2017-09-20,122.00196838378906
2017-09-21,122.5451889038086
2017-09-22,123.23501586914062
2017-09-25,123.4333724975586
2017-09-26,124.46807098388672
2017-09-27,127.53770446777344
2017-09-28,127.3997573852539
2017-09-29,128.05508422851562
2017-10-02,128.1930389404297
2017-10-03,128.8656005859375
2017-10-04,129.22779846191406
2017-10-05,129.81407165527344
2017-10-06,130.19351196289062
2017-10-09,129.88311767578125
2017-10-10,130.417724609375
2017-10-11,130.91781616210938
2017-10-12,131.56448364257812
2017-10-13,131.8490447998047
2017-10-16,132.262939453125
2017-10-17,131.36619567871094
2017-10-18,131.70248413085938
2017-10-19,131.4524383544922
2017-10-20,132.89242553710938
2017-10-23,132.94412231445312
2017-10-24,132.7630615234375
2017-10-25,135.42742919921875
2017-10-26,140.37686157226562
2017-10-27,138.49710083007812
2017-10-30,136.49667358398438
2017-10-31,134.97906494140625
2017-11-01,135.703369140625
2017-11-02,138.4453582763672
2017-11-03,138.32406616210938
2017-11-06,139.2427520751953
2017-11-07,138.01202392578125
2017-11-08,138.67074584960938
2017-11-09,137.85598754882812
2017-11-10,136.26988220214844
2017-11-13,136.35653686523438
2017-11-14,136.17453002929688
2017-11-15,136.41720581054688
2017-11-16,136.1485137939453
2017-11-17,137.18858337402344
2017-11-20,139.2427520751953
2017-11-21,138.4713592529297
2017-11-22,138.31536865234375
2017-11-24,138.29803466796875
2017-11-27,138.0293426513672
2017-11-28,140.19622802734375
2017-11-29,141.7650146484375
2017-11-30,141.47897338867188
2017-12-01,140.82025146484375
2017-12-04,143.48985290527344
2017-12-05,142.4584197998047
2017-12-06,142.81378173828125
2017-12-07,145.2666778564453
2017-12-08,147.22555541992188
2017-12-11,145.42269897460938
2017-12-12,146.13343811035156
2017-12-13,144.243896484375
2017-12-14,143.4031982421875
2017-12-15,145.5526885986328
2017-12-18,147.36419677734375
2017-12-19,148.49964904785156
2017-12-20,148.30026245117188
2017-12-21,148.82032775878906
2017-12-22,148.6556396484375
2017-12-26,148.30026245117188
2017-12-27,148.16163635253906
2017-12-28,148.74234008789062
2017-12-29,146.8875274658203
2018-01-02,147.2688446044922
2018-01-03,146.54080200195312
2018-01-04,147.07818603515625
2018-01-05,147.58090209960938
2018-01-08,149.0803680419922
2018-01-09,150.88323974609375
2018-01-10,152.3999786376953
2018-01-11,155.1302490234375
2018-01-12,157.78250122070312
2018-01-16,153.68276977539062
2018-01-17,154.6881866455078
2018-01-18,153.90814208984375
2018-01-19,154.98291015625
2018-01-22,154.22882080078125
2018-01-23,154.549560546875
2018-01-24,156.2830047607422
2018-01-25,150.05978393554688
2018-01-26,155.87564086914062
2018-01-29,153.8041229248047
2018-01-30,149.0890350341797
2018-01-31,146.22006225585938
2018-02-01,148.282958984375
2018-02-02,145.17999267578125
2018-02-05,139.0174560546875
2018-02-06,139.16473388671875
2018-02-07,138.77476501464844
2018-02-08,132.1788330078125
2018-02-09,133.3749237060547
2018-02-12,135.13442993164062
2018-02-13,135.74981689453125
2018-02-14,139.15614318847656
2018-02-15,138.52880859375
2018-02-16,139.23451232910156
2018-02-20,138.31973266601562
2018-02-21,138.85984802246094
2018-02-22,137.666259765625
2018-02-23,139.64402770996094
