,MMC
2020-07-02,100.98894500732422
2020-07-06,101.01700592041016
2020-07-07,100.48348236083984
2020-07-08,102.10282897949219
2020-07-09,101.30719757080078
2020-07-10,102.45853424072266
2020-07-13,101.80329895019531
2020-07-14,103.18862915039062
2020-07-15,104.44292449951172
2020-07-16,104.67694091796875
2020-07-17,106.41793823242188
2020-07-20,106.22136688232422
2020-07-21,107.0825424194336
2020-07-22,108.12152862548828
2020-07-23,107.90625762939453
2020-07-24,107.72298431396484
2020-07-27,107.71359252929688
2020-07-28,107.33765411376953
2020-07-29,108.6252212524414
2020-07-30,109.68721771240234
2020-07-31,109.58384704589844
2020-08-03,108.85076904296875
2020-08-04,110.3263168334961
2020-08-05,111.30372619628906
2020-08-06,111.62326049804688
2020-08-07,110.65523529052734
2020-08-10,109.40528869628906
2020-08-11,109.94097900390625
2020-08-12,109.6308364868164
2020-08-13,110.10074615478516
2020-08-14,109.59324645996094
2020-08-17,109.49925994873047
2020-08-18,109.89398956298828
2020-08-19,109.11393737792969
2020-08-20,109.06694793701172
2020-08-21,106.64219665527344
2020-08-24,105.84333038330078
2020-08-25,106.1910629272461
2020-08-26,107.34706115722656
2020-08-27,107.77937316894531
2020-08-28,107.1402816772461
2020-08-31,107.99553680419922
2020-09-01,108.5312271118164
2020-09-02,111.75484466552734
2020-09-03,109.56502532958984
2020-09-04,108.46546936035156
2020-09-08,106.65156555175781
2020-09-09,109.72482299804688
2020-09-10,108.6534194946289
2020-09-11,108.81320190429688
2020-09-14,110.7116470336914
2020-09-15,111.48230743408203
2020-09-16,111.67965698242188
2020-09-17,110.78682708740234
2020-09-18,110.58946228027344
2020-09-21,109.27368927001953
2020-09-22,109.27368927001953
2020-09-23,107.6478042602539
2020-09-24,105.94672393798828
2020-09-25,106.1628646850586
2020-09-28,107.6478042602539
2020-09-29,107.18728637695312
2020-09-30,107.79817962646484
2020-10-01,107.35645294189453
2020-10-02,107.66659545898438
2020-10-05,108.7004165649414
2020-10-06,107.96733093261719
2020-10-07,107.78877258300781
2020-10-08,107.82181549072266
2020-10-09,109.19011688232422
2020-10-12,110.02051544189453
2020-10-13,108.47290802001953
2020-10-14,108.05772399902344
2020-10-15,107.91616821289062
2020-10-16,108.46349334716797
2020-10-19,106.6611099243164
2020-10-20,106.13267517089844
2020-10-21,105.97225952148438
2020-10-22,106.99140930175781
2020-10-23,107.29335021972656
2020-10-26,104.8304214477539
2020-10-27,104.18873596191406
2020-10-28,101.47101593017578
2020-10-29,97.14907836914062
2020-10-30,97.63036346435547
2020-11-02,98.97977447509766
2020-11-03,100.56511688232422
2020-11-04,102.85818481445312
2020-11-05,102.29202270507812
2020-11-06,103.38662719726562
2020-11-09,104.34916687011719
2020-11-10,106.17042541503906
2020-11-11,106.97251892089844
2020-11-12,106.00054931640625
2020-11-13,106.92533111572266
2020-11-16,109.14292907714844
2020-11-17,107.80294036865234
2020-11-18,105.68914794921875
2020-11-19,108.0294189453125
2020-11-20,106.61393737792969
2020-11-23,106.89701843261719
2020-11-24,108.61446380615234
2020-11-25,108.7371597290039
2020-11-27,107.91616821289062
2020-11-30,108.1803970336914
2020-12-01,109.78459167480469
2020-12-02,109.48262786865234
2020-12-03,109.97334289550781
2020-12-04,110.7093734741211
2020-12-07,109.52037048339844
2020-12-08,110.12431335449219
2020-12-09,109.36940002441406
2020-12-10,108.86927795410156
2020-12-11,108.935302734375
2020-12-14,108.44461822509766
2020-12-15,110.0771484375
2020-12-16,110.52066802978516
2020-12-17,112.00218963623047
2020-12-18,109.7185287475586
2020-12-21,108.56730651855469
2020-12-22,107.95392608642578
2020-12-23,107.28392028808594
2020-12-24,108.6427993774414
2020-12-28,108.70883178710938
2020-12-29,108.33136749267578
2020-12-30,108.529541015625
2020-12-31,110.40740966796875
2021-01-04,107.11407470703125
2021-01-05,106.36857604980469
2021-01-06,107.10462951660156
2021-01-07,106.95362091064453
2021-01-08,107.08575439453125
2021-01-11,106.24591064453125
2021-01-12,106.63280487060547
2021-01-13,107.08575439453125
2021-01-14,105.67971801757812
2021-01-15,105.53816223144531
2021-01-19,105.89676666259766
2021-01-20,107.04801177978516
2021-01-21,105.52872467041016
2021-01-22,105.2361831665039
2021-01-25,105.71745300292969
2021-01-26,104.99083709716797
2021-01-27,101.53707885742188
2021-01-28,102.69776916503906
2021-01-29,104.16197967529297
2021-02-01,104.23778533935547
2021-02-02,106.99559783935547
2021-02-03,105.32765197753906
2021-02-04,105.85835266113281
2021-02-05,107.65898895263672
2021-02-08,107.91487121582031
2021-02-09,107.89591217041016
2021-02-10,106.83448791503906
2021-02-11,106.90083312988281
2021-02-12,106.90083312988281
2021-02-16,108.51191711425781
2021-02-17,111.5256118774414
2021-02-18,111.57300567626953
2021-02-19,110.94751739501953
2021-02-22,112.198486328125
2021-02-23,112.14161682128906
2021-02-24,112.7955093383789
2021-02-25,112.0468521118164
2021-02-26,109.19427490234375
2021-03-01,111.3171157836914
2021-03-02,109.89558410644531
2021-03-03,109.01421356201172
2021-03-04,107.28939056396484
2021-03-05,110.8906478881836
2021-03-08,111.21287536621094
2021-03-09,110.70110321044922
2021-03-10,111.21287536621094
2021-03-11,112.01842498779297
2021-03-12,111.72463989257812
2021-03-15,112.64391326904297
2021-03-16,112.56808471679688
2021-03-17,112.92821502685547
2021-03-18,113.0798568725586
2021-03-19,110.76744842529297
2021-03-22,111.14653778076172
2021-03-23,110.81484985351562
2021-03-24,111.82887268066406
2021-03-25,112.46382904052734
2021-03-26,113.94224548339844
2021-03-29,115.5059585571289
2021-03-30,115.164794921875
2021-03-31,115.4301528930664
2021-04-01,116.70955657958984
2021-04-05,118.35853576660156
2021-04-06,118.41085815429688
2021-04-07,118.01134490966797
2021-04-08,118.74378967285156
2021-04-09,120.0279769897461
2021-04-12,120.05651092529297
2021-04-13,120.08505249023438
2021-04-14,119.32406616210938
2021-04-15,120.76994323730469
2021-04-16,121.22655487060547
2021-04-19,120.95069122314453
2021-04-20,121.14092254638672
2021-04-21,121.31214904785156
2021-04-22,120.72239685058594
2021-04-23,121.44532775878906
2021-04-26,120.99825286865234
2021-04-27,125.76398468017578
2021-04-28,127.47623443603516
2021-04-29,129.3501739501953
2021-04-30,129.0838165283203
2021-05-03,128.7033233642578
2021-05-04,128.57012939453125
2021-05-05,130.94827270507812
2021-05-06,131.05291748046875
2021-05-07,131.24314880371094
2021-05-10,131.07191467285156
2021-05-11,128.19918823242188
2021-05-12,126.31568908691406
2021-05-13,128.0279541015625
2021-05-14,127.9994125366211
2021-05-17,127.93280029296875
2021-05-18,127.26692199707031
2021-05-19,127.69502258300781
2021-05-20,129.0933380126953
2021-05-21,129.54043579101562
2021-05-24,129.77821350097656
2021-05-25,129.93992614746094
2021-05-26,129.84483337402344
2021-05-27,130.58676147460938
2021-05-28,131.60459899902344
2021-06-01,132.0421905517578
2021-06-02,132.53684997558594
2021-06-03,132.5748748779297
2021-06-04,132.86026000976562
2021-06-07,131.24314880371094
2021-06-08,130.71046447753906
2021-06-09,130.7199249267578
2021-06-10,131.73779296875
2021-06-11,132.14683532714844
2021-06-14,132.82223510742188
2021-06-15,133.7734375
2021-06-16,132.8983154296875
2021-06-17,130.1682586669922
2021-06-18,127.7615966796875
2021-06-21,129.69261169433594
2021-06-22,130.05410766601562
2021-06-23,130.78656005859375
2021-06-24,131.41436767578125
2021-06-25,132.88882446289062
2021-06-28,132.1753387451172
2021-06-29,134.068359375
2021-06-30,133.82098388671875
2021-07-01,135.4000701904297
2021-07-02,135.3715362548828
2021-07-06,135.599853515625
2021-07-07,135.61886596679688
2021-07-08,134.6200714111328
2021-07-09,135.64739990234375
2021-07-12,134.91494750976562
2021-07-13,134.1729736328125
2021-07-14,134.08737182617188
2021-07-15,134.1729736328125
2021-07-16,134.4393310546875
2021-07-19,132.26095581054688
2021-07-20,134.79127502441406
2021-07-21,135.4476776123047
2021-07-22,138.78648376464844
2021-07-23,140.22291564941406
2021-07-26,140.4416961669922
2021-07-27,139.5570526123047
2021-07-28,138.23475646972656
2021-07-29,140.15374755859375
2021-07-30,140.55471801757812
2021-08-02,141.2898712158203
2021-08-03,143.52392578125
2021-08-04,142.14907836914062
2021-08-05,144.09674072265625
2021-08-06,143.1038360595703
2021-08-09,143.81988525390625
2021-08-10,143.51434326171875
2021-08-11,144.72682189941406
2021-08-12,144.23995971679688
2021-08-13,144.7745819091797
2021-08-16,146.57901000976562
2021-08-17,147.52423095703125
2021-08-18,146.01576232910156
2021-08-19,146.95138549804688
2021-08-20,148.1065673828125
2021-08-23,148.8035430908203
2021-08-24,148.2402801513672
2021-08-25,148.2880096435547
2021-08-26,147.7151336669922
2021-08-27,149.2713623046875
2021-08-30,149.32864379882812
2021-08-31,150.0828857421875
2021-09-01,150.89439392089844
2021-09-02,152.20236206054688
2021-09-03,152.27874755859375
2021-09-07,150.74163818359375
2021-09-08,151.80140686035156
2021-09-09,153.03294372558594
2021-09-10,153.21437072753906
2021-09-13,151.93502807617188
2021-09-14,150.47433471679688
2021-09-15,151.61045837402344
2021-09-16,151.0567169189453
2021-09-17,148.77491760253906
2021-09-20,147.87744140625
2021-09-21,148.5457763671875
2021-09-22,149.96829223632812
2021-09-23,151.3526611328125
2021-09-24,152.2405548095703
2021-09-27,149.48141479492188
2021-09-28,146.33078002929688
2021-09-29,147.48602294921875
2021-09-30,144.5740966796875
2021-10-01,147.15188598632812
2021-10-04,144.8700714111328
2021-10-05,147.54331970214844
2021-10-06,148.22116088867188
2021-10-07,150.0270538330078
2021-10-08,150.08453369140625
2021-10-11,150.23782348632812
2021-10-12,150.4102325439453
2021-10-13,150.8126220703125
2021-10-14,153.92620849609375
2021-10-15,155.2003936767578
2021-10-18,155.01832580566406
2021-10-19,157.7487335205078
2021-10-20,158.88880920410156
2021-10-21,161.36050415039062
2021-10-22,162.45265197753906
2021-10-25,162.03111267089844
2021-10-26,161.82034301757812
2021-10-27,160.6036376953125
2021-10-28,160.42160034179688
2021-10-29,159.79891967773438
2021-11-01,155.95721435546875
2021-11-02,157.20263671875
2021-11-03,155.7943572998047
2021-11-04,154.41481018066406
2021-11-05,154.67349243164062
2021-11-08,157.11643981933594
2021-11-09,157.99781799316406
2021-11-10,158.21815490722656
2021-11-11,157.99781799316406
2021-11-12,159.70310974121094
2021-11-15,160.3258514404297
2021-11-16,161.48501586914062
2021-11-17,160.7473907470703
2021-11-18,160.46954345703125
2021-11-19,162.213134765625
2021-11-22,162.1652374267578
2021-11-23,161.95448303222656
2021-11-24,162.65386962890625
2021-11-26,159.42526245117188
2021-11-29,160.01925659179688
2021-11-30,157.1356201171875
2021-12-01,156.86734008789062
2021-12-02,161.39883422851562
2021-12-03,160.7473907470703
2021-12-06,163.30531311035156
2021-12-07,165.33631896972656
2021-12-08,165.6524658203125
2021-12-09,163.87054443359375
2021-12-10,164.5890655517578
2021-12-13,163.48731994628906
2021-12-14,161.88742065429688
2021-12-15,163.26698303222656
2021-12-16,162.86460876464844
2021-12-17,161.23594665527344
2021-12-20,161.23594665527344
2021-12-21,161.76287841796875
2021-12-22,163.32443237304688
2021-12-23,163.41065979003906
2021-12-27,166.59130859375
2021-12-28,166.47634887695312
2021-12-29,166.59130859375
2021-12-30,166.20811462402344
2021-12-31,166.5242919921875
2022-01-03,160.2108612060547
2022-01-04,160.13421630859375
2022-01-05,157.91162109375
2022-01-06,159.6935272216797
2022-01-07,156.93441772460938
2022-01-10,158.24691772460938
2022-01-11,158.77381896972656
2022-01-12,159.386962890625
2022-01-13,157.0685272216797
2022-01-14,154.4339599609375
2022-01-18,152.07720947265625
2022-01-19,151.626953125
2022-01-20,151.55032348632812
2022-01-21,150.4581756591797
2022-01-24,151.32998657226562
2022-01-25,150.074951171875
2022-01-26,148.04177856445312
2022-01-27,141.61061096191406
2022-01-28,144.4561004638672
2022-01-31,147.69569396972656
2022-02-01,147.58035278320312
2022-02-02,148.781982421875
2022-02-03,146.14801025390625
2022-02-04,147.32081604003906
2022-02-07,147.38807678222656
2022-02-08,147.92640686035156
2022-02-09,150.38735961914062
2022-02-10,147.5707244873047
2022-02-11,146.321044921875
2022-02-14,145.8403778076172
2022-02-15,147.5995635986328
2022-02-16,147.98410034179688
2022-02-17,145.30203247070312
