,ETR
2019-06-03,35.11397933959961
2019-06-04,34.90620803833008
2019-06-05,35.90925598144531
2019-06-06,36.17435073852539
2019-06-07,36.038230895996094
2019-06-10,35.76953887939453
2019-06-11,35.644168853759766
2019-06-12,36.292572021484375
2019-06-13,36.18867492675781
2019-06-14,36.554080963134766
2019-06-17,36.45377731323242
2019-06-18,36.28899002075195
2019-06-19,36.711700439453125
2019-06-20,37.05561065673828
2019-06-21,37.3493537902832
2019-06-24,37.14515686035156
2019-06-25,36.98395538330078
2019-06-26,36.256744384765625
2019-06-27,36.41795349121094
2019-06-28,36.87290954589844
2019-07-01,36.53974914550781
2019-07-02,37.14515686035156
2019-07-03,37.44966125488281
2019-07-05,37.37801742553711
2019-07-08,37.38875961303711
2019-07-09,37.34218978881836
2019-07-10,37.4962272644043
2019-07-11,37.41741943359375
2019-07-12,37.20964050292969
2019-07-15,37.557125091552734
2019-07-16,37.57145690917969
2019-07-17,37.80789566040039
2019-07-18,38.241355895996094
2019-07-19,37.829383850097656
2019-07-22,37.75774383544922
2019-07-23,37.564300537109375
2019-07-24,37.49264907836914
2019-07-25,37.26337814331055
2019-07-26,37.14515686035156
2019-07-29,37.59295654296875
2019-07-30,37.21322250366211
2019-07-31,37.83655548095703
2019-08-01,38.31658172607422
2019-08-02,38.23060989379883
2019-08-05,37.582218170166016
2019-08-06,38.169708251953125
2019-08-07,38.603416442871094
2019-08-08,39.0116081237793
2019-08-09,39.153751373291016
2019-08-12,39.26673889160156
2019-08-13,39.29588317871094
2019-08-14,38.997032165527344
2019-08-15,39.72594451904297
2019-08-16,39.795196533203125
2019-08-19,40.01386642456055
2019-08-20,40.16694259643555
2019-08-21,40.69905090332031
2019-08-22,40.567848205566406
2019-08-23,40.0320930480957
2019-08-26,40.65167236328125
2019-08-27,40.855770111083984
2019-08-28,40.93594741821289
2019-08-29,41.191070556640625
2019-08-30,41.125465393066406
2019-09-03,41.978294372558594
2019-09-04,42.12043762207031
2019-09-05,41.73046875
2019-09-06,41.38422775268555
2019-09-09,41.03434753417969
2019-09-10,40.910430908203125
2019-09-11,41.15097427368164
2019-09-12,41.508148193359375
2019-09-13,41.373287200927734
2019-09-16,41.3769416809082
2019-09-17,41.71588897705078
2019-09-18,41.78513717651367
2019-09-19,41.94185256958008
2019-09-20,41.989234924316406
2019-09-23,42.14230728149414
2019-09-24,42.674400329589844
2019-09-25,42.59786605834961
2019-09-26,42.84206008911133
2019-09-27,42.82383728027344
2019-09-30,42.7728157043457
2019-10-01,42.75823211669922
2019-10-02,42.44115447998047
2019-10-03,42.459381103515625
2019-10-04,43.28669738769531
2019-10-07,42.92953872680664
2019-10-08,42.86756896972656
2019-10-09,43.02793502807617
2019-10-10,42.92953872680664
2019-10-11,42.725440979003906
2019-10-14,42.49946594238281
2019-10-15,42.1131477355957
2019-10-16,42.2917366027832
2019-10-17,42.74365997314453
2019-10-18,43.060733795166016
2019-10-21,43.3778190612793
2019-10-22,43.51995849609375
2019-10-23,43.971885681152344
2019-10-24,44.1905632019043
2019-10-25,43.83339309692383
2019-10-28,43.0498046875
2019-10-29,43.385108947753906
2019-10-30,44.30353927612305
2019-10-31,44.27438735961914
2019-11-01,43.6110725402832
2019-11-04,43.221099853515625
2019-11-05,42.48853302001953
2019-11-06,43.09223556518555
2019-11-07,42.492252349853516
2019-11-08,42.55520248413086
2019-11-11,42.25519561767578
2019-11-12,42.54038619995117
2019-11-13,43.52556610107422
2019-11-14,43.292236328125
2019-11-15,43.22556686401367
2019-11-18,43.292236328125
2019-11-19,43.032981872558594
2019-11-20,43.355201721191406
2019-11-21,42.92557907104492
2019-11-22,42.85891342163086
2019-11-25,42.73298645019531
2019-11-26,43.13668441772461
2019-11-27,43.30335235595703
2019-11-29,43.107051849365234
2019-12-02,42.9552001953125
2019-12-03,43.30335235595703
2019-12-04,43.74407958984375
2019-12-05,43.8588981628418
2019-12-06,43.73667526245117
2019-12-09,43.77001190185547
2019-12-10,43.58113098144531
2019-12-11,43.77001190185547
2019-12-12,43.30335235595703
2019-12-13,43.8144645690918
2019-12-16,44.11815643310547
2019-12-17,44.00704574584961
2019-12-18,44.318153381347656
2019-12-19,44.26259994506836
2019-12-20,44.507041931152344
2019-12-23,43.91444778442383
2019-12-24,44.23667907714844
2019-12-26,44.26629638671875
2019-12-27,44.39223098754883
2019-12-30,44.17741394042969
2019-12-31,44.37000274658203
2020-01-02,43.67742156982422
2020-01-03,43.97370910644531
2020-01-06,44.1292724609375
2020-01-07,44.12186050415039
2020-01-08,44.058895111083984
2020-01-09,44.540374755859375
2020-01-10,44.670005798339844
2020-01-13,45.00703430175781
2020-01-14,45.02926254272461
2020-01-15,45.829254150390625
2020-01-16,46.277400970458984
2020-01-17,46.78110122680664
2020-01-21,47.169986724853516
2020-01-22,47.366275787353516
2020-01-23,48.12923812866211
2020-01-24,48.418121337890625
2020-01-27,47.98108673095703
2020-01-28,48.14405059814453
2020-01-29,48.35145950317383
2020-01-30,48.7847785949707
2020-01-31,48.710716247558594
2020-02-03,48.958858489990234
2020-02-04,48.355159759521484
2020-02-05,48.355159759521484
2020-02-06,48.66997528076172
2020-02-07,48.86626052856445
2020-02-10,49.218116760253906
2020-02-11,49.218116760253906
2020-02-12,49.06892395019531
2020-02-13,49.695526123046875
2020-02-14,50.0274772644043
2020-02-18,50.26990509033203
2020-02-19,49.63956832885742
2020-02-20,49.02789306640625
2020-02-21,48.472164154052734
2020-02-24,48.390106201171875
2020-02-25,47.1070671081543
2020-02-26,46.8646240234375
2020-02-27,45.055686950683594
2020-02-28,43.60480499267578
2020-03-02,46.293975830078125
2020-03-03,45.46222686767578
2020-03-04,47.875396728515625
2020-03-05,47.539710998535156
2020-03-06,46.3536491394043
2020-03-09,43.041603088378906
2020-03-10,44.49248123168945
2020-03-11,41.631744384765625
2020-03-12,37.909427642822266
2020-03-13,38.39057922363281
2020-03-16,32.35206604003906
2020-03-17,37.15602493286133
2020-03-18,32.22898483276367
2020-03-19,31.348766326904297
2020-03-20,29.834474563598633
2020-03-23,29.159381866455078
2020-03-24,32.19915008544922
2020-03-25,33.18008041381836
2020-03-26,36.07065963745117
2020-03-27,36.305625915527344
2020-03-30,37.3238639831543
2020-03-31,35.04869842529297
2020-04-01,31.919416427612305
2020-04-02,32.89661407470703
2020-04-03,31.098859786987305
2020-04-06,34.6869010925293
2020-04-07,34.92934036254883
2020-04-08,37.49169921875
2020-04-09,38.38311767578125
2020-04-13,36.51077651977539
2020-04-14,37.54391860961914
2020-04-15,36.294437408447266
2020-04-16,36.238487243652344
2020-04-17,37.77143478393555
2020-04-20,35.97367477416992
2020-04-21,35.30604934692383
2020-04-22,37.10380554199219
2020-04-23,36.167625427246094
2020-04-24,36.376502990722656
2020-04-27,37.78635025024414
2020-04-28,37.17467498779297
2020-04-29,36.69353103637695
2020-04-30,35.623085021972656
2020-05-01,34.899513244628906
2020-05-04,35.58951950073242
2020-05-05,36.085575103759766
2020-05-06,35.24134063720703
2020-05-07,35.27935791015625
2020-05-08,36.1312141418457
2020-05-11,36.59135818481445
2020-05-12,36.5076904296875
2020-05-13,35.7889404296875
2020-05-14,36.10459518432617
2020-05-15,36.11980438232422
2020-05-18,37.80827331542969
2020-05-19,36.72065353393555
2020-05-20,37.11235427856445
2020-05-21,37.1275634765625
2020-05-22,37.25305938720703
2020-05-26,37.92997360229492
2020-05-27,37.827293395996094
2020-05-28,39.19634246826172
2020-05-29,38.72097396850586
2020-06-01,39.04801940917969
2020-06-02,39.37126922607422
2020-06-03,39.56520462036133
2020-06-04,38.49659729003906
2020-06-05,39.44732666015625
2020-06-08,40.26874923706055
2020-06-09,39.299007415771484
2020-06-10,38.8616828918457
2020-06-11,36.800514221191406
2020-06-12,36.667415618896484
2020-06-15,36.960243225097656
2020-06-16,37.237850189208984
2020-06-17,36.91461181640625
2020-06-18,37.078128814697266
2020-06-19,35.944854736328125
2020-06-22,36.87657928466797
2020-06-23,36.12740707397461
2020-06-24,35.560768127441406
2020-06-25,35.123451232910156
2020-06-26,34.85724639892578
2020-06-29,35.65964889526367
2020-06-30,35.67486572265625
2020-07-01,36.78150177001953
2020-07-02,36.834739685058594
2020-07-06,36.659812927246094
2020-07-07,36.45065689086914
2020-07-08,36.8499641418457
2020-07-09,36.6788215637207
2020-07-10,37.325321197509766
2020-07-13,36.636985778808594
2020-07-14,37.1275634765625
2020-07-15,36.59896469116211
2020-07-16,37.393768310546875
2020-07-17,38.1961784362793
2020-07-20,37.41659164428711
2020-07-21,37.857723236083984
2020-07-22,39.219146728515625
2020-07-23,39.557613372802734
2020-07-24,39.0404167175293
2020-07-27,38.68674087524414
2020-07-28,39.044219970703125
2020-07-29,39.59943771362305
2020-07-30,39.793392181396484
2020-07-31,39.979732513427734
2020-08-03,39.025203704833984
2020-08-04,39.23056411743164
2020-08-05,38.16575241088867
2020-08-06,38.89971923828125
2020-08-07,39.80479431152344
2020-08-10,40.19649124145508
2020-08-11,38.83125305175781
2020-08-12,39.3735466003418
2020-08-13,39.4045295715332
2020-08-14,39.09465789794922
2020-08-17,38.96683120727539
2020-08-18,38.77315902709961
2020-08-19,38.34320068359375
2020-08-20,37.847408294677734
2020-08-21,38.01008987426758
2020-08-24,38.2076416015625
2020-08-25,37.890018463134766
2020-08-26,37.281883239746094
2020-08-27,37.67310333251953
2020-08-28,38.331581115722656
2020-08-31,38.40130615234375
2020-09-01,37.839664459228516
2020-09-02,38.92035675048828
2020-09-03,37.95973205566406
2020-09-04,37.920997619628906
2020-09-08,37.94036865234375
2020-09-09,38.10305404663086
2020-09-10,37.12694549560547
2020-09-11,36.972007751464844
2020-09-14,37.463932037353516
2020-09-15,37.39421081542969
2020-09-16,37.510414123535156
2020-09-17,37.81641387939453
2020-09-18,36.96426010131836
2020-09-21,36.73185348510742
2020-09-22,37.68084716796875
2020-09-23,36.86355209350586
2020-09-24,37.099830627441406
2020-09-25,37.56464385986328
2020-09-28,37.44843673706055
2020-09-29,37.099830627441406
2020-09-30,38.16502380371094
2020-10-01,39.230228424072266
2020-10-02,40.148223876953125
2020-10-05,40.59754943847656
2020-10-06,41.07785415649414
2020-10-07,40.55493927001953
2020-10-08,41.52717208862305
2020-10-09,41.00038528442383
2020-10-12,41.13595199584961
2020-10-13,41.244415283203125
2020-10-14,40.965518951416016
2020-10-15,40.79508972167969
2020-10-16,41.31801223754883
2020-10-19,40.80283737182617
2020-10-20,41.14370346069336
2020-10-21,41.3916015625
2020-10-22,41.84866714477539
2020-10-23,42.20115280151367
2020-10-26,42.22439193725586
2020-10-27,41.66274642944336
2020-10-28,39.8228645324707
2020-10-29,39.30769348144531
2020-10-30,39.20698165893555
2020-11-02,40.80283737182617
2020-11-03,41.906768798828125
2020-11-04,40.96165084838867
2020-11-05,41.37610626220703
2020-11-06,40.636287689208984
2020-11-09,42.278621673583984
2020-11-10,43.05915451049805
2020-11-11,43.2956657409668
2020-11-12,42.47572708129883
2020-11-13,43.0394401550293
2020-11-16,44.45463562011719
2020-11-17,44.13533401489258
2020-11-18,43.43759536743164
2020-11-19,42.95665740966797
2020-11-20,42.96059036254883
2020-11-23,43.2523078918457
2020-11-24,43.599212646484375
2020-11-25,44.24964904785156
2020-11-27,43.957942962646484
2020-11-30,42.90935134887695
2020-12-01,42.90935134887695
2020-12-02,42.814735412597656
2020-12-03,42.03815460205078
2020-12-04,42.073638916015625
2020-12-07,42.02633285522461
2020-12-08,41.50597381591797
2020-12-09,41.17878341674805
2020-12-10,40.70573806762695
2020-12-11,40.51651382446289
2020-12-14,39.97645950317383
2020-12-15,40.437679290771484
2020-12-16,39.61772918701172
2020-12-17,39.641380310058594
2020-12-18,39.42850875854492
2020-12-21,38.24589157104492
2020-12-22,37.84774398803711
2020-12-23,37.63487243652344
2020-12-24,37.58756637573242
2020-12-28,37.70977020263672
2020-12-29,38.1355094909668
2020-12-30,38.8845100402832
2020-12-31,39.35755157470703
2021-01-04,38.63615417480469
2021-01-05,38.1197509765625
2021-01-06,38.72288513183594
2021-01-07,37.38652038574219
2021-01-08,37.642757415771484
2021-01-11,37.20912170410156
2021-01-12,36.54291915893555
2021-01-13,36.91740798950195
2021-01-14,37.055389404296875
2021-01-15,37.548152923583984
2021-01-19,37.49690246582031
2021-01-20,37.33921813964844
2021-01-21,36.9253044128418
2021-01-22,37.04356002807617
2021-01-25,37.351043701171875
2021-01-26,37.32738494873047
2021-01-27,36.901649475097656
2021-01-28,37.79255294799805
2021-01-29,37.579681396484375
2021-02-01,37.50873565673828
2021-02-02,37.77678680419922
2021-02-03,37.40623092651367
2021-02-04,38.02907943725586
2021-02-05,38.09215545654297
2021-02-08,37.240665435791016
