,XOM
2017-01-18,60.25015640258789
2017-01-19,59.16776657104492
2017-01-20,59.977821350097656
2017-01-23,59.335357666015625
2017-01-24,59.419151306152344
2017-01-25,59.59373092651367
2017-01-26,59.77528762817383
2017-01-27,59.71245193481445
2017-01-30,59.2585563659668
2017-01-31,58.5811882019043
2017-02-01,57.91779708862305
2017-02-02,58.27391815185547
2017-02-03,58.33677291870117
2017-02-06,58.1761589050293
2017-02-07,57.79908752441406
2017-02-08,57.41853713989258
2017-02-09,57.6722297668457
2017-02-10,58.15142059326172
2017-02-13,58.48968505859375
2017-02-14,58.362823486328125
2017-02-15,58.60243225097656
2017-02-16,57.996395111083984
2017-02-17,57.61585235595703
2017-02-21,57.70746612548828
2017-02-22,57.03094482421875
2017-02-23,57.62993240356445
2017-02-24,57.13667297363281
2017-02-27,57.46083450317383
2017-02-28,57.30579376220703
2017-03-01,58.5037727355957
2017-03-02,58.701087951660156
2017-03-03,58.10914993286133
2017-03-06,58.369876861572266
2017-03-07,58.15142059326172
2017-03-08,57.1014404296875
2017-03-09,57.55242919921875
2017-03-10,57.51016616821289
2017-03-13,57.376258850097656
2017-03-14,57.0732421875
2017-03-15,57.785003662109375
2017-03-16,57.83431625366211
2017-03-17,57.785003662109375
2017-03-20,57.785003662109375
2017-03-21,57.66519546508789
2017-03-22,57.61585235595703
2017-03-23,57.68633270263672
2017-03-24,57.24237060546875
2017-03-27,57.2564582824707
2017-03-28,57.6722297668457
2017-03-29,57.799072265625
2017-03-30,58.98295593261719
2017-03-31,57.79203796386719
2017-04-03,57.83431625366211
2017-04-04,58.04572677612305
2017-04-05,58.158477783203125
2017-04-06,58.49673080444336
2017-04-07,58.320556640625
2017-04-10,58.581298828125
2017-04-11,58.376914978027344
2017-04-12,58.468528747558594
2017-04-13,57.56653594970703
2017-04-17,57.48902893066406
2017-04-18,57.115535736083984
2017-04-19,56.720909118652344
2017-04-20,57.08734130859375
2017-04-21,56.861846923828125
2017-04-24,57.157814025878906
2017-04-25,57.59473419189453
2017-04-26,57.3621711730957
2017-04-27,57.26351547241211
2017-04-28,57.538360595703125
2017-05-01,57.827266693115234
2017-05-02,57.820228576660156
2017-05-03,58.278282165527344
2017-05-04,57.53129959106445
2017-05-05,57.799072265625
2017-05-08,58.41216278076172
2017-05-09,58.0034294128418
2017-05-10,58.26664352416992
2017-05-11,58.764583587646484
2017-05-12,58.72191619873047
2017-05-15,58.89974594116211
2017-05-16,58.72191619873047
2017-05-17,58.323543548583984
2017-05-18,58.15281295776367
2017-05-19,58.28086853027344
2017-05-22,58.53694534301758
2017-05-23,58.74325180053711
2017-05-24,58.53694534301758
2017-05-25,58.15281295776367
2017-05-26,58.01054382324219
2017-05-30,57.69045639038086
2017-05-31,57.26363754272461
2017-06-01,57.4058952331543
2017-06-02,56.55229568481445
2017-06-05,56.993316650390625
2017-06-06,57.768699645996094
2017-06-07,57.55529022216797
2017-06-08,57.349002838134766
2017-06-09,58.42314529418945
2017-06-12,58.992210388183594
2017-06-13,59.013553619384766
2017-06-14,58.38045883178711
2017-06-15,58.51561737060547
2017-06-16,59.390567779541016
2017-06-19,58.87129211425781
2017-06-20,58.55117416381836
2017-06-21,57.93229675292969
2017-06-22,57.67622756958008
2017-06-23,58.053245544433594
2017-06-26,57.790035247802734
2017-06-27,57.697566986083984
2017-06-28,57.996334075927734
2017-06-29,57.4058952331543
2017-06-30,57.42726135253906
2017-07-03,58.40180206298828
2017-07-05,57.512611389160156
2017-07-06,56.993316650390625
2017-07-07,57.06446838378906
2017-07-10,57.02178192138672
2017-07-11,57.334774017333984
2017-07-12,57.590858459472656
2017-07-13,57.59797286987305
2017-07-14,57.8184814453125
2017-07-17,57.51972198486328
2017-07-18,57.334774017333984
2017-07-19,57.512611389160156
2017-07-20,57.51972198486328
2017-07-21,56.993316650390625
