,NTAP
2019-04-16,66.01239013671875
2019-04-17,66.21702575683594
2019-04-18,66.23406219482422
2019-04-22,65.39002990722656
2019-04-23,65.3388671875
2019-04-24,62.661895751953125
2019-04-25,62.670440673828125
2019-04-26,61.297821044921875
2019-04-29,62.1418571472168
2019-04-30,62.107749938964844
2019-05-01,61.195518493652344
2019-05-02,61.110267639160156
2019-05-03,61.519493103027344
2019-05-06,60.300376892089844
2019-05-07,58.9448127746582
2019-05-08,58.757266998291016
2019-05-09,58.433292388916016
2019-05-10,58.620853424072266
2019-05-13,56.25078201293945
2019-05-14,57.3931884765625
2019-05-15,57.793880462646484
2019-05-16,59.41373062133789
2019-05-17,58.90218734741211
2019-05-20,58.083740234375
2019-05-21,59.66948318481445
2019-05-22,57.20562744140625
2019-05-23,52.56780242919922
2019-05-24,52.857662200927734
2019-05-28,51.749351501464844
2019-05-29,51.4168586730957
2019-05-30,51.53622055053711
2019-05-31,50.47053909301758
2019-06-03,50.223289489746094
2019-06-04,52.13300704956055
2019-06-05,52.115936279296875
2019-06-06,52.08184051513672
2019-06-07,52.26087188720703
2019-06-10,53.130470275878906
2019-06-11,52.9599609375
2019-06-12,52.44843673706055
2019-06-13,52.99406433105469
2019-06-14,51.98806381225586
2019-06-17,51.27192687988281
2019-06-18,52.38875961303711
2019-06-19,52.61894226074219
2019-06-20,53.428863525390625
2019-06-21,52.39729690551758
2019-06-24,52.2182502746582
2019-06-25,51.971012115478516
2019-06-26,51.68967056274414
2019-06-27,52.00511169433594
2019-06-28,52.60190200805664
2019-07-01,53.573795318603516
2019-07-02,52.79798126220703
2019-07-03,53.69155502319336
2019-07-05,53.62281036376953
2019-07-08,51.913002014160156
2019-07-09,51.681007385253906
2019-07-10,51.79271697998047
2019-07-11,52.04187774658203
2019-07-12,52.514442443847656
2019-07-15,52.25667953491211
2019-07-16,50.64997482299805
2019-07-17,50.96787643432617
2019-07-18,50.53828430175781
2019-07-19,51.053802490234375
2019-07-22,50.4351692199707
2019-07-23,50.77885818481445
2019-07-24,50.53828430175781
2019-07-25,50.46095657348633
2019-07-26,50.78744125366211
2019-07-29,50.89914321899414
2019-07-30,51.113948822021484
2019-07-31,50.25474166870117
2019-08-01,49.584556579589844
2019-08-02,39.55767822265625
2019-08-05,38.801570892333984
2019-08-06,39.531890869140625
2019-08-07,39.75529479980469
2019-08-08,41.02690887451172
2019-08-09,40.02164077758789
2019-08-12,39.61782455444336
2019-08-13,40.37391662597656
2019-08-14,38.41494369506836
2019-08-15,39.92713165283203
2019-08-16,40.176300048828125
2019-08-19,40.3911018371582
2019-08-20,39.600643157958984
2019-08-21,40.288002014160156
2019-08-22,40.193477630615234
2019-08-23,39.0335578918457
2019-08-26,40.004451751708984
2019-08-27,39.961490631103516
2019-08-28,40.22785186767578
2019-08-29,41.15578079223633
2019-08-30,41.29326629638672
2019-09-03,40.734779357910156
2019-09-04,42.229793548583984
2019-09-05,44.47229766845703
2019-09-06,44.66133499145508
2019-09-09,47.067108154296875
2019-09-10,46.835113525390625
2019-09-11,48.304344177246094
2019-09-12,48.42463684082031
2019-09-13,48.60507583618164
2019-09-16,48.837059020996094
2019-09-17,48.579288482666016
2019-09-18,47.19598388671875
2019-09-19,46.76637649536133
2019-09-20,46.48284149169922
2019-09-23,46.852298736572266
2019-09-24,45.50335693359375
2019-09-25,46.23367691040039
2019-09-26,46.13056564331055
2019-09-27,46.31959533691406
2019-09-30,45.1167106628418
2019-10-01,44.669925689697266
2019-10-02,44.14581298828125
2019-10-03,44.596805572509766
2019-10-04,45.151885986328125
2019-10-07,45.12586975097656
2019-10-08,43.850929260253906
2019-10-09,44.553443908691406
2019-10-10,43.17443084716797
2019-10-11,44.65751647949219
2019-10-14,45.27330780029297
2019-10-15,46.0018424987793
2019-10-16,46.157955169677734
2019-10-17,46.85181427001953
2019-10-18,46.39213180541992
2019-10-21,47.328819274902344
2019-10-22,47.857872009277344
2019-10-23,48.57773971557617
2019-10-24,48.0920524597168
2019-10-25,48.57773971557617
2019-10-28,48.44765090942383
2019-10-29,48.10940170288086
2019-10-30,48.88996887207031
2019-10-31,48.46499252319336
2019-11-01,49.51443099975586
2019-11-04,50.23428726196289
2019-11-05,51.63064956665039
2019-11-06,50.19960021972656
2019-11-07,51.11894226074219
2019-11-08,51.52657699584961
2019-11-11,51.925533294677734
2019-11-12,52.159706115722656
2019-11-13,52.09899139404297
2019-11-14,53.75554656982422
2019-11-15,54.52744674682617
2019-11-18,55.065185546875
2019-11-19,54.553466796875
2019-11-20,53.287200927734375
2019-11-21,52.64540100097656
2019-11-22,53.105064392089844
2019-11-25,54.336639404296875
2019-11-26,52.4806022644043
2019-11-27,52.515296936035156
2019-11-29,52.54998779296875
2019-12-02,51.535247802734375
2019-12-03,50.80671691894531
2019-12-04,51.46586608886719
2019-12-05,52.107669830322266
2019-12-06,52.931617736816406
2019-12-09,52.49795150756836
2019-12-10,52.35051727294922
2019-12-11,52.61071014404297
2019-12-12,54.406028747558594
2019-12-13,54.84836196899414
2019-12-16,55.10853958129883
2019-12-17,55.03915786743164
2019-12-18,54.61418533325195
2019-12-19,54.83967590332031
2019-12-20,53.83360290527344
2019-12-23,54.46673583984375
2019-12-24,54.5187873840332
2019-12-26,54.22388458251953
2019-12-27,53.27853012084961
2019-12-30,53.365264892578125
2019-12-31,53.989715576171875
2020-01-02,54.86376190185547
2020-01-03,53.92853546142578
2020-01-06,53.797428131103516
2020-01-07,54.14704895019531
2020-01-08,55.187156677246094
2020-01-09,55.466854095458984
2020-01-10,55.17842483520508
2020-01-13,56.03498077392578
2020-01-14,55.74654769897461
2020-01-15,56.104915618896484
2020-01-16,57.145015716552734
2020-01-17,54.5578498840332
2020-01-21,52.93212127685547
2020-01-22,52.85346603393555
2020-01-23,52.94086456298828
2020-01-24,52.27658462524414
2020-01-27,50.83441925048828
2020-01-28,49.75059509277344
2020-01-29,48.54442596435547
2020-01-30,47.94133758544922
2020-01-31,46.67396926879883
2020-02-03,47.233360290527344
2020-02-04,48.84160614013672
2020-02-05,50.51976776123047
2020-02-06,50.825687408447266
2020-02-07,50.117713928222656
2020-02-10,50.74700927734375
2020-02-11,51.6385383605957
2020-02-12,53.159385681152344
2020-02-13,48.22976303100586
2020-02-14,47.408164978027344
2020-02-18,46.70018768310547
2020-02-19,46.50790023803711
2020-02-20,46.94491958618164
2020-02-21,45.45030975341797
2020-02-24,43.78962326049805
2020-02-25,42.65337371826172
2020-02-26,42.37367248535156
2020-02-27,40.96644973754883
2020-02-28,40.83535385131836
2020-03-02,41.57829284667969
2020-03-03,40.127376556396484
2020-03-04,40.50320816040039
2020-03-05,38.39676284790039
2020-03-06,38.45794677734375
2020-03-09,34.83940505981445
2020-03-10,38.012184143066406
2020-03-11,35.355098724365234
2020-03-12,31.386932373046875
2020-03-13,35.6610107421875
2020-03-16,35.00547790527344
2020-03-17,36.797271728515625
2020-03-18,36.96333312988281
2020-03-19,33.70315170288086
2020-03-20,31.67535972595215
2020-03-23,30.897464752197266
2020-03-24,33.45841598510742
2020-03-25,32.94272994995117
2020-03-26,37.10317611694336
2020-03-27,35.16279983520508
2020-03-30,35.59108352661133
2020-03-31,36.43891143798828
2020-04-01,34.97050857543945
2020-04-02,34.97050476074219
2020-04-03,33.033119201660156
2020-04-06,35.032440185546875
2020-04-07,35.1474494934082
2020-04-08,36.253265380859375
2020-04-09,37.80141830444336
2020-04-13,36.82829284667969
2020-04-14,38.164127349853516
2020-04-15,35.76670837402344
2020-04-16,36.45673751831055
2020-04-17,37.28831481933594
2020-04-20,36.22671890258789
2020-04-21,34.44856643676758
2020-04-22,35.10321044921875
2020-04-23,36.30634689331055
2020-04-24,38.093353271484375
2020-04-27,37.77488327026367
2020-04-28,37.39447784423828
2020-04-29,39.703433990478516
2020-04-30,38.721458435058594
2020-05-01,36.69559860229492
2020-05-04,35.961326599121094
2020-05-05,36.44789123535156
2020-05-06,37.6864013671875
2020-05-07,38.04912185668945
2020-05-08,39.721126556396484
2020-05-11,38.93377685546875
2020-05-12,38.06681442260742
2020-05-13,36.67790985107422
2020-05-14,37.01407241821289
2020-05-15,37.49178695678711
2020-05-18,39.499961853027344
2020-05-19,39.52649688720703
2020-05-20,40.67654800415039
2020-05-21,40.22538375854492
2020-05-22,39.52649688720703
2020-05-26,39.93344497680664
2020-05-27,40.95964050292969
2020-05-28,39.057640075683594
2020-05-29,39.402652740478516
2020-06-01,37.748348236083984
2020-06-02,39.04878234863281
2020-06-03,40.420005798339844
2020-06-04,40.03960418701172
2020-06-05,42.51664352416992
2020-06-08,43.357059478759766
2020-06-09,41.331199645996094
2020-06-10,40.888877868652344
2020-06-11,36.39480972290039
2020-06-12,37.56256103515625
2020-06-15,38.07566452026367
2020-06-16,39.23456573486328
2020-06-17,38.190670013427734
2020-06-18,37.85450744628906
2020-06-19,38.995704650878906
2020-06-22,37.421016693115234
2020-06-23,37.50062942504883
2020-06-24,36.244422912597656
2020-06-25,37.005226135253906
2020-06-26,38.91609191894531
2020-06-29,38.942630767822266
2020-06-30,39.252254486083984
2020-07-01,38.491455078125
2020-07-02,38.52683639526367
2020-07-06,39.853824615478516
2020-07-07,37.916419982910156
2020-07-08,38.71261215209961
2020-07-09,37.818145751953125
2020-07-10,38.40850067138672
2020-07-13,38.81995391845703
2020-07-14,39.09724044799805
2020-07-15,39.696537017822266
2020-07-16,39.6607551574707
2020-07-17,40.08115768432617
2020-07-20,40.3852653503418
2020-07-21,40.752010345458984
2020-07-22,40.24216079711914
2020-07-23,39.973819732666016
2020-07-24,38.64106369018555
2020-07-27,39.437137603759766
2020-07-28,38.417442321777344
2020-07-29,37.95232009887695
2020-07-30,38.3279914855957
2020-07-31,39.624969482421875
2020-08-03,38.256439208984375
2020-08-04,38.66789245605469
2020-08-05,38.551605224609375
2020-08-06,37.75553894042969
2020-08-07,38.28326416015625
2020-08-10,39.598140716552734
2020-08-11,38.97201156616211
2020-08-12,38.71261215209961
2020-08-13,37.33513641357422
2020-08-14,37.17413330078125
2020-08-17,36.95051574707031
2020-08-18,36.67323303222656
2020-08-19,37.11151885986328
2020-08-20,37.048892974853516
2020-08-21,36.896846771240234
2020-08-24,37.83603286743164
2020-08-25,37.36197280883789
2020-08-26,37.75553894042969
2020-08-27,39.276126861572266
2020-08-28,40.91300964355469
2020-08-31,42.388877868652344
2020-09-01,41.75380325317383
2020-09-02,43.06867980957031
2020-09-03,41.62858963012695
2020-09-04,41.503360748291016
2020-09-08,40.42999267578125
2020-09-09,41.65541076660156
2020-09-10,39.68758773803711
2020-09-11,39.437137603759766
2020-09-14,40.59099578857422
2020-09-15,40.59099578857422
2020-09-16,40.34949493408203
2020-09-17,38.6231689453125
2020-09-18,38.11332321166992
2020-09-21,37.022064208984375
2020-09-22,37.460357666015625
2020-09-23,36.84317398071289
2020-09-24,37.11151885986328
2020-09-25,37.53192138671875
2020-09-28,38.998844146728516
2020-09-29,39.347686767578125
2020-09-30,39.213523864746094
2020-10-01,38.363773345947266
2020-10-02,38.24748229980469
2020-10-05,38.77522659301758
2020-10-06,38.7841796875
2020-10-07,39.884376525878906
2020-10-08,41.828399658203125
2020-10-09,41.475765228271484
2020-10-12,42.18104934692383
2020-10-13,42.38901138305664
2020-10-14,42.199127197265625
2020-10-15,42.542720794677734
2020-10-16,42.63314437866211
2020-10-19,43.401710510253906
2020-10-20,42.72355651855469
2020-10-21,42.31666946411133
2020-10-22,42.226253509521484
2020-10-23,42.398048400878906
2020-10-26,40.62581253051758
2020-10-27,39.83012008666992
2020-10-28,38.23872756958008
2020-10-29,39.884376525878906
2020-10-30,39.68544387817383
2020-11-02,40.634849548339844
2020-11-03,41.855533599853516
2020-11-04,40.84282302856445
2020-11-05,42.23529052734375
2020-11-06,42.506561279296875
2020-11-09,44.89365005493164
2020-11-10,45.21916961669922
2020-11-11,44.5500602722168
2020-11-12,42.93153381347656
2020-11-13,45.0564079284668
2020-11-16,46.63875961303711
2020-11-17,46.47601318359375
2020-11-18,46.60259246826172
2020-11-19,47.00044250488281
2020-11-20,46.9190673828125
2020-11-23,48.4290885925293
2020-11-24,50.05664825439453
2020-11-25,48.39291763305664
2020-11-27,48.157814025878906
2020-11-30,48.20302963256836
2020-12-01,48.97160339355469
2020-12-02,53.555912017822266
2020-12-03,52.88679504394531
2020-12-04,54.243099212646484
2020-12-07,54.58670425415039
2020-12-08,54.749454498291016
2020-12-09,54.95741271972656
2020-12-10,55.264854431152344
2020-12-11,55.89779281616211
2020-12-14,55.76216125488281
2020-12-15,56.648284912109375
2020-12-16,57.9322395324707
2020-12-17,57.977455139160156
2020-12-18,58.61040496826172
2020-12-21,58.35722732543945
2020-12-22,59.84010696411133
2020-12-23,59.8310661315918
2020-12-24,59.496524810791016
2020-12-28,59.586936950683594
2020-12-29,58.81837463378906
2020-12-30,59.0715446472168
2020-12-31,59.89435577392578
2021-01-04,58.646568298339844
2021-01-05,58.9268684387207
2021-01-06,58.98112487792969
2021-01-07,59.42746353149414
2021-01-08,59.181514739990234
2021-01-11,59.40925216674805
2021-01-12,60.265506744384766
2021-01-13,59.391029357910156
2021-01-14,59.97400665283203
2021-01-15,58.899139404296875
2021-01-19,58.55299758911133
2021-01-20,58.76250457763672
2021-01-21,59.181514739990234
2021-01-22,58.990238189697266
2021-01-25,59.80093765258789
2021-01-26,59.84648513793945
2021-01-27,62.75226974487305
2021-01-28,61.3950309753418
2021-01-29,60.52054977416992
2021-02-01,60.19261932373047
2021-02-02,59.28172302246094
2021-02-03,60.720947265625
2021-02-04,60.95778274536133
2021-02-05,61.376808166503906
2021-02-08,63.517425537109375
2021-02-09,63.64495086669922
2021-02-10,62.6247444152832
2021-02-11,62.99821853637695
2021-02-12,63.635841369628906
2021-02-16,62.71582794189453
2021-02-17,62.16019058227539
2021-02-18,62.005306243896484
2021-02-19,64.99309539794922
2021-02-22,64.738037109375
2021-02-23,63.15306091308594
2021-02-24,65.19349670410156
2021-02-25,55.75651931762695
2021-02-26,57.02267074584961
2021-03-01,59.418357849121094
2021-03-02,58.04289245605469
2021-03-03,58.115760803222656
2021-03-04,55.63810348510742
2021-03-05,55.865821838378906
2021-03-08,57.0135612487793
2021-03-09,58.85359573364258
2021-03-10,60.720947265625
2021-03-11,61.92335510253906
2021-03-12,61.540767669677734
2021-03-15,62.6702880859375
2021-03-16,62.94356155395508
2021-03-17,64.82003021240234
2021-03-18,64.0457534790039
2021-03-19,63.909122467041016
2021-03-22,64.25525665283203
2021-03-23,62.333255767822266
2021-03-24,62.51543426513672
2021-03-25,64.00931549072266
2021-03-26,68.09019470214844
2021-03-29,65.94954681396484
2021-03-30,65.78557586669922
2021-03-31,66.19548797607422
2021-04-01,67.08817291259766
2021-04-05,67.70758819580078
2021-04-06,66.86957550048828
2021-04-07,67.10639190673828
2021-04-08,67.5556640625
2021-04-09,67.73905944824219
2021-04-12,68.0324478149414
2021-04-13,68.28916931152344
2021-04-14,70.0954360961914
2021-04-15,70.31548309326172
2021-04-16,71.25070190429688
2021-04-19,70.8839340209961
2021-04-20,68.9401626586914
2021-04-21,69.60032653808594
2021-04-22,69.2243881225586
2021-04-23,70.54469299316406
2021-04-26,70.73725128173828
2021-04-27,70.29713439941406
2021-04-28,70.23296356201172
2021-04-29,70.48052215576172
2021-04-30,68.48171997070312
2021-05-03,68.13328552246094
2021-05-04,69.11437225341797
2021-05-05,70.20545196533203
2021-05-06,71.39738464355469
2021-05-07,72.91024017333984
2021-05-10,72.30512237548828
2021-05-11,70.36131286621094
2021-05-12,68.16080474853516
2021-05-13,70.24212646484375
2021-05-14,71.97502136230469
2021-05-17,71.92001342773438
2021-05-18,70.85643768310547
2021-05-19,71.25070190429688
2021-05-20,71.0489730834961
2021-05-21,71.7641372680664
2021-05-24,72.42430114746094
2021-05-25,71.70913696289062
2021-05-26,72.83688354492188
2021-05-27,72.41514587402344
2021-05-28,70.93895721435547
2021-06-01,70.33381652832031
2021-06-02,70.65472412109375
2021-06-03,72.14007568359375
2021-06-04,74.02882385253906
2021-06-07,74.29472351074219
2021-06-08,75.04658508300781
2021-06-09,75.19326782226562
2021-06-10,76.67862701416016
2021-06-11,76.44021606445312
2021-06-14,76.0918197631836
2021-06-15,76.57776641845703
2021-06-16,75.86258697509766
2021-06-17,74.69815826416016
2021-06-18,71.66328430175781
2021-06-21,72.82772064208984
2021-06-22,74.03800201416016
2021-06-23,73.90045928955078
2021-06-24,74.25806427001953
2021-06-25,75.5875244140625
2021-06-28,75.60588073730469
2021-06-29,76.12849426269531
2021-06-30,75.0190658569336
2021-07-01,75.14742279052734
2021-07-02,76.0918197631836
2021-07-06,75.07408142089844
2021-07-07,75.66087341308594
2021-07-08,75.28267669677734
2021-07-09,76.16824340820312
2021-07-12,75.85460662841797
2021-07-13,73.96354675292969
2021-07-14,73.64990234375
2021-07-15,73.0318374633789
2021-07-16,71.37140655517578
2021-07-19,71.30683898925781
2021-07-20,72.17393493652344
2021-07-21,72.22928619384766
2021-07-22,71.15001678466797
2021-07-23,71.69426727294922
2021-07-26,72.45991516113281
2021-07-27,71.91565704345703
2021-07-28,72.14628601074219
2021-07-29,72.88424682617188
2021-07-30,73.41928100585938
2021-08-02,73.91741180419922
2021-08-03,75.39335632324219
