,DTE
2022-08-01,119.69457244873047
2022-08-02,119.21732330322266
2022-08-03,119.69457244873047
2022-08-04,118.39134216308594
2022-08-05,118.48312377929688
2022-08-08,119.07968139648438
2022-08-09,121.64940643310547
2022-08-10,121.38325500488281
2022-08-11,122.36524200439453
2022-08-12,123.8153305053711
2022-08-15,124.87076568603516
2022-08-16,124.89828491210938
2022-08-17,123.87039947509766
2022-08-18,124.30174255371094
2022-08-19,124.94416809082031
2022-08-22,123.5675277709961
2022-08-23,122.87002563476562
2022-08-24,123.2187728881836
2022-08-25,123.70518493652344
2022-08-26,122.2643051147461
2022-08-29,122.52128601074219
2022-08-30,120.63986206054688
2022-08-31,119.62114715576172
2022-09-01,121.82379913330078
2022-09-02,120.3553466796875
2022-09-06,120.4104232788086
2022-09-07,124.16407012939453
2022-09-08,123.60424041748047
2022-09-09,124.35677337646484
2022-09-12,124.78813934326172
2022-09-13,122.04403686523438
2022-09-14,123.02603912353516
2022-09-15,119.85977935791016
2022-09-16,120.03070068359375
2022-09-19,120.9547348022461
2022-09-20,118.89415740966797
2022-09-21,116.97219848632812
2022-09-22,116.96295166015625
2022-09-23,116.11286163330078
2022-09-26,113.6641845703125
2022-09-27,112.45370483398438
2022-09-28,113.80278015136719
2022-09-29,109.23809814453125
2022-09-30,106.30895233154297
2022-10-03,108.0461196899414
2022-10-04,109.61695098876953
2022-10-05,107.28841400146484
2022-10-06,102.29869079589844
2022-10-07,99.32333374023438
2022-10-10,98.27918243408203
2022-10-11,98.22374725341797
2022-10-12,95.18370056152344
2022-10-13,98.41779327392578
2022-10-14,96.5605239868164
2022-10-17,98.87055969238281
2022-10-18,101.5409927368164
2022-10-19,100.37672424316406
2022-10-20,97.84489440917969
2022-10-21,99.28636932373047
2022-10-24,99.33258056640625
2022-10-25,100.83872985839844
2022-10-26,100.93113708496094
2022-10-27,100.97733306884766
2022-10-28,105.0060806274414
2022-10-31,103.59233093261719
2022-11-01,103.98040771484375
2022-11-02,102.58513641357422
2022-11-03,103.36132049560547
2022-11-04,103.8510513305664
2022-11-07,102.26172637939453
2022-11-08,102.79765319824219
2022-11-09,102.35414123535156
2022-11-10,106.76173400878906
2022-11-11,105.57898712158203
2022-11-14,104.46089935302734
2022-11-15,105.78227233886719
2022-11-16,106.4290771484375
2022-11-17,104.636474609375
2022-11-18,105.89314270019531
2022-11-21,104.41470336914062
2022-11-22,105.03380584716797
2022-11-23,105.79149627685547
2022-11-25,106.05947875976562
2022-11-28,106.53997039794922
2022-11-29,105.45884704589844
2022-11-30,107.19602966308594
2022-12-01,107.29766082763672
2022-12-02,106.31817626953125
2022-12-05,105.3941650390625
2022-12-06,107.0666732788086
2022-12-07,105.71757507324219
2022-12-08,108.72065734863281
2022-12-09,108.28636932373047
2022-12-12,111.021484375
2022-12-13,111.30791473388672
2022-12-14,111.43729400634766
2022-12-15,110.06048583984375
2022-12-16,107.88362884521484
2022-12-19,107.28749084472656
2022-12-20,107.55762481689453
2022-12-21,109.38330078125
2022-12-22,108.7499008178711
2022-12-23,110.41725158691406
2022-12-27,111.05996704101562
2022-12-28,110.11917114257812
2022-12-29,111.01339721679688
2022-12-30,109.47645568847656
2023-01-03,109.78384399414062
2023-01-04,111.36735534667969
2023-01-05,108.591552734375
2023-01-06,111.25557708740234
2023-01-09,112.20567321777344
2023-01-10,111.79582977294922
2023-01-11,112.44786834716797
2023-01-12,111.20901489257812
2023-01-13,109.84904479980469
2023-01-17,109.27153015136719
2023-01-18,106.0951919555664
2023-01-19,104.84701538085938
2023-01-20,106.16040802001953
2023-01-23,105.97410583496094
2023-01-24,105.65740203857422
2023-01-25,105.63877868652344
2023-01-26,105.58287048339844
2023-01-27,105.80644226074219
2023-01-30,106.49573516845703
2023-01-31,108.39595794677734
2023-02-01,108.2282943725586
2023-02-02,106.84969329833984
2023-02-03,105.0333251953125
2023-02-06,106.02068328857422
2023-02-07,105.918212890625
2023-02-08,104.58619689941406
2023-02-09,104.32539367675781
2023-02-10,105.8902587890625
2023-02-13,106.22559356689453
2023-02-14,105.90888977050781
2023-02-15,106.38394927978516
2023-02-16,105.62945556640625
2023-02-17,107.39927673339844
2023-02-21,105.48042297363281
2023-02-22,105.07988739013672
2023-02-23,104.62345886230469
2023-02-24,105.2568588256836
2023-02-27,103.89691162109375
2023-02-28,102.19230651855469
2023-03-01,99.53760528564453
2023-03-02,100.934814453125
2023-03-03,101.85698699951172
2023-03-06,101.45645141601562
2023-03-07,99.01597595214844
2023-03-08,99.97539520263672
2023-03-09,99.41651153564453
2023-03-10,97.32068634033203
2023-03-13,99.54693603515625
2023-03-14,100.1151123046875
2023-03-15,101.5030288696289
2023-03-16,101.73590087890625
2023-03-17,100.5829086303711
2023-03-20,101.8608627319336
2023-03-21,99.87814331054688
2023-03-22,97.7074966430664
2023-03-23,96.46711730957031
2023-03-24,100.31039428710938
2023-03-27,99.3143539428711
2023-03-28,99.84056091308594
2023-03-29,101.42861938476562
2023-03-30,102.13336944580078
2023-03-31,102.9321060180664
2023-04-03,102.41526794433594
2023-04-04,102.15216827392578
2023-04-05,105.36585998535156
2023-04-06,106.98209381103516
2023-04-10,106.73778533935547
2023-04-11,107.03849029541016
2023-04-12,106.85993194580078
2023-04-13,106.3525161743164
2023-04-14,106.16458129882812
2023-04-17,105.90145874023438
2023-04-18,105.28128051757812
2023-04-19,106.00483703613281
2023-04-20,106.53105926513672
2023-04-21,106.83175659179688
2023-04-24,107.44254302978516
2023-04-25,107.88418579101562
2023-04-26,106.15518951416016
2023-04-27,106.60621643066406
2023-04-28,105.62897491455078
2023-05-01,106.14579010009766
2023-05-02,104.86782836914062
2023-05-03,104.89601135253906
2023-05-04,105.88267517089844
2023-05-05,106.52165985107422
2023-05-08,106.18336486816406
2023-05-09,106.48406219482422
2023-05-10,107.09486389160156
2023-05-11,106.23975372314453
2023-05-12,106.60621643066406
2023-05-15,105.9484634399414
2023-05-16,103.6086654663086
2023-05-17,102.51863861083984
2023-05-18,102.33070373535156
2023-05-19,102.01121520996094
2023-05-22,102.34009552001953
2023-05-23,102.57501983642578
2023-05-24,101.93604278564453
2023-05-25,100.53591918945312
2023-05-26,100.08487701416016
2023-05-30,100.01911163330078
2023-05-31,101.10912322998047
2023-06-01,100.78963470458984
2023-06-02,102.31192016601562
2023-06-05,102.77235412597656
2023-06-06,102.97907257080078
2023-06-07,104.53894805908203
2023-06-08,105.21550750732422
2023-06-09,104.70808410644531
2023-06-12,104.45437622070312
2023-06-13,105.57258605957031
2023-06-14,106.13639068603516
2023-06-15,107.94927978515625
2023-06-16,108.14830017089844
2023-06-20,107.26696014404297
2023-06-21,107.67446899414062
2023-06-22,107.03004455566406
2023-06-23,104.24388122558594
2023-06-26,104.71772766113281
2023-06-27,104.87882995605469
2023-06-28,103.26778411865234
2023-06-29,103.53313446044922
2023-06-30,104.2628402709961
2023-07-03,105.42847442626953
2023-07-05,106.61307525634766
2023-07-06,105.3526611328125
2023-07-07,104.23441314697266
2023-07-10,103.77005004882812
2023-07-11,105.04940032958984
2023-07-12,106.90684509277344
2023-07-13,107.49439239501953
2023-07-14,107.03952026367188
2023-07-17,104.86935424804688
2023-07-18,103.58999633789062
2023-07-19,105.41899871826172
2023-07-20,107.21009826660156
2023-07-21,109.0959701538086
2023-07-24,108.9917221069336
2023-07-25,109.39922332763672
2023-07-26,109.80672454833984
2023-07-27,108.35677337646484
2023-07-28,107.62708282470703
2023-07-31,108.31887817382812
2023-08-01,107.22905731201172
2023-08-02,107.17219543457031
2023-08-03,103.75109100341797
2023-08-04,102.23482513427734
2023-08-07,102.14005279541016
2023-08-08,102.49069213867188
2023-08-09,102.64232635498047
2023-08-10,101.66621398925781
2023-08-11,102.24430084228516
2023-08-14,100.9649429321289
2023-08-15,98.92745208740234
2023-08-16,99.26860046386719
2023-08-17,99.37285614013672
2023-08-18,100.06465148925781
2023-08-21,99.31599426269531
2023-08-22,99.47709655761719
2023-08-23,99.76139068603516
2023-08-24,98.98429870605469
2023-08-25,99.4297103881836
2023-08-28,99.47709655761719
2023-08-29,99.62873077392578
2023-08-30,99.2591323852539
2023-08-31,97.97029876708984
2023-09-01,96.83308410644531
2023-09-05,95.4779281616211
2023-09-06,95.61058807373047
2023-09-07,96.86152648925781
2023-09-08,97.2879867553711
2023-09-11,97.62914276123047
2023-09-12,98.48204040527344
2023-09-13,100.5005874633789
2023-09-14,101.15446472167969
2023-09-15,102.10398864746094
2023-09-18,102.31436157226562
2023-09-19,101.72149658203125
2023-09-20,102.00836944580078
2023-09-21,101.44420623779297
2023-09-22,101.55895233154297
2023-09-25,101.03304290771484
2023-09-26,97.68630981445312
2023-09-27,96.13724517822266
2023-09-28,94.3108901977539
2023-09-29,94.93242645263672
2023-10-02,91.30839538574219
2023-10-03,93.09649658203125
2023-10-04,92.85745239257812
2023-10-05,90.07488250732422
2023-10-06,90.99285125732422
2023-10-09,92.36021423339844
2023-10-10,93.09649658203125
2023-10-11,93.55548095703125
2023-10-12,91.815185546875
2023-10-13,93.58418273925781
2023-10-16,94.12920379638672
2023-10-17,94.21526336669922
2023-10-18,92.85745239257812
2023-10-19,92.50365447998047
2023-10-20,92.41759490966797
2023-10-23,91.76737976074219
2023-10-24,93.42161560058594
2023-10-25,93.65110778808594
2023-10-26,94.04314422607422
