,AWK
2021-05-04,145.5576629638672
2021-05-05,143.46739196777344
2021-05-06,143.5986328125
2021-05-07,143.1956329345703
2021-05-10,146.80262756347656
2021-05-11,144.63821411132812
2021-05-12,140.7705078125
2021-05-13,143.03843688964844
2021-05-14,143.81954956054688
2021-05-17,141.9562530517578
2021-05-18,142.18211364746094
2021-05-19,143.1043243408203
2021-05-20,145.31578063964844
2021-05-21,145.9744873046875
2021-05-24,145.71099853515625
2021-05-25,145.7863006591797
2021-05-26,145.83334350585938
2021-05-27,144.37474060058594
2021-05-28,145.8804168701172
2021-06-01,145.16517639160156
2021-06-02,146.26620483398438
2021-06-03,146.84027099609375
2021-06-04,147.20724487304688
2021-06-07,148.18594360351562
2021-06-08,147.56488037109375
2021-06-09,148.3083038330078
2021-06-10,150.3126983642578
2021-06-11,150.9055633544922
2021-06-14,151.0185089111328
2021-06-15,152.25123596191406
2021-06-16,149.12698364257812
2021-06-17,152.63710021972656
2021-06-18,148.25180053710938
2021-06-21,151.79013061523438
2021-06-22,150.2844696044922
2021-06-23,147.15077209472656
2021-06-24,145.63571166992188
2021-06-25,146.07803344726562
2021-06-28,148.05418395996094
2021-06-29,146.31329345703125
2021-06-30,145.04287719726562
2021-07-01,146.3979949951172
2021-07-02,147.63072204589844
2021-07-06,150.453857421875
2021-07-07,153.7475128173828
2021-07-08,152.0536346435547
2021-07-09,152.7123565673828
2021-07-12,153.37107849121094
2021-07-13,152.6841278076172
2021-07-14,153.61578369140625
2021-07-15,156.31655883789062
2021-07-16,158.3868408203125
2021-07-19,157.49288940429688
2021-07-20,156.8717498779297
2021-07-21,153.8509979248047
2021-07-22,154.72618103027344
2021-07-23,157.40817260742188
2021-07-26,156.38243103027344
2021-07-27,160.16542053222656
2021-07-28,160.30657958984375
2021-07-29,160.66415405273438
2021-07-30,160.08071899414062
2021-08-02,162.09457397460938
2021-08-03,164.96475219726562
2021-08-04,166.0657501220703
2021-08-05,169.07713317871094
2021-08-06,166.98800659179688
2021-08-09,167.24575805664062
2021-08-10,166.19764709472656
2021-08-11,165.77272033691406
2021-08-12,167.557373046875
2021-08-13,168.94540405273438
2021-08-16,171.38157653808594
2021-08-17,171.2777099609375
2021-08-18,169.8518829345703
2021-08-19,171.63653564453125
2021-08-20,173.83665466308594
2021-08-23,172.04254150390625
2021-08-24,170.53175354003906
2021-08-25,170.79615783691406
2021-08-26,171.11717224121094
2021-08-27,170.25791931152344
2021-08-30,172.40135192871094
2021-08-31,172.08978271484375
2021-09-01,174.14820861816406
2021-09-02,176.43331909179688
2021-09-03,174.8280792236328
