,MSCI
2018-10-19,144.90634155273438
2018-10-22,147.298583984375
2018-10-23,145.97998046875
2018-10-24,140.03721618652344
2018-10-25,140.64938354492188
2018-10-26,134.4523162841797
2018-10-29,134.6782989501953
2018-10-30,136.10047912597656
2018-10-31,141.62889099121094
2018-11-01,138.7186737060547
2018-11-02,135.72373962402344
2018-11-05,136.6372528076172
2018-11-06,139.1707763671875
2018-11-07,143.0133056640625
2018-11-08,143.16400146484375
2018-11-09,141.07321166992188
2018-11-12,139.4344482421875
2018-11-13,139.11428833007812
2018-11-14,139.54742431640625
2018-11-15,143.39566040039062
2018-11-16,144.93682861328125
2018-11-19,137.5997314453125
2018-11-20,136.48397827148438
2018-11-21,138.3656005859375
2018-11-23,141.6654052734375
2018-11-26,144.09536743164062
2018-11-27,143.90626525878906
2018-11-28,149.9669189453125
2018-11-29,148.48251342773438
2018-11-30,148.52980041503906
2018-12-03,152.79400634765625
2018-12-04,145.91078186035156
2018-12-06,144.019775390625
2018-12-07,141.58975219726562
2018-12-10,141.97743225097656
2018-12-11,143.7171173095703
2018-12-12,145.50416564941406
2018-12-13,144.49252319335938
2018-12-14,142.2516632080078
2018-12-17,136.3516845703125
2018-12-18,136.38946533203125
2018-12-19,135.33050537109375
2018-12-20,133.2693328857422
2018-12-21,129.80873107910156
2018-12-24,127.72860717773438
2018-12-26,133.81768798828125
2018-12-27,137.35386657714844
2018-12-28,137.47679138183594
2018-12-31,139.39620971679688
2019-01-02,138.93284606933594
2019-01-03,133.63804626464844
2019-01-04,138.6114044189453
2019-01-07,139.25436401367188
2019-01-08,142.1476287841797
2019-01-09,143.53753662109375
2019-01-10,145.55140686035156
2019-01-11,146.3929443359375
2019-01-14,145.333984375
2019-01-15,148.50140380859375
2019-01-16,151.51759338378906
2019-01-17,151.971435546875
2019-01-18,156.92591857910156
2019-01-22,153.4180450439453
2019-01-23,153.90972900390625
2019-01-24,152.92642211914062
2019-01-25,154.9025115966797
2019-01-28,153.58828735351562
2019-01-29,152.08489990234375
2019-01-30,153.90028381347656
2019-01-31,160.9915771484375
2019-02-01,163.4309844970703
2019-02-04,163.1568145751953
2019-02-05,164.98162841796875
2019-02-06,162.5800323486328
2019-02-07,163.05282592773438
2019-02-08,162.90151977539062
2019-02-11,162.39093017578125
2019-02-12,165.1045684814453
2019-02-13,165.34091186523438
2019-02-14,164.64125061035156
2019-02-15,165.6245574951172
2019-02-19,165.27476501464844
2019-02-20,166.51333618164062
2019-02-21,165.27064514160156
2019-02-22,168.05963134765625
2019-02-25,169.0082550048828
2019-02-26,169.16949462890625
2019-02-27,171.45571899414062
2019-02-28,175.23129272460938
2019-03-01,180.4393310546875
2019-03-04,177.5459442138672
2019-03-05,178.0297088623047
2019-03-06,176.88192749023438
2019-03-07,172.70794677734375
2019-03-08,173.0684051513672
2019-03-11,174.22572326660156
2019-03-12,175.51583862304688
2019-03-13,176.05654907226562
2019-03-14,177.21392822265625
2019-03-15,179.84161376953125
2019-03-18,181.1602325439453
2019-03-19,181.9191436767578
2019-03-20,182.10887145996094
2019-03-21,185.6187744140625
2019-03-22,182.00450134277344
2019-03-25,181.73890686035156
2019-03-26,184.4519805908203
2019-03-27,183.42742919921875
2019-03-28,186.53895568847656
2019-03-29,188.6259765625
2019-04-01,191.50979614257812
2019-04-02,194.36517333984375
2019-04-03,195.74070739746094
2019-04-04,195.6837921142578
2019-04-05,196.35728454589844
2019-04-08,200.16131591796875
2019-04-09,201.00558471679688
2019-04-10,203.58590698242188
2019-04-11,205.1890411376953
2019-04-12,206.7922821044922
2019-04-15,207.7408905029297
2019-04-16,208.07289123535156
2019-04-17,207.75038146972656
2019-04-18,209.97964477539062
2019-04-22,211.0990447998047
2019-04-23,214.4192657470703
2019-04-24,213.22396850585938
2019-04-25,211.810546875
2019-04-26,214.40975952148438
2019-04-29,212.28485107421875
2019-04-30,213.8026580810547
2019-05-01,211.279296875
2019-05-02,209.9227294921875
2019-05-03,215.2729949951172
2019-05-06,217.83433532714844
2019-05-07,210.5298309326172
2019-05-08,212.332275390625
2019-05-09,210.48243713378906
2019-05-10,212.75917053222656
2019-05-13,204.2878875732422
2019-05-14,209.11639404296875
2019-05-15,209.5527801513672
