,PSX
2019-08-29,78.87109375
2019-08-30,79.28104400634766
2019-09-03,79.95626068115234
2019-09-04,80.13310241699219
2019-09-05,80.22151947021484
2019-09-06,81.11375427246094
2019-09-09,82.1265869140625
2019-09-10,82.7615966796875
2019-09-11,82.36772918701172
2019-09-12,82.14265441894531
2019-09-13,82.6088638305664
2019-09-16,83.6216812133789
2019-09-17,82.15068817138672
2019-09-18,82.78572845458984
2019-09-19,82.8580551147461
2019-09-20,83.01077270507812
2019-09-23,83.80657196044922
2019-09-24,83.2921142578125
2019-09-25,84.44963073730469
2019-09-26,84.0477066040039
2019-09-27,83.32427978515625
2019-09-30,82.31145477294922
2019-10-01,81.21022033691406
2019-10-02,78.9675521850586
2019-10-03,79.47396850585938
2019-10-04,81.07357025146484
2019-10-07,81.47547912597656
2019-10-08,81.0414047241211
2019-10-09,82.5606460571289
2019-10-10,85.68751525878906
2019-10-11,85.63124084472656
2019-10-14,85.72769927978516
2019-10-15,86.25019073486328
2019-10-16,85.41422271728516
2019-10-17,86.1778335571289
2019-10-18,86.1697998046875
2019-10-21,86.9736099243164
2019-10-22,87.43180847167969
2019-10-23,87.6166763305664
2019-10-24,88.92691040039062
2019-10-25,91.97339630126953
2019-10-28,94.24822998046875
2019-10-29,95.62274932861328
2019-10-30,93.60514831542969
2019-10-31,93.90257263183594
2019-11-01,95.17262268066406
2019-11-04,95.28514862060547
2019-11-05,95.59060668945312
2019-11-06,95.1886978149414
2019-11-07,96.11309814453125
2019-11-08,96.21758270263672
2019-11-11,95.18065643310547
2019-11-12,94.93148040771484
2019-11-13,95.19673919677734
2019-11-14,96.00859832763672
2019-11-15,95.86283111572266
2019-11-18,96.09770202636719
2019-11-19,95.10147857666016
2019-11-20,93.9999771118164
2019-11-21,95.87092590332031
2019-11-22,94.46163940429688
2019-11-25,93.48161315917969
2019-11-26,92.59880828857422
2019-11-27,92.890380859375
2019-11-29,92.91468048095703
2019-12-02,92.59880828857422
2019-12-03,91.3191146850586
2019-12-04,91.17334747314453
2019-12-05,91.14904022216797
2019-12-06,91.97515869140625
2019-12-09,90.67930603027344
2019-12-10,90.65497589111328
2019-12-11,90.88175964355469
2019-12-12,92.11288452148438
2019-12-13,91.51351165771484
2019-12-16,92.44493103027344
2019-12-17,91.54591369628906
2019-12-18,91.55402374267578
2019-12-19,91.36771392822266
2019-12-20,91.8050765991211
2019-12-23,91.25434112548828
2019-12-24,91.68359375
2019-12-26,90.7602767944336
2019-12-27,89.5777816772461
2019-12-30,89.39151763916016
2019-12-31,90.23383331298828
2020-01-02,90.87366485595703
2020-01-03,87.86882781982422
2020-01-06,87.31809997558594
2020-01-07,87.5853500366211
2020-01-08,84.31328582763672
2020-01-09,85.54435729980469
2020-01-10,84.93690490722656
2020-01-13,85.28520202636719
2020-01-14,86.15989685058594
2020-01-15,84.95310974121094
2020-01-16,84.06218719482422
2020-01-17,83.67343139648438
2020-01-21,82.8877944946289
2020-01-22,82.49903869628906
2020-01-23,82.67723846435547
2020-01-24,81.25175476074219
2020-01-27,78.49800109863281
2020-01-28,78.31171417236328
2020-01-29,77.59088134765625
2020-01-30,78.0849609375
2020-01-31,74.00291442871094
2020-02-03,72.05908203125
2020-02-04,71.85662841796875
2020-02-05,75.0315170288086
2020-02-06,73.07149505615234
2020-02-07,73.16059112548828
2020-02-10,73.10389709472656
2020-02-11,73.11198425292969
2020-02-12,73.81663513183594
2020-02-13,73.16868591308594
2020-02-14,73.19322967529297
2020-02-18,71.99066162109375
2020-02-19,72.2851791381836
2020-02-20,73.78226470947266
2020-02-21,73.01325988769531
2020-02-24,70.8126449584961
2020-02-25,67.7448501586914
2020-02-26,65.71602630615234
2020-02-27,60.750301361083984
2020-02-28,61.24114990234375
2020-03-02,61.445674896240234
2020-03-03,59.60500717163086
2020-03-04,61.0529899597168
2020-03-05,58.885093688964844
2020-03-06,56.69264602661133
2020-03-09,50.7943229675293
2020-03-10,51.83327865600586
2020-03-11,45.116878509521484
2020-03-12,37.95871353149414
2020-03-13,44.47060012817383
2020-03-16,39.4885139465332
2020-03-17,38.17958450317383
2020-03-18,35.152713775634766
2020-03-19,37.36970138549805
2020-03-20,39.55396270751953
2020-03-23,34.43280792236328
2020-03-24,37.28789138793945
2020-03-25,41.312828063964844
2020-03-26,44.495140075683594
2020-03-27,42.80172348022461
2020-03-30,44.306983947753906
2020-03-31,43.889766693115234
2020-04-01,40.50293731689453
2020-04-02,42.31087875366211
2020-04-03,42.22906494140625
2020-04-06,46.973907470703125
2020-04-07,47.963783264160156
2020-04-08,52.111419677734375
2020-04-09,50.32802200317383
2020-04-13,50.36074447631836
2020-04-14,49.95988082885742
2020-04-15,46.196739196777344
2020-04-16,43.791595458984375
2020-04-17,48.700050354003906
2020-04-20,47.54655838012695
2020-04-21,46.46670150756836
2020-04-22,47.59564971923828
2020-04-23,49.06000900268555
2020-04-24,49.518131256103516
2020-04-27,51.93962478637695
2020-04-28,55.0892219543457
2020-04-29,60.128570556640625
2020-04-30,59.858612060546875
2020-05-01,54.28750991821289
2020-05-04,60.1121940612793
2020-05-05,61.519290924072266
2020-05-06,58.82783126831055
2020-05-07,59.973114013671875
2020-05-08,63.040916442871094
2020-05-11,62.72185516357422
2020-05-12,60.15310287475586
2020-05-13,58.10791778564453
2020-05-14,58.69692611694336
2020-05-15,58.763221740722656
2020-05-18,63.19552230834961
2020-05-19,62.31733703613281
2020-05-20,64.82759857177734
2020-05-21,63.866573333740234
2020-05-22,63.34464645385742
2020-05-26,65.42410278320312
2020-05-27,67.71066284179688
2020-05-28,65.08441925048828
2020-05-29,64.83588409423828
2020-06-01,65.30811309814453
2020-06-02,67.57810974121094
2020-06-03,69.36759948730469
2020-06-04,68.87051391601562
2020-06-05,72.40806579589844
2020-06-08,74.33839416503906
2020-06-09,70.97480773925781
2020-06-10,69.86467742919922
2020-06-11,62.13507843017578
2020-06-12,64.00741577148438
2020-06-15,62.632144927978516
2020-06-16,63.82514572143555
2020-06-17,60.378719329833984
2020-06-18,63.16237258911133
2020-06-19,61.886531829833984
2020-06-22,61.63800811767578
2020-06-23,61.886531829833984
2020-06-24,57.984458923339844
2020-06-25,58.050724029541016
2020-06-26,56.3937873840332
2020-06-29,56.882591247558594
2020-06-30,59.56682586669922
2020-07-01,57.255401611328125
2020-07-02,56.68376541137695
2020-07-06,56.410362243652344
2020-07-07,53.527305603027344
2020-07-08,53.00536346435547
2020-07-09,48.863014221191406
2020-07-10,50.58623504638672
2020-07-13,49.93174743652344
2020-07-14,51.33185958862305
2020-07-15,54.23149108886719
2020-07-16,53.742706298828125
2020-07-17,52.88937759399414
2020-07-20,51.638389587402344
2020-07-21,55.02682113647461
2020-07-22,54.05752944946289
2020-07-23,53.9995231628418
