,INTU
2021-05-05,383.606689453125
2021-05-06,385.593017578125
2021-05-07,392.4130554199219
2021-05-10,384.09588623046875
2021-05-11,386.4931335449219
2021-05-12,391.2877502441406
2021-05-13,394.8396301269531
2021-05-14,408.28411865234375
2021-05-17,410.3976745605469
2021-05-18,408.4504699707031
2021-05-19,412.1393737792969
2021-05-20,425.9067077636719
2021-05-21,424.1062927246094
2021-05-24,430.9361267089844
2021-05-25,429.54669189453125
2021-05-26,433.2845458984375
2021-05-27,422.8146667480469
2021-05-28,429.6445617675781
2021-06-01,429.2237854003906
2021-06-02,435.85791015625
2021-06-03,440.8677978515625
2021-06-04,451.9931945800781
2021-06-07,447.374755859375
2021-06-08,455.2515563964844
2021-06-09,458.2555847167969
2021-06-10,461.1910095214844
2021-06-11,462.003173828125
2021-06-14,466.7096862792969
2021-06-15,460.5842590332031
2021-06-16,459.2437744140625
2021-06-17,464.517822265625
2021-06-18,463.21649169921875
2021-06-21,467.61968994140625
2021-06-22,467.28692626953125
2021-06-23,468.29486083984375
2021-06-24,472.2381286621094
2021-06-25,475.63348388671875
2021-06-28,476.5141296386719
2021-06-29,480.82916259765625
2021-06-30,479.6257629394531
2021-07-01,480.4867858886719
2021-07-02,486.93505859375
2021-07-06,490.1933898925781
2021-07-07,495.20318603515625
2021-07-08,495.20318603515625
2021-07-09,493.66534423828125
2021-07-12,494.8113708496094
2021-07-13,496.3689880371094
2021-07-14,495.26202392578125
2021-07-15,492.92071533203125
2021-07-16,491.2945556640625
2021-07-19,488.6201477050781
2021-07-20,498.2008972167969
2021-07-21,503.970947265625
2021-07-22,510.69122314453125
2021-07-23,517.6661376953125
2021-07-26,518.5283203125
2021-07-27,512.2586669921875
2021-07-28,512.4447021484375
2021-07-29,514.8057250976562
2021-07-30,519.1746826171875
2021-08-02,516.7650756835938
2021-08-03,519.3804931640625
2021-08-04,525.1406860351562
2021-08-05,527.051025390625
2021-08-06,523.40673828125
2021-08-09,524.3275756835938
2021-08-10,519.33154296875
2021-08-11,521.3888549804688
2021-08-12,525.9832763671875
2021-08-13,529.7254028320312
2021-08-16,531.8805541992188
2021-08-17,524.9448852539062
2021-08-18,522.1234741210938
2021-08-19,532.3704833984375
2021-08-20,534.192626953125
2021-08-23,541.236083984375
2021-08-24,542.7349243164062
2021-08-25,544.2926025390625
2021-08-26,541.3829956054688
2021-08-27,554.412109375
2021-08-30,554.049560546875
2021-08-31,554.5787353515625
2021-09-01,551.6593627929688
2021-09-02,548.3873901367188
2021-09-03,551.7769165039062
2021-09-07,549.0535888671875
2021-09-08,556.028564453125
2021-09-09,556.1852416992188
2021-09-10,555.8226928710938
2021-09-13,546.0656127929688
2021-09-14,556.6946411132812
2021-09-15,560.4564208984375
2021-09-16,561.2107543945312
2021-09-17,550.4053955078125
2021-09-20,543.1072998046875
2021-09-21,543.9398193359375
2021-09-22,551.3362426757812
2021-09-23,565.6094360351562
2021-09-24,566.1480102539062
2021-09-27,555.4603881835938
2021-09-28,533.9083862304688
2021-09-29,535.789306640625
2021-09-30,528.5205688476562
2021-10-01,532.8896484375
2021-10-04,514.64892578125
2021-10-05,522.4859619140625
2021-10-06,523.7203979492188
2021-10-07,527.4476318359375
2021-10-08,520.964111328125
2021-10-11,515.3632202148438
2021-10-12,516.9718627929688
2021-10-13,524.7111206054688
2021-10-14,533.3820190429688
2021-10-15,541.6017456054688
2021-10-18,553.7647705078125
2021-10-19,561.8469848632812
2021-10-20,559.62060546875
2021-10-21,567.2908325195312
2021-10-22,579.5028076171875
2021-10-25,591.0379638671875
2021-10-26,596.9722900390625
2021-10-27,601.406005859375
2021-10-28,603.642333984375
2021-10-29,614.0198974609375
2021-11-01,597.1685180664062
2021-11-02,606.5653076171875
2021-11-03,610.959716796875
2021-11-04,613.7158813476562
2021-11-05,603.230224609375
2021-11-08,603.4852905273438
2021-11-09,601.0625610351562
2021-11-10,592.4308471679688
2021-11-11,595.265625
2021-11-12,615.0007934570312
2021-11-15,614.1671142578125
2021-11-16,633.4119873046875
2021-11-17,622.9165649414062
2021-11-18,616.9135131835938
2021-11-19,679.101318359375
2021-11-22,648.9783935546875
2021-11-23,657.8065185546875
2021-11-24,670.920654296875
2021-11-26,654.1574096679688
2021-11-29,681.3767700195312
2021-11-30,639.826904296875
2021-12-01,651.1952514648438
2021-12-02,659.2677612304688
2021-12-03,635.5697631835938
2021-12-06,633.0000610351562
2021-12-07,660.4252319335938
2021-12-08,660.1898803710938
2021-12-09,652.7843627929688
2021-12-10,664.9864501953125
2021-12-13,655.9524536132812
2021-12-14,627.251953125
2021-12-15,635.1088256835938
2021-12-16,621.8377075195312
2021-12-17,608.409423828125
2021-12-20,593.0684204101562
2021-12-21,609.1940307617188
2021-12-22,619.5814819335938
2021-12-23,623.5541381835938
2021-12-27,640.2877807617188
2021-12-28,637.3551025390625
2021-12-29,635.6384887695312
2021-12-30,631.0578002929688
2021-12-31,630.9204711914062
2022-01-03,619.3950805664062
2022-01-04,606.4966430664062
2022-01-05,582.347412109375
2022-01-06,575.1771850585938
2022-01-07,557.3533935546875
2022-01-10,559.9364013671875
2022-01-11,568.3128662109375
2022-01-12,566.8790893554688
2022-01-13,542.9769287109375
2022-01-14,540.8850708007812
2022-01-18,528.1483764648438
2022-01-19,535.5429077148438
2022-01-20,534.8260498046875
2022-01-21,519.0450439453125
2022-01-24,525.0648193359375
2022-01-25,506.7109680175781
2022-01-26,498.35400390625
2022-01-27,507.91876220703125
2022-01-28,525.2022705078125
2022-01-31,545.2453002929688
2022-02-01,550.7445678710938
2022-02-02,552.1881713867188
2022-02-03,525.95849609375
2022-02-04,534.23681640625
2022-02-07,535.4742431640625
2022-02-08,544.2632446289062
2022-02-09,568.980712890625
2022-02-10,547.5530395507812
2022-02-11,526.1744995117188
2022-02-14,519.5360107421875
2022-02-15,518.2890014648438
2022-02-16,518.6522827148438
2022-02-17,487.2571716308594
2022-02-18,472.546630859375
2022-02-22,474.5597229003906
2022-02-23,458.6019287109375
2022-02-24,488.1901550292969
2022-02-25,478.41900634765625
2022-02-28,465.8393859863281
2022-03-01,460.1535339355469
2022-03-02,477.2602233886719
2022-03-03,464.199462890625
2022-03-04,456.58880615234375
2022-03-07,429.5244140625
2022-03-08,434.2577209472656
2022-03-09,456.382568359375
2022-03-10,444.23504638671875
2022-03-11,431.419677734375
2022-03-14,416.993896484375
2022-03-15,431.773193359375
2022-03-16,449.66552734375
2022-03-17,465.23052978515625
2022-03-18,471.2405090332031
2022-03-21,458.11090087890625
2022-03-22,467.43023681640625
2022-03-23,453.1419372558594
2022-03-24,457.2565612792969
2022-03-25,451.0895080566406
2022-03-28,471.8591613769531
2022-03-29,476.6317443847656
2022-03-30,463.4629211425781
2022-03-31,472.1930847167969
2022-04-01,475.2274475097656
2022-04-04,496.556884765625
2022-04-05,487.1295166015625
2022-04-06,481.39453125
2022-04-07,486.10821533203125
2022-04-08,474.809326171875
2022-04-11,465.46734619140625
2022-04-12,453.9422302246094
2022-04-13,462.5959167480469
2022-04-14,457.3742370605469
2022-04-18,461.23883056640625
2022-04-19,477.0022277832031
2022-04-20,473.9341125488281
2022-04-21,457.90521240234375
2022-04-22,435.9171142578125
2022-04-25,439.4965515136719
2022-04-26,414.342041015625
2022-04-27,411.29364013671875
2022-04-28,437.1856689453125
2022-04-29,411.7852783203125
2022-05-02,419.90789794921875
2022-05-03,423.6741943359375
2022-05-04,440.4701232910156
2022-05-05,403.0430603027344
2022-05-06,389.1285400390625
2022-05-09,360.9058532714844
2022-05-10,365.01629638671875
2022-05-11,350.24615478515625
2022-05-12,348.0040588378906
2022-05-13,365.5768127441406
2022-05-16,353.60919189453125
2022-05-17,365.6849670410156
2022-05-18,347.4337158203125
2022-05-19,356.3036193847656
2022-05-20,361.6629943847656
2022-05-23,365.19329833984375
2022-05-24,352.99957275390625
2022-05-25,381.9892272949219
2022-05-26,399.6603698730469
2022-05-27,415.45330810546875
2022-05-31,407.566650390625
2022-06-01,401.5779113769531
2022-06-02,419.76043701171875
2022-06-03,402.1482849121094
2022-06-06,402.16796875
2022-06-07,409.7201843261719
2022-06-08,407.566650390625
2022-06-09,393.88800048828125
2022-06-10,374.8794860839844
2022-06-13,357.9360046386719
2022-06-14,358.7129211425781
2022-06-15,372.2440185546875
2022-06-16,353.6485595703125
2022-06-17,363.5609130859375
2022-06-21,371.1524963378906
2022-06-22,374.50579833984375
2022-06-23,394.0846862792969
2022-06-24,410.674072265625
2022-06-27,397.9886474609375
2022-06-28,379.8652038574219
2022-06-29,383.17913818359375
2022-06-30,379.0293273925781
2022-07-01,381.8515319824219
2022-07-05,393.5635070800781
2022-07-06,398.1755065917969
2022-07-07,404.0068359375
2022-07-08,400.70709228515625
2022-07-11,396.52081298828125
2022-07-12,380.0812683105469
2022-07-13,377.5596618652344
2022-07-14,374.1712341308594
2022-07-15,387.06488037109375
2022-07-18,382.4255676269531
2022-07-19,397.8013610839844
2022-07-20,414.1424865722656
2022-07-21,428.1787109375
2022-07-22,428.2181091308594
2022-07-25,419.8062438964844
2022-07-26,408.00592041015625
2022-07-27,426.66180419921875
2022-07-28,441.8603515625
2022-07-29,449.3266296386719
2022-08-01,441.7322998046875
2022-08-02,440.2646789550781
2022-08-03,458.76287841796875
2022-08-04,459.30462646484375
2022-08-05,461.9542541503906
2022-08-08,459.7577819824219
2022-08-09,455.13812255859375
2022-08-10,470.9177551269531
2022-08-11,471.5875244140625
2022-08-12,479.3592529296875
2022-08-15,481.89068603515625
2022-08-16,480.85638427734375
2022-08-17,471.1246337890625
2022-08-18,470.5927429199219
2022-08-19,456.9898681640625
2022-08-22,439.4273681640625
2022-08-23,442.8157958984375
2022-08-24,458.7826232910156
2022-08-25,458.86138916015625
2022-08-26,441.7322998046875
2022-08-29,430.2472229003906
2022-08-30,426.70123291015625
2022-08-31,425.3025207519531
2022-09-01,419.1167297363281
2022-09-02,413.7583312988281
2022-09-06,412.47784423828125
2022-09-07,428.7598571777344
2022-09-08,432.45361328125
2022-09-09,443.2787170410156
2022-09-12,448.53857421875
2022-09-13,422.86956787109375
2022-09-14,430.2865905761719
2022-09-15,415.7873840332031
2022-09-16,416.6542053222656
2022-09-19,417.3338928222656
2022-09-20,411.55194091796875
2022-09-21,402.54901123046875
2022-09-22,390.75860595703125
2022-09-23,388.0596923828125
2022-09-26,389.8622741699219
2022-09-27,394.7576904296875
2022-09-28,403.14984130859375
2022-09-29,390.85711669921875
2022-09-30,381.5094909667969
2022-10-03,390.8472900390625
2022-10-04,405.82916259765625
2022-10-05,407.3755798339844
2022-10-06,405.9150390625
2022-10-07,387.7962341308594
2022-10-10,382.5462341308594
2022-10-11,378.44085693359375
2022-10-12,382.9606018066406
2022-10-13,390.57916259765625
2022-10-14,375.1150207519531
2022-10-17,398.4346008300781
2022-10-18,403.280029296875
2022-10-19,396.7864990234375
2022-10-20,395.87860107421875
2022-10-21,411.69793701171875
2022-10-24,412.2703857421875
2022-10-25,426.4021911621094
2022-10-26,418.813232421875
2022-10-27,416.45458984375
2022-10-28,426.1159973144531
2022-10-31,421.8823547363281
2022-11-01,389.5824890136719
2022-11-02,379.97039794921875
2022-11-03,360.1937255859375
2022-11-04,356.4437561035156
2022-11-07,365.2464904785156
2022-11-08,377.5428161621094
2022-11-09,363.7070007324219
2022-11-10,397.941162109375
2022-11-11,402.6781005859375
2022-11-14,392.43450927734375
2022-11-15,401.6714782714844
2022-11-16,388.487060546875
2022-11-17,376.86181640625
2022-11-18,375.0756530761719
2022-11-21,370.0722351074219
2022-11-22,387.07586669921875
2022-11-23,390.6482849121094
2022-11-25,387.31268310546875
2022-11-28,380.5724792480469
2022-11-29,374.7203674316406
2022-11-30,402.2339782714844
2022-12-01,410.60260009765625
2022-12-02,402.5596618652344
2022-12-05,389.9476623535156
2022-12-06,384.65802001953125
2022-12-07,383.5428466796875
2022-12-08,400.0332946777344
2022-12-09,394.5759582519531
2022-12-12,405.3820495605469
2022-12-13,422.7606506347656
2022-12-14,413.4151306152344
2022-12-15,391.3193054199219
2022-12-16,379.921142578125
2022-12-19,378.48028564453125
2022-12-20,381.9934997558594
2022-12-21,388.1613464355469
2022-12-22,378.9046325683594
2022-12-23,379.4375915527344
2022-12-27,378.0756530761719
2022-12-28,371.552490234375
2022-12-29,385.73370361328125
2022-12-30,384.1053771972656
2023-01-03,386.0396423339844
2023-01-04,386.42449951171875
2023-01-05,370.6840515136719
2023-01-06,381.4408874511719
2023-01-09,390.9338684082031
2023-01-10,384.34814453125
2023-01-11,390.90423583984375
2023-01-12,392.2787170410156
2023-01-13,388.8276062011719
2023-01-17,385.8511657714844
2023-01-18,381.7671813964844
2023-01-19,374.3804931640625
2023-01-20,393.6335144042969
2023-01-23,405.4305114746094
2023-01-24,397.07464599609375
2023-01-25,397.4207458496094
2023-01-26,407.9520263671875
2023-01-27,417.9098205566406
2023-01-30,411.80859375
2023-01-31,417.9593200683594
2023-02-01,430.6957092285156
2023-02-02,447.12060546875
2023-02-03,419.0371398925781
2023-02-06,410.3648681640625
2023-02-07,422.9035949707031
2023-02-08,417.0396423339844
2023-02-09,415.0618896484375
2023-02-10,408.9112548828125
2023-02-13,413.4303283691406
2023-02-14,417.26708984375
2023-02-15,416.54522705078125
2023-02-16,403.80877685546875
2023-02-17,399.8731384277344
