,NXPI
2018-04-12,103.8344497680664
2018-04-13,103.17053985595703
2018-04-16,102.61576080322266
2018-04-17,102.9158935546875
2018-04-18,102.76127624511719
2018-04-19,97.46815490722656
2018-04-20,95.63101959228516
2018-04-23,93.83027648925781
2018-04-24,92.50243377685547
2018-04-25,92.02951049804688
2018-04-26,93.21183013916016
2018-04-27,95.8583984375
2018-04-30,95.40365600585938
2018-05-01,94.57604217529297
2018-05-02,93.42100524902344
2018-05-03,83.99887084960938
2018-05-04,91.2018814086914
2018-05-07,89.54666137695312
2018-05-08,89.84677124023438
2018-05-09,89.71036529541016
2018-05-10,90.30152130126953
2018-05-11,90.04684448242188
2018-05-14,100.7149887084961
2018-05-15,100.08743286132812
2018-05-16,98.98695373535156
2018-05-17,97.0498046875
2018-05-18,100.96961975097656
2018-05-21,104.27100372314453
2018-05-22,105.00767517089844
2018-05-23,102.36113739013672
2018-05-24,101.415283203125
2018-05-25,106.21727752685547
2018-05-29,105.75342559814453
2018-05-30,105.11683654785156
2018-05-31,103.67985534667969
2018-06-01,103.67985534667969
2018-06-04,100.67860412597656
2018-06-05,105.82621002197266
2018-06-06,104.15277862548828
2018-06-07,109.2003402709961
2018-06-08,109.29129791259766
2018-06-11,107.58148956298828
2018-06-12,104.81669616699219
2018-06-13,101.3606948852539
2018-06-14,102.77946472167969
2018-06-15,102.9158935546875
2018-06-18,101.3606948852539
2018-06-19,99.12339782714844
2018-06-20,102.69763946533203
2018-06-21,102.62486267089844
2018-06-22,104.65300750732422
2018-06-25,100.16929626464844
2018-06-26,99.84188079833984
2018-06-27,99.45990753173828
2018-06-28,100.26933288574219
2018-06-29,99.37804412841797
2018-07-02,98.95060729980469
2018-07-03,97.19530487060547
2018-07-05,97.02253723144531
2018-07-06,97.74102020263672
2018-07-09,97.6500473022461
2018-07-10,100.36936950683594
2018-07-11,97.85923767089844
2018-07-12,98.57771301269531
2018-07-13,97.78646087646484
2018-07-16,94.63059997558594
2018-07-17,94.28499603271484
2018-07-18,96.8497085571289
2018-07-19,94.1667709350586
2018-07-20,93.99397277832031
2018-07-23,95.57646179199219
2018-07-24,91.54749298095703
2018-07-25,89.46481323242188
2018-07-26,84.40814208984375
2018-07-27,86.37258911132812
2018-07-30,86.24524688720703
2018-07-31,86.70909881591797
2018-08-01,86.76366424560547
2018-08-02,86.94557189941406
2018-08-03,87.2365951538086
2018-08-06,87.57308959960938
2018-08-07,87.28206634521484
2018-08-08,87.12745666503906
2018-08-09,87.01831817626953
2018-08-10,85.99969482421875
2018-08-13,84.72645568847656
2018-08-14,82.93478393554688
2018-08-15,81.63426208496094
2018-08-16,81.52511596679688
2018-08-17,81.64334106445312
2018-08-20,81.97074890136719
2018-08-21,83.63507843017578
2018-08-22,82.96207427978516
2018-08-23,82.47096252441406
2018-08-24,83.65325927734375
2018-08-27,83.95339965820312
2018-08-28,84.75374603271484
2018-08-29,85.32670593261719
2018-08-30,83.84426879882812
2018-08-31,84.70825958251953
2018-09-04,86.09066772460938
2018-09-05,85.38127136230469
2018-09-06,85.48131561279297
2018-09-07,85.50858306884766
2018-09-10,85.19937896728516
2018-09-11,81.4614486694336
2018-09-12,80.76115417480469
2018-09-13,83.58959197998047
2018-09-14,84.36267852783203
2018-09-17,81.98892974853516
2018-09-18,83.38041687011719
2018-09-19,83.83517456054688
2018-09-20,85.39037322998047
2018-09-21,85.2448501586914
2018-09-24,83.06538391113281
2018-09-25,78.88887023925781
2018-09-26,77.77635955810547
2018-09-27,77.98607635498047
2018-09-28,77.96784210205078
2018-10-01,77.53926849365234
2018-10-02,77.5848388671875
2018-10-03,78.53321838378906
2018-10-04,75.64248657226562
2018-10-05,75.87959289550781
2018-10-08,74.9129638671875
2018-10-09,73.84603881835938
2018-10-10,71.27446746826172
2018-10-11,70.48111724853516
2018-10-12,71.63922882080078
2018-10-15,71.02825164794922
2018-10-16,74.03755187988281
2018-10-17,72.83382415771484
2018-10-18,70.85498046875
2018-10-19,70.85498046875
2018-10-22,69.74248504638672
2018-10-23,70.87322235107422
2018-10-24,64.9549789428711
2018-10-25,67.25298309326172
2018-10-26,64.69963836669922
2018-10-29,64.48988342285156
2018-10-30,68.83966827392578
2018-10-31,68.38373565673828
2018-11-01,76.68203735351562
2018-11-02,76.67293548583984
2018-11-05,75.56043243408203
2018-11-06,77.09242248535156
2018-11-07,77.92225646972656
2018-11-08,77.16539764404297
2018-11-09,76.31729888916016
2018-11-12,72.29581451416016
2018-11-13,74.5482177734375
2018-11-14,74.8491439819336
2018-11-15,77.16539764404297
2018-11-16,77.48455047607422
2018-11-19,74.19255828857422
2018-11-20,74.23815155029297
2018-11-21,75.81576538085938
2018-11-23,75.33243560791016
2018-11-26,74.72148132324219
2018-11-27,73.76396179199219
2018-11-28,75.7063217163086
2018-11-29,75.60601043701172
2018-11-30,76.02549743652344
2018-12-03,78.12287139892578
2018-12-04,74.61204528808594
2018-12-06,74.8218002319336
2018-12-07,69.76071166992188
2018-12-10,69.30477142333984
2018-12-11,71.93104553222656
2018-12-12,72.71528625488281
2018-12-13,72.11152648925781
2018-12-14,70.95893096923828
2018-12-17,68.85493469238281
2018-12-18,70.44664764404297
2018-12-19,65.23241424560547
2018-12-20,65.81790161132812
2018-12-21,64.34510803222656
2018-12-24,61.939266204833984
2018-12-26,65.65322875976562
2018-12-27,66.78755950927734
2018-12-28,65.98255920410156
2018-12-31,67.03453063964844
2019-01-02,68.63541412353516
2019-01-03,65.83617401123047
2019-01-04,69.01960754394531
2019-01-07,69.53187561035156
2019-01-08,69.92522430419922
2019-01-09,73.12693786621094
2019-01-10,73.20925903320312
2019-01-11,72.70614624023438
2019-01-14,71.91027069091797
2019-01-15,71.41630554199219
2019-01-16,71.66327667236328
2019-01-17,72.39510345458984
2019-01-18,73.90448760986328
2019-01-22,72.34935760498047
2019-01-23,72.17556762695312
2019-01-24,77.06961059570312
2019-01-25,77.97522735595703
2019-01-28,78.35942077636719
2019-01-29,78.43260955810547
2019-01-30,80.24385070800781
2019-01-31,79.6126708984375
2019-02-01,80.86592102050781
2019-02-04,81.14032745361328
2019-02-05,82.54910278320312
2019-02-06,84.57073211669922
2019-02-07,82.99732208251953
2019-02-08,80.05175018310547
2019-02-11,81.64344787597656
2019-02-12,85.28426361083984
2019-02-13,84.04931640625
2019-02-14,83.93040466308594
2019-02-15,85.11045837402344
2019-02-19,84.61647033691406
2019-02-20,86.21733856201172
2019-02-21,86.30879974365234
2019-02-22,86.4551773071289
2019-02-25,88.86100006103516
2019-02-26,86.08011627197266
2019-02-27,84.00358581542969
2019-02-28,83.53703308105469
2019-03-01,86.21733856201172
2019-03-04,85.51295471191406
2019-03-05,85.34830474853516
2019-03-06,84.04931640625
2019-03-07,86.06181335449219
2019-03-08,85.238525390625
2019-03-11,86.2447738647461
2019-03-12,85.97948455810547
2019-03-13,85.43976593017578
2019-03-14,84.93663787841797
2019-03-15,85.652099609375
2019-03-18,84.63395690917969
2019-03-19,85.13843536376953
2019-03-20,83.49657440185547
2019-03-21,86.48680114746094
2019-03-22,83.1572036743164
2019-03-25,81.57035827636719
2019-03-26,81.90058898925781
2019-03-27,80.12110900878906
2019-03-28,78.80945587158203
2019-03-29,81.07503509521484
2019-04-01,86.5785140991211
2019-04-02,85.11091613769531
2019-04-03,88.22037506103516
2019-04-04,88.57810974121094
2019-04-05,90.02733612060547
2019-04-08,90.44927215576172
2019-04-09,89.513671875
2019-04-10,90.00898742675781
2019-04-11,89.56871795654297
2019-04-12,92.0361099243164
2019-04-15,91.01798248291016
2019-04-16,92.32959747314453
2019-04-17,92.79740905761719
2019-04-18,92.2654037475586
2019-04-22,90.32085418701172
2019-04-23,90.83451843261719
2019-04-24,91.84349822998047
2019-04-25,89.59623718261719
2019-04-26,90.8069839477539
2019-04-29,89.79801940917969
2019-04-30,96.8791275024414
2019-05-01,96.30126953125
2019-05-02,97.77804565429688
2019-05-03,99.13556671142578
2019-05-06,97.24601745605469
2019-05-07,93.98065185546875
2019-05-08,93.10010528564453
2019-05-09,92.02691650390625
2019-05-10,91.88015747070312
2019-05-13,85.41361236572266
2019-05-14,90.04568481445312
2019-05-15,91.88015747070312
2019-05-16,89.56871795654297
2019-05-17,87.25724792480469
2019-05-20,84.9366455078125
2019-05-21,88.6789779663086
2019-05-22,85.89057159423828
2019-05-23,84.3037338256836
2019-05-24,84.21202850341797
2019-05-28,82.19408416748047
2019-05-29,81.7446517944336
2019-05-30,83.35899353027344
2019-05-31,80.86409759521484
2019-06-03,82.21241760253906
2019-06-04,86.79865264892578
2019-06-05,85.71630096435547
2019-06-06,84.65229034423828
2019-06-07,84.97332000732422
2019-06-10,87.49575805664062
2019-06-11,87.5599365234375
2019-06-12,86.00065612792969
2019-06-13,86.85597229003906
2019-06-14,83.59104919433594
2019-06-17,82.49659729003906
2019-06-18,87.16865539550781
2019-06-19,88.49301147460938
2019-06-20,90.1392593383789
2019-06-21,90.18525695800781
2019-06-24,89.80816650390625
2019-06-25,87.47216033935547
2019-06-26,89.33911895751953
2019-06-27,91.26130676269531
2019-06-28,89.77139282226562
2019-07-01,91.89588928222656
2019-07-02,90.20365142822266
2019-07-03,89.83576202392578
2019-07-05,88.7780990600586
2019-07-08,87.87683868408203
2019-07-09,88.21711730957031
2019-07-10,88.41024780273438
2019-07-11,86.56166076660156
2019-07-12,89.20117950439453
2019-07-15,91.19690704345703
2019-07-16,89.2195816040039
2019-07-17,88.65856170654297
2019-07-18,89.32074737548828
2019-07-19,90.09326934814453
2019-07-22,90.81065368652344
2019-07-23,92.83399963378906
2019-07-24,97.02776336669922
2019-07-25,93.5973129272461
2019-07-26,94.1399154663086
2019-07-29,95.85978698730469
2019-07-30,97.29448699951172
2019-07-31,95.08724212646484
2019-08-01,91.96944427490234
2019-08-02,92.39251708984375
2019-08-05,89.118408203125
2019-08-06,92.21778869628906
2019-08-07,94.14913940429688
2019-08-08,93.33061981201172
2019-08-09,91.85910034179688
2019-08-12,90.35999298095703
2019-08-13,93.96519470214844
2019-08-14,91.96026611328125
2019-08-15,91.75791931152344
2019-08-16,95.24356842041016
2019-08-19,95.15161895751953
2019-08-20,94.60896301269531
2019-08-21,95.05961608886719
2019-08-22,94.9952621459961
2019-08-23,90.1208724975586
2019-08-26,90.78303527832031
2019-08-27,90.79225158691406
2019-08-28,92.22697448730469
2019-08-29,93.40419006347656
2019-08-30,93.93760681152344
2019-09-03,91.20610046386719
2019-09-04,93.67089080810547
2019-09-05,97.48761749267578
2019-09-06,97.31288146972656
2019-09-09,98.7660140991211
2019-09-10,99.19827270507812
2019-09-11,101.1664047241211
2019-09-12,101.1939926147461
2019-09-13,102.18606567382812
2019-09-16,99.26988983154297
2019-09-17,99.44520568847656
2019-09-18,99.5005874633789
2019-09-19,99.99889373779297
2019-09-20,96.71360778808594
2019-09-23,97.86715698242188
2019-09-24,95.88306427001953
2019-09-25,99.86971282958984
2019-09-26,100.0450668334961
2019-09-27,98.31013488769531
2019-09-30,100.70027923583984
2019-10-01,100.56184387207031
2019-10-02,98.46697998046875
2019-10-03,99.0391616821289
2019-10-04,101.40162658691406
2019-10-07,99.657470703125
2019-10-08,95.74462890625
2019-10-09,97.78409576416016
2019-10-10,98.97456359863281
2019-10-11,102.21373748779297
2019-10-14,102.65670776367188
2019-10-15,103.33036041259766
2019-10-16,100.22962188720703
2019-10-17,101.33702850341797
2019-10-18,100.59876251220703
2019-10-21,101.49391174316406
2019-10-22,99.46366119384766
2019-10-23,95.24629974365234
2019-10-24,97.88561248779297
2019-10-25,97.69181060791016
2019-10-28,100.26654052734375
2019-10-29,105.58209991455078
2019-10-30,105.95123291015625
2019-10-31,104.9084243774414
2019-11-01,108.89509582519531
2019-11-04,108.78433227539062
2019-11-05,109.50418090820312
2019-11-06,107.48314666748047
2019-11-07,108.34137725830078
2019-11-08,108.5444107055664
2019-11-11,109.13505554199219
2019-11-12,109.7625732421875
2019-11-13,109.60568237304688
2019-11-14,108.8858642578125
2019-11-15,108.41520690917969
2019-11-18,106.9755859375
2019-11-19,105.21295928955078
2019-11-20,105.88663482666016
2019-11-21,105.44366455078125
2019-11-22,106.32960510253906
2019-11-25,108.04608154296875
2019-11-26,107.63079071044922
2019-11-27,108.35062408447266
2019-11-29,106.66181945800781
2019-12-02,105.90509033203125
