,MSI
2021-11-03,242.8401641845703
2021-11-04,241.629150390625
2021-11-05,237.81362915039062
2021-11-08,239.58200073242188
2021-11-09,239.7261962890625
2021-11-10,237.4387664794922
2021-11-11,238.19801330566406
2021-11-12,241.65798950195312
2021-11-15,241.47537231445312
2021-11-16,244.1664581298828
2021-11-17,242.234619140625
2021-11-18,247.24195861816406
2021-11-19,243.2630157470703
2021-11-22,245.6753387451172
2021-11-23,247.1073760986328
2021-11-24,251.12477111816406
2021-11-26,243.71475219726562
2021-11-29,249.40444946289062
2021-11-30,243.330322265625
2021-12-01,236.38157653808594
2021-12-02,242.69598388671875
2021-12-03,238.35182189941406
2021-12-06,240.8602752685547
2021-12-07,245.05068969726562
2021-12-08,243.8204803466797
2021-12-09,249.09689331054688
2021-12-10,254.61358642578125
2021-12-13,253.0469970703125
2021-12-14,250.18394470214844
2021-12-15,253.1723175048828
2021-12-16,252.3336181640625
2021-12-17,249.78866577148438
2021-12-20,246.68467712402344
2021-12-21,252.18902587890625
2021-12-22,255.06167602539062
2021-12-23,253.43252563476562
2021-12-27,259.23577880859375
2021-12-28,260.09375
2021-12-29,262.9085388183594
2021-12-30,261.32769775390625
2021-12-31,261.9156799316406
2022-01-03,257.7994689941406
2022-01-04,255.26416015625
2022-01-05,249.77903747558594
2022-01-06,248.4102020263672
2022-01-07,243.45530700683594
2022-01-10,246.80996704101562
2022-01-11,246.82923889160156
2022-01-12,247.60044860839844
2022-01-13,241.8647003173828
2022-01-14,242.08642578125
2022-01-18,236.64955139160156
2022-01-19,235.45419311523438
2022-01-20,230.2486572265625
2022-01-21,228.6484375
2022-01-24,230.8848876953125
2022-01-25,225.6118621826172
2022-01-26,219.35562133789062
2022-01-27,215.05618286132812
2022-01-28,218.9410400390625
2022-01-31,223.5874786376953
2022-02-01,223.45254516601562
2022-02-02,229.10150146484375
2022-02-03,227.1253204345703
2022-02-04,227.08677673339844
2022-02-07,228.08934020996094
2022-02-08,227.87725830078125
2022-02-09,229.91127014160156
2022-02-10,213.87051391601562
2022-02-11,208.2214813232422
2022-02-14,206.11038208007812
2022-02-15,214.86338806152344
2022-02-16,213.04144287109375
2022-02-17,208.134765625
2022-02-18,209.96633911132812
2022-02-22,205.4066619873047
2022-02-23,200.16256713867188
2022-02-24,209.47471618652344
2022-02-25,214.58384704589844
2022-02-28,212.49197387695312
2022-03-01,208.42396545410156
2022-03-02,214.67059326171875
2022-03-03,213.59092712402344
2022-03-04,214.93087768554688
2022-03-07,208.713134765625
2022-03-08,206.4188690185547
2022-03-09,213.7162628173828
2022-03-10,214.29464721679688
2022-03-11,213.78375244140625
2022-03-14,211.62637329101562
2022-03-15,217.41160583496094
2022-03-16,219.45291137695312
2022-03-17,223.2645721435547
2022-03-18,225.49935913085938
2022-03-21,224.5126190185547
2022-03-22,224.53195190429688
2022-03-23,219.39486694335938
2022-03-24,223.51612854003906
2022-03-25,224.83184814453125
2022-03-28,227.4632568359375
2022-03-29,230.27850341796875
2022-03-30,232.93896484375
2022-03-31,234.31268310546875
2022-04-01,230.3848876953125
2022-04-04,232.07794189453125
2022-04-05,229.7367706298828
2022-04-06,231.29428100585938
2022-04-07,233.4323272705078
2022-04-08,231.66195678710938
2022-04-11,225.75091552734375
2022-04-12,224.8028106689453
2022-04-13,228.5564727783203
2022-04-14,225.5961151123047
2022-04-18,222.48095703125
2022-04-19,226.59255981445312
2022-04-20,229.2626953125
2022-04-21,225.34457397460938
2022-04-22,217.6051025390625
2022-04-25,217.72119140625
2022-04-26,212.18746948242188
