,ORCL
2019-10-22,50.09159469604492
2019-10-23,50.11011505126953
2019-10-24,50.2304573059082
2019-10-25,50.147132873535156
2019-10-28,50.58223342895508
2019-10-29,50.730350494384766
2019-10-30,50.776634216308594
2019-10-31,50.44337844848633
2019-11-01,50.91550064086914
2019-11-04,51.33207702636719
2019-11-05,51.53573989868164
2019-11-06,51.56351089477539
2019-11-07,51.822715759277344
2019-11-08,52.29484176635742
2019-11-11,52.23929977416992
2019-11-12,52.387420654296875
2019-11-13,52.03563690185547
2019-11-14,51.92454528808594
2019-11-15,52.230045318603516
2019-11-18,52.017127990722656
2019-11-19,52.091182708740234
2019-11-20,52.06341552734375
2019-11-21,52.05415725708008
2019-11-22,52.2022705078125
2019-11-25,52.359642028808594
2019-11-26,52.31334686279297
2019-11-27,52.40593719482422
2019-11-29,51.97084426879883
2019-12-02,51.31357192993164
2019-12-03,50.53594970703125
2019-12-04,50.369319915771484
2019-12-05,50.619266510009766
2019-12-06,50.75812911987305
2019-12-09,51.202484130859375
2019-12-10,51.67459487915039
2019-12-11,52.12821578979492
2019-12-12,52.276329040527344
2019-12-13,50.46188735961914
2019-12-16,49.98050308227539
2019-12-17,48.91591262817383
2019-12-18,49.4250602722168
2019-12-19,49.28620529174805
2019-12-20,49.61946487426758
2019-12-23,49.72129440307617
2019-12-24,49.47134780883789
2019-12-26,49.591697692871094
2019-12-27,49.48985290527344
2019-12-30,48.78630065917969
2019-12-31,49.045509338378906
2020-01-02,49.943477630615234
2020-01-03,49.767581939697266
2020-01-06,50.02680587768555
2020-01-07,50.137882232666016
2020-01-08,50.33314514160156
2020-01-09,50.56561279296875
2020-01-10,50.63070297241211
2020-01-13,50.751590728759766
2020-01-14,51.030548095703125
2020-01-15,50.918968200683594
2020-01-16,51.541969299316406
2020-01-17,51.26301193237305
2020-01-21,51.3466911315918
2020-01-22,50.88176345825195
2020-01-23,51.1235237121582
2020-01-24,50.27736282348633
2020-01-27,48.99415588378906
2020-01-28,49.710140228271484
2020-01-29,49.46839141845703
2020-01-30,49.570682525634766
2020-01-31,48.7709846496582
2020-02-03,49.36609649658203
2020-02-04,50.24946594238281
2020-02-05,50.900360107421875
2020-02-06,50.87246322631836
2020-02-07,50.88176345825195
2020-02-10,51.132816314697266
2020-02-11,51.2816047668457
2020-02-12,51.82093048095703
2020-02-13,51.430389404296875
2020-02-14,51.579166412353516
2020-02-18,51.56056213378906
2020-02-19,51.5512580871582
2020-02-20,51.6163444519043
2020-02-21,50.844581604003906
2020-02-24,48.95695114135742
2020-02-25,47.385501861572266
2020-02-26,48.399051666259766
2020-02-27,47.21812438964844
2020-02-28,45.99071502685547
2020-03-02,47.329715728759766
2020-03-03,45.423500061035156
2020-03-04,46.99496078491211
2020-03-05,44.633140563964844
2020-03-06,44.04732131958008
2020-03-09,42.78270721435547
2020-03-10,45.17245101928711
2020-03-11,41.583194732666016
2020-03-12,37.008296966552734
2020-03-13,44.56804275512695
2020-03-16,39.72348403930664
2020-03-17,43.57309341430664
2020-03-18,43.95433044433594
2020-03-19,41.908653259277344
2020-03-20,42.44796371459961
2020-03-23,41.090370178222656
2020-03-24,44.484352111816406
2020-03-25,42.71761703491211
2020-03-26,46.93917465209961
2020-03-27,46.33476638793945
2020-03-30,46.82758712768555
2020-03-31,44.93998336791992
2020-04-01,45.29332733154297
2020-04-02,46.30686950683594
2020-04-03,45.93492889404297
2020-04-06,47.878326416015625
2020-04-07,47.19953918457031
2020-04-08,48.703712463378906
2020-04-09,49.6847038269043
2020-04-13,49.48851013183594
2020-04-14,50.4508056640625
2020-04-15,49.666011810302734
2020-04-16,50.170528411865234
2020-04-17,51.03005599975586
2020-04-20,50.36671447753906
2020-04-21,47.93760681152344
2020-04-22,48.834510803222656
2020-04-23,48.554237365722656
2020-04-24,49.525875091552734
2020-04-27,49.862213134765625
2020-04-28,49.70339584350586
2020-04-29,50.33869552612305
2020-04-30,49.48851013183594
2020-05-01,48.38606262207031
2020-05-04,48.348690032958984
2020-05-05,48.628963470458984
2020-05-06,48.45145797729492
2020-05-07,49.142822265625
2020-05-08,50.04906463623047
2020-05-11,50.01169967651367
2020-05-12,48.834510803222656
2020-05-13,48.25526809692383
2020-05-14,49.43244552612305
2020-05-15,49.44179153442383
2020-05-18,49.656673431396484
2020-05-19,48.899906158447266
2020-05-20,49.423099517822266
2020-05-21,48.787803649902344
2020-05-22,49.161502838134766
2020-05-26,49.31098937988281
2020-05-27,49.70339584350586
2020-05-28,50.09577560424805
2020-05-29,50.235923767089844
2020-06-01,49.572593688964844
2020-06-02,49.778133392333984
2020-06-03,49.974327087402344
2020-06-04,49.37638473510742
2020-06-05,50.43212890625
2020-06-08,51.47850799560547
2020-06-09,50.618980407714844
2020-06-10,50.5535774230957
2020-06-11,47.93760681152344
2020-06-12,48.45145797729492
2020-06-15,49.75010299682617
2020-06-16,51.00203323364258
2020-06-17,48.133811950683594
2020-06-18,50.16117858886719
2020-06-19,50.82451248168945
2020-06-22,51.49720001220703
2020-06-23,51.56258010864258
2020-06-24,50.86188507080078
2020-06-25,50.94596481323242
2020-06-26,50.618980407714844
2020-06-29,51.160858154296875
2020-06-30,51.6373405456543
2020-07-01,51.84287643432617
2020-07-02,52.26329803466797
2020-07-06,52.87991714477539
2020-07-07,52.60898208618164
2020-07-08,52.935970306396484
2020-07-09,53.74879455566406
2020-07-10,53.61800003051758
2020-07-13,53.262977600097656
2020-07-14,53.666412353515625
2020-07-15,53.12224197387695
2020-07-16,52.37165832519531
2020-07-17,51.50849533081055
2020-07-20,51.97760772705078
2020-07-21,52.45610046386719
2020-07-22,52.54991912841797
2020-07-23,52.315364837646484
2020-07-24,52.2121696472168
2020-07-27,51.921321868896484
2020-07-28,51.930694580078125
2020-07-29,52.25907516479492
2020-07-30,51.836875915527344
2020-07-31,52.02451705932617
2020-08-03,52.52177429199219
2020-08-04,52.5405387878418
2020-08-05,52.071434020996094
2020-08-06,51.86502456665039
2020-08-07,51.818115234375
2020-08-10,51.54602813720703
2020-08-11,50.91740798950195
2020-08-12,50.823585510253906
2020-08-13,50.682857513427734
2020-08-14,50.85173797607422
2020-08-17,50.65470886230469
2020-08-18,51.77119827270508
2020-08-19,52.728187561035156
2020-08-20,51.846256256103516
2020-08-21,51.78057861328125
2020-08-24,52.54991912841797
2020-08-25,52.624977111816406
2020-08-26,53.93851089477539
2020-08-27,53.64765167236328
2020-08-28,54.30440902709961
2020-08-31,53.6851806640625
2020-09-01,54.097999572753906
2020-09-02,55.38336181640625
2020-09-03,53.57258605957031
2020-09-04,52.28721618652344
2020-09-08,51.902549743652344
2020-09-09,53.431854248046875
2020-09-10,53.78837966918945
2020-09-11,53.47877502441406
2020-09-14,55.78680419921875
2020-09-15,57.17536544799805
2020-09-16,56.69688415527344
2020-09-17,56.46230697631836
2020-09-18,56.05887985229492
2020-09-21,57.062782287597656
2020-09-22,56.8751335144043
2020-09-23,55.31768798828125
2020-09-24,55.636680603027344
2020-09-25,56.10578918457031
2020-09-28,55.89937210083008
2020-09-29,55.79617691040039
2020-09-30,56.01197052001953
2020-10-01,55.993202209472656
2020-10-02,55.19572067260742
2020-10-05,55.88062286376953
2020-10-06,55.833709716796875
2020-10-07,57.077178955078125
2020-10-08,57.35978698730469
2020-10-09,57.604705810546875
