,SPG
2016-04-18,133.07618713378906
2016-04-19,132.560546875
2016-04-20,129.6708526611328
2016-04-21,126.85102081298828
2016-04-22,128.6651153564453
2016-04-25,129.63897705078125
2016-04-26,129.8171844482422
2016-04-27,130.21182250976562
2016-04-28,129.63262939453125
2016-04-29,128.0476531982422
2016-05-02,130.17999267578125
2016-05-03,130.46009826660156
2016-05-04,132.15321350097656
2016-05-05,132.67515563964844
2016-05-06,134.19009399414062
2016-05-09,135.60308837890625
2016-05-10,136.1632537841797
2016-05-11,129.36524963378906
2016-05-12,129.87449645996094
2016-05-13,126.05728149414062
2016-05-16,127.91131591796875
2016-05-17,125.40289306640625
2016-05-18,124.13263702392578
2016-05-19,124.36360168457031
2016-05-20,125.18480682373047
2016-05-23,125.58255767822266
2016-05-24,126.7886734008789
2016-05-25,125.80068969726562
2016-05-26,126.4678955078125
2016-05-27,126.87847137451172
2016-05-31,126.79508972167969
2016-06-01,127.19281005859375
2016-06-02,126.6410903930664
2016-06-03,127.9819107055664
2016-06-06,127.45587921142578
2016-06-07,127.99478149414062
2016-06-08,129.23939514160156
2016-06-09,129.36767578125
2016-06-10,128.4759063720703
2016-06-13,129.41900634765625
2016-06-14,130.11825561523438
2016-06-15,131.01638793945312
2016-06-16,132.29310607910156
2016-06-17,132.0878448486328
2016-06-20,132.7742462158203
2016-06-21,133.71734619140625
2016-06-22,133.8199920654297
2016-06-23,134.14077758789062
2016-06-24,132.47918701171875
2016-06-27,133.40940856933594
2016-06-28,136.7069549560547
2016-06-29,137.8874053955078
2016-06-30,139.15121459960938
2016-07-01,139.30519104003906
2016-07-05,141.2875518798828
2016-07-06,139.5618133544922
2016-07-07,138.31080627441406
2016-07-08,140.8577423095703
2016-07-11,142.25628662109375
2016-07-12,142.07667541503906
2016-07-13,143.86021423339844
2016-07-14,142.5321807861328
2016-07-15,143.0261993408203
2016-07-18,142.6027374267578
2016-07-19,143.08392333984375
2016-07-20,143.21865844726562
2016-07-21,143.8345184326172
2016-07-22,144.54022216796875
2016-07-25,144.01412963867188
2016-07-26,144.02694702148438
2016-07-27,142.23069763183594
2016-07-28,143.75112915039062
2016-07-29,145.65650939941406
2016-08-01,146.0157928466797
2016-08-02,143.4560089111328
2016-08-03,142.62197875976562
2016-08-04,140.896240234375
2016-08-05,140.95396423339844
2016-08-08,141.12083435058594
2016-08-09,141.5442352294922
2016-08-10,140.48565673828125
2016-08-11,137.6436004638672
2016-08-12,138.073486328125
2016-08-15,138.4031524658203
2016-08-16,136.78045654296875
2016-08-17,138.33203125
2016-08-18,138.57769775390625
2016-08-19,136.99375915527344
2016-08-22,137.37521362304688
2016-08-23,137.0389862060547
2016-08-24,138.50660705566406
2016-08-25,139.35354614257812
2016-08-26,138.19625854492188
2016-08-29,139.44400024414062
2016-08-30,139.5797576904297
2016-08-31,139.30177307128906
2016-09-01,139.65736389160156
2016-09-02,140.09051513671875
2016-09-06,141.04083251953125
2016-09-07,141.55166625976562
2016-09-08,140.34909057617188
2016-09-09,135.70074462890625
2016-09-12,137.2394561767578
2016-09-13,133.77423095703125
2016-09-14,134.3302001953125
2016-09-15,134.4142303466797
2016-09-16,134.94436645507812
2016-09-19,135.50035095214844
2016-09-20,134.9185028076172
2016-09-21,136.32786560058594
2016-09-22,138.021728515625
2016-09-23,138.021728515625
2016-09-26,138.8427734375
2016-09-27,137.65969848632812
2016-09-28,137.45277404785156
2016-09-29,134.200927734375
2016-09-30,133.83242797851562
2016-10-03,130.4899444580078
2016-10-04,128.56985473632812
2016-10-05,126.53339385986328
2016-10-06,127.02474212646484
2016-10-07,127.23806762695312
2016-10-10,127.68415069580078
2016-10-11,126.42350006103516
2016-10-12,128.60215759277344
2016-10-13,128.51817321777344
2016-10-14,127.35442352294922
2016-10-17,127.67765808105469
2016-10-18,128.2918701171875
2016-10-19,128.30482482910156
2016-10-20,127.52899932861328
2016-10-21,127.06995391845703
2016-10-24,127.36737823486328
2016-10-25,127.53547668457031
2016-10-26,121.78803253173828
2016-10-27,118.45858001708984
2016-10-28,118.2322998046875
2016-10-31,120.2235336303711
2016-11-01,118.47150421142578
2016-11-02,116.16349792480469
2016-11-03,115.93721008300781
2016-11-04,116.55142974853516
2016-11-07,117.61813354492188
2016-11-08,118.47150421142578
2016-11-09,116.8746109008789
2016-11-10,117.85083770751953
2016-11-11,118.05773162841797
2016-11-14,121.07830810546875
2016-11-15,120.1910629272461
2016-11-16,119.34947204589844
2016-11-17,117.87505340576172
2016-11-18,117.97293853759766
2016-11-21,117.22264862060547
2016-11-22,118.46221923828125
2016-11-23,117.92728424072266
2016-11-25,118.27955627441406
2016-11-28,118.29914093017578
2016-11-29,118.93197631835938
2016-11-30,117.20310974121094
2016-12-01,115.3568115234375
2016-12-02,117.0138931274414
2016-12-05,117.92728424072266
2016-12-06,117.50321197509766
2016-12-07,119.8779067993164
2016-12-08,119.8192367553711
2016-12-09,119.66915893554688
2016-12-12,121.424072265625
2016-12-13,122.27873229980469
2016-12-14,118.2665023803711
2016-12-15,117.4314193725586
2016-12-16,118.27304077148438
2016-12-19,119.14727020263672
2016-12-20,119.37559509277344
2016-12-21,116.23753356933594
2016-12-22,114.9783935546875
2016-12-23,114.78919219970703
2016-12-27,114.79574584960938
2016-12-28,113.64754486083984
2016-12-29,114.80883026123047
2016-12-30,115.91136169433594
2017-01-03,119.14070129394531
2017-01-04,120.09319305419922
2017-01-05,120.302001953125
2017-01-06,121.8873062133789
2017-01-09,121.2871322631836
2017-01-10,120.16497039794922
2017-01-11,118.72969818115234
2017-01-12,119.44732666015625
2017-01-13,120.04754638671875
2017-01-17,120.90874481201172
2017-01-18,121.71769714355469
2017-01-19,119.33639526367188
2017-01-20,120.38679504394531
2017-01-23,120.69341278076172
2017-01-24,120.13235473632812
2017-01-25,118.9971923828125
2017-01-26,118.794921875
2017-01-27,117.11175537109375
2017-01-30,115.95703125
2017-01-31,119.89096069335938
2017-02-01,118.42960357666016
2017-02-02,119.36254119873047
2017-02-03,120.90874481201172
2017-02-06,118.78186798095703
2017-02-07,116.81817626953125
2017-02-08,117.8359146118164
2017-02-09,118.72969818115234
2017-02-10,119.95496368408203
2017-02-13,119.67169952392578
2017-02-14,119.19082641601562
2017-02-15,117.60986328125
2017-02-16,118.03144836425781
2017-02-17,119.28960418701172
2017-02-21,121.97065734863281
2017-02-22,121.66763305664062
2017-02-23,121.85868072509766
2017-02-24,121.3975830078125
2017-02-27,122.74136352539062
2017-02-28,121.47003936767578
2017-03-01,120.23159790039062
2017-03-02,119.32254791259766
2017-03-03,118.17636108398438
2017-03-06,117.78113555908203
2017-03-07,116.78644561767578
2017-03-08,115.0737533569336
2017-03-09,111.53636169433594
2017-03-10,110.77881622314453
2017-03-13,111.12135314941406
2017-03-14,110.15960693359375
2017-03-15,111.9842758178711
2017-03-16,111.58908081054688
2017-03-17,110.68000793457031
2017-03-20,110.73931884765625
2017-03-21,111.2991943359375
2017-03-22,108.95409393310547
2017-03-23,110.37699127197266
2017-03-24,110.6338882446289
2017-03-27,109.44818878173828
2017-03-28,110.69977569580078
2017-03-29,111.8921127319336
2017-03-30,112.01063537597656
2017-03-31,113.32149505615234
2017-04-03,114.65875244140625
2017-04-04,112.35321044921875
2017-04-05,112.17530822753906
2017-04-06,111.85256958007812
2017-04-07,111.859130859375
2017-04-10,112.96581268310547
2017-04-11,114.1910400390625
2017-04-12,114.14496612548828
2017-04-13,114.51383209228516
2017-04-17,114.99468994140625
2017-04-18,115.10010528564453
2017-04-19,114.9024887084961
2017-04-20,115.10010528564453
2017-04-21,113.28858947753906
2017-04-24,111.2860336303711
2017-04-25,110.69318389892578
2017-04-26,108.71698760986328
2017-04-27,110.58123016357422
2017-04-28,108.86192321777344
2017-05-01,111.06864929199219
2017-05-02,111.1872329711914
2017-05-03,109.07929992675781
2017-05-04,108.96733093261719
2017-05-05,108.37442779541016
2017-05-08,107.26776123046875
2017-05-09,107.01744842529297
2017-05-10,109.11880493164062
2017-05-11,106.56953430175781
2017-05-12,103.7369613647461
2017-05-15,104.0234146118164
2017-05-16,102.67120361328125
2017-05-17,102.75775909423828
2017-05-18,102.5912094116211
2017-05-19,105.16250610351562
2017-05-22,104.982666015625
2017-05-23,104.74950408935547
2017-05-24,106.43479919433594
2017-05-25,107.04766082763672
2017-05-26,104.75615692138672
2017-05-30,103.23737335205078
2017-05-31,102.75110626220703
2017-06-01,103.13748168945312
2017-06-02,101.6786117553711
2017-06-05,101.42547607421875
2017-06-06,101.97840881347656
2017-06-07,103.43055725097656
2017-06-08,102.96428680419922
2017-06-09,103.65040588378906
2017-06-12,106.40817260742188
2017-06-13,105.7886734008789
2017-06-14,106.341552734375
2017-06-15,107.06765747070312
2017-06-16,106.7545394897461
2017-06-19,105.89527130126953
2017-06-20,105.90190887451172
2017-06-21,105.76866912841797
2017-06-22,106.00183868408203
2017-06-23,105.84862518310547
2017-06-26,106.88111114501953
2017-06-27,108.16007995605469
2017-06-28,109.1126937866211
2017-06-29,108.29998779296875
2017-06-30,107.75375366210938
2017-07-03,110.03192901611328
2017-07-05,105.40229034423828
2017-07-06,103.77027893066406
2017-07-07,104.34317016601562
2017-07-10,103.5438003540039
2017-07-11,102.54460906982422
2017-07-12,103.59707641601562
2017-07-13,105.28240203857422
2017-07-14,107.06765747070312
2017-07-17,108.00023651123047
2017-07-18,106.46810913085938
2017-07-19,106.76123046875
2017-07-20,107.25416564941406
2017-07-21,106.96773529052734
2017-07-24,106.60801696777344
2017-07-25,107.62720489501953
2017-07-26,109.09268951416016
2017-07-27,110.79798889160156
2017-07-28,106.927734375
2017-07-31,105.58218383789062
2017-08-01,109.63223266601562
2017-08-02,107.49398040771484
2017-08-03,107.8803482055664
2017-08-04,109.59896850585938
2017-08-07,110.82466888427734
2017-08-08,109.30587005615234
2017-08-09,108.85285949707031
2017-08-10,107.34740447998047
2017-08-11,105.17582702636719
2017-08-14,106.80786895751953
2017-08-15,106.10049438476562
2017-08-16,106.410400390625
2017-08-17,105.90512084960938
2017-08-18,103.46633911132812
2017-08-21,104.14002227783203
2017-08-22,103.23052978515625
2017-08-23,106.15438079833984
2017-08-24,105.54131317138672
2017-08-25,107.14470672607422
2017-08-28,105.65581512451172
2017-08-29,105.26508331298828
2017-08-30,105.7838134765625
2017-08-31,105.66929626464844
2017-09-01,106.57202911376953
2017-09-05,105.68950653076172
2017-09-06,106.93584442138672
2017-09-07,108.33041381835938
2017-09-08,107.49503326416016
2017-09-11,108.00704956054688
2017-09-12,106.14090728759766
2017-09-13,108.08112335205078
2017-09-14,110.31781768798828
2017-09-15,111.00499725341797
