,NEE
2022-08-19,83.94236755371094
2022-08-22,82.84759521484375
2022-08-23,82.3236083984375
2022-08-24,83.00667572021484
2022-08-25,83.64293670654297
2022-08-26,82.39844512939453
2022-08-29,81.82020568847656
2022-08-30,80.5790786743164
2022-08-31,79.9773178100586
2022-09-01,81.10562133789062
2022-09-02,80.02433776855469
2022-09-06,82.14928436279297
2022-09-07,84.84779357910156
2022-09-08,84.8759994506836
2022-09-09,84.52812194824219
2022-09-12,85.38373565673828
2022-09-13,83.55025482177734
2022-09-14,83.56905364990234
2022-09-15,80.87057495117188
2022-09-16,79.72345733642578
2022-09-19,81.65094757080078
2022-09-20,80.56967163085938
2022-09-21,78.95246124267578
2022-09-22,78.54814910888672
2022-09-23,77.58910369873047
2022-09-26,76.30097198486328
2022-09-27,76.23514556884766
2022-09-28,77.44806671142578
2022-09-29,75.19147491455078
2022-09-30,73.72468566894531
2022-10-03,76.33857727050781
2022-10-04,77.87117767333984
2022-10-05,76.88390350341797
2022-10-06,74.19481658935547
2022-10-07,72.14508056640625
2022-10-10,72.15447235107422
2022-10-11,71.48690795898438
2022-10-12,68.40290069580078
2022-10-13,68.72257995605469
2022-10-14,67.48145294189453
2022-10-17,69.2491226196289
2022-10-18,70.57485961914062
2022-10-19,69.23970031738281
2022-10-20,66.4189682006836
2022-10-21,67.36861419677734
2022-10-24,68.90122985839844
2022-10-25,71.32705688476562
2022-10-26,71.08258056640625
2022-10-27,70.96036529541016
2022-10-28,74.3076400756836
2022-10-31,72.86905670166016
2022-11-01,73.06651306152344
2022-11-02,72.66221618652344
2022-11-03,73.50843811035156
2022-11-04,74.09137725830078
2022-11-07,72.6716079711914
2022-11-08,73.59304809570312
2022-11-09,73.52723693847656
2022-11-10,78.22846221923828
2022-11-11,78.3318862915039
2022-11-14,76.7804946899414
2022-11-15,77.95580291748047
2022-11-16,79.28153228759766
2022-11-17,77.42925262451172
2022-11-18,78.22846221923828
2022-11-21,78.60456085205078
2022-11-22,79.0840835571289
2022-11-23,80.25119018554688
2022-11-25,80.6480941772461
2022-11-28,79.12662506103516
2022-11-29,77.95478057861328
2022-11-30,80.04328918457031
2022-12-01,80.1661376953125
2022-12-02,80.51579284667969
2022-12-05,80.46855163574219
2022-12-06,80.49688720703125
2022-12-07,80.6008529663086
2022-12-08,81.04501342773438
2022-12-09,79.86373901367188
2022-12-12,81.79158782958984
2022-12-13,82.35859680175781
2022-12-14,82.26409149169922
2022-12-15,81.0922622680664
2022-12-16,79.51406860351562
2022-12-19,78.92816162109375
2022-12-20,78.92816162109375
2022-12-21,79.99603271484375
2022-12-22,78.75804138183594
2022-12-23,79.54241943359375
2022-12-27,79.38176727294922
2022-12-28,78.58795166015625
2022-12-29,79.45736694335938
2022-12-30,79.0037612915039
2023-01-03,79.22110748291016
2023-01-04,79.84481811523438
2023-01-05,78.08708190917969
2023-01-06,79.05101776123047
2023-01-09,79.44792938232422
2023-01-10,79.89208984375
2023-01-11,80.32679748535156
2023-01-12,80.3929443359375
2023-01-13,80.0243911743164
2023-01-17,81.02611541748047
2023-01-18,79.19276428222656
2023-01-19,78.04927825927734
2023-01-20,77.32162475585938
2023-01-23,78.12488555908203
2023-01-24,79.28726196289062
2023-01-25,72.37915802001953
2023-01-26,72.1996078491211
2023-01-27,71.4247055053711
2023-01-30,70.92383575439453
2023-01-31,70.52692413330078
2023-02-01,70.15835571289062
2023-02-02,71.44359588623047
2023-02-03,70.5647201538086
2023-02-06,71.3585433959961
2023-02-07,71.89720153808594
2023-02-08,70.9049301147461
2023-02-09,69.24169158935547
2023-02-10,70.63087463378906
2023-02-13,71.4625015258789
2023-02-14,71.8499526977539
2023-02-15,72.70992279052734
2023-02-16,71.52864837646484
2023-02-17,71.88776397705078
2023-02-21,69.61026000976562
2023-02-22,69.62916564941406
2023-02-23,68.86368560791016
2023-02-24,68.91093444824219
2023-02-27,68.3478775024414
2023-02-28,67.55843353271484
2023-03-01,66.45513153076172
2023-03-02,68.6807632446289
2023-03-03,70.22158813476562
2023-03-06,70.76373291015625
2023-03-07,70.14549255371094
2023-03-08,70.62106323242188
2023-03-09,70.15501403808594
2023-03-10,69.44166564941406
2023-03-13,69.70797729492188
2023-03-14,70.9063949584961
2023-03-15,71.8289794921875
2023-03-16,72.5042953491211
2023-03-17,71.9716567993164
2023-03-20,72.25699615478516
2023-03-21,71.67680358886719
2023-03-22,70.5069351196289
2023-03-23,70.20256042480469
2023-03-24,71.99068450927734
2023-03-27,71.75289916992188
2023-03-28,71.56266784667969
2023-03-29,72.39016723632812
2023-03-30,72.84668731689453
2023-03-31,73.312744140625
2023-04-03,72.92277526855469
2023-04-04,73.38883972167969
2023-04-05,74.50165557861328
2023-04-06,75.1103744506836
2023-04-10,74.59676361083984
2023-04-11,74.51116180419922
2023-04-12,74.74893951416016
2023-04-13,74.99622344970703
2023-04-14,74.20679473876953
2023-04-17,74.70140838623047
2023-04-18,74.47311401367188
2023-04-19,75.08184051513672
2023-04-20,74.90111541748047
2023-04-21,75.12939453125
2023-04-24,75.17695617675781
2023-04-25,74.0165786743164
2023-04-26,70.44986724853516
2023-04-27,72.1428451538086
2023-04-28,72.8847427368164
2023-05-01,73.04644012451172
2023-05-02,72.22846984863281
2023-05-03,71.7053451538086
2023-05-04,71.8194808959961
2023-05-05,71.8194808959961
2023-05-08,72.34259796142578
2023-05-09,71.88607025146484
2023-05-10,73.13201904296875
2023-05-11,72.3806381225586
2023-05-12,74.14974212646484
2023-05-15,73.7502670288086
2023-05-16,72.13335418701172
2023-05-17,71.65778350830078
2023-05-18,71.42951202392578
2023-05-19,70.83981323242188
2023-05-22,70.93492889404297
2023-05-23,70.53546142578125
2023-05-24,70.61154174804688
2023-05-25,69.80309295654297
2023-05-26,70.75841522216797
2023-05-30,69.58101654052734
2023-05-31,70.31807708740234
2023-06-01,69.83946990966797
2023-06-02,70.69139862060547
2023-06-05,70.44251251220703
2023-06-06,70.24149322509766
2023-06-07,70.99771118164062
2023-06-08,71.69650268554688
2023-06-09,70.90198516845703
2023-06-12,70.81584167480469
2023-06-13,71.1700210571289
2023-06-14,70.26065063476562
2023-06-15,71.1795883178711
2023-06-16,72.35697174072266
2023-06-20,71.56246948242188
2023-06-21,72.53885650634766
2023-06-22,71.91665649414062
2023-06-23,70.99771118164062
2023-06-26,71.11258697509766
2023-06-27,70.74883270263672
2023-06-28,70.29894256591797
2023-06-29,69.69586181640625
2023-06-30,71.02642822265625
2023-07-03,71.19873046875
2023-07-05,71.74434661865234
2023-07-06,69.89690399169922
2023-07-07,68.9683837890625
2023-07-10,68.64292907714844
2023-07-11,69.1023941040039
2023-07-12,70.3276596069336
2023-07-13,70.55738067626953
2023-07-14,70.0691909790039
2023-07-17,69.55230712890625
2023-07-18,68.9683837890625
2023-07-19,69.01625061035156
2023-07-20,70.93070220947266
2023-07-21,72.65371704101562
2023-07-24,72.27082824707031
2023-07-25,72.21339416503906
2023-07-26,71.18916320800781
2023-07-27,70.13619995117188
2023-07-28,69.73416137695312
2023-07-31,70.16492462158203
2023-08-01,69.08324432373047
2023-08-02,68.83438110351562
2023-08-03,67.1017837524414
2023-08-04,66.21156311035156
2023-08-07,65.70423126220703
2023-08-08,65.771240234375
2023-08-09,65.9722671508789
2023-08-10,65.36920166015625
2023-08-11,65.9722671508789
2023-08-14,65.62765502929688
2023-08-15,64.46940612792969
2023-08-16,64.67042541503906
2023-08-17,64.62256622314453
2023-08-18,64.92887878417969
2023-08-21,64.2109603881836
2023-08-22,64.63213348388672
2023-08-23,64.98631286621094
2023-08-24,64.344970703125
2023-08-25,65.05331420898438
2023-08-28,65.11074829101562
2023-08-29,65.07027435302734
2023-08-30,64.66544342041016
2023-08-31,64.38593292236328
2023-09-01,64.45339965820312
2023-09-05,63.80760955810547
2023-09-06,63.316043853759766
2023-09-07,63.855796813964844
2023-09-08,64.41484069824219
2023-09-11,65.08954620361328
2023-09-12,65.2823257446289
2023-09-13,65.95702362060547
2023-09-14,66.77630615234375
2023-09-15,66.15943145751953
2023-09-18,65.77388000488281
2023-09-19,65.14739227294922
2023-09-20,64.91605377197266
2023-09-21,64.49195861816406
2023-09-22,65.25340270996094
2023-09-25,65.0317153930664
2023-09-26,62.978694915771484
2023-09-27,57.79311752319336
