,MGM
2017-06-09,30.438138961791992
2017-06-12,30.066938400268555
2017-06-13,30.54283332824707
2017-06-14,30.790298461914062
2017-06-15,31.00921058654785
2017-06-16,31.037755966186523
2017-06-19,31.551729202270508
2017-06-20,31.58028221130371
2017-06-21,31.370887756347656
2017-06-22,31.646907806396484
2017-06-23,32.51303482055664
2017-06-26,32.21797561645508
2017-06-27,32.103763580322266
2017-06-28,32.07521057128906
2017-06-29,31.304269790649414
2017-06-30,29.78140640258789
2017-07-03,29.08660125732422
2017-07-05,29.486347198486328
2017-07-06,28.83913803100586
2017-07-07,29.353097915649414
2017-07-10,29.676706314086914
2017-07-11,29.914655685424805
2017-07-12,30.20970916748047
2017-07-13,30.390546798706055
2017-07-14,30.37151336669922
2017-07-17,30.314407348632812
2017-07-18,30.980653762817383
2017-07-19,31.209091186523438
2017-07-20,32.103763580322266
2017-07-21,32.38930130004883
2017-07-24,32.351226806640625
2017-07-25,32.61772918701172
2017-07-26,32.23701858520508
2017-07-27,31.7801513671875
2017-07-28,31.54220962524414
2017-07-31,31.34234046936035
2017-08-01,30.8474063873291
2017-08-02,30.438138961791992
2017-08-03,30.03838348388672
2017-08-04,30.257301330566406
2017-08-07,30.323925018310547
2017-08-08,30.028867721557617
2017-08-09,29.97176170349121
2017-08-10,29.03900718688965
2017-08-11,29.115154266357422
2017-08-14,29.495868682861328
2017-08-15,30.066938400268555
2017-08-16,29.790922164916992
2017-08-17,29.03900718688965
2017-08-18,29.2293643951416
2017-08-21,29.610082626342773
2017-08-22,30.07645606994629
2017-08-23,29.809961318969727
2017-08-24,30.028867721557617
2017-08-25,30.295366287231445
2017-08-28,30.162120819091797
2017-08-29,30.4952449798584
2017-08-30,30.57139015197754
2017-08-31,31.370887756347656
2017-09-01,31.608829498291016
2017-09-05,31.54220962524414
2017-09-06,32.1418342590332
2017-09-07,32.351226806640625
2017-09-08,31.749650955200195
2017-09-11,31.587322235107422
2017-09-12,31.272212982177734
2017-09-13,31.11944007873535
2017-09-14,30.61335563659668
2017-09-15,30.47966957092285
2017-09-18,30.250497817993164
2017-09-19,31.09079360961914
2017-09-20,31.587322235107422
2017-09-21,31.5682315826416
2017-09-22,30.918916702270508
2017-09-25,30.498769760131836
2017-09-26,30.708839416503906
2017-09-27,30.995298385620117
2017-09-28,30.880714416503906
2017-09-29,31.11944007873535
2017-10-02,29.381563186645508
2017-10-03,29.45795249938965
2017-10-04,29.36246109008789
2017-10-05,29.50569725036621
2017-10-06,29.419754028320312
2017-10-09,29.419754028320312
2017-10-10,29.056901931762695
2017-10-11,29.50569725036621
2017-10-12,28.713150024414062
2017-10-13,28.398038864135742
2017-10-16,28.350296020507812
2017-10-17,29.114194869995117
2017-10-18,29.066450119018555
2017-10-19,29.10464859008789
2017-10-20,29.629831314086914
2017-10-23,29.50569725036621
2017-10-24,29.811254501342773
2017-10-25,29.572534561157227
2017-10-26,29.43885612487793
2017-10-27,29.839906692504883
2017-10-30,29.19058609008789
2017-10-31,29.93539047241211
2017-11-01,29.42930030822754
2017-11-02,29.32426643371582
2017-11-03,29.849449157714844
2017-11-06,30.279146194458008
2017-11-07,30.04042625427246
2017-11-08,31.5682315826416
2017-11-09,31.272212982177734
2017-11-10,31.396352767944336
2017-11-13,31.5682315826416
2017-11-14,31.367704391479492
2017-11-15,31.405908584594727
2017-11-16,31.51094627380371
2017-11-17,31.51094627380371
2017-11-20,31.682825088500977
2017-11-21,31.83559226989746
2017-11-22,31.940628051757812
2017-11-24,32.36077880859375
2017-11-27,32.15070343017578
2017-11-28,31.749650955200195
2017-11-29,32.1316032409668
2017-11-30,32.58039474487305
2017-12-01,32.48491668701172
2017-12-04,32.67588806152344
2017-12-05,32.40852355957031
2017-12-06,31.60642433166504
2017-12-07,31.83559226989746
2017-12-08,31.78769302368164
2017-12-11,31.940980911254883
2017-12-12,31.337417602539062
2017-12-13,31.768535614013672
2017-12-14,31.452383041381836
2017-12-15,31.500272750854492
2017-12-18,31.56734848022461
2017-12-19,31.46196174621582
2017-12-20,31.768535614013672
2017-12-21,32.31460952758789
2017-12-22,31.940980911254883
2017-12-26,31.9505615234375
2017-12-27,32.29545593261719
2017-12-28,32.21881103515625
2017-12-29,31.988874435424805
2018-01-02,32.103843688964844
2018-01-03,31.931396484375
2018-01-04,32.247554779052734
2018-01-05,32.467891693115234
2018-01-08,31.71105194091797
2018-01-09,32.21881103515625
2018-01-10,32.496639251708984
2018-01-11,33.6367073059082
2018-01-12,33.560062408447266
2018-01-16,34.518104553222656
2018-01-17,35.006710052490234
2018-01-18,34.556419372558594
2018-01-19,34.82466506958008
2018-01-22,35.56236267089844
2018-01-23,35.4665641784668
2018-01-24,36.05096435546875
2018-01-25,35.265377044677734
2018-01-26,35.495304107666016
2018-01-29,36.434165954589844
2018-01-30,35.55277633666992
2018-01-31,34.920475006103516
2018-02-01,35.284523010253906
2018-02-02,34.086978912353516
2018-02-05,33.023555755615234
2018-02-06,33.41636276245117
2018-02-07,33.22475814819336
2018-02-08,32.09426498413086
2018-02-09,32.02720642089844
2018-02-12,31.806846618652344
2018-02-13,31.739782333374023
2018-02-14,32.99482727050781
2018-02-15,33.53132629394531
2018-02-16,33.023555755615234
2018-02-20,33.25349044799805
2018-02-21,32.95650863647461
2018-02-22,33.0618896484375
2018-02-23,33.8953742980957
2018-02-26,33.847476959228516
2018-02-27,32.83195114135742
2018-02-28,32.79362869262695
2018-03-01,31.883499145507812
2018-03-02,32.31460952758789
2018-03-05,32.42957305908203
2018-03-06,33.291812896728516
2018-03-07,33.39720153808594
2018-03-08,34.52197265625
2018-03-09,35.36795425415039
2018-03-12,35.34873962402344
2018-03-13,34.406612396240234
2018-03-14,34.31047439575195
2018-03-15,34.30085754394531
2018-03-16,34.598880767822266
2018-03-19,34.8776741027832
2018-03-20,35.31027603149414
2018-03-21,34.723854064941406
2018-03-22,33.1953125
2018-03-23,31.974403381347656
2018-03-26,33.57024002075195
2018-03-27,33.51255798339844
2018-03-28,32.78192901611328
2018-03-29,33.6663703918457
2018-04-02,32.5704460144043
2018-04-03,33.10879898071289
2018-04-04,33.57984924316406
2018-04-05,34.19512176513672
2018-04-06,32.8107795715332
2018-04-09,33.04149627685547
2018-04-10,33.329898834228516
2018-04-11,32.378170013427734
2018-04-12,33.57984924316406
2018-04-13,33.070335388183594
2018-04-16,33.4260368347168
2018-04-17,34.71424102783203
2018-04-18,35.00264358520508
2018-04-19,34.18550491333008
2018-04-20,34.070133209228516
2018-04-23,34.77192306518555
2018-04-24,34.147056579589844
2018-04-25,33.96440124511719
2018-04-26,31.041898727416992
2018-04-27,30.070938110351562
2018-04-30,30.20552635192871
2018-05-01,30.186294555664062
2018-05-02,30.013254165649414
2018-05-03,30.070938110351562
2018-05-04,30.628515243530273
2018-05-07,30.388181686401367
2018-05-08,30.820785522460938
2018-05-09,31.62831687927246
2018-05-10,32.08015060424805
2018-05-11,30.570837020874023
2018-05-14,31.070735931396484
2018-05-15,30.503541946411133
2018-05-16,30.68619728088379
2018-05-17,30.936145782470703
2018-05-18,31.089967727661133
2018-05-21,30.77271842956543
2018-05-22,30.35934066772461
2018-05-23,30.378568649291992
2018-05-24,30.109390258789062
2018-05-25,30.234365463256836
2018-05-29,30.090166091918945
2018-05-30,30.65735626220703
2018-05-31,30.234365463256836
2018-06-01,30.56122589111328
2018-06-04,30.32088851928711
2018-06-05,29.667173385620117
2018-06-06,30.33049964904785
2018-06-07,30.253297805786133
2018-06-08,29.703237533569336
2018-06-11,30.484901428222656
2018-06-12,30.533153533935547
2018-06-13,29.867292404174805
2018-06-14,30.33049964904785
2018-06-15,30.137495040893555
2018-06-18,30.22434425354004
2018-06-19,28.863672256469727
2018-06-20,29.471633911132812
2018-06-21,29.249683380126953
2018-06-22,29.018077850341797
2018-06-25,28.246065139770508
2018-06-26,28.13991355895996
2018-06-27,27.377548217773438
2018-06-28,27.387195587158203
2018-06-29,28.014453887939453
2018-07-02,27.174894332885742
2018-07-03,27.001188278198242
2018-07-05,27.41614532470703
2018-07-06,27.956558227539062
2018-07-09,28.429412841796875
2018-07-10,28.882976531982422
2018-07-11,28.844369888305664
2018-07-12,29.433034896850586
2018-07-13,29.867292404174805
2018-07-16,30.03134536743164
2018-07-17,30.156795501708984
2018-07-18,29.93484115600586
2018-07-19,29.741840362548828
