,EMR
2018-08-10,63.12689208984375
2018-08-13,62.77647399902344
2018-08-14,63.45166778564453
2018-08-15,62.870506286621094
2018-08-16,63.63191223144531
2018-08-17,64.40625
2018-08-20,64.99128723144531
2018-08-21,65.90325927734375
2018-08-22,64.66436767578125
2018-08-23,65.01709747314453
2018-08-24,65.1031265258789
2018-08-27,65.94628143310547
2018-08-28,65.84305572509766
2018-08-29,66.07532501220703
2018-08-30,65.69677734375
2018-08-31,66.01512145996094
2018-09-04,65.73119354248047
2018-09-05,66.47970581054688
2018-09-06,65.5677261352539
2018-09-07,65.20639038085938
2018-09-10,65.61933898925781
2018-09-11,65.57632446289062
2018-09-12,66.3420639038086
2018-09-13,66.89268493652344
2018-09-14,66.71199798583984
2018-09-17,66.90986633300781
2018-09-18,67.46050262451172
2018-09-19,66.60015869140625
2018-09-20,67.4347152709961
2018-09-21,67.1163558959961
2018-09-24,66.66036987304688
2018-09-25,66.42809295654297
2018-09-26,65.94628143310547
2018-09-27,66.06672668457031
2018-09-28,65.88606262207031
2018-10-01,66.79804992675781
2018-10-02,66.9873275756836
2018-10-03,67.55514526367188
2018-10-04,67.24541473388672
2018-10-05,67.15937042236328
2018-10-08,67.02171325683594
2018-10-09,65.36984252929688
2018-10-10,63.10710144042969
2018-10-11,61.257328033447266
2018-10-12,61.87680435180664
2018-10-15,61.446624755859375
2018-10-16,63.29638671875
2018-10-17,63.66633224487305
2018-10-18,62.32416534423828
2018-10-19,62.17793655395508
2018-10-22,61.7047233581543
2018-10-23,59.33873748779297
2018-10-24,56.792110443115234
2018-10-25,57.72987747192383
2018-10-26,56.99857711791992
2018-10-29,57.06740951538086
2018-10-30,58.34074020385742
2018-10-31,58.40095901489258
2018-11-01,60.1818962097168
2018-11-02,59.897972106933594
2018-11-05,60.52604293823242
2018-11-06,60.680912017822266
2018-11-07,60.11306381225586
2018-11-08,60.01841735839844
2018-11-09,58.925777435302734
2018-11-12,57.65244674682617
2018-11-13,57.43736267089844
2018-11-14,57.98799133300781
2018-11-15,59.634647369384766
2018-11-16,60.33662796020508
2018-11-19,59.33131790161133
2018-11-20,58.16133117675781
2018-11-21,58.30865478515625
2018-11-23,57.03466796875
2018-11-26,57.73666763305664
2018-11-27,57.84932327270508
2018-11-28,58.993316650390625
2018-11-29,58.35197830200195
2018-11-30,58.516658782958984
2018-12-03,59.677955627441406
2018-12-04,56.89600372314453
2018-12-06,55.284027099609375
2018-12-07,54.556026458740234
2018-12-10,54.209354400634766
2018-12-11,53.975379943847656
2018-12-12,52.93538284301758
2018-12-13,52.63205337524414
2018-12-14,52.3807258605957
2018-12-17,50.890071868896484
2018-12-18,50.690757751464844
2018-12-19,49.988746643066406
2018-12-20,49.139427185058594
2018-12-21,49.28675842285156
2018-12-24,48.09077072143555
2018-12-26,50.67341995239258
2018-12-27,51.41873550415039
2018-12-28,51.24539566040039
2018-12-31,51.78273010253906
2019-01-02,51.78273010253906
2019-01-03,50.66474151611328
2019-01-04,51.75673294067383
2019-01-07,52.14672088623047
2019-01-08,52.58005142211914
2019-01-09,53.212703704833984
2019-01-10,53.828033447265625
2019-01-11,53.750038146972656
2019-01-14,53.46404266357422
2019-01-15,53.31671905517578
2019-01-16,53.19538497924805
2019-01-17,53.73271179199219
2019-01-18,55.188690185546875
2019-01-22,54.6080207824707
2019-01-23,54.07937240600586
2019-01-24,54.634033203125
2019-01-25,55.41401672363281
2019-01-28,54.08803939819336
2019-01-29,54.97203063964844
2019-01-30,56.93067169189453
2019-01-31,56.74000549316406
2019-02-01,57.762664794921875
2019-02-04,58.62932205200195
2019-02-05,57.97932434082031
2019-02-06,58.07465744018555
2019-02-07,57.49399948120117
2019-02-08,57.84065246582031
2019-02-11,57.99665451049805
2019-02-12,58.993316650390625
2019-02-13,59.28798294067383
2019-02-14,58.03098678588867
2019-02-15,59.628414154052734
2019-02-19,59.261783599853516
2019-02-20,59.86410903930664
2019-02-21,59.13084411621094
2019-02-22,59.837913513183594
2019-02-25,60.01249694824219
2019-02-26,59.65459060668945
2019-02-27,59.82917404174805
2019-02-28,59.488746643066406
2019-03-01,59.70697021484375
2019-03-04,59.41017532348633
2019-03-05,59.12213134765625
2019-03-06,59.09592056274414
2019-03-07,58.746768951416016
2019-03-08,58.13573455810547
2019-03-11,58.86897277832031
2019-03-12,58.76423645019531
2019-03-13,59.2879753112793
2019-03-14,58.90390396118164
2019-03-15,58.772945404052734
2019-03-18,60.04741287231445
2019-03-19,59.72441864013672
2019-03-20,59.60220718383789
2019-03-21,60.457664489746094
2019-03-22,58.36268615722656
2019-03-25,58.03098678588867
2019-03-26,58.729305267333984
2019-03-27,58.61583709716797
2019-03-28,58.973716735839844
2019-03-29,59.7680778503418
2019-04-01,61.217105865478516
2019-04-02,61.04253005981445
2019-04-03,61.7757568359375
2019-04-04,62.08127975463867
2019-04-05,62.09873580932617
2019-04-08,62.5963020324707
2019-04-09,61.81068801879883
2019-04-10,62.090003967285156
2019-04-11,62.378074645996094
2019-04-12,62.93673324584961
2019-04-15,62.67485427856445
2019-04-16,63.00657272338867
2019-04-17,63.12004470825195
2019-04-18,63.29463577270508
2019-04-22,63.486690521240234
2019-04-23,63.86201858520508
2019-04-24,63.31206512451172
2019-04-25,62.220943450927734
2019-04-26,62.60504150390625
2019-04-29,62.03764343261719
2019-04-30,61.96780776977539
2019-05-01,61.34804916381836
2019-05-02,61.190914154052734
2019-05-03,62.06381607055664
2019-05-06,61.23457336425781
2019-05-07,58.94752883911133
2019-05-08,57.86514663696289
2019-05-09,58.31032180786133
2019-05-10,58.42380142211914
2019-05-13,56.42483139038086
2019-05-14,56.870018005371094
2019-05-15,57.21918487548828
2019-05-16,57.74687194824219
2019-05-17,57.008113861083984
2019-05-20,56.198974609375
2019-05-21,57.456634521484375
2019-05-22,56.876182556152344
2019-05-23,55.125999450683594
2019-05-24,54.994083404541016
2019-05-28,53.824378967285156
2019-05-29,53.639678955078125
2019-05-30,53.824378967285156
2019-05-31,52.98007583618164
2019-06-03,53.27909469604492
2019-06-04,54.93252182006836
2019-06-05,55.662498474121094
2019-06-06,55.09961700439453
2019-06-07,56.005489349365234
2019-06-10,56.84099578857422
2019-06-11,55.81200408935547
2019-06-12,55.17878341674805
2019-06-13,55.58334732055664
2019-06-14,55.205162048339844
2019-06-17,55.125999450683594
2019-06-18,56.25175476074219
2019-06-19,55.829593658447266
2019-06-20,57.61494827270508
2019-06-21,57.72047424316406
2019-06-24,57.527000427246094
2019-06-25,57.42146301269531
2019-06-26,57.913970947265625
2019-06-27,58.13383483886719
2019-06-28,58.67912673950195
2019-07-01,58.670326232910156
2019-07-02,58.309749603271484
2019-07-03,58.2130012512207
2019-07-05,57.51820755004883
2019-07-08,57.034481048583984
2019-07-09,56.506805419921875
2019-07-10,56.02308654785156
2019-07-11,56.427642822265625
2019-07-12,57.77325439453125
2019-07-15,57.77325439453125
2019-07-16,58.25696563720703
2019-07-17,56.876182556152344
2019-07-18,56.48920822143555
2019-07-19,57.42146301269531
2019-07-22,57.51820755004883
2019-07-23,58.79345703125
2019-07-24,59.154052734375
2019-07-25,58.86381149291992
2019-07-26,58.626365661621094
2019-07-29,58.309749603271484
2019-07-30,59.18043518066406
2019-07-31,57.060874938964844
2019-08-01,55.19636535644531
2019-08-02,54.22893524169922
2019-08-05,52.285282135009766
2019-08-06,53.490177154541016
2019-08-07,52.39960861206055
2019-08-08,53.44619369506836
2019-08-09,52.31166076660156
2019-08-12,51.26507568359375
2019-08-13,52.05660629272461
2019-08-14,50.25367736816406
2019-08-15,50.040767669677734
2019-08-16,51.380279541015625
2019-08-19,51.93913650512695
2019-08-20,51.43350601196289
2019-08-21,51.85930252075195
2019-08-22,51.62866973876953
2019-08-23,50.56415557861328
2019-08-26,50.81252670288086
2019-08-27,50.803672790527344
2019-08-28,51.30044174194336
2019-08-29,52.462528228759766
2019-08-30,52.86172103881836
2019-09-03,51.80607604980469
2019-09-04,52.879459381103516
2019-09-05,54.85767364501953
2019-09-06,55.22138214111328
2019-09-09,56.578636169433594
2019-09-10,57.49232482910156
2019-09-11,57.838287353515625
2019-09-12,57.40363311767578
2019-09-13,58.14878463745117
2019-09-16,58.246360778808594
2019-09-17,57.61651611328125
2019-09-18,57.58103942871094
2019-09-19,57.81168746948242
2019-09-20,57.61651611328125
2019-09-23,57.598793029785156
2019-09-24,56.764923095703125
2019-09-25,57.181861877441406
2019-09-26,56.942325592041016
2019-09-27,58.902809143066406
2019-09-30,59.31086349487305
2019-10-01,57.88264465332031
2019-10-02,56.33024215698242
2019-10-03,57.128623962402344
2019-10-04,57.829437255859375
2019-10-07,57.172977447509766
2019-10-08,56.02864074707031
2019-10-09,56.43669509887695
2019-10-10,57.70524597167969
2019-10-11,59.470542907714844
2019-10-14,59.6213493347168
2019-10-15,60.08263397216797
2019-10-16,59.71894073486328
2019-10-17,60.36650085449219
2019-10-18,60.89875411987305
2019-10-21,61.59069061279297
2019-10-22,62.30035400390625
2019-10-23,62.593101501464844
2019-10-24,61.9898796081543
2019-10-25,62.823734283447266
2019-10-28,62.97456359863281
2019-10-29,62.85922622680664
2019-10-30,63.0100212097168
2019-10-31,62.22938919067383
2019-11-01,63.68423080444336
2019-11-04,64.95276641845703
2019-11-05,65.45840454101562
2019-11-06,65.28984069824219
2019-11-07,65.45840454101562
2019-11-08,65.5382308959961
2019-11-11,65.47615814208984
2019-11-12,65.706787109375
2019-11-13,65.27210998535156
2019-11-14,64.95951080322266
2019-11-15,65.6740493774414
2019-11-18,65.26319122314453
2019-11-19,65.45074462890625
2019-11-20,64.97737121582031
2019-11-21,65.70082092285156
2019-11-22,65.79015350341797
2019-11-25,66.40641784667969
2019-11-26,66.47786712646484
2019-11-27,66.48682403564453
2019-11-29,65.96878051757812
2019-12-02,65.5221939086914
2019-12-03,64.85236358642578
2019-12-04,65.64724731445312
2019-12-05,66.07597351074219
2019-12-06,67.0673599243164
2019-12-09,67.1299057006836
2019-12-10,66.58505249023438
2019-12-11,67.63899993896484
2019-12-12,68.74652099609375
2019-12-13,67.86227416992188
2019-12-16,68.02304077148438
2019-12-17,68.01411437988281
2019-12-18,67.91586303710938
2019-12-19,67.96051788330078
2019-12-20,68.12129974365234
2019-12-23,68.58573913574219
2019-12-24,67.9694595336914
2019-12-26,68.47855377197266
2019-12-27,68.33567810058594
2019-12-30,68.27313995361328
2019-12-31,68.11235809326172
2020-01-02,69.20201110839844
