,BAX
2023-10-25,31.008588790893555
2023-10-26,31.2882080078125
2023-10-27,31.008588790893555
2023-10-30,30.892885208129883
2023-10-31,31.268918991088867
2023-11-01,31.616031646728516
2023-11-02,33.02376174926758
2023-11-03,32.744140625
2023-11-06,33.255165100097656
2023-11-07,32.985191345214844
2023-11-08,32.8309211730957
2023-11-09,31.65459632873535
2023-11-10,31.644956588745117
2023-11-13,32.50309371948242
2023-11-14,33.12017822265625
2023-11-15,34.04581069946289
2023-11-16,34.18080139160156
2023-11-17,34.190433502197266
2023-11-20,34.34470748901367
2023-11-21,34.42184829711914
2023-11-22,34.58576202392578
2023-11-24,34.73038864135742
2023-11-27,35.11606979370117
2023-11-28,35.03893280029297
2023-11-29,35.09678268432617
2023-11-30,35.067626953125
2023-12-01,35.524436950683594
2023-12-04,35.854896545410156
2023-12-05,34.79548263549805
2023-12-06,34.921836853027344
2023-12-07,35.50499725341797
2023-12-08,35.13566207885742
2023-12-11,35.39808654785156
2023-12-12,35.66050720214844
2023-12-13,36.574134826660156
2023-12-14,37.85709762573242
2023-12-15,37.614112854003906
2023-12-18,37.25449752807617
2023-12-19,37.60438919067383
2023-12-20,37.51691818237305
2023-12-21,37.81821823120117
2023-12-22,37.30309295654297
2023-12-26,37.49747848510742
2023-12-27,37.57523727416992
2023-12-28,37.711307525634766
2023-12-29,37.57523727416992
2024-01-02,37.75990295410156
2024-01-03,37.06011199951172
2024-01-04,37.54608154296875
2024-01-05,38.06120681762695
2024-01-08,39.528831481933594
2024-01-09,39.51911926269531
2024-01-10,39.15950393676758
2024-01-11,38.9165153503418
2024-01-12,38.87763595581055
2024-01-16,37.954288482666016
2024-01-17,37.60438919067383
2024-01-18,37.75018310546875
2024-01-19,37.51691818237305
2024-01-22,37.633548736572266
2024-01-23,37.34196472167969
2024-01-24,36.81711959838867
2024-01-25,37.89598083496094
2024-01-26,37.70158767700195
2024-01-29,37.98344802856445
2024-01-30,37.614112854003906
2024-01-31,37.60438919067383
2024-02-01,38.09035873413086
2024-02-02,37.88625717163086
2024-02-05,37.44887924194336
2024-02-06,38.59577178955078
