,FANG
2018-03-12,101.82464599609375
2018-03-13,101.61686706542969
2018-03-14,100.54595947265625
2018-03-15,99.57892608642578
2018-03-16,100.30619049072266
2018-03-19,98.00450897216797
2018-03-20,100.33016967773438
2018-03-21,104.03839874267578
2018-03-22,102.12035369873047
2018-03-23,102.26422119140625
2018-03-26,106.47590637207031
2018-03-27,103.23919677734375
2018-03-28,99.63485717773438
2018-03-29,101.11337280273438
2018-04-02,97.7088394165039
2018-04-03,98.65186309814453
2018-04-04,97.9645767211914
2018-04-05,99.42707824707031
2018-04-06,93.2013931274414
2018-04-09,90.54010009765625
2018-04-10,93.80877685546875
2018-04-11,93.1374740600586
2018-04-12,92.9776382446289
2018-04-13,94.86370849609375
2018-04-16,95.13543701171875
2018-04-17,97.74079132080078
2018-04-18,101.57688903808594
2018-04-19,102.99945068359375
2018-04-20,102.6158447265625
2018-04-23,102.48798370361328
2018-04-24,100.48199462890625
2018-04-25,100.49798583984375
2018-04-26,101.39308166503906
2018-04-27,100.5779037475586
2018-04-30,102.65579986572266
2018-05-01,102.3760986328125
2018-05-02,103.03141784667969
2018-05-03,101.10538482666016
2018-05-04,101.73673248291016
2018-05-07,104.08635711669922
2018-05-08,107.66673278808594
2018-05-09,109.10523986816406
2018-05-10,103.72669982910156
2018-05-11,98.95555114746094
2018-05-14,99.29121398925781
2018-05-15,102.71973419189453
2018-05-16,105.59680938720703
2018-05-17,108.89745330810547
2018-05-18,107.6535873413086
2018-05-21,109.39742279052734
2018-05-22,105.7737808227539
2018-05-23,103.70198822021484
2018-05-24,99.98233032226562
2018-05-25,96.27069091796875
2018-05-29,96.79063415527344
2018-05-30,98.23050689697266
2018-05-31,96.59867095947266
2018-06-01,92.39106750488281
2018-06-04,89.35136413574219
2018-06-05,89.23138427734375
2018-06-06,89.76731872558594
2018-06-07,91.28717803955078
2018-06-08,91.1592025756836
2018-06-11,91.05520629882812
2018-06-12,95.09479522705078
2018-06-13,94.67084503173828
2018-06-14,92.75104522705078
2018-06-15,92.45506286621094
2018-06-18,98.05452728271484
2018-06-19,102.05412292480469
2018-06-20,103.63796997070312
2018-06-21,98.97442626953125
2018-06-22,100.43828582763672
2018-06-25,97.27059173583984
2018-06-26,101.22218322753906
2018-06-27,104.09393310546875
2018-06-28,104.66187286376953
2018-06-29,105.2458267211914
